日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,兰石重装,0603169,14.20,14.27,13.61,13.74,-0.39,-2.76,"156,699","21,878",4.67,3.36
2017-03-30,兰石重装,0603169,14.80,14.94,13.92,14.13,-0.97,-6.42,"264,202","38,087",6.76,5.67
2017-03-29,兰石重装,0603169,14.76,15.35,14.50,15.10,0.16,1.07,"327,197","48,902",5.69,7.02
2017-03-28,兰石重装,0603169,14.89,15.15,14.70,14.94,0.12,0.81,"226,919","33,902",3.04,4.87
2017-03-27,兰石重装,0603169,15.20,15.36,14.66,14.82,-1.06,-6.68,"393,412","58,801",4.41,8.44
2017-03-24,兰石重装,0603169,16.37,16.48,15.51,15.88,-0.09,-0.56,"741,636","119,168",6.07,15.91
2017-03-23,兰石重装,0603169,14.31,15.97,14.31,15.97,1.45,9.99,"565,917","87,604",11.43,12.14
2017-03-22,兰石重装,0603169,15.00,15.62,14.39,14.52,-0.18,-1.22,"578,639","86,972",8.37,12.41
2017-03-21,兰石重装,0603169,14.32,14.70,13.93,14.70,1.34,10.03,"136,931","19,677",5.76,2.94
2017-12-29,兰石重装,0603169,8.36,8.44,8.29,8.39,-0.03,-0.36,"27,923","2,331",1.78,0.27
2017-12-28,兰石重装,0603169,8.33,8.45,8.20,8.42,0.01,0.12,"46,488","3,865",2.97,0.45
2017-12-27,兰石重装,0603169,8.13,8.75,8.06,8.41,0.28,3.44,"81,310","6,848",8.49,0.79
2017-12-26,兰石重装,0603169,8.06,8.14,8.03,8.13,0.06,0.74,"14,705","1,192",1.36,0.14
2017-12-25,兰石重装,0603169,8.28,8.28,8.02,8.07,-0.22,-2.65,"21,139","1,721",3.14,0.21
2017-12-22,兰石重装,0603169,8.26,8.35,8.19,8.29,0.04,0.48,"25,946","2,145",1.94,0.25
2017-12-21,兰石重装,0603169,8.13,8.33,8.12,8.25,0.11,1.35,"23,333","1,921",2.58,0.23
2017-12-20,兰石重装,0603169,8.25,8.29,8.13,8.14,-0.15,-1.81,"17,474","1,431",1.93,0.17
2017-12-19,兰石重装,0603169,8.24,8.33,8.22,8.29,0.07,0.85,"19,756","1,635",1.34,0.19
2017-12-18,兰石重装,0603169,8.23,8.36,8.20,8.22,-0.03,-0.36,"17,119","1,414",1.94,0.17
2017-12-15,兰石重装,0603169,8.19,8.27,8.16,8.25,0.00,0.00,"18,637","1,534",1.33,0.18
2017-12-14,兰石重装,0603169,8.30,8.36,8.23,8.25,-0.06,-0.72,"17,874","1,482",1.56,0.17
2017-12-13,兰石重装,0603169,8.25,8.41,8.11,8.31,0.01,0.12,"24,106","1,993",3.61,0.24
2017-12-12,兰石重装,0603169,8.40,8.51,8.27,8.30,-0.10,-1.19,"27,109","2,270",2.86,0.26
2017-12-11,兰石重装,0603169,8.28,8.43,8.22,8.40,0.19,2.31,"34,781","2,912",2.56,0.34
2017-12-08,兰石重装,0603169,8.12,8.34,8.12,8.21,-0.02,-0.24,"31,436","2,590",2.67,0.31
2017-12-07,兰石重装,0603169,8.15,8.51,8.10,8.23,0.09,1.11,"39,397","3,277",5.04,0.38
2017-12-06,兰石重装,0603169,8.06,8.19,8.04,8.14,0.01,0.12,"22,377","1,815",1.85,0.22
2017-12-05,兰石重装,0603169,8.50,8.56,8.02,8.13,-0.37,-4.35,"48,242","3,975",6.35,0.47
