日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,千山退,1300216,24.63,24.65,24.27,24.45,-0.25,-1.01,"20,141","4,922",1.54,0.56
2017-06-29,千山退,1300216,24.62,24.83,24.51,24.70,0.08,0.32,"28,603","7,060",1.30,0.79
2017-06-28,千山退,1300216,24.80,24.94,24.50,24.62,-0.53,-2.11,"31,889","7,865",1.75,0.88
2017-06-27,千山退,1300216,24.37,25.65,24.35,25.15,0.59,2.40,"77,629","19,487",5.29,2.15
2017-06-26,千山退,1300216,24.97,25.20,24.31,24.56,0.38,1.57,"57,139","14,131",3.68,1.58
2017-06-23,千山退,1300216,23.92,24.25,23.40,24.18,0.36,1.51,"24,117","5,769",3.57,0.67
2017-06-22,千山退,1300216,24.76,24.79,23.78,23.82,-0.92,-3.72,"26,776","6,535",4.08,0.74
2017-06-21,千山退,1300216,24.93,24.93,24.51,24.74,-0.14,-0.56,"29,246","7,216",1.69,0.81
2017-06-20,千山退,1300216,24.72,25.44,24.70,24.88,0.18,0.73,"39,958","10,002",3.00,1.11
2017-06-19,千山退,1300216,24.80,24.86,24.49,24.70,-0.17,-0.68,"18,745","4,626",1.49,0.52
2017-06-16,千山退,1300216,24.96,24.96,24.67,24.87,-0.12,-0.48,"19,575","4,854",1.16,0.54
2017-06-15,千山退,1300216,24.59,25.08,24.51,24.99,0.40,1.63,"35,979","8,955",2.32,1.00
2017-06-14,千山退,1300216,24.53,24.67,24.43,24.59,0.01,0.04,"18,735","4,602",0.98,0.52
2017-06-13,千山退,1300216,24.30,24.73,24.30,24.58,0.31,1.28,"25,222","6,186",1.77,0.70
2017-06-12,千山退,1300216,25.14,25.37,24.20,24.27,-1.02,-4.03,"35,781","8,816",4.63,0.99
2017-06-09,千山退,1300216,24.99,25.43,24.90,25.29,0.20,0.80,"30,340","7,635",2.11,0.84
2017-06-08,千山退,1300216,26.28,26.30,25.05,25.09,-1.19,-4.53,"78,195","20,018",4.76,2.16
2017-06-07,千山退,1300216,26.06,26.50,25.93,26.28,0.23,0.88,"56,409","14,799",2.19,1.56
2017-06-06,千山退,1300216,26.02,26.27,25.83,26.05,0.03,0.12,"16,998","4,419",1.69,0.47
2017-06-05,千山退,1300216,25.97,26.19,25.76,26.02,0.27,1.05,"29,781","7,746",1.67,0.82
2017-06-02,千山退,1300216,25.40,25.91,24.64,25.75,0.30,1.18,"30,571","7,740",4.99,0.85
2017-06-01,千山退,1300216,25.64,25.86,24.92,25.45,-0.19,-0.74,"28,105","7,140",3.67,0.78
2017-05-31,千山退,1300216,26.12,26.42,25.50,25.64,-0.63,-2.40,"46,910","12,098",3.50,1.30
2017-05-26,千山退,1300216,27.10,27.35,26.20,26.27,-0.38,-1.43,"64,067","17,076",4.32,1.77
2017-05-25,千山退,1300216,25.76,26.95,25.76,26.65,0.95,3.70,"68,667","18,071",4.63,1.90
2017-05-24,千山退,1300216,25.55,25.81,24.52,25.70,0.16,0.63,"27,789","7,026",5.05,0.77
2017-05-23,千山退,1300216,26.52,26.79,25.37,25.54,-1.25,-4.67,"43,215","11,206",5.30,1.20
2017-05-22,千山退,1300216,27.40,28.37,26.56,26.79,0.42,1.59,"68,215","18,638",6.86,1.89
2017-05-19,千山退,1300216,25.95,26.69,25.70,26.37,0.62,2.41,"38,117","10,025",3.84,1.05
2017-05-18,千山退,1300216,25.80,26.28,25.68,25.75,-0.54,-2.05,"40,108","10,403",2.28,1.11
2017-05-17,千山退,1300216,25.35,27.30,25.12,26.29,0.98,3.87,"61,119","15,908",8.61,1.69
2017-05-16,千山退,1300216,25.05,25.32,24.55,25.31,0.22,0.88,"28,583","7,132",3.07,0.79
2017-05-15,千山退,1300216,25.28,25.34,24.62,25.09,-0.21,-0.83,"29,211","7,312",2.85,0.81
2017-05-12,千山退,1300216,25.25,25.46,24.91,25.30,0.05,0.20,"23,034","5,806",2.18,0.64
2017-05-11,千山退,1300216,25.00,25.25,24.50,25.25,0.25,1.00,"27,605","6,875",3.00,0.76
2017-05-10,千山退,1300216,24.50,25.06,24.30,25.00,0.22,0.89,"39,296","9,772",3.07,1.09
2017-05-09,千山退,1300216,23.80,24.80,23.53,24.78,0.92,3.86,"36,229","8,716",5.32,1.00
2017-05-08,千山退,1300216,23.75,24.35,23.32,23.86,0.10,0.42,"28,394","6,778",4.34,0.79
2017-05-05,千山退,1300216,24.53,24.92,23.76,23.76,-0.92,-3.73,"23,401","5,711",4.70,0.65
2017-05-04,千山退,1300216,24.85,25.13,24.52,24.68,-0.23,-0.92,"22,380","5,555",2.45,0.62
2017-05-03,千山退,1300216,25.09,25.27,24.62,24.91,-0.19,-0.76,"17,108","4,260",2.59,0.47
2017-05-02,千山退,1300216,24.99,25.36,24.81,25.10,-0.12,-0.48,"23,540","5,916",2.18,0.65
2017-04-28,千山退,1300216,25.00,25.80,24.78,25.22,1.12,4.65,"50,331","12,742",4.23,1.39
2017-04-27,千山退,1300216,24.80,24.80,22.87,24.10,-0.54,-2.19,"44,652","10,638",7.83,1.24
2017-04-26,千山退,1300216,24.92,25.36,24.51,24.64,-0.28,-1.12,"21,717","5,398",3.41,0.60
2017-04-25,千山退,1300216,25.19,25.57,24.85,24.92,-0.26,-1.03,"20,345","5,128",2.86,0.56
2017-04-24,千山退,1300216,25.79,25.79,24.51,25.18,-0.61,-2.37,"22,296","5,597",4.96,0.62
2017-04-21,千山退,1300216,25.86,26.26,25.68,25.79,-0.16,-0.62,"19,457","5,049",2.24,0.54
2017-04-20,千山退,1300216,25.58,26.71,25.48,25.95,0.35,1.37,"47,261","12,362",4.80,1.31
2017-04-19,千山退,1300216,24.75,25.60,24.12,25.60,0.78,3.14,"43,919","10,895",5.96,1.22
2017-04-18,千山退,1300216,24.79,25.37,24.55,24.82,0.12,0.49,"35,230","8,816",3.32,0.97
2017-04-17,千山退,1300216,25.51,26.60,24.70,24.70,-0.12,-0.48,"59,663","15,336",7.66,1.65
2017-04-14,千山退,1300216,25.06,25.15,24.60,24.82,-0.40,-1.59,"23,376","5,804",2.18,0.65
2017-04-13,千山退,1300216,25.10,25.48,24.90,25.22,0.06,0.24,"30,535","7,717",2.31,0.84
2017-04-12,千山退,1300216,24.58,25.47,23.50,25.16,0.66,2.69,"75,604","18,815",8.04,2.09
2017-04-11,千山退,1300216,26.94,27.37,24.50,24.50,-2.41,-8.96,"131,685","33,587",10.67,3.64
2017-04-10,千山退,1300216,29.88,29.88,26.91,26.91,-2.99,-10.00,"70,501","19,810",9.93,1.95
2017-04-07,千山退,1300216,30.09,30.09,29.82,29.90,-0.15,-0.50,"10,544","3,158",0.90,0.29
2017-04-06,千山退,1300216,30.11,30.19,29.90,30.05,-0.03,-0.10,"12,296","3,691",0.96,0.34
2017-04-05,千山退,1300216,29.90,30.15,29.69,30.08,0.29,0.97,"18,463","5,525",1.54,0.51
