日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,合力科技,0603917,30.40,30.78,28.39,28.39,-3.15,-9.99,"104,537","30,343",7.58,37.33
2017-12-28,合力科技,0603917,27.95,31.54,27.69,31.54,2.87,10.01,"156,538","47,105",13.43,55.91
2017-12-27,合力科技,0603917,25.88,28.67,25.57,28.67,2.61,10.02,"133,383","36,330",11.90,47.64
2017-12-26,合力科技,0603917,24.50,26.92,24.33,26.06,1.46,5.94,"82,325","21,260",10.53,29.40
2017-12-25,合力科技,0603917,24.60,24.65,23.74,24.60,-0.06,-0.24,"38,873","9,393",3.69,13.88
2017-12-22,合力科技,0603917,24.50,25.09,24.25,24.66,0.12,0.49,"44,114","10,938",3.42,15.76
2017-12-21,合力科技,0603917,24.40,24.88,23.83,24.54,-0.01,-0.04,"44,868","10,961",4.28,16.02
2017-12-20,合力科技,0603917,25.70,25.85,24.36,24.55,-1.31,-5.07,"52,389","13,073",5.76,18.71
2017-12-19,合力科技,0603917,25.86,26.14,25.64,25.86,0.01,0.04,"34,252","8,865",1.93,12.23
2017-12-18,合力科技,0603917,27.27,27.40,25.80,25.85,-1.57,-5.73,"54,629","14,336",5.84,19.51
2017-12-15,合力科技,0603917,28.00,28.09,26.90,27.42,-0.77,-2.73,"65,182","17,840",4.22,23.28
2017-12-14,合力科技,0603917,28.00,28.33,27.52,28.19,0.00,0.00,"63,998","17,871",2.87,22.86
2017-12-13,合力科技,0603917,27.78,28.58,27.50,28.19,-1.10,-3.76,"83,981","23,558",3.69,29.99
2017-12-12,合力科技,0603917,30.21,30.99,29.29,29.29,-3.25,-9.99,"100,419","29,915",5.22,35.86
2017-12-11,合力科技,0603917,32.99,32.99,31.11,32.54,2.55,8.50,"161,559","51,880",6.27,57.70
2017-12-08,合力科技,0603917,29.99,29.99,29.99,29.99,2.73,10.01,"1,978",593,0.00,0.71
2017-12-07,合力科技,0603917,27.26,27.26,27.26,27.26,2.48,10.01,320,87,0.00,0.11
2017-12-06,合力科技,0603917,24.78,24.78,24.78,24.78,2.25,9.99,286,71,0.00,0.10
2017-12-05,合力科技,0603917,22.53,22.53,22.53,22.53,2.05,10.01,141,32,0.00,0.05
2017-12-04,合力科技,0603917,20.48,20.48,20.48,20.48,6.26,44.02,234,48,0.00,0.08
2018-06-29,合力科技,0603917,14.90,15.49,14.75,15.40,0.54,3.63,"27,944","4,246",4.98,7.13
2018-06-28,合力科技,0603917,15.16,15.48,14.84,14.86,-0.48,-3.13,"22,902","3,477",4.17,5.84
2018-06-27,合力科技,0603917,15.20,15.56,15.17,15.34,0.13,0.85,"27,131","4,157",2.56,6.92
2018-06-26,合力科技,0603917,14.37,15.27,14.36,15.21,0.27,1.81,"24,542","3,669",6.09,6.26
2018-06-25,合力科技,0603917,14.91,15.29,14.87,14.94,0.02,0.13,"24,426","3,683",2.82,6.23
2018-06-22,合力科技,0603917,14.42,15.09,14.32,14.92,0.31,2.12,"24,155","3,581",5.27,6.16
2018-06-21,合力科技,0603917,15.00,15.45,14.50,14.61,-0.50,-3.31,"28,726","4,283",6.29,7.33
