日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-09-30,大叶股份,1300879,33.73,34.78,33.25,33.41,0.12,0.36,"49,364","16,703",4.60,13.01
2020-09-29,大叶股份,1300879,34.00,34.57,33.00,33.29,-0.17,-0.51,"48,334","16,311",4.69,12.74
2020-09-28,大叶股份,1300879,36.71,37.00,33.25,33.46,-3.87,-10.37,"81,507","28,573",10.05,21.48
2020-09-25,大叶股份,1300879,38.81,40.95,37.33,37.33,-2.26,-5.71,"97,680","38,291",9.14,25.75
2020-09-24,大叶股份,1300879,37.70,41.65,36.45,39.59,1.53,4.02,"127,059","49,600",13.66,33.49
2020-09-23,大叶股份,1300879,36.48,38.88,36.48,38.06,1.74,4.79,"87,857","33,292",6.61,23.16
2020-09-22,大叶股份,1300879,37.30,38.45,36.08,36.32,-2.58,-6.63,"82,578","30,775",6.09,21.77
2020-09-21,大叶股份,1300879,39.52,40.32,37.88,38.90,-1.30,-3.23,"99,533","38,725",6.07,26.24
2020-09-18,大叶股份,1300879,41.05,44.75,39.55,40.20,-2.79,-6.49,"149,215","61,810",12.10,39.33
2020-09-17,大叶股份,1300879,41.90,48.51,40.01,42.99,2.51,6.20,"237,615","104,736",21.00,62.63
2020-09-16,大叶股份,1300879,33.20,40.48,32.20,40.48,6.75,20.01,"173,600","63,371",24.55,45.76
2020-09-15,大叶股份,1300879,32.34,34.96,31.70,33.73,1.07,3.28,"107,337","36,020",9.98,28.29
2020-09-14,大叶股份,1300879,31.31,32.79,31.24,32.66,1.04,3.29,"81,931","26,310",4.90,21.60
2020-09-11,大叶股份,1300879,29.26,32.86,29.26,31.62,1.42,4.70,"84,404","26,242",11.92,22.25
2020-09-10,大叶股份,1300879,32.28,32.97,29.88,30.20,-1.29,-4.10,"73,008","22,958",9.81,19.24
2020-09-09,大叶股份,1300879,34.80,34.80,31.00,31.49,-4.11,-11.54,"98,562","32,737",10.67,25.98
