日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-09-30,天准科技,0688003,39.84,39.84,37.73,37.85,-2.04,-5.11,"30,038","11,502",5.29,6.80
2019-09-27,天准科技,0688003,39.37,40.46,39.08,39.89,0.54,1.37,"21,776","8,684",3.51,4.93
2019-09-26,天准科技,0688003,42.78,42.88,39.33,39.35,-3.21,-7.54,"36,376","14,701",8.34,8.23
2019-09-25,天准科技,0688003,43.90,44.27,42.50,42.56,-1.34,-3.05,"26,171","11,381",4.03,5.92
2019-09-24,天准科技,0688003,42.93,44.10,42.89,43.90,1.01,2.35,"30,001","13,130",2.82,6.79
2019-09-23,天准科技,0688003,43.29,43.73,42.73,42.89,-0.41,-0.95,"18,707","8,065",2.31,4.23
2019-09-20,天准科技,0688003,43.60,43.65,43.02,43.30,-0.33,-0.76,"18,779","8,144",1.44,4.25
2019-09-19,天准科技,0688003,43.00,44.38,42.34,43.63,0.75,1.75,"32,225","14,079",4.76,7.29
2019-09-18,天准科技,0688003,44.78,44.78,42.10,42.88,-1.45,-3.27,"36,024","15,481",6.05,8.15
2019-09-17,天准科技,0688003,45.29,45.79,44.14,44.33,-1.20,-2.64,"22,794","10,228",3.62,5.16
2019-09-16,天准科技,0688003,45.48,46.59,45.31,45.53,0.05,0.11,"19,384","8,878",2.81,4.39
2019-09-12,天准科技,0688003,47.40,47.40,45.32,45.48,-1.52,-3.23,"31,695","14,525",4.43,7.17
2019-09-11,天准科技,0688003,47.77,47.82,47.00,47.00,-0.25,-0.53,"21,883","10,367",1.74,4.95
2019-09-10,天准科技,0688003,46.63,48.30,46.62,47.25,0.30,0.64,"29,595","14,047",3.58,6.70
2019-09-09,天准科技,0688003,47.03,47.57,46.36,46.95,0.12,0.26,"29,398","13,802",2.58,6.65
2019-09-06,天准科技,0688003,48.70,48.90,46.80,46.83,-1.67,-3.44,"36,187","17,318",4.33,8.19
2019-09-05,天准科技,0688003,48.55,49.00,48.07,48.50,0.42,0.87,"37,604","18,271",1.93,8.51
2019-09-04,天准科技,0688003,48.40,50.08,48.02,48.08,-0.54,-1.11,"48,469","23,723",4.24,10.97
