日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,天智航,0688277,36.26,38.59,36.01,38.13,1.89,5.22,"15,753","5,952",7.12,4.50
2020-12-30,天智航,0688277,35.80,36.35,35.25,36.24,0.36,1.00,"9,987","3,578",3.07,2.85
2020-12-29,天智航,0688277,35.88,36.50,35.20,35.88,-0.14,-0.39,"10,427","3,747",3.61,2.98
2020-12-28,天智航,0688277,36.38,37.80,35.52,36.02,-0.18,-0.50,"17,965","6,593",6.30,5.13
2020-12-25,天智航,0688277,38.23,38.23,36.20,36.20,-2.04,-5.33,"18,039","6,643",5.31,5.15
2020-12-24,天智航,0688277,40.33,40.40,37.90,38.24,-2.09,-5.18,"15,894","6,181",6.20,4.54
2020-12-23,天智航,0688277,41.64,41.90,39.87,40.33,-1.59,-3.79,"15,803","6,396",4.84,4.52
2020-12-22,天智航,0688277,42.31,42.78,41.31,41.92,-0.59,-1.39,"10,971","4,592",3.46,3.13
2020-12-21,天智航,0688277,41.96,43.47,41.47,42.51,0.63,1.50,"9,892","4,206",4.78,2.83
2020-12-18,天智航,0688277,43.39,43.51,41.41,41.88,-1.62,-3.72,"11,970","5,051",4.83,3.42
2020-12-17,天智航,0688277,40.67,43.82,40.66,43.50,2.84,6.98,"18,388","7,784",7.77,5.25
2020-12-16,天智航,0688277,43.10,43.25,40.66,40.66,-2.66,-6.14,"15,585","6,477",5.98,4.45
2020-12-15,天智航,0688277,43.49,44.30,43.01,43.32,-0.38,-0.87,"10,470","4,548",2.95,2.99
2020-12-14,天智航,0688277,43.00,44.75,42.22,43.70,0.46,1.06,"12,736","5,584",5.85,3.64
2020-12-11,天智航,0688277,45.88,45.96,42.99,43.24,-2.64,-5.75,"17,877","7,885",6.47,5.11
2020-12-10,天智航,0688277,45.93,46.60,45.49,45.88,-0.04,-0.09,"6,855","3,155",2.42,1.96
2020-12-09,天智航,0688277,47.29,47.29,45.90,45.92,-1.34,-2.84,"11,158","5,172",2.94,3.19
2020-12-08,天智航,0688277,48.66,48.87,47.01,47.26,-1.40,-2.88,"11,766","5,607",3.82,3.36
2020-12-07,天智航,0688277,48.53,49.35,48.10,48.66,0.13,0.27,"8,444","4,116",2.58,2.41
2020-12-04,天智航,0688277,48.67,49.36,48.20,48.53,-0.35,-0.72,"9,066","4,409",2.37,2.59
