日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,天翔退,1300362,16.99,17.36,16.91,17.05,0.03,0.18,"20,963","3,596",2.64,0.68
2017-06-29,天翔退,1300362,16.89,17.27,16.85,17.02,0.17,1.01,"19,136","3,274",2.49,0.62
2017-06-28,天翔退,1300362,16.81,16.87,16.68,16.85,0.03,0.18,"18,127","3,039",1.13,0.59
2017-06-27,天翔退,1300362,16.95,17.10,16.80,16.82,-0.14,-0.83,"19,802","3,343",1.77,0.65
2017-06-26,天翔退,1300362,16.91,17.15,16.66,16.96,-0.14,-0.82,"23,486","3,958",2.87,0.77
2017-06-23,天翔退,1300362,16.91,17.10,16.79,17.10,0.19,1.12,"12,804","2,174",1.83,0.42
2017-06-22,天翔退,1300362,17.46,17.60,16.71,16.91,-0.59,-3.37,"21,179","3,636",5.09,0.69
2017-06-21,天翔退,1300362,17.47,17.63,17.34,17.50,0.04,0.23,"9,345","1,634",1.66,0.31
2017-06-20,天翔退,1300362,17.71,17.84,17.41,17.46,-0.20,-1.13,"17,874","3,141",2.43,0.58
2017-06-19,天翔退,1300362,17.66,17.86,17.62,17.66,-0.12,-0.67,"11,445","2,025",1.35,0.37
2017-06-16,天翔退,1300362,18.05,18.05,17.68,17.78,-0.28,-1.55,"16,587","2,952",2.05,0.54
2017-06-15,天翔退,1300362,17.55,18.10,17.46,18.06,0.51,2.91,"33,398","5,983",3.65,1.09
2017-06-14,天翔退,1300362,17.66,17.66,17.36,17.55,0.08,0.46,"14,701","2,570",1.72,0.48
2017-06-13,天翔退,1300362,17.50,17.63,17.22,17.47,0.05,0.29,"20,777","3,631",2.35,0.68
2017-06-12,天翔退,1300362,17.22,17.56,17.08,17.42,0.20,1.16,"29,393","5,111",2.79,0.96
2017-06-09,天翔退,1300362,17.12,17.30,17.10,17.22,0.01,0.06,"12,346","2,125",1.16,0.40
2017-06-08,天翔退,1300362,17.48,17.55,17.17,17.21,-0.35,-1.99,"22,823","3,951",2.16,0.75
2017-06-07,天翔退,1300362,17.20,17.64,17.10,17.56,0.29,1.68,"35,972","6,253",3.13,1.17
2017-06-06,天翔退,1300362,17.42,17.48,17.21,17.27,-0.15,-0.86,"14,452","2,502",1.55,0.48
2017-06-05,天翔退,1300362,17.90,17.90,17.36,17.42,0.02,0.11,"32,645","5,712",3.10,1.08
2017-06-02,天翔退,1300362,16.10,17.53,16.00,17.40,1.40,8.75,"50,610","8,543",9.56,1.68
2017-06-01,天翔退,1300362,16.60,16.78,15.95,16.00,-0.65,-3.90,"20,354","3,335",4.99,0.67
2017-05-31,天翔退,1300362,16.76,17.15,16.63,16.65,-0.08,-0.48,"18,337","3,088",3.11,0.61
2017-05-26,天翔退,1300362,16.65,17.00,16.65,16.73,-0.13,-0.77,"12,081","2,034",2.08,0.40
2017-05-25,天翔退,1300362,16.95,17.05,16.50,16.86,-0.06,-0.35,"18,100","3,042",3.25,0.60
2017-05-24,天翔退,1300362,16.71,17.00,16.37,16.92,0.14,0.83,"22,523","3,761",3.75,0.75
2017-05-23,天翔退,1300362,17.03,17.43,16.77,16.78,-0.32,-1.87,"29,781","5,077",3.86,0.99
2017-05-22,天翔退,1300362,17.88,17.88,17.02,17.10,-0.82,-4.58,"29,072","5,059",4.80,0.96
2017-05-19,天翔退,1300362,17.80,18.46,17.54,17.92,0.28,1.59,"45,010","8,170",5.22,1.49
2017-05-18,天翔退,1300362,17.77,18.00,17.59,17.64,-0.29,-1.62,"17,664","3,139",2.29,0.58
2017-05-17,天翔退,1300362,17.93,18.10,17.85,17.93,0.15,0.84,"28,329","5,088",1.41,0.94
2017-05-16,天翔退,1300362,17.65,18.00,17.50,17.78,0.34,1.95,"31,358","5,563",2.87,1.04
2017-05-15,天翔退,1300362,17.49,17.63,17.33,17.44,-0.03,-0.17,"14,770","2,576",1.72,0.49
2017-05-12,天翔退,1300362,17.24,17.73,17.01,17.47,0.22,1.28,"38,649","6,742",4.17,1.28
2017-05-11,天翔退,1300362,16.90,17.45,16.50,17.25,0.10,0.58,"43,114","7,236",5.54,1.43
2017-05-10,天翔退,1300362,17.23,17.83,17.13,17.15,-0.07,-0.41,"35,015","6,069",4.07,1.16
2017-05-09,天翔退,1300362,17.40,17.55,16.85,17.22,0.05,0.29,"39,044","6,676",4.08,1.29
2017-05-08,天翔退,1300362,17.97,18.24,17.15,17.17,-0.97,-5.35,"36,298","6,444",6.01,1.20
2017-05-05,天翔退,1300362,18.37,18.60,18.05,18.14,-0.06,-0.33,"26,831","4,918",3.02,0.89
2017-05-04,天翔退,1300362,18.01,18.51,17.99,18.20,0.19,1.06,"22,742","4,151",2.89,0.75
2017-05-03,天翔退,1300362,18.17,18.42,18.00,18.01,-0.18,-0.99,"19,318","3,507",2.31,0.64
2017-05-02,天翔退,1300362,18.59,18.64,18.11,18.19,-0.36,-1.94,"24,329","4,459",2.86,0.81
2017-04-28,天翔退,1300362,18.55,18.76,18.30,18.55,0.00,0.00,"23,340","4,331",2.48,0.77
2017-04-27,天翔退,1300362,18.40,18.68,17.51,18.55,0.15,0.82,"35,952","6,531",6.36,1.19
2017-04-26,天翔退,1300362,18.20,18.44,18.11,18.40,0.21,1.15,"17,654","3,236",1.81,0.58
2017-04-25,天翔退,1300362,17.99,18.50,17.99,18.19,0.12,0.66,"25,558","4,687",2.82,0.85
2017-04-24,天翔退,1300362,18.97,18.97,18.00,18.07,-0.98,-5.14,"43,653","7,975",5.09,1.45
2017-04-21,天翔退,1300362,19.58,19.74,19.05,19.05,-0.50,-2.56,"27,928","5,398",3.53,0.92
2017-04-20,天翔退,1300362,19.45,19.85,19.11,19.55,0.01,0.05,"35,165","6,860",3.79,1.16
2017-04-19,天翔退,1300362,18.87,19.66,18.70,19.54,0.44,2.30,"44,767","8,622",5.03,1.48
2017-04-18,天翔退,1300362,19.60,19.85,19.07,19.10,-0.55,-2.80,"43,406","8,487",3.97,1.44
2017-04-17,天翔退,1300362,20.40,20.65,19.40,19.65,-1.01,-4.89,"73,515","14,627",6.05,2.43
2017-04-14,天翔退,1300362,21.36,21.60,20.55,20.66,-0.84,-3.91,"64,271","13,457",4.88,2.13
2017-04-13,天翔退,1300362,20.87,21.54,20.73,21.50,0.69,3.32,"75,312","16,098",3.89,2.49
2017-04-12,天翔退,1300362,20.77,21.20,20.36,20.81,0.00,0.00,"57,887","12,093",4.04,1.92
2017-04-11,天翔退,1300362,21.41,21.43,20.30,20.81,-0.61,-2.85,"107,061","22,290",5.28,3.54
2017-04-10,天翔退,1300362,21.65,21.95,21.10,21.42,-0.10,-0.46,"103,635","22,271",3.95,3.43
2017-04-07,天翔退,1300362,20.68,21.52,20.58,21.52,0.69,3.31,"119,557","25,360",4.51,3.96
2017-04-06,天翔退,1300362,20.82,21.38,20.56,20.83,0.12,0.58,"84,261","17,679",3.96,2.79
2017-04-05,天翔退,1300362,19.76,20.79,19.76,20.71,1.03,5.23,"57,854","11,769",5.23,1.92
2017-09-29,天翔退,1300362,15.78,15.95,15.78,15.90,0.09,0.57,"10,616","1,682",1.08,0.35
2017-09-28,天翔退,1300362,15.88,15.90,15.80,15.81,-0.11,-0.69,"11,286","1,788",0.63,0.37
2017-09-27,天翔退,1300362,15.75,16.09,15.60,15.92,0.19,1.21,"25,453","4,033",3.12,0.83
2017-09-26,天翔退,1300362,15.82,15.93,15.70,15.73,-0.14,-0.88,"27,685","4,378",1.45,0.90
2017-09-25,天翔退,1300362,15.86,15.91,15.73,15.87,-0.04,-0.25,"14,631","2,315",1.13,0.48
2017-09-22,天翔退,1300362,15.80,16.09,15.60,15.91,0.06,0.38,"26,093","4,139",3.09,0.85
2017-09-21,天翔退,1300362,15.95,15.99,15.78,15.85,-0.04,-0.25,"14,327","2,269",1.32,0.47
2017-09-20,天翔退,1300362,15.86,15.97,15.81,15.89,0.02,0.13,"16,374","2,602",1.01,0.53
2017-09-19,天翔退,1300362,16.02,16.05,15.86,15.87,-0.14,-0.87,"10,881","1,733",1.19,0.36
2017-09-18,天翔退,1300362,15.90,16.02,15.80,16.01,0.07,0.44,"16,106","2,563",1.38,0.53
2017-09-15,天翔退,1300362,15.86,15.95,15.82,15.94,0.00,0.00,"15,219","2,416",0.82,0.50
2017-09-14,天翔退,1300362,15.89,16.06,15.81,15.94,0.00,0.00,"17,744","2,825",1.57,0.58
2017-09-13,天翔退,1300362,16.09,16.15,15.85,15.94,-0.15,-0.93,"22,029","3,512",1.86,0.72
2017-09-12,天翔退,1300362,16.09,16.36,15.86,16.09,-0.13,-0.80,"37,865","6,084",3.08,1.24
2017-09-11,天翔退,1300362,15.81,16.25,15.01,16.22,0.13,0.81,"43,777","6,965",7.71,1.43
2017-09-08,天翔退,1300362,16.25,16.28,16.01,16.09,-0.20,-1.23,"14,430","2,330",1.66,0.47
2017-09-07,天翔退,1300362,16.22,16.34,16.13,16.29,0.01,0.06,"18,788","3,051",1.29,0.61
2017-09-06,天翔退,1300362,16.49,16.49,16.19,16.28,-0.17,-1.03,"14,907","2,429",1.82,0.49
2017-09-05,天翔退,1300362,16.45,16.52,16.39,16.45,0.00,0.00,"28,467","4,685",0.79,0.93
2017-09-04,天翔退,1300362,16.44,16.53,16.31,16.45,0.06,0.37,"35,602","5,844",1.34,1.16
2017-09-01,天翔退,1300362,16.28,16.42,16.18,16.39,0.06,0.37,"20,346","3,318",1.47,0.66
2017-08-31,天翔退,1300362,16.26,16.44,16.13,16.33,0.08,0.49,"24,658","4,001",1.91,0.81
2017-08-30,天翔退,1300362,16.35,16.41,16.07,16.25,-0.01,-0.06,"21,887","3,552",2.09,0.71
2017-08-29,天翔退,1300362,16.40,16.53,16.16,16.26,-0.27,-1.63,"21,535","3,518",2.24,0.70
2017-08-28,天翔退,1300362,16.52,16.58,16.41,16.53,0.09,0.55,"32,522","5,364",1.03,1.06
2017-08-25,天翔退,1300362,16.30,16.57,16.22,16.44,0.23,1.42,"13,890","2,283",2.16,0.45
2017-08-24,天翔退,1300362,16.40,16.53,16.16,16.21,-0.09,-0.55,"15,194","2,482",2.27,0.50
2017-08-23,天翔退,1300362,16.40,16.64,16.27,16.30,-0.15,-0.91,"14,870","2,447",2.25,0.49
2017-08-22,天翔退,1300362,16.57,16.62,16.41,16.45,-0.10,-0.60,"14,932","2,460",1.27,0.49
2017-08-21,天翔退,1300362,16.66,16.75,16.50,16.55,-0.12,-0.72,"16,732","2,775",1.50,0.55
2017-08-18,天翔退,1300362,16.59,16.79,16.46,16.67,0.03,0.18,"20,339","3,393",1.98,0.66
