日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,宁波东力,1002164,8.67,8.69,8.54,8.58,-0.05,-0.58,"28,087","2,409",1.74,0.63
2017-12-28,宁波东力,1002164,8.75,8.75,8.62,8.63,-0.05,-0.58,"24,042","2,079",1.50,0.54
2017-12-27,宁波东力,1002164,8.72,8.80,8.66,8.68,0.00,0.00,"17,296","1,507",1.61,0.39
2017-12-26,宁波东力,1002164,8.74,8.74,8.51,8.68,0.00,0.00,"18,142","1,568",2.65,0.41
2017-12-25,宁波东力,1002164,8.85,8.91,8.53,8.68,-0.18,-2.03,"30,810","2,692",4.29,0.69
2017-12-22,宁波东力,1002164,8.95,8.96,8.85,8.86,-0.06,-0.67,"18,590","1,653",1.23,0.42
2017-12-21,宁波东力,1002164,8.90,8.98,8.86,8.92,-0.02,-0.22,"13,859","1,237",1.34,0.31
2017-12-20,宁波东力,1002164,8.98,9.04,8.92,8.94,-0.04,-0.45,"15,499","1,393",1.34,0.35
2017-12-19,宁波东力,1002164,8.89,9.04,8.89,8.98,0.05,0.56,"15,202","1,369",1.68,0.34
2017-12-18,宁波东力,1002164,8.94,9.03,8.89,8.93,-0.03,-0.33,"14,974","1,341",1.56,0.34
2017-12-15,宁波东力,1002164,9.05,9.07,8.90,8.96,-0.08,-0.89,"20,175","1,816",1.88,0.45
2017-12-14,宁波东力,1002164,9.14,9.15,9.03,9.04,-0.07,-0.77,"25,116","2,273",1.32,0.56
2017-12-13,宁波东力,1002164,9.10,9.13,9.05,9.11,0.02,0.22,"16,142","1,468",0.88,0.36
2017-12-12,宁波东力,1002164,9.17,9.22,9.09,9.09,-0.06,-0.66,"18,716","1,710",1.42,0.42
2017-12-11,宁波东力,1002164,9.02,9.15,9.02,9.15,0.08,0.88,"21,132","1,925",1.43,0.47
2017-12-08,宁波东力,1002164,9.05,9.12,9.01,9.07,0.00,0.00,"23,919","2,170",1.21,0.54
2017-12-07,宁波东力,1002164,9.07,9.14,9.06,9.07,-0.03,-0.33,"17,582","1,600",0.88,0.39
2017-12-06,宁波东力,1002164,9.05,9.22,9.04,9.10,0.05,0.55,"19,382","1,762",1.99,0.43
2017-12-05,宁波东力,1002164,9.26,9.35,9.03,9.05,-0.26,-2.79,"32,010","2,931",3.44,0.72
2017-12-04,宁波东力,1002164,9.11,9.59,9.09,9.31,0.16,1.75,"46,972","4,391",5.46,1.05
2017-12-01,宁波东力,1002164,9.16,9.20,9.12,9.15,-0.01,-0.11,"23,863","2,183",0.87,0.54
2017-11-30,宁波东力,1002164,9.13,9.19,9.08,9.16,-0.01,-0.11,"20,598","1,879",1.20,0.46
2017-11-29,宁波东力,1002164,9.26,9.26,9.07,9.17,-0.04,-0.43,"19,738","1,804",2.06,0.44
2017-11-28,宁波东力,1002164,9.27,9.27,9.13,9.21,0.06,0.66,"19,093","1,751",1.53,0.43
2017-11-27,宁波东力,1002164,9.23,9.29,9.10,9.15,-0.03,-0.33,"19,346","1,779",2.07,0.43
2017-11-24,宁波东力,1002164,9.21,9.38,9.15,9.18,-0.10,-1.08,"25,289","2,330",2.48,0.57
