日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,宝莱特,1300246,26.55,27.15,26.43,26.83,0.30,1.13,"19,209","5,156",2.71,1.31
2017-09-28,宝莱特,1300246,26.90,26.95,26.53,26.53,-0.37,-1.38,"12,563","3,357",1.56,0.86
2017-09-27,宝莱特,1300246,26.62,26.98,26.61,26.90,0.15,0.56,"12,981","3,480",1.38,0.89
2017-09-26,宝莱特,1300246,26.60,26.82,26.22,26.75,0.19,0.72,"17,638","4,678",2.26,1.21
2017-09-25,宝莱特,1300246,27.10,27.48,26.50,26.56,-0.48,-1.78,"24,507","6,630",3.62,1.68
2017-09-22,宝莱特,1300246,26.78,27.29,26.63,27.04,0.02,0.07,"21,433","5,790",2.44,1.47
2017-09-21,宝莱特,1300246,27.30,27.49,26.90,27.02,-0.55,-1.99,"31,008","8,423",2.14,2.12
2017-09-20,宝莱特,1300246,27.63,27.63,26.93,27.57,-0.39,-1.39,"78,118","21,314",2.50,5.35
2017-09-19,宝莱特,1300246,26.43,28.96,26.41,27.96,1.63,6.19,"120,303","34,089",9.68,8.23
2017-09-18,宝莱特,1300246,25.51,26.33,25.41,26.33,0.82,3.21,"13,848","3,592",3.61,0.95
2017-09-15,宝莱特,1300246,26.01,26.07,25.49,25.51,-0.26,-1.01,"13,965","3,579",2.25,0.96
2017-09-14,宝莱特,1300246,26.12,26.15,25.67,25.77,-0.32,-1.23,"13,584","3,511",1.84,0.93
2017-09-13,宝莱特,1300246,26.00,26.19,25.91,26.09,0.09,0.35,"7,445","1,939",1.08,0.51
2017-09-12,宝莱特,1300246,26.36,26.36,25.92,26.00,-0.35,-1.33,"13,043","3,406",1.67,0.89
2017-09-11,宝莱特,1300246,26.20,26.45,26.00,26.35,0.02,0.08,"10,962","2,877",1.71,0.75
2017-09-08,宝莱特,1300246,26.02,26.88,26.01,26.33,0.19,0.73,"15,311","4,041",3.33,1.05
2017-09-07,宝莱特,1300246,26.47,26.81,26.08,26.14,-0.33,-1.25,"18,400","4,882",2.76,1.26
2017-09-06,宝莱特,1300246,26.13,26.49,26.05,26.47,0.27,1.03,"14,816","3,903",1.68,1.01
2017-09-05,宝莱特,1300246,26.30,26.50,26.07,26.20,-0.10,-0.38,"13,024","3,420",1.64,0.89
2017-09-04,宝莱特,1300246,26.39,26.57,26.10,26.30,-0.10,-0.38,"13,894","3,661",1.78,0.95
2017-09-01,宝莱特,1300246,25.69,26.47,25.66,26.40,0.77,3.00,"27,808","7,295",3.16,1.90
2017-08-31,宝莱特,1300246,25.50,25.69,25.42,25.63,0.13,0.51,"11,279","2,882",1.06,0.77
2017-08-30,宝莱特,1300246,25.21,25.52,25.09,25.50,0.21,0.83,"14,293","3,625",1.70,0.98
2017-08-29,宝莱特,1300246,25.25,25.44,25.16,25.29,-0.03,-0.12,"10,530","2,662",1.11,0.72
2017-08-28,宝莱特,1300246,25.14,25.63,25.11,25.32,0.18,0.72,"17,502","4,449",2.07,1.20
2017-08-25,宝莱特,1300246,24.85,25.17,24.70,25.14,0.24,0.96,"11,389","2,845",1.89,0.78
2017-08-24,宝莱特,1300246,25.21,25.35,24.78,24.90,-0.34,-1.35,"10,904","2,728",2.26,0.75
2017-08-23,宝莱特,1300246,25.59,25.90,25.20,25.24,-0.22,-0.86,"13,864","3,534",2.75,0.95
2017-08-22,宝莱特,1300246,25.35,25.59,25.15,25.46,0.08,0.32,"13,201","3,342",1.73,0.90
2017-08-21,宝莱特,1300246,25.33,25.58,25.08,25.38,0.20,0.79,"12,578","3,191",1.99,0.86
2017-08-18,宝莱特,1300246,25.38,25.52,25.11,25.18,-0.22,-0.87,"10,219","2,581",1.61,0.70
2017-08-17,宝莱特,1300246,25.48,25.58,25.15,25.40,-0.21,-0.82,"20,164","5,110",1.68,1.38
2017-08-16,宝莱特,1300246,24.44,25.67,24.32,25.61,1.20,4.92,"36,629","9,223",5.53,2.51
2017-08-15,宝莱特,1300246,24.44,24.57,24.24,24.41,-0.03,-0.12,"8,703","2,121",1.35,0.60
2017-08-14,宝莱特,1300246,23.80,24.56,23.76,24.44,0.64,2.69,"14,239","3,470",3.36,0.97
2017-08-11,宝莱特,1300246,23.95,24.29,23.70,23.80,-0.21,-0.87,"10,579","2,535",2.46,0.72
2017-08-10,宝莱特,1300246,24.32,24.54,23.95,24.01,-0.37,-1.52,"12,612","3,050",2.42,0.86
2017-08-09,宝莱特,1300246,24.47,24.84,24.27,24.38,-0.06,-0.25,"13,866","3,407",2.33,0.95
2017-08-08,宝莱特,1300246,24.12,24.47,24.11,24.44,0.23,0.95,"11,950","2,903",1.49,0.82
2017-08-07,宝莱特,1300246,23.92,24.25,23.92,24.21,0.29,1.21,"7,904","1,910",1.38,0.54
2017-08-04,宝莱特,1300246,24.01,24.18,23.90,23.92,-0.19,-0.79,"9,334","2,243",1.16,0.64
2017-08-03,宝莱特,1300246,23.85,24.55,23.77,24.11,0.20,0.84,"14,424","3,489",3.26,0.99
2017-08-02,宝莱特,1300246,24.46,24.46,23.86,23.91,-0.55,-2.25,"13,904","3,351",2.45,0.95
2017-08-01,宝莱特,1300246,24.09,24.47,24.05,24.46,0.22,0.91,"11,830","2,874",1.73,0.81
2017-07-31,宝莱特,1300246,24.25,24.45,24.01,24.24,0.04,0.17,"10,321","2,498",1.82,0.71
2017-07-28,宝莱特,1300246,24.69,24.69,24.16,24.20,-0.55,-2.22,"17,332","4,226",2.14,1.19
2017-07-27,宝莱特,1300246,23.53,24.78,23.32,24.75,1.25,5.32,"28,458","6,899",6.21,1.95
2017-07-26,宝莱特,1300246,23.81,23.95,23.45,23.50,-0.38,-1.59,"10,584","2,500",2.09,0.72
2017-07-25,宝莱特,1300246,23.46,24.20,23.35,23.88,0.46,1.96,"15,137","3,603",3.63,1.04
