日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,标准股份,0600302,9.63,9.90,9.63,9.76,0.14,1.46,"40,448","3,949",2.81,1.17
2017-03-30,标准股份,0600302,10.00,10.13,9.58,9.62,-0.44,-4.37,"75,229","7,370",5.47,2.17
2017-03-29,标准股份,0600302,10.56,10.56,10.00,10.06,-0.51,-4.83,"53,517","5,532",5.30,1.55
2017-03-28,标准股份,0600302,10.53,10.60,10.41,10.57,0.00,0.00,"32,052","3,366",1.80,0.93
2017-03-27,标准股份,0600302,10.69,10.73,10.49,10.57,-0.13,-1.22,"41,839","4,426",2.24,1.21
2017-03-24,标准股份,0600302,10.80,10.84,10.63,10.70,-0.16,-1.47,"38,188","4,093",1.93,1.10
2017-03-23,标准股份,0600302,10.94,10.94,10.59,10.86,-0.07,-0.64,"39,451","4,257",3.20,1.14
2017-03-22,标准股份,0600302,10.77,10.99,10.70,10.93,0.10,0.92,"50,183","5,451",2.68,1.45
2017-03-21,标准股份,0600302,10.65,10.87,10.63,10.83,0.15,1.40,"39,068","4,191",2.25,1.13
2017-03-20,标准股份,0600302,10.57,10.75,10.56,10.68,0.10,0.95,"35,348","3,777",1.80,1.02
2017-03-17,标准股份,0600302,10.55,10.70,10.55,10.58,0.00,0.00,"28,238","3,003",1.42,0.82
2017-03-16,标准股份,0600302,10.51,10.70,10.50,10.58,0.08,0.76,"45,191","4,782",1.90,1.31
2017-03-15,标准股份,0600302,10.63,10.67,10.44,10.50,-0.14,-1.32,"35,425","3,733",2.16,1.02
2017-03-14,标准股份,0600302,10.87,10.87,10.58,10.64,-0.15,-1.39,"36,105","3,871",2.69,1.04
2017-03-13,标准股份,0600302,10.83,10.91,10.68,10.79,-0.11,-1.01,"38,801","4,170",2.11,1.12
2017-03-10,标准股份,0600302,10.68,10.98,10.67,10.90,0.17,1.58,"34,165","3,697",2.89,0.99
2017-03-09,标准股份,0600302,10.85,10.92,10.66,10.73,-0.18,-1.65,"30,697","3,296",2.38,0.89
2017-03-08,标准股份,0600302,10.86,11.06,10.85,10.91,0.02,0.18,"43,051","4,711",1.93,1.24
2017-03-07,标准股份,0600302,10.88,10.97,10.84,10.89,-0.02,-0.18,"28,072","3,062",1.19,0.81
2017-03-06,标准股份,0600302,10.64,10.93,10.58,10.91,0.27,2.54,"44,650","4,821",3.29,1.29
2017-03-03,标准股份,0600302,10.60,10.70,10.50,10.64,-0.03,-0.28,"32,810","3,477",1.87,0.95
2017-03-02,标准股份,0600302,10.77,11.03,10.65,10.67,-0.11,-1.02,"48,597","5,268",3.53,1.40
2017-03-01,标准股份,0600302,10.75,10.85,10.63,10.78,0.01,0.09,"39,237","4,221",2.04,1.13
2017-02-28,标准股份,0600302,10.73,10.82,10.62,10.77,-0.03,-0.28,"30,864","3,302",1.85,0.89
2017-02-27,标准股份,0600302,10.98,11.05,10.75,10.80,-0.16,-1.46,"52,156","5,659",2.74,1.51
2017-02-24,标准股份,0600302,10.71,11.16,10.68,10.96,0.23,2.14,"81,253","8,865",4.47,2.35
2017-02-23,标准股份,0600302,10.81,10.88,10.57,10.73,-0.09,-0.83,"47,155","5,044",2.87,1.36
2017-02-22,标准股份,0600302,10.57,10.87,10.52,10.82,0.26,2.46,"97,801","10,519",3.31,2.83
2017-02-21,标准股份,0600302,10.53,10.61,10.48,10.56,0.02,0.19,"41,692","4,391",1.23,1.20
2017-02-20,标准股份,0600302,10.28,10.58,10.28,10.54,0.20,1.93,"47,379","4,954",2.90,1.37
2017-02-17,标准股份,0600302,10.42,10.53,10.23,10.34,-0.12,-1.15,"54,762","5,693",2.87,1.58
2017-02-16,标准股份,0600302,10.21,10.57,10.19,10.46,0.18,1.75,"48,800","5,089",3.70,1.41
2017-02-15,标准股份,0600302,10.45,10.49,10.21,10.28,-0.22,-2.10,"51,667","5,346",2.67,1.49
2017-02-14,标准股份,0600302,10.57,10.63,10.44,10.50,-0.09,-0.85,"38,656","4,062",1.79,1.12
2017-02-13,标准股份,0600302,10.63,10.71,10.50,10.59,-0.03,-0.28,"40,291","4,264",1.98,1.16
2017-02-10,标准股份,0600302,10.37,10.65,10.30,10.62,0.23,2.21,"92,904","9,791",3.37,2.69
2017-02-09,标准股份,0600302,10.28,10.47,10.28,10.39,0.05,0.48,"29,052","3,023",1.84,0.84
2017-02-08,标准股份,0600302,10.26,10.36,10.15,10.34,0.02,0.19,"28,101","2,883",2.03,0.81
2017-02-07,标准股份,0600302,10.24,10.35,10.15,10.32,0.05,0.49,"32,956","3,380",1.95,0.95
2017-02-06,标准股份,0600302,10.02,10.28,10.02,10.27,0.14,1.38,"31,040","3,147",2.57,0.90
2017-02-03,标准股份,0600302,10.25,10.31,10.10,10.13,-0.10,-0.98,"18,481","1,877",2.05,0.53
2017-01-26,标准股份,0600302,10.08,10.30,10.02,10.23,0.15,1.49,"33,619","3,437",2.78,0.97
2017-01-25,标准股份,0600302,10.00,10.17,9.97,10.08,0.06,0.60,"44,710","4,517",2.00,1.29
2017-01-24,标准股份,0600302,9.87,10.08,9.79,10.02,0.13,1.31,"39,255","3,908",2.93,1.13
2017-01-23,标准股份,0600302,9.77,9.96,9.77,9.89,0.11,1.12,"35,715","3,527",1.94,1.03
2017-01-20,标准股份,0600302,9.59,9.93,9.56,9.78,0.12,1.24,"35,602","3,492",3.83,1.03
2017-01-19,标准股份,0600302,9.70,9.77,9.47,9.66,-0.09,-0.92,"31,776","3,063",3.08,0.92
2017-01-18,标准股份,0600302,9.69,9.77,9.61,9.75,0.01,0.10,"36,259","3,512",1.64,1.05
2017-01-17,标准股份,0600302,9.55,9.78,9.38,9.74,0.15,1.56,"51,010","4,911",4.17,1.47
2017-01-16,标准股份,0600302,10.19,10.20,9.26,9.59,-0.70,-6.80,"102,388","9,910",9.14,2.96
2017-01-13,标准股份,0600302,10.60,10.70,10.15,10.29,-0.35,-3.29,"64,234","6,683",5.17,1.86
2017-01-12,标准股份,0600302,10.80,10.99,10.60,10.64,-0.17,-1.57,"57,168","6,157",3.61,1.65
2017-01-11,标准股份,0600302,11.02,11.18,10.68,10.81,-0.31,-2.79,"86,765","9,448",4.50,2.51
2017-01-10,标准股份,0600302,11.13,11.26,10.93,11.12,-0.14,-1.24,"102,027","11,274",2.93,2.95
2017-01-09,标准股份,0600302,10.83,11.38,10.83,11.26,0.39,3.59,"168,019","18,774",5.06,4.86
2017-01-06,标准股份,0600302,11.60,11.65,10.83,10.87,-0.97,-8.19,"278,862","31,457",6.93,8.06
2017-01-05,标准股份,0600302,11.07,12.18,11.01,11.84,0.77,6.96,"379,951","45,603",10.57,10.98
2017-01-04,标准股份,0600302,10.87,11.09,10.83,11.07,0.14,1.28,"59,769","6,554",2.38,1.73
2017-01-03,标准股份,0600302,10.76,10.97,10.69,10.93,0.11,1.02,"50,581","5,483",2.59,1.46
2017-06-30,标准股份,0600302,8.18,8.36,8.13,8.30,0.04,0.48,"40,227","3,319",2.78,1.16
2017-06-29,标准股份,0600302,8.05,8.31,8.05,8.26,0.28,3.51,"63,836","5,237",3.26,1.84
2017-06-28,标准股份,0600302,8.02,8.04,7.86,7.98,-0.08,-0.99,"20,197","1,608",2.23,0.58
2017-06-27,标准股份,0600302,8.07,8.18,8.02,8.06,-0.01,-0.12,"26,268","2,126",1.98,0.76
2017-06-26,标准股份,0600302,7.92,8.09,7.76,8.07,0.18,2.28,"32,492","2,588",4.18,0.94
2017-06-23,标准股份,0600302,7.80,7.95,7.70,7.89,0.08,1.02,"29,315","2,295",3.20,0.85
2017-06-22,标准股份,0600302,8.10,8.12,7.80,7.81,-0.29,-3.58,"33,988","2,715",3.95,0.98
2017-06-21,标准股份,0600302,8.06,8.17,7.99,8.10,0.03,0.37,"28,740","2,320",2.23,0.83
2017-06-20,标准股份,0600302,8.04,8.18,7.99,8.07,0.03,0.37,"23,982","1,939",2.36,0.69
2017-06-19,标准股份,0600302,7.95,8.05,7.93,8.04,0.09,1.13,"23,925","1,916",1.51,0.69
2017-06-16,标准股份,0600302,7.90,8.01,7.83,7.95,0.02,0.25,"28,199","2,234",2.27,0.82
2017-06-15,标准股份,0600302,7.76,8.02,7.76,7.93,0.12,1.54,"38,627","3,061",3.33,1.12
2017-06-14,标准股份,0600302,7.79,7.88,7.74,7.81,0.05,0.64,"23,113","1,803",1.80,0.67
2017-06-13,标准股份,0600302,7.55,7.80,7.50,7.76,0.21,2.78,"27,456","2,121",3.97,0.79
2017-06-12,标准股份,0600302,7.79,7.79,7.51,7.55,-0.25,-3.21,"25,342","1,935",3.59,0.73
2017-06-09,标准股份,0600302,7.84,7.85,7.69,7.80,-0.02,-0.26,"25,769","2,001",2.05,0.74
2017-06-08,标准股份,0600302,7.85,7.96,7.81,7.82,-0.06,-0.76,"23,876","1,879",1.90,0.69
2017-06-07,标准股份,0600302,7.73,7.91,7.68,7.88,0.15,1.94,"33,751","2,648",2.98,0.98
