日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,森远股份,1300210,17.10,17.29,16.81,16.99,0.14,0.83,"23,711","4,038",2.85,0.98
2017-03-30,森远股份,1300210,17.91,18.01,16.59,16.85,-1.23,-6.80,"43,104","7,417",7.85,1.78
2017-03-29,森远股份,1300210,18.17,18.25,17.81,18.08,-0.10,-0.55,"23,383","4,214",2.42,0.96
2017-03-28,森远股份,1300210,17.91,18.19,17.76,18.18,0.26,1.45,"25,291","4,557",2.40,1.04
2017-03-27,森远股份,1300210,18.04,18.23,17.58,17.92,-0.11,-0.61,"32,360","5,759",3.61,1.33
2017-03-24,森远股份,1300210,18.15,18.36,17.72,18.03,-0.12,-0.66,"28,531","5,119",3.53,1.18
2017-03-23,森远股份,1300210,18.35,18.46,18.05,18.15,-0.15,-0.82,"23,130","4,225",2.24,0.95
2017-03-22,森远股份,1300210,18.45,18.45,18.19,18.30,-0.21,-1.13,"30,620","5,601",1.40,1.26
2017-03-21,森远股份,1300210,18.70,18.84,18.45,18.51,-0.18,-0.96,"17,480","3,255",2.09,0.72
2017-03-20,森远股份,1300210,18.81,18.93,18.54,18.69,-0.19,-1.01,"21,321","3,990",2.07,0.88
2017-03-17,森远股份,1300210,18.88,19.12,18.81,18.88,0.01,0.05,"24,442","4,631",1.64,1.01
2017-03-16,森远股份,1300210,18.92,18.98,18.80,18.87,0.05,0.27,"15,431","2,913",0.96,0.64
2017-03-15,森远股份,1300210,18.82,18.99,18.73,18.82,-0.11,-0.58,"16,140","3,036",1.37,0.67
2017-03-14,森远股份,1300210,18.87,19.25,18.70,18.93,0.09,0.48,"20,371","3,869",2.92,0.84
2017-03-13,森远股份,1300210,18.90,19.00,18.62,18.84,0.04,0.21,"20,435","3,850",2.02,0.84
2017-03-10,森远股份,1300210,18.93,18.97,18.75,18.80,-0.03,-0.16,"12,189","2,297",1.17,0.50
2017-03-09,森远股份,1300210,19.16,19.29,18.80,18.83,-0.32,-1.67,"16,232","3,079",2.56,0.67
2017-03-08,森远股份,1300210,19.35,19.45,19.08,19.15,-0.13,-0.67,"15,590","2,986",1.92,0.64
2017-03-07,森远股份,1300210,19.35,19.55,19.20,19.28,-0.04,-0.21,"21,915","4,243",1.81,0.90
2017-03-06,森远股份,1300210,19.69,19.69,19.08,19.32,-0.03,-0.16,"26,323","5,074",3.15,1.09
2017-03-03,森远股份,1300210,18.75,20.65,18.29,19.35,0.55,2.93,"42,668","8,162",12.55,1.76
2017-03-02,森远股份,1300210,18.95,19.23,18.76,18.80,-0.15,-0.79,"17,992","3,408",2.48,0.74
2017-03-01,森远股份,1300210,19.40,19.40,18.80,18.95,-0.44,-2.27,"30,246","5,787",3.09,1.25
2017-02-28,森远股份,1300210,18.78,19.40,18.75,19.39,0.48,2.54,"18,768","3,600",3.44,0.77
2017-02-27,森远股份,1300210,19.18,19.25,18.88,18.91,-0.28,-1.46,"14,818","2,814",1.93,0.61
2017-02-24,森远股份,1300210,19.15,19.19,19.00,19.19,0.09,0.47,"13,005","2,483",0.99,0.54
2017-02-23,森远股份,1300210,19.07,19.18,18.88,19.10,0.05,0.26,"16,922","3,220",1.57,0.70
2017-02-22,森远股份,1300210,19.67,19.67,18.98,19.05,-0.62,-3.15,"34,649","6,645",3.51,1.43
2017-02-21,森远股份,1300210,19.90,19.90,19.60,19.67,-0.23,-1.16,"11,602","2,289",1.51,0.48
2017-02-20,森远股份,1300210,19.70,19.96,19.42,19.90,0.30,1.53,"8,218","1,619",2.76,0.34
2017-02-17,森远股份,1300210,19.95,19.95,19.60,19.60,-0.29,-1.46,"8,956","1,765",1.76,0.37
2017-02-16,森远股份,1300210,19.60,19.97,19.60,19.89,0.09,0.45,"8,984","1,785",1.87,0.37
2017-02-15,森远股份,1300210,20.00,20.19,19.61,19.80,-0.50,-2.46,"17,623","3,523",2.86,0.73
2017-02-14,森远股份,1300210,19.81,21.22,19.55,20.30,0.33,1.65,"29,965","6,104",8.36,1.24
2017-02-13,森远股份,1300210,19.86,20.32,19.71,19.97,0.21,1.06,"18,381","3,671",3.09,0.76
2017-02-10,森远股份,1300210,19.85,20.28,19.61,19.76,-0.01,-0.05,"16,654","3,335",3.39,0.69
2017-02-09,森远股份,1300210,19.40,20.46,19.40,19.77,0.37,1.91,"15,591","3,112",5.46,0.64
2017-02-08,森远股份,1300210,19.26,19.44,18.70,19.40,0.14,0.73,"12,865","2,466",3.84,0.53
2017-02-07,森远股份,1300210,19.55,19.80,19.21,19.26,-0.24,-1.23,"14,834","2,882",3.03,0.61
2017-02-06,森远股份,1300210,19.45,19.88,19.10,19.50,0.25,1.30,"9,866","1,918",4.05,0.41
2017-02-03,森远股份,1300210,19.72,19.75,19.10,19.25,-0.44,-2.23,"7,459","1,436",3.30,0.31
2017-01-26,森远股份,1300210,19.64,19.77,19.48,19.69,0.07,0.36,"5,815","1,141",1.48,0.24
2017-01-25,森远股份,1300210,19.29,19.80,19.10,19.62,0.55,2.88,"12,511","2,445",3.67,0.52
2017-01-24,森远股份,1300210,20.04,20.30,19.01,19.07,-0.87,-4.36,"13,677","2,662",6.47,0.56
2017-01-23,森远股份,1300210,18.54,20.08,18.54,19.94,1.40,7.55,"25,316","4,979",8.31,1.04
2017-01-20,森远股份,1300210,18.20,18.72,17.92,18.54,0.34,1.87,"10,005","1,854",4.40,0.41
