日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,永创智能,0603901,11.83,11.88,11.75,11.85,-0.04,-0.34,"14,256","1,683",1.09,0.93
2017-06-29,永创智能,0603901,11.86,12.07,11.86,11.89,-0.01,-0.08,"13,623","1,628",1.76,0.88
2017-06-28,永创智能,0603901,12.02,12.04,11.85,11.90,-0.20,-1.65,"17,430","2,075",1.57,1.13
2017-06-27,永创智能,0603901,12.03,12.11,11.97,12.10,0.04,0.33,"15,780","1,901",1.16,1.02
2017-06-26,永创智能,0603901,12.03,12.07,11.75,12.06,0.06,0.50,"21,671","2,593",2.67,1.41
2017-06-23,永创智能,0603901,12.08,12.13,11.75,12.00,-0.30,-2.44,"39,784","4,743",3.09,2.58
2017-06-22,永创智能,0603901,12.12,12.67,12.12,12.30,0.20,1.65,"62,522","7,772",4.55,4.06
2017-06-21,永创智能,0603901,12.20,12.25,11.98,12.10,-0.07,-0.58,"17,183","2,073",2.22,1.12
2017-06-20,永创智能,0603901,12.24,12.33,12.10,12.17,-0.07,-0.57,"14,938","1,826",1.88,0.97
2017-06-19,永创智能,0603901,12.26,12.26,12.07,12.24,0.11,0.91,"10,435","1,274",1.57,0.68
2017-06-16,永创智能,0603901,12.22,12.23,12.03,12.13,-0.12,-0.98,"15,511","1,879",1.63,1.01
2017-06-15,永创智能,0603901,11.95,12.26,11.91,12.25,0.33,2.77,"25,177","3,062",2.94,1.63
2017-06-14,永创智能,0603901,11.93,12.04,11.84,11.92,-0.02,-0.17,"10,535","1,257",1.68,0.68
2017-06-13,永创智能,0603901,11.71,12.03,11.70,11.94,0.22,1.88,"14,685","1,744",2.82,0.95
2017-06-12,永创智能,0603901,12.26,12.26,11.69,11.72,-0.56,-4.56,"18,991","2,280",4.64,1.23
2017-06-09,永创智能,0603901,12.20,12.30,12.13,12.28,0.08,0.66,"11,778","1,438",1.39,0.76
2017-06-08,永创智能,0603901,12.28,12.41,12.20,12.20,-0.13,-1.05,"14,963","1,838",1.70,0.97
2017-06-07,永创智能,0603901,11.99,12.37,11.99,12.33,0.31,2.58,"30,411","3,724",3.16,1.97
2017-06-06,永创智能,0603901,12.12,12.13,11.98,12.02,-0.08,-0.66,"11,856","1,429",1.24,0.77
2017-06-05,永创智能,0603901,12.06,12.17,11.99,12.10,0.04,0.33,"17,958","2,170",1.49,1.17
2017-06-02,永创智能,0603901,11.90,12.09,11.50,12.06,0.16,1.34,"26,682","3,139",4.96,1.73
2017-06-01,永创智能,0603901,11.90,12.26,11.83,11.90,-0.09,-0.75,"28,079","3,376",3.59,1.82
