日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,浙江鼎力,0603338,58.84,59.05,58.30,58.48,0.41,0.71,"5,175","3,035",1.29,1.12
2017-09-28,浙江鼎力,0603338,58.89,59.02,58.03,58.07,-0.91,-1.54,"5,584","3,271",1.68,1.21
2017-09-27,浙江鼎力,0603338,57.80,59.06,57.68,58.98,1.18,2.04,"6,560","3,824",2.39,1.42
2017-09-26,浙江鼎力,0603338,58.90,58.90,57.00,57.80,-1.07,-1.82,"10,259","5,949",3.23,2.22
2017-09-25,浙江鼎力,0603338,59.51,60.18,58.70,58.87,-1.06,-1.77,"6,958","4,110",2.47,1.51
2017-09-22,浙江鼎力,0603338,60.27,60.49,59.25,59.93,-0.34,-0.56,"5,518","3,291",2.06,1.19
2017-09-21,浙江鼎力,0603338,61.15,61.15,60.17,60.27,-0.54,-0.89,"4,878","2,947",1.61,1.06
2017-09-20,浙江鼎力,0603338,61.55,61.73,60.50,60.81,-0.82,-1.33,"4,552","2,773",2.00,0.98
2017-09-19,浙江鼎力,0603338,61.62,61.86,61.06,61.63,0.02,0.03,"4,395","2,707",1.30,0.95
2017-09-18,浙江鼎力,0603338,60.60,61.85,59.25,61.61,1.16,1.92,"6,837","4,185",4.30,1.48
2017-09-15,浙江鼎力,0603338,60.36,60.67,60.06,60.45,-0.01,-0.02,"4,011","2,416",1.01,0.87
2017-09-14,浙江鼎力,0603338,60.46,60.78,60.00,60.46,-0.14,-0.23,"4,177","2,521",1.29,0.90
2017-09-13,浙江鼎力,0603338,61.43,61.43,60.11,60.60,-0.58,-0.95,"7,701","4,672",2.16,1.67
2017-09-12,浙江鼎力,0603338,61.40,62.38,61.10,61.18,-0.29,-0.47,"7,061","4,361",2.08,1.53
2017-09-11,浙江鼎力,0603338,60.11,61.64,60.11,61.47,0.99,1.64,"6,736","4,111",2.53,1.46
2017-09-08,浙江鼎力,0603338,60.92,60.96,60.02,60.48,-0.44,-0.72,"7,400","4,475",1.54,1.60
2017-09-07,浙江鼎力,0603338,61.32,61.46,60.36,60.92,-0.40,-0.65,"6,445","3,923",1.79,1.39
