日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-09-30,瀚川智能,0688022,58.98,58.98,55.00,55.90,-3.67,-6.16,"24,457","13,840",6.68,10.01
2019-09-27,瀚川智能,0688022,56.16,60.30,55.58,59.57,3.36,5.98,"32,003","18,605",8.40,13.10
2019-09-26,瀚川智能,0688022,62.22,63.19,56.21,56.21,-7.05,-11.14,"37,965","22,337",11.03,15.54
2019-09-25,瀚川智能,0688022,62.30,65.33,62.02,63.26,0.76,1.22,"43,653","27,842",5.30,17.87
2019-09-24,瀚川智能,0688022,60.81,62.84,60.60,62.50,1.70,2.80,"32,077","19,916",3.68,13.13
2019-09-23,瀚川智能,0688022,60.51,62.30,60.35,60.80,-0.68,-1.11,"17,895","10,952",3.17,7.33
2019-09-20,瀚川智能,0688022,61.20,62.58,60.05,61.48,-0.66,-1.06,"31,866","19,477",4.07,13.05
2019-09-19,瀚川智能,0688022,60.29,65.30,59.70,62.14,1.84,3.05,"52,480","33,117",9.29,21.49
2019-09-18,瀚川智能,0688022,59.31,60.36,57.14,60.30,1.24,2.10,"25,586","14,976",5.45,10.48
2019-09-17,瀚川智能,0688022,59.70,60.80,58.41,59.06,-1.32,-2.19,"19,651","11,714",3.96,8.05
2019-09-16,瀚川智能,0688022,60.48,60.99,60.01,60.38,0.16,0.27,"14,809","8,951",1.63,6.06
2019-09-12,瀚川智能,0688022,63.31,63.41,59.86,60.22,-2.96,-4.69,"26,728","16,296",5.62,10.94
2019-09-11,瀚川智能,0688022,63.50,64.33,62.55,63.18,-0.26,-0.41,"17,084","10,847",2.81,6.99
2019-09-10,瀚川智能,0688022,63.30,65.25,62.96,63.44,0.24,0.38,"23,415","14,976",3.62,9.59
2019-09-09,瀚川智能,0688022,63.40,64.17,62.11,63.20,-0.17,-0.27,"22,547","14,244",3.25,9.23
2019-09-06,瀚川智能,0688022,67.22,67.80,63.35,63.37,-3.85,-5.73,"37,449","24,479",6.62,15.33
2019-09-05,瀚川智能,0688022,66.81,67.38,65.50,67.22,0.75,1.13,"37,006","24,724",2.83,15.15
2019-09-04,瀚川智能,0688022,67.73,69.31,65.80,66.47,-2.42,-3.51,"46,812","31,575",5.10,19.17
2019-09-03,瀚川智能,0688022,63.50,69.80,63.11,68.89,4.93,7.71,"71,887","48,495",10.46,29.43
2019-09-02,瀚川智能,0688022,64.80,64.80,62.45,63.96,-0.04,-0.06,"30,435","19,408",3.67,12.46
2019-08-30,瀚川智能,0688022,65.00,65.88,63.20,64.00,-1.92,-2.91,"57,404","37,063",4.07,23.50
2019-08-29,瀚川智能,0688022,60.26,67.55,58.00,65.92,5.05,8.30,"87,791","55,402",15.69,35.94
2019-08-28,瀚川智能,0688022,63.80,65.30,60.66,60.87,-3.73,-5.77,"42,957","26,909",7.18,17.59
2019-08-27,瀚川智能,0688022,63.12,65.01,61.66,64.60,1.35,2.13,"34,662","22,012",5.30,14.19
2019-08-26,瀚川智能,0688022,62.70,63.77,61.32,63.25,0.95,1.52,"32,909","20,697",3.93,13.47
2019-08-23,瀚川智能,0688022,66.57,67.00,60.33,62.30,-3.90,-5.89,"58,125","37,083",10.08,23.80
2019-08-22,瀚川智能,0688022,68.31,68.75,65.34,66.20,-2.40,-3.50,"46,141","30,797",4.97,18.89
2019-08-21,瀚川智能,0688022,75.25,76.36,67.30,68.60,-6.65,-8.84,"62,807","44,576",12.04,25.71
2019-08-20,瀚川智能,0688022,76.05,78.18,75.21,75.25,-2.26,-2.92,"48,888","37,422",3.83,20.02
2019-08-19,瀚川智能,0688022,80.36,81.00,75.40,77.51,-4.25,-5.20,"79,882","62,515",6.85,32.71
2019-08-16,瀚川智能,0688022,83.00,86.69,81.20,81.76,1.35,1.68,"104,513","87,972",6.83,42.79
2019-08-15,瀚川智能,0688022,74.60,80.74,74.00,80.41,2.41,3.09,"72,390","56,410",8.64,29.64
2019-08-14,瀚川智能,0688022,77.09,81.75,76.00,78.00,1.99,2.62,"85,987","68,145",7.56,35.20
2019-08-13,瀚川智能,0688022,72.90,76.01,70.02,76.01,3.49,4.81,"74,663","54,649",8.26,30.57
2019-08-12,瀚川智能,0688022,76.00,76.99,69.08,72.52,-3.50,-4.60,"74,224","53,731",10.41,30.39
2019-08-09,瀚川智能,0688022,77.70,79.38,73.05,76.02,-0.73,-0.95,"77,825","59,329",8.25,31.86
2019-08-08,瀚川智能,0688022,80.01,82.50,75.00,76.75,-5.75,-6.97,"78,996","61,819",9.09,32.34
2019-08-07,瀚川智能,0688022,81.99,85.56,78.91,82.50,3.00,3.77,"96,379","79,069",8.36,39.46
2019-08-06,瀚川智能,0688022,88.95,95.66,73.80,79.50,-10.97,-12.13,"115,790","104,556",24.16,47.41
2019-08-05,瀚川智能,0688022,89.00,92.68,81.88,90.47,1.42,1.59,"107,306","95,320",12.13,43.93
2019-08-02,瀚川智能,0688022,83.00,101.01,82.50,89.05,3.99,4.69,"146,824","134,243",21.76,60.11
2019-08-01,瀚川智能,0688022,68.18,85.06,67.50,85.06,14.18,20.01,"136,467","102,213",24.77,55.87
2019-07-31,瀚川智能,0688022,65.00,71.20,62.51,70.88,3.91,5.84,"141,009","93,634",12.98,57.73
2019-07-30,瀚川智能,0688022,57.00,68.88,56.20,66.97,8.11,13.78,"146,161","92,024",21.54,59.84
2019-07-29,瀚川智能,0688022,60.00,62.04,56.00,58.86,7.16,13.85,"120,000","71,494",11.68,49.13
2019-07-26,瀚川智能,0688022,53.52,55.45,50.44,51.70,-3.47,-6.29,"75,385","39,839",9.08,30.86
2019-07-25,瀚川智能,0688022,52.00,60.65,52.00,55.17,4.45,8.77,"117,942","66,220",17.05,48.29
2019-07-24,瀚川智能,0688022,45.18,50.85,45.18,50.72,6.27,14.11,"97,186","47,230",12.76,39.79
2019-07-23,瀚川智能,0688022,40.98,47.55,40.98,44.45,-5.74,-11.44,"69,967","31,298",13.09,28.65
2019-07-22,瀚川智能,0688022,67.60,68.99,33.53,50.19,24.40,94.61,"176,811","85,359",137.50,72.39
2019-12-31,瀚川智能,0688022,43.91,44.45,43.70,43.96,0.38,0.87,"7,213","3,177",1.72,2.95
2019-12-30,瀚川智能,0688022,44.00,44.00,42.67,43.58,-0.36,-0.82,"10,624","4,594",3.03,4.35
2019-12-27,瀚川智能,0688022,44.49,45.45,43.66,43.94,-0.29,-0.66,"15,719","7,030",4.05,6.44
2019-12-26,瀚川智能,0688022,43.60,44.89,43.51,44.23,0.01,0.02,"13,202","5,839",3.12,5.41
2019-12-25,瀚川智能,0688022,42.51,45.00,42.31,44.22,1.57,3.68,"19,515","8,602",6.31,7.99
2019-12-24,瀚川智能,0688022,41.81,42.82,41.81,42.65,0.85,2.03,"9,001","3,827",2.42,3.69
2019-12-23,瀚川智能,0688022,43.70,43.75,41.80,41.80,-1.99,-4.54,"13,330","5,672",4.45,5.46
2019-12-20,瀚川智能,0688022,44.61,45.12,43.79,43.79,-0.73,-1.64,"14,616","6,504",2.99,5.98
2019-12-19,瀚川智能,0688022,45.49,45.90,44.25,44.52,-0.98,-2.15,"17,820","7,983",3.63,7.30
2019-12-18,瀚川智能,0688022,44.01,45.85,44.01,45.50,1.07,2.41,"28,851","13,080",4.14,11.81
2019-12-17,瀚川智能,0688022,44.35,44.90,43.55,44.43,0.46,1.05,"18,339","8,118",3.07,7.51
2019-12-16,瀚川智能,0688022,42.67,43.97,42.67,43.97,1.25,2.93,"13,763","5,989",3.04,5.63
2019-12-13,瀚川智能,0688022,43.80,43.95,41.72,42.72,-0.48,-1.11,"17,239","7,342",5.16,7.06
2019-12-12,瀚川智能,0688022,43.07,44.60,42.90,43.20,0.00,0.00,"17,378","7,598",3.94,7.11
2019-12-11,瀚川智能,0688022,43.85,45.57,42.40,43.20,-1.15,-2.59,"27,755","12,133",7.15,11.36
2019-12-10,瀚川智能,0688022,41.48,46.55,41.01,44.35,2.90,7.00,"44,815","19,758",13.37,18.35
