日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-06-30,燕麦科技,0688312,54.55,55.66,54.03,54.70,-0.10,-0.18,"43,392","23,713",2.97,13.98
2020-06-29,燕麦科技,0688312,54.03,55.35,53.28,54.80,0.38,0.70,"43,180","23,461",3.80,13.91
2020-06-24,燕麦科技,0688312,52.35,55.48,52.35,54.42,1.96,3.74,"72,309","39,350",5.97,23.29
2020-06-23,燕麦科技,0688312,52.81,53.39,52.12,52.46,-0.93,-1.74,"37,759","19,810",2.38,12.16
2020-06-22,燕麦科技,0688312,52.31,54.17,52.31,53.39,0.69,1.31,"51,510","27,448",3.53,16.59
2020-06-19,燕麦科技,0688312,52.68,54.12,52.02,52.70,-0.39,-0.73,"50,720","26,881",3.96,16.34
2020-06-18,燕麦科技,0688312,52.10,54.58,51.80,53.09,0.90,1.72,"73,586","39,269",5.33,23.71
2020-06-17,燕麦科技,0688312,53.12,53.16,50.56,52.19,-0.80,-1.51,"66,911","34,587",4.91,21.56
2020-06-16,燕麦科技,0688312,53.04,53.48,51.80,52.99,0.59,1.13,"55,679","29,310",3.21,17.94
2020-06-15,燕麦科技,0688312,53.60,55.50,52.22,52.40,-1.64,-3.03,"67,059","36,006",6.07,21.60
2020-06-12,燕麦科技,0688312,53.32,56.19,52.88,54.04,-2.42,-4.29,"81,606","44,409",5.86,26.29
2020-06-11,燕麦科技,0688312,55.95,57.77,55.58,56.46,0.95,1.71,"90,968","51,509",3.95,29.31
2020-06-10,燕麦科技,0688312,57.77,57.77,55.28,55.51,-3.13,-5.34,"93,172","52,500",4.25,30.02
2020-06-09,燕麦科技,0688312,62.00,62.20,56.43,58.64,-2.54,-4.15,"144,525","83,765",9.43,46.56
2020-06-08,燕麦科技,0688312,68.00,69.00,60.88,61.18,41.50,210.87,"226,369","144,386",41.26,72.93
2020-12-31,燕麦科技,0688312,26.73,27.50,26.72,27.10,0.40,1.50,"3,199",869,2.92,0.98
2020-12-30,燕麦科技,0688312,26.65,27.28,26.43,26.70,0.05,0.19,"2,675",719,3.19,0.82
2020-12-29,燕麦科技,0688312,26.66,27.17,26.55,26.65,-0.23,-0.86,"3,852","1,035",2.31,1.18
2020-12-28,燕麦科技,0688312,26.45,27.32,25.20,26.88,0.56,2.13,"11,380","3,009",8.05,3.48
2020-12-25,燕麦科技,0688312,26.01,26.52,26.00,26.32,-0.03,-0.11,"3,508",923,1.97,1.07
2020-12-24,燕麦科技,0688312,27.40,27.41,25.95,26.35,-1.05,-3.83,"8,801","2,329",5.33,2.69
2020-12-23,燕麦科技,0688312,27.79,27.87,27.03,27.40,-0.45,-1.62,"6,243","1,706",3.02,1.91
2020-12-22,燕麦科技,0688312,28.39,28.55,27.80,27.85,-0.65,-2.28,"4,580","1,287",2.63,1.40
