日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-31,爱科科技,0688092,36.88,38.57,36.71,37.84,0.63,1.69,"10,140","3,858",5.00,7.92
2021-12-30,爱科科技,0688092,36.74,37.80,36.34,37.21,1.00,2.76,"8,331","3,107",4.03,6.51
2021-12-29,爱科科技,0688092,36.79,37.29,36.01,36.21,-0.66,-1.79,"4,226","1,543",3.47,3.30
2021-12-28,爱科科技,0688092,35.98,37.05,35.66,36.87,1.21,3.39,"7,072","2,587",3.90,5.52
2021-12-27,爱科科技,0688092,34.58,36.26,34.58,35.66,0.94,2.71,"6,150","2,193",4.84,4.80
2021-12-24,爱科科技,0688092,35.85,36.15,34.68,34.72,-1.11,-3.10,"6,049","2,128",4.10,4.72
2021-12-23,爱科科技,0688092,36.69,36.99,35.80,35.83,-0.85,-2.32,"4,581","1,655",3.24,3.58
2021-12-22,爱科科技,0688092,36.36,37.15,36.27,36.68,0.27,0.74,"3,292","1,208",2.42,2.57
2021-12-21,爱科科技,0688092,37.70,37.85,36.01,36.41,-0.88,-2.36,"7,181","2,633",4.93,5.61
2021-12-20,爱科科技,0688092,37.38,38.10,37.09,37.29,-0.18,-0.48,"4,058","1,523",2.70,3.17
2021-12-17,爱科科技,0688092,38.21,38.83,37.34,37.47,-0.94,-2.45,"5,468","2,068",3.88,4.27
2021-12-16,爱科科技,0688092,38.76,38.76,37.98,38.41,-0.05,-0.13,"5,162","1,977",2.03,4.03
2021-12-15,爱科科技,0688092,38.26,39.48,38.15,38.46,0.03,0.08,"4,778","1,858",3.46,3.73
2021-12-14,爱科科技,0688092,38.30,38.99,37.77,38.43,-0.02,-0.05,"5,620","2,155",3.17,4.39
2021-12-13,爱科科技,0688092,38.14,39.13,37.60,38.45,-0.04,-0.10,"5,881","2,245",3.98,4.59
2021-12-10,爱科科技,0688092,37.69,38.78,37.60,38.49,0.69,1.83,"5,551","2,118",3.12,4.33
2021-12-09,爱科科技,0688092,38.02,38.70,37.63,37.80,-0.49,-1.28,"4,236","1,614",2.79,3.31
2021-12-08,爱科科技,0688092,38.50,38.75,37.51,38.29,0.67,1.78,"3,957","1,514",3.30,3.09
2021-12-07,爱科科技,0688092,38.26,39.00,37.50,37.62,-0.99,-2.56,"5,383","2,048",3.89,4.20
2021-12-06,爱科科技,0688092,40.44,40.65,38.50,38.61,-1.95,-4.81,"6,973","2,736",5.30,5.45
2021-12-03,爱科科技,0688092,42.16,42.16,40.50,40.56,-1.60,-3.80,"8,525","3,500",3.94,6.66
2021-12-02,爱科科技,0688092,43.04,43.98,42.04,42.16,-0.49,-1.15,"10,712","4,604",4.55,8.37
2021-12-01,爱科科技,0688092,42.56,42.91,41.85,42.65,0.35,0.83,"6,822","2,889",2.51,5.33
2021-11-30,爱科科技,0688092,43.66,43.66,42.00,42.30,-0.15,-0.35,"8,585","3,656",3.91,6.70
2021-11-29,爱科科技,0688092,42.30,43.85,42.08,42.45,-0.91,-2.10,"8,389","3,581",4.08,6.55
2021-11-26,爱科科技,0688092,43.48,43.99,42.69,43.36,0.38,0.88,"7,009","3,039",3.02,5.47
2021-11-25,爱科科技,0688092,43.99,43.99,42.59,42.98,-1.01,-2.30,"5,933","2,562",3.18,4.63
2021-11-24,爱科科技,0688092,42.28,44.80,42.27,43.99,1.75,4.14,"14,391","6,313",5.99,11.24
2021-11-23,爱科科技,0688092,41.82,43.30,41.50,42.24,0.94,2.28,"13,439","5,724",4.36,10.49
2021-11-22,爱科科技,0688092,42.33,43.72,41.20,41.30,-0.40,-0.96,"11,448","4,800",6.04,8.94
2021-11-19,爱科科技,0688092,42.29,43.00,41.10,41.70,-0.50,-1.18,"7,340","3,069",4.50,5.73
2021-11-18,爱科科技,0688092,42.79,43.46,41.56,42.20,-0.20,-0.47,"5,977","2,532",4.48,4.67
2021-11-17,爱科科技,0688092,41.72,42.99,41.38,42.40,1.10,2.66,"6,396","2,724",3.90,4.99
2021-11-16,爱科科技,0688092,42.36,42.38,41.00,41.30,-1.06,-2.50,"4,822","2,001",3.26,3.77
2021-11-15,爱科科技,0688092,41.75,42.70,41.01,42.36,0.62,1.49,"6,594","2,772",4.05,5.15
2021-11-12,爱科科技,0688092,39.52,42.85,39.52,41.74,2.08,5.24,"12,297","5,139",8.40,9.60
2021-11-11,爱科科技,0688092,41.50,41.50,39.48,39.66,-0.90,-2.22,"9,558","3,816",4.98,7.46
2021-11-10,爱科科技,0688092,38.70,41.24,38.51,40.56,1.53,3.92,"7,722","3,090",6.99,6.03
2021-11-09,爱科科技,0688092,39.03,39.63,38.69,39.03,0.00,0.00,"4,582","1,790",2.41,3.58
2021-11-08,爱科科技,0688092,38.04,39.45,36.73,39.03,0.99,2.60,"6,010","2,308",7.15,4.69
2021-11-05,爱科科技,0688092,38.08,38.38,37.40,38.04,0.02,0.05,"4,888","1,852",2.58,3.82
2021-11-04,爱科科技,0688092,37.55,38.15,36.69,38.02,0.09,0.24,"6,440","2,412",3.85,5.03
2021-11-03,爱科科技,0688092,38.40,38.56,37.11,37.93,-0.01,-0.03,"8,209","3,099",3.82,6.41
2021-11-02,爱科科技,0688092,36.97,38.56,36.22,37.94,1.34,3.66,"13,951","5,244",6.39,10.89
2021-11-01,爱科科技,0688092,34.33,37.38,33.42,36.60,3.72,11.31,"12,914","4,634",12.04,10.08
2021-10-29,爱科科技,0688092,32.21,33.12,32.02,32.88,1.14,3.59,"2,985",978,3.47,2.33
2021-10-28,爱科科技,0688092,33.34,33.35,31.74,31.74,-1.55,-4.66,"3,799","1,228",4.84,2.97
2021-10-27,爱科科技,0688092,34.68,34.68,33.20,33.29,-1.17,-3.40,"3,665","1,230",4.29,2.86
2021-10-26,爱科科技,0688092,33.70,34.58,33.54,34.46,0.91,2.71,"4,013","1,371",3.10,3.13
