日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-09-30,瑞松科技,0688090,54.32,54.32,52.58,52.64,0.01,0.02,"1,690",897,3.31,1.06
2020-09-29,瑞松科技,0688090,52.54,53.26,51.88,52.63,0.69,1.33,"1,818",960,2.66,1.14
2020-09-28,瑞松科技,0688090,53.00,53.54,51.51,51.94,-1.10,-2.07,"1,951","1,020",3.83,1.22
2020-09-25,瑞松科技,0688090,53.53,54.64,52.74,53.04,-1.23,-2.27,"2,199","1,176",3.50,1.37
2020-09-24,瑞松科技,0688090,56.00,56.30,53.95,54.27,-1.59,-2.85,"3,500","1,908",4.21,2.19
2020-09-23,瑞松科技,0688090,54.03,56.35,54.03,55.86,1.20,2.20,"3,847","2,147",4.24,2.40
2020-09-22,瑞松科技,0688090,54.00,55.33,54.00,54.66,-0.83,-1.50,"2,240","1,227",2.40,1.40
2020-09-21,瑞松科技,0688090,55.65,56.53,55.22,55.49,-0.34,-0.61,"2,896","1,611",2.35,1.81
2020-09-18,瑞松科技,0688090,55.72,56.80,55.20,55.83,0.48,0.87,"4,814","2,702",2.89,3.01
2020-09-17,瑞松科技,0688090,52.50,56.35,52.04,55.35,2.25,4.24,"6,479","3,562",8.12,4.05
2020-09-16,瑞松科技,0688090,53.51,53.92,52.62,53.10,-0.43,-0.80,"2,365","1,256",2.43,1.48
2020-09-15,瑞松科技,0688090,53.30,53.78,52.34,53.53,0.77,1.46,"3,388","1,807",2.73,2.12
2020-09-14,瑞松科技,0688090,52.07,53.90,52.07,52.76,0.89,1.72,"2,958","1,571",3.53,1.85
2020-09-11,瑞松科技,0688090,51.60,52.49,50.68,51.87,0.87,1.71,"3,195","1,642",3.55,2.00
2020-09-10,瑞松科技,0688090,53.50,53.92,50.53,51.00,-1.88,-3.56,"4,001","2,088",6.41,2.50
2020-09-09,瑞松科技,0688090,54.50,54.50,52.86,52.88,-2.15,-3.91,"4,064","2,178",2.98,2.54
2020-09-08,瑞松科技,0688090,55.00,55.35,54.14,55.03,0.84,1.55,"2,379","1,305",2.23,1.49
2020-09-07,瑞松科技,0688090,57.00,57.56,54.19,54.19,-2.81,-4.93,"5,177","2,895",5.91,3.24
2020-09-04,瑞松科技,0688090,56.30,57.36,56.01,57.00,-0.38,-0.66,"3,068","1,740",2.35,1.92
2020-09-03,瑞松科技,0688090,58.49,58.75,57.15,57.38,-0.77,-1.32,"2,779","1,608",2.75,1.74
2020-09-02,瑞松科技,0688090,59.05,59.42,58.07,58.15,-0.87,-1.47,"2,949","1,724",2.29,1.84
2020-09-01,瑞松科技,0688090,59.03,59.47,58.53,59.02,-0.01,-0.02,"2,810","1,657",1.59,1.76
2020-08-31,瑞松科技,0688090,59.68,59.90,58.71,59.03,-0.03,-0.05,"3,435","2,037",2.01,2.15
2020-08-28,瑞松科技,0688090,58.60,59.55,58.01,59.06,0.76,1.30,"3,421","2,014",2.64,2.14
2020-08-27,瑞松科技,0688090,57.55,59.00,57.20,58.30,0.38,0.66,"4,296","2,501",3.11,2.69
2020-08-26,瑞松科技,0688090,59.53,60.13,57.26,57.92,-1.61,-2.70,"6,284","3,676",4.82,3.93
2020-08-25,瑞松科技,0688090,59.10,60.48,59.06,59.53,0.43,0.73,"4,383","2,625",2.40,2.74
2020-08-24,瑞松科技,0688090,59.51,60.50,58.05,59.10,-0.90,-1.50,"4,975","2,935",4.08,3.11
2020-08-21,瑞松科技,0688090,60.87,61.98,59.50,60.00,-0.87,-1.43,"5,857","3,552",4.07,3.66
2020-08-20,瑞松科技,0688090,63.51,64.00,59.72,60.87,-3.43,-5.33,"11,623","7,114",6.66,7.27
2020-08-19,瑞松科技,0688090,64.29,65.72,63.49,64.30,0.00,0.00,"13,284","8,566",3.47,8.30
2020-08-18,瑞松科技,0688090,60.80,64.40,60.80,64.30,2.90,4.72,"12,994","8,173",5.86,8.12
2020-08-17,瑞松科技,0688090,61.40,61.58,59.91,61.40,-0.17,-0.28,"7,611","4,625",2.71,4.76
2020-08-14,瑞松科技,0688090,59.60,61.87,59.60,61.57,1.91,3.20,"8,129","4,976",3.80,5.30
2020-08-13,瑞松科技,0688090,57.58,59.98,57.58,59.66,1.90,3.29,"5,160","3,047",4.16,3.37
2020-08-12,瑞松科技,0688090,58.57,58.57,56.64,57.76,-1.24,-2.10,"5,131","2,935",3.27,3.35
2020-08-11,瑞松科技,0688090,58.68,59.99,57.68,59.00,-0.70,-1.17,"3,809","2,249",3.87,2.49
2020-08-10,瑞松科技,0688090,59.02,59.80,58.50,59.70,0.22,0.37,"3,078","1,825",2.19,2.01
2020-08-07,瑞松科技,0688090,61.02,61.02,58.05,59.48,-1.82,-2.97,"6,224","3,695",4.85,4.06
2020-08-06,瑞松科技,0688090,62.00,62.10,60.50,61.30,-0.88,-1.42,"4,937","3,024",2.57,3.22
2020-08-05,瑞松科技,0688090,61.72,62.39,61.05,62.18,0.46,0.75,"4,663","2,880",2.17,3.04
2020-08-04,瑞松科技,0688090,63.64,63.64,61.03,61.72,-1.00,-1.59,"6,724","4,158",4.16,4.39
2020-08-03,瑞松科技,0688090,60.59,62.72,60.59,62.72,2.32,3.84,"7,675","4,761",3.53,5.01
2020-07-31,瑞松科技,0688090,59.00,60.45,58.98,60.40,1.08,1.82,"5,105","3,060",2.48,3.33
2020-07-30,瑞松科技,0688090,59.00,60.38,59.00,59.32,-0.17,-0.29,"4,753","2,845",2.32,3.10
2020-07-29,瑞松科技,0688090,57.70,59.69,56.84,59.49,1.97,3.42,"5,254","3,077",4.95,3.43
2020-07-28,瑞松科技,0688090,56.70,57.88,56.40,57.52,1.31,2.33,"3,507","2,008",2.63,2.29
2020-07-27,瑞松科技,0688090,57.00,57.46,55.43,56.21,-0.29,-0.51,"3,795","2,136",3.59,2.48
2020-07-24,瑞松科技,0688090,61.77,62.16,56.23,56.50,-5.50,-8.87,"11,697","6,903",9.56,7.63
2020-07-23,瑞松科技,0688090,63.90,63.90,60.67,62.00,-2.11,-3.29,"9,230","5,728",5.04,6.02
2020-07-22,瑞松科技,0688090,63.83,65.00,63.82,64.11,-0.12,-0.19,"5,743","3,696",1.84,3.75
2020-07-21,瑞松科技,0688090,64.82,65.50,63.67,64.23,-0.39,-0.60,"5,284","3,397",2.83,3.45
2020-07-20,瑞松科技,0688090,63.33,64.80,62.01,64.62,1.44,2.28,"6,689","4,255",4.42,4.36
2020-07-17,瑞松科技,0688090,63.71,64.99,61.80,63.18,-0.76,-1.19,"7,561","4,810",4.99,4.93
2020-07-16,瑞松科技,0688090,67.81,68.49,63.57,63.94,-3.86,-5.69,"12,690","8,360",7.26,8.28
2020-07-15,瑞松科技,0688090,73.45,73.87,67.10,67.80,-5.15,-7.06,"18,197","12,677",9.28,11.87
2020-07-14,瑞松科技,0688090,73.50,75.50,71.52,72.95,-1.02,-1.38,"21,272","15,702",5.38,13.88
2020-07-13,瑞松科技,0688090,70.50,74.00,70.24,73.97,3.84,5.48,"21,334","15,399",5.36,13.92
2020-07-10,瑞松科技,0688090,72.00,72.57,69.90,70.13,-2.45,-3.38,"18,551","13,178",3.68,12.11
