日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-01,福瑞股份,1300049,13.21,13.45,13.13,13.35,0.13,0.98,"10,888","1,453",2.42,0.43
2017-11-30,福瑞股份,1300049,13.47,13.54,13.22,13.22,-0.40,-2.94,"17,208","2,295",2.35,0.68
2017-11-29,福瑞股份,1300049,13.65,13.65,13.11,13.62,0.01,0.07,"20,278","2,721",3.97,0.80
2017-11-28,福瑞股份,1300049,13.55,13.70,13.51,13.61,0.08,0.59,"16,819","2,289",1.40,0.67
2017-11-27,福瑞股份,1300049,13.94,13.98,13.53,13.53,-0.36,-2.59,"9,988","1,369",3.24,0.40
2017-11-24,福瑞股份,1300049,13.77,13.95,13.65,13.89,-0.01,-0.07,"11,907","1,647",2.16,0.47
2017-11-23,福瑞股份,1300049,14.00,14.18,13.80,13.90,-0.20,-1.42,"16,872","2,359",2.70,0.67
2017-11-22,福瑞股份,1300049,14.18,14.27,13.96,14.10,-0.02,-0.14,"11,673","1,645",2.20,0.46
2017-11-21,福瑞股份,1300049,14.53,14.55,14.00,14.12,-0.41,-2.82,"19,036","2,699",3.79,0.75
2017-11-20,福瑞股份,1300049,14.05,14.56,13.91,14.53,0.23,1.61,"14,774","2,096",4.55,0.59
2017-11-17,福瑞股份,1300049,14.69,14.69,14.10,14.30,-0.39,-2.65,"20,436","2,936",4.02,0.81
2017-11-16,福瑞股份,1300049,14.69,14.84,14.68,14.69,-0.10,-0.68,"10,540","1,553",1.08,0.42
2017-11-15,福瑞股份,1300049,14.84,14.86,14.63,14.79,-0.04,-0.27,"16,151","2,384",1.55,0.64
2017-11-14,福瑞股份,1300049,14.95,15.02,14.80,14.83,-0.13,-0.87,"14,671","2,188",1.47,0.58
2017-11-13,福瑞股份,1300049,14.96,15.06,14.86,14.96,-0.04,-0.27,"17,925","2,678",1.33,0.71
2017-11-10,福瑞股份,1300049,15.02,15.07,14.93,15.00,-0.02,-0.13,"15,628","2,344",0.93,0.62
2017-11-09,福瑞股份,1300049,14.98,15.04,14.86,15.02,0.02,0.13,"13,508","2,021",1.20,0.54
2017-11-08,福瑞股份,1300049,15.04,15.14,14.93,15.00,0.00,0.00,"11,878","1,788",1.40,0.47
2017-11-07,福瑞股份,1300049,15.07,15.13,14.86,15.00,-0.07,-0.46,"13,332","1,996",1.79,0.53
2017-11-06,福瑞股份,1300049,14.90,15.09,14.83,15.07,0.18,1.21,"14,915","2,236",1.75,0.59
2017-11-03,福瑞股份,1300049,14.85,14.96,14.65,14.89,0.04,0.27,"15,920","2,356",2.09,0.63
2017-11-02,福瑞股份,1300049,15.07,15.16,14.85,14.85,-0.31,-2.04,"13,555","2,027",2.04,0.54
2017-11-01,福瑞股份,1300049,15.24,15.24,15.06,15.16,-0.02,-0.13,"9,848","1,492",1.19,0.39
2017-10-31,福瑞股份,1300049,15.14,15.20,14.98,15.18,0.20,1.34,"11,370","1,715",1.47,0.45
2017-10-30,福瑞股份,1300049,15.65,15.70,14.90,14.98,-0.67,-4.28,"23,680","3,584",5.11,0.94
2017-10-27,福瑞股份,1300049,15.90,15.90,15.62,15.65,-0.30,-1.88,"15,791","2,485",1.76,0.63
2017-10-26,福瑞股份,1300049,15.90,15.98,15.80,15.95,-0.02,-0.13,"10,891","1,730",1.13,0.43
2017-10-25,福瑞股份,1300049,15.75,15.99,15.67,15.97,0.17,1.08,"14,996","2,372",2.03,0.59
2017-10-24,福瑞股份,1300049,15.92,15.99,15.65,15.80,-0.16,-1.00,"14,350","2,265",2.13,0.57
2017-10-23,福瑞股份,1300049,15.85,15.98,15.70,15.96,0.13,0.82,"12,511","1,983",1.77,0.50
2017-10-20,福瑞股份,1300049,15.66,15.89,15.65,15.83,0.10,0.64,"10,208","1,611",1.53,0.40
2017-10-19,福瑞股份,1300049,15.94,16.03,15.45,15.73,-0.18,-1.13,"21,587","3,398",3.65,0.86
2017-10-18,福瑞股份,1300049,16.20,16.33,15.90,15.91,-0.29,-1.79,"14,315","2,312",2.65,0.57
2017-10-17,福瑞股份,1300049,16.10,16.20,16.00,16.20,0.07,0.43,"20,491","3,302",1.24,0.81
2017-10-16,福瑞股份,1300049,16.56,16.61,15.94,16.13,-0.42,-2.54,"34,402","5,579",4.05,1.36
2017-10-13,福瑞股份,1300049,16.74,16.74,16.51,16.55,-0.31,-1.84,"28,025","4,649",1.36,1.11
2017-10-12,福瑞股份,1300049,16.90,17.08,16.54,16.86,0.26,1.57,"51,774","8,685",3.25,2.05
2017-10-11,福瑞股份,1300049,16.86,17.34,16.52,16.60,-0.21,-1.25,"65,107","11,006",4.88,2.58
2017-10-10,福瑞股份,1300049,16.56,16.85,16.45,16.81,0.29,1.76,"46,168","7,721",2.42,1.83
2017-10-09,福瑞股份,1300049,16.26,16.54,16.16,16.52,0.26,1.60,"37,203","6,081",2.34,1.48
2017-06-30,福瑞股份,1300049,16.66,16.92,16.60,16.87,0.09,0.54,"22,952","3,851",1.91,0.91
2017-06-29,福瑞股份,1300049,16.65,16.93,16.65,16.78,0.06,0.36,"18,115","3,040",1.67,0.72
2017-06-28,福瑞股份,1300049,16.93,16.94,16.68,16.72,-0.30,-1.76,"18,889","3,167",1.53,0.75
2017-06-27,福瑞股份,1300049,17.03,17.18,16.87,17.02,-0.05,-0.29,"24,587","4,179",1.82,0.97
2017-06-26,福瑞股份,1300049,16.93,17.12,16.80,17.07,0.14,0.83,"24,580","4,174",1.89,0.97
2017-06-23,福瑞股份,1300049,17.16,17.30,16.50,16.93,-0.23,-1.34,"52,272","8,802",4.66,2.07
2017-06-22,福瑞股份,1300049,17.43,17.45,17.13,17.16,-0.25,-1.44,"26,605","4,601",1.84,1.05
2017-06-21,福瑞股份,1300049,17.60,17.71,17.17,17.41,-0.17,-0.97,"34,597","6,009",3.07,1.37
2017-06-20,福瑞股份,1300049,17.88,18.00,17.50,17.58,-0.22,-1.24,"28,887","5,125",2.81,1.15
2017-06-19,福瑞股份,1300049,17.57,17.89,17.56,17.80,0.20,1.14,"23,865","4,236",1.88,0.95
2017-06-16,福瑞股份,1300049,17.53,17.77,17.44,17.60,0.01,0.06,"21,792","3,835",1.88,0.86
2017-06-15,福瑞股份,1300049,17.25,17.94,17.25,17.59,0.34,1.97,"50,601","8,944",4.00,2.01
2017-06-14,福瑞股份,1300049,17.44,17.68,17.17,17.25,-0.44,-2.49,"41,758","7,254",2.88,1.66
2017-06-13,福瑞股份,1300049,16.63,18.22,16.63,17.69,0.99,5.93,"52,329","9,136",9.52,2.07
2017-06-12,福瑞股份,1300049,17.18,17.28,16.70,16.70,-0.69,-3.97,"34,179","5,799",3.34,1.36
2017-06-09,福瑞股份,1300049,17.46,17.72,17.17,17.39,-0.21,-1.19,"38,445","6,661",3.13,1.52
2017-06-08,福瑞股份,1300049,17.85,18.07,17.58,17.60,-0.19,-1.07,"41,460","7,388",2.75,1.64
2017-06-07,福瑞股份,1300049,17.09,17.93,17.06,17.79,0.57,3.31,"38,826","6,837",5.05,1.54
2017-06-06,福瑞股份,1300049,17.16,17.39,17.01,17.22,0.00,0.00,"14,964","2,576",2.21,0.59
2017-06-05,福瑞股份,1300049,17.05,17.65,17.05,17.22,0.08,0.47,"36,994","6,410",3.50,1.47
2017-06-02,福瑞股份,1300049,16.01,17.16,15.92,17.14,1.06,6.59,"45,145","7,504",7.71,1.79
2017-06-01,福瑞股份,1300049,16.71,16.90,16.08,16.08,-0.62,-3.71,"35,824","5,898",4.91,1.42
2017-05-31,福瑞股份,1300049,17.28,17.43,16.70,16.70,-0.55,-3.19,"40,097","6,837",4.23,1.61
2017-05-26,福瑞股份,1300049,17.49,17.96,17.10,17.25,0.13,0.76,"69,093","12,129",5.02,2.78
2017-05-25,福瑞股份,1300049,16.54,17.19,16.10,17.12,0.57,3.44,"39,106","6,531",6.59,1.57
2017-05-24,福瑞股份,1300049,16.30,16.68,16.00,16.65,0.33,2.02,"26,114","4,285",4.17,1.05
2017-05-23,福瑞股份,1300049,17.30,17.44,16.30,16.32,-1.16,-6.64,"38,170","6,456",6.52,1.54
2017-05-22,福瑞股份,1300049,17.18,17.56,17.12,17.48,0.14,0.81,"34,216","5,914",2.54,1.38
2017-05-19,福瑞股份,1300049,17.35,17.65,17.19,17.34,-0.44,-2.47,"45,799","7,967",2.59,1.84
2017-05-18,福瑞股份,1300049,18.29,19.00,17.77,17.78,-0.25,-1.39,"107,682","19,850",6.82,4.33
2017-05-17,福瑞股份,1300049,16.94,18.48,16.90,18.03,1.03,6.06,"70,611","12,481",9.29,2.84
2017-05-16,福瑞股份,1300049,16.10,17.14,16.10,17.00,0.81,5.00,"38,565","6,388",6.42,1.55
2017-05-15,福瑞股份,1300049,16.18,16.40,16.11,16.19,-0.02,-0.12,"17,160","2,784",1.79,0.69
2017-05-12,福瑞股份,1300049,16.30,16.58,16.15,16.21,-0.07,-0.43,"26,438","4,316",2.64,1.06
2017-05-11,福瑞股份,1300049,16.50,16.50,15.80,16.28,-0.20,-1.21,"36,634","5,923",4.25,1.47
2017-05-10,福瑞股份,1300049,17.15,17.33,16.41,16.48,-0.70,-4.07,"32,023","5,418",5.36,1.29
2017-05-09,福瑞股份,1300049,17.20,17.38,16.59,17.18,-0.33,-1.88,"27,785","4,738",4.51,1.12
2017-05-08,福瑞股份,1300049,17.88,17.99,17.36,17.51,0.00,0.00,"44,632","7,902",3.60,1.80
2017-05-05,福瑞股份,1300049,17.41,17.96,17.15,17.51,0.01,0.06,"35,480","6,205",4.63,1.43
2017-05-04,福瑞股份,1300049,17.65,17.73,17.40,17.50,-0.10,-0.57,"20,870","3,665",1.88,0.84
2017-05-03,福瑞股份,1300049,17.69,17.80,17.43,17.60,-0.19,-1.07,"21,596","3,798",2.08,0.87
2017-05-02,福瑞股份,1300049,18.10,18.13,17.73,17.79,-0.35,-1.93,"15,048","2,692",2.21,0.61
2017-04-28,福瑞股份,1300049,17.99,18.32,17.82,18.14,0.14,0.78,"13,100","2,372",2.78,0.53
2017-04-27,福瑞股份,1300049,17.58,18.10,17.20,18.00,0.32,1.81,"25,043","4,423",5.09,1.01
2017-04-26,福瑞股份,1300049,17.66,17.76,17.56,17.68,0.08,0.45,"19,220","3,396",1.14,0.77
2017-04-25,福瑞股份,1300049,17.51,17.80,17.51,17.60,0.00,0.00,"15,155","2,681",1.65,0.61
2017-04-24,福瑞股份,1300049,17.99,18.15,17.40,17.60,-0.54,-2.98,"25,476","4,498",4.13,1.02
2017-04-21,福瑞股份,1300049,18.34,18.57,18.10,18.14,-0.22,-1.20,"13,975","2,565",2.56,0.56
2017-04-20,福瑞股份,1300049,18.24,18.47,18.12,18.36,0.13,0.71,"17,493","3,208",1.92,0.70
2017-04-19,福瑞股份,1300049,18.45,18.58,17.95,18.23,-0.37,-1.99,"26,770","4,864",3.39,1.08
2017-04-18,福瑞股份,1300049,19.02,19.16,18.40,18.60,-0.40,-2.11,"29,313","5,513",4.00,1.18
2017-04-17,福瑞股份,1300049,19.50,19.73,18.90,19.00,-0.63,-3.21,"40,397","7,771",4.23,1.62
2017-04-14,福瑞股份,1300049,19.23,20.27,19.00,19.63,0.40,2.08,"52,274","10,296",6.60,2.10
2017-04-13,福瑞股份,1300049,19.15,19.46,19.09,19.23,0.07,0.37,"22,479","4,332",1.93,0.90
2017-04-12,福瑞股份,1300049,19.30,19.30,19.01,19.16,-0.19,-0.98,"32,111","6,149",1.50,1.29
2017-04-11,福瑞股份,1300049,19.60,19.69,18.91,19.35,-0.23,-1.17,"48,028","9,235",3.98,1.93
2017-04-10,福瑞股份,1300049,20.00,20.25,19.53,19.58,-0.49,-2.44,"30,367","6,050",3.59,1.22
2017-04-07,福瑞股份,1300049,19.50,20.27,19.45,20.07,0.38,1.93,"47,073","9,355",4.16,1.89
2017-04-06,福瑞股份,1300049,19.87,20.36,19.64,19.69,0.14,0.72,"55,522","11,108",3.68,2.23
2017-04-05,福瑞股份,1300049,19.18,19.56,19.10,19.55,0.27,1.40,"31,920","6,193",2.39,1.28
2017-09-29,福瑞股份,1300049,16.04,16.26,15.91,16.26,0.26,1.63,"26,688","4,294",2.19,1.06
2017-09-28,福瑞股份,1300049,15.80,16.03,15.65,16.00,0.25,1.59,"23,389","3,704",2.41,0.93
2017-09-27,福瑞股份,1300049,15.65,15.82,15.55,15.75,0.12,0.77,"11,998","1,883",1.73,0.48
2017-09-26,福瑞股份,1300049,15.62,15.72,15.53,15.63,-0.02,-0.13,"12,891","2,014",1.21,0.51
2017-09-25,福瑞股份,1300049,15.86,16.21,15.62,15.65,-0.24,-1.51,"21,960","3,497",3.71,0.87
2017-09-22,福瑞股份,1300049,15.74,15.92,15.60,15.89,0.04,0.25,"17,920","2,821",2.02,0.71
2017-09-21,福瑞股份,1300049,15.86,15.92,15.69,15.85,-0.02,-0.13,"20,318","3,209",1.45,0.81
2017-09-20,福瑞股份,1300049,15.68,15.88,15.62,15.87,0.11,0.70,"15,339","2,417",1.65,0.61
2017-09-19,福瑞股份,1300049,16.00,16.09,15.72,15.76,-0.20,-1.25,"15,003","2,386",2.32,0.59
2017-09-18,福瑞股份,1300049,15.86,15.98,15.84,15.96,0.00,0.00,"14,082","2,240",0.88,0.56
