日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,精准信息,1300099,12.57,13.77,12.53,13.30,0.40,3.10,"497,319","65,590",9.61,9.53
2017-03-30,精准信息,1300099,13.13,13.94,12.90,12.90,-0.58,-4.30,"550,347","73,832",7.72,10.54
2017-03-29,精准信息,1300099,12.77,14.11,12.40,13.48,0.38,2.90,"667,461","88,047",13.05,12.79
2017-03-28,精准信息,1300099,13.06,13.80,13.03,13.10,0.04,0.31,"718,974","96,002",5.90,13.77
2017-03-27,精准信息,1300099,11.75,13.06,11.72,13.06,1.19,10.03,"462,337","58,426",11.29,8.86
2017-03-24,精准信息,1300099,11.60,11.88,11.40,11.87,0.21,1.80,"174,745","20,379",4.12,3.35
2017-03-23,精准信息,1300099,11.49,11.76,11.43,11.66,0.06,0.52,"145,480","16,851",2.84,2.79
2017-03-22,精准信息,1300099,11.53,11.60,11.11,11.60,0.00,0.00,"158,904","17,971",4.22,3.04
2017-03-21,精准信息,1300099,11.50,11.62,11.42,11.60,0.11,0.96,"98,060","11,298",1.74,1.88
2017-03-20,精准信息,1300099,11.96,12.06,11.45,11.49,-0.57,-4.73,"221,372","25,776",5.06,4.24
2017-03-17,精准信息,1300099,12.16,12.24,12.01,12.06,-0.13,-1.07,"146,251","17,695",1.89,2.80
2017-03-16,精准信息,1300099,12.25,12.41,12.17,12.19,0.04,0.33,"167,025","20,468",1.98,3.20
2017-03-15,精准信息,1300099,11.98,12.27,11.93,12.15,0.00,0.00,"144,223","17,521",2.80,2.76
2017-03-14,精准信息,1300099,12.28,12.35,12.11,12.15,-0.27,-2.17,"197,964","24,139",1.93,3.79
2017-03-13,精准信息,1300099,12.22,12.68,12.22,12.42,0.35,2.90,"297,862","37,086",3.81,5.71
2017-03-10,精准信息,1300099,12.13,12.30,12.07,12.07,-0.16,-1.31,"160,989","19,565",1.88,3.08
2017-03-09,精准信息,1300099,12.09,12.26,11.90,12.23,0.16,1.33,"234,196","28,365",2.98,4.49
2017-03-08,精准信息,1300099,11.89,12.24,11.78,12.07,0.21,1.77,"243,555","29,393",3.88,4.67
2017-03-07,精准信息,1300099,12.10,12.30,11.75,11.86,-0.29,-2.39,"247,286","29,703",4.53,4.74
2017-03-06,精准信息,1300099,12.29,12.40,11.90,12.15,0.09,0.75,"265,961","32,242",4.15,5.09
2017-03-03,精准信息,1300099,12.30,12.38,12.01,12.06,-0.56,-4.44,"308,012","37,520",2.93,5.90
2017-03-02,精准信息,1300099,12.92,13.27,12.60,12.62,-0.50,-3.81,"358,819","46,138",5.11,6.87
2017-03-01,精准信息,1300099,12.46,13.26,12.25,13.12,0.76,6.15,"506,756","64,732",8.17,9.71
2017-02-28,精准信息,1300099,12.20,12.50,12.09,12.36,0.23,1.90,"289,280","35,499",3.38,5.54
2017-02-27,精准信息,1300099,12.25,12.62,12.09,12.13,-0.29,-2.33,"354,032","43,431",4.27,6.78
2017-02-24,精准信息,1300099,12.18,12.89,12.06,12.42,0.01,0.08,"453,739","56,809",6.69,8.69
2017-02-23,精准信息,1300099,12.30,12.98,12.21,12.41,0.03,0.24,"571,500","72,376",6.22,10.95
2017-02-22,精准信息,1300099,12.64,12.72,12.21,12.38,-0.46,-3.58,"498,610","61,925",3.97,9.55
