日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-05-19,精功科技,1002006,8.01,8.09,7.85,7.93,-0.08,-1.00,"36,448","2,897",3.00,0.80
2017-05-18,精功科技,1002006,8.15,8.20,7.91,8.01,-0.14,-1.72,"53,879","4,344",3.56,1.18
2017-05-17,精功科技,1002006,7.75,8.30,7.75,8.15,0.35,4.49,"76,950","6,173",7.05,1.69
2017-05-16,精功科技,1002006,7.62,7.80,7.42,7.80,0.19,2.50,"36,367","2,787",4.99,0.80
2017-05-15,精功科技,1002006,7.54,7.65,7.54,7.61,0.03,0.40,"23,403","1,782",1.45,0.51
2017-05-12,精功科技,1002006,7.67,7.67,7.45,7.58,-0.01,-0.13,"25,308","1,907",2.90,0.56
2017-05-11,精功科技,1002006,7.67,7.70,7.27,7.59,-0.08,-1.04,"39,873","3,006",5.61,0.88
2017-05-10,精功科技,1002006,7.90,7.95,7.67,7.67,-0.26,-3.28,"37,141","2,905",3.53,0.82
2017-05-09,精功科技,1002006,7.81,7.95,7.68,7.93,0.12,1.54,"28,822","2,252",3.46,0.63
2017-05-08,精功科技,1002006,8.00,8.03,7.80,7.81,-0.23,-2.86,"25,272","2,003",2.86,0.56
2017-05-05,精功科技,1002006,8.18,8.18,8.03,8.04,-0.06,-0.74,"28,696","2,325",1.85,0.63
2017-05-04,精功科技,1002006,8.22,8.24,8.05,8.10,-0.07,-0.86,"29,406","2,388",2.33,0.65
2017-05-03,精功科技,1002006,8.24,8.30,8.13,8.17,-0.07,-0.85,"29,543","2,426",2.06,0.65
2017-05-02,精功科技,1002006,8.30,8.36,8.20,8.24,-0.05,-0.60,"30,967","2,557",1.93,0.68
2017-04-28,精功科技,1002006,8.21,8.39,8.15,8.29,0.12,1.47,"37,073","3,073",2.94,0.81
2017-04-27,精功科技,1002006,8.09,8.18,7.70,8.17,0.08,0.99,"53,510","4,253",5.93,1.18
2017-04-26,精功科技,1002006,8.12,8.18,8.06,8.09,0.00,0.00,"22,515","1,827",1.48,0.49
2017-04-25,精功科技,1002006,8.10,8.21,8.06,8.09,0.02,0.25,"25,699","2,091",1.86,0.56
2017-04-24,精功科技,1002006,8.44,8.48,7.96,8.07,-0.42,-4.95,"32,824","2,679",6.12,0.72
2017-04-21,精功科技,1002006,8.60,8.63,8.45,8.49,-0.10,-1.16,"27,069","2,314",2.10,0.59
2017-04-20,精功科技,1002006,8.72,8.75,8.47,8.59,-0.12,-1.38,"36,562","3,147",3.21,0.80
2017-04-19,精功科技,1002006,8.98,8.98,8.56,8.71,-0.25,-2.79,"45,547","3,957",4.69,1.00
2017-04-18,精功科技,1002006,9.18,9.18,8.92,8.96,-0.19,-2.08,"44,494","4,034",2.84,0.98
2017-04-17,精功科技,1002006,9.18,9.25,9.11,9.15,-0.01,-0.11,"40,780","3,735",1.53,0.90
2017-04-14,精功科技,1002006,9.29,9.33,9.10,9.16,-0.14,-1.51,"45,604","4,174",2.47,1.00
2017-04-13,精功科技,1002006,9.29,9.36,9.24,9.30,0.03,0.32,"23,442","2,182",1.29,0.52
2017-04-12,精功科技,1002006,9.32,9.34,9.22,9.27,-0.09,-0.96,"27,926","2,588",1.28,0.61
2017-04-11,精功科技,1002006,9.28,9.37,9.19,9.36,0.07,0.75,"42,319","3,922",1.94,0.93
2017-04-10,精功科技,1002006,9.60,9.61,9.20,9.29,-0.22,-2.31,"46,887","4,410",4.31,1.03
2017-04-07,精功科技,1002006,9.44,9.55,9.44,9.51,0.05,0.53,"27,387","2,606",1.16,0.60
2017-04-06,精功科技,1002006,9.46,9.58,9.40,9.46,0.01,0.11,"39,484","3,760",1.90,0.87
2017-04-05,精功科技,1002006,9.22,9.47,9.19,9.45,0.28,3.05,"45,592","4,276",3.05,1.00
2017-12-29,精功科技,1002006,7.13,7.31,7.13,7.18,0.02,0.28,"22,474","1,623",2.51,0.49
2017-12-28,精功科技,1002006,7.15,7.25,7.15,7.16,-0.04,-0.56,"31,515","2,269",1.39,0.69
2017-12-27,精功科技,1002006,7.20,7.26,7.07,7.20,0.13,1.84,"58,046","4,174",2.69,1.28
2017-12-26,精功科技,1002006,6.93,7.08,6.90,7.07,0.14,2.02,"35,641","2,507",2.60,0.78
2017-12-25,精功科技,1002006,7.13,7.18,6.88,6.93,-0.19,-2.67,"35,627","2,493",4.21,0.78
2017-12-22,精功科技,1002006,7.15,7.27,7.12,7.12,-0.03,-0.42,"24,793","1,784",2.10,0.54
2017-12-21,精功科技,1002006,7.08,7.25,7.05,7.15,0.04,0.56,"31,049","2,221",2.81,0.68
2017-12-20,精功科技,1002006,7.25,7.25,7.08,7.11,-0.14,-1.93,"28,956","2,071",2.34,0.64
2017-12-19,精功科技,1002006,7.21,7.29,7.15,7.25,0.04,0.55,"30,473","2,198",1.94,0.67
2017-12-18,精功科技,1002006,7.30,7.35,7.17,7.21,-0.13,-1.77,"40,143","2,909",2.45,0.88
2017-12-15,精功科技,1002006,6.95,7.53,6.92,7.34,0.40,5.76,"107,968","7,861",8.79,2.37
2017-12-14,精功科技,1002006,7.07,7.08,6.90,6.94,-0.14,-1.98,"34,243","2,382",2.54,0.75
2017-12-13,精功科技,1002006,7.05,7.14,6.99,7.08,-0.03,-0.42,"31,797","2,243",2.11,0.70
2017-12-12,精功科技,1002006,7.35,7.35,7.10,7.11,-0.26,-3.53,"46,488","3,350",3.39,1.02
2017-12-11,精功科技,1002006,7.25,7.40,7.24,7.37,0.07,0.96,"40,676","2,983",2.19,0.89
2017-12-08,精功科技,1002006,7.30,7.40,7.29,7.30,0.06,0.83,"58,799","4,324",1.52,1.29
2017-12-07,精功科技,1002006,7.11,7.25,7.11,7.24,0.08,1.12,"70,309","5,063",1.96,1.54
2017-12-06,精功科技,1002006,7.03,7.29,6.96,7.16,0.11,1.56,"56,574","4,032",4.68,1.24
2017-12-05,精功科技,1002006,7.28,7.28,7.05,7.05,-0.23,-3.16,"64,057","4,569",3.16,1.41
2017-12-04,精功科技,1002006,7.03,7.37,6.96,7.28,0.28,4.00,"100,417","7,236",5.86,2.21
2017-12-01,精功科技,1002006,6.88,7.01,6.86,7.00,0.07,1.01,"38,046","2,640",2.16,0.84
2017-11-30,精功科技,1002006,6.90,6.95,6.83,6.93,0.02,0.29,"45,098","3,113",1.74,0.99
2017-11-29,精功科技,1002006,6.88,6.93,6.73,6.91,0.06,0.88,"54,116","3,695",2.92,1.19
2017-11-28,精功科技,1002006,6.75,6.86,6.71,6.85,0.06,0.88,"43,017","2,938",2.21,0.95
2017-11-27,精功科技,1002006,6.74,6.82,6.61,6.79,0.06,0.89,"61,373","4,132",3.12,1.35
2017-11-24,精功科技,1002006,6.66,6.75,6.60,6.73,0.06,0.90,"45,177","3,020",2.25,0.99
2017-11-23,精功科技,1002006,6.99,6.99,6.56,6.67,-0.36,-5.12,"92,296","6,266",6.12,2.03
2017-11-22,精功科技,1002006,7.05,7.12,6.86,7.03,-0.01,-0.14,"73,962","5,162",3.69,1.63
