日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,豪森股份,0688529,36.47,37.10,36.10,36.86,0.70,1.94,"11,555","4,240",2.77,3.97
2020-12-30,豪森股份,0688529,35.92,36.25,35.30,36.16,0.45,1.26,"11,123","3,998",2.66,3.82
2020-12-29,豪森股份,0688529,36.09,36.46,35.14,35.71,0.14,0.39,"12,984","4,668",3.71,4.46
2020-12-28,豪森股份,0688529,37.78,38.30,35.57,35.57,-2.39,-6.30,"21,248","7,782",7.19,7.30
2020-12-25,豪森股份,0688529,38.08,38.60,37.39,37.96,0.05,0.13,"14,866","5,652",3.19,5.10
2020-12-24,豪森股份,0688529,40.23,40.23,37.73,37.91,-2.29,-5.70,"25,645","9,912",6.22,8.81
2020-12-23,豪森股份,0688529,40.62,41.40,39.88,40.20,-0.80,-1.95,"16,952","6,846",3.71,5.82
2020-12-22,豪森股份,0688529,40.86,42.10,40.56,41.00,-0.13,-0.32,"20,610","8,564",3.74,7.08
2020-12-21,豪森股份,0688529,40.45,41.48,40.00,41.13,0.40,0.98,"15,820","6,455",3.63,5.43
2020-12-18,豪森股份,0688529,42.01,42.19,40.56,40.73,-1.28,-3.05,"17,526","7,241",3.88,6.02
2020-12-17,豪森股份,0688529,40.32,42.52,39.98,42.01,1.20,2.94,"27,566","11,446",6.22,9.46
2020-12-16,豪森股份,0688529,43.78,44.16,40.58,40.81,-2.66,-6.12,"27,591","11,595",8.24,9.47
2020-12-15,豪森股份,0688529,44.15,44.60,43.38,43.47,-0.69,-1.56,"14,268","6,253",2.76,4.90
2020-12-14,豪森股份,0688529,42.90,44.40,42.79,44.16,1.16,2.70,"17,759","7,770",3.74,6.10
2020-12-11,豪森股份,0688529,43.60,44.46,42.89,43.00,-0.21,-0.49,"20,640","9,002",3.63,7.09
2020-12-10,豪森股份,0688529,43.10,44.06,42.68,43.21,-0.67,-1.53,"17,528","7,602",3.14,6.02
2020-12-09,豪森股份,0688529,45.63,45.72,43.72,43.88,-1.45,-3.20,"23,922","10,610",4.41,8.21
2020-12-08,豪森股份,0688529,44.01,45.80,44.01,45.33,1.42,3.23,"34,108","15,383",4.08,11.71
2020-12-07,豪森股份,0688529,45.30,45.65,43.72,43.91,-1.47,-3.24,"27,150","12,055",4.25,9.32
2020-12-04,豪森股份,0688529,45.66,46.16,45.25,45.38,-0.31,-0.68,"20,200","9,215",1.99,6.94
2020-12-03,豪森股份,0688529,47.88,47.99,45.50,45.69,-2.31,-4.81,"38,355","17,784",5.19,13.17
2020-12-02,豪森股份,0688529,48.57,48.79,47.61,48.00,-0.39,-0.81,"25,691","12,357",2.44,8.82
2020-12-01,豪森股份,0688529,47.73,49.00,47.58,48.39,0.39,0.81,"26,591","12,849",2.96,9.13
2020-11-30,豪森股份,0688529,49.10,49.60,47.30,48.00,-1.49,-3.01,"28,799","13,879",4.65,9.89
2020-11-27,豪森股份,0688529,50.00,52.28,49.40,49.49,-0.87,-1.73,"32,852","16,690",5.72,11.28
2020-11-26,豪森股份,0688529,50.25,51.08,48.18,50.36,-0.72,-1.41,"46,822","23,212",5.68,16.08
2020-11-25,豪森股份,0688529,55.18,55.18,50.84,51.08,-3.79,-6.91,"49,848","26,287",7.91,17.12
