日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-09-30,越剑智能,0603095,26.91,26.92,26.58,26.64,-0.16,-0.60,"7,461","1,993",1.27,2.26
2020-09-29,越剑智能,0603095,26.83,27.06,26.80,26.80,-0.03,-0.11,"8,363","2,253",0.97,2.53
2020-09-28,越剑智能,0603095,27.38,27.48,26.80,26.83,-0.56,-2.04,"12,660","3,422",2.48,3.84
2020-09-25,越剑智能,0603095,27.59,27.95,27.29,27.39,-0.35,-1.26,"16,633","4,574",2.38,5.04
2020-09-24,越剑智能,0603095,28.40,28.49,27.40,27.74,-1.66,-5.65,"45,684","12,712",3.71,13.84
2020-09-23,越剑智能,0603095,27.10,29.72,27.00,29.40,2.38,8.81,"71,344","20,879",10.07,21.62
2020-09-22,越剑智能,0603095,27.33,27.33,26.91,27.02,-0.36,-1.31,"6,225","1,686",1.53,1.89
2020-09-21,越剑智能,0603095,27.73,27.73,27.34,27.38,-0.17,-0.62,"5,427","1,489",1.42,1.64
2020-09-18,越剑智能,0603095,27.46,27.65,27.28,27.55,0.05,0.18,"7,445","2,046",1.35,2.26
2020-09-17,越剑智能,0603095,27.19,27.65,27.05,27.50,0.40,1.48,"11,762","3,212",2.21,3.56
2020-09-16,越剑智能,0603095,27.25,27.25,27.08,27.10,-0.15,-0.55,"5,174","1,404",0.62,1.57
2020-09-15,越剑智能,0603095,27.20,27.31,27.03,27.25,0.03,0.11,"5,830","1,582",1.03,1.77
2020-09-14,越剑智能,0603095,27.03,27.29,26.93,27.22,0.19,0.70,"7,238","1,965",1.33,2.19
2020-09-11,越剑智能,0603095,26.70,27.15,26.63,27.03,0.33,1.24,"8,035","2,156",1.95,2.43
2020-09-10,越剑智能,0603095,27.38,27.50,26.66,26.70,-0.53,-1.95,"10,564","2,858",3.08,3.20
2020-09-09,越剑智能,0603095,27.88,27.88,27.18,27.23,-0.88,-3.13,"15,075","4,143",2.49,4.57
2020-09-08,越剑智能,0603095,28.49,28.49,27.78,28.11,-0.23,-0.81,"12,770","3,583",2.51,3.87
2020-09-07,越剑智能,0603095,28.80,28.91,28.28,28.34,-0.37,-1.29,"10,441","2,987",2.19,3.16
2020-09-04,越剑智能,0603095,28.63,28.80,28.25,28.71,-0.22,-0.76,"12,291","3,506",1.90,3.72
2020-09-03,越剑智能,0603095,29.30,29.35,28.93,28.93,-0.33,-1.13,"10,743","3,125",1.44,3.26
2020-09-02,越剑智能,0603095,29.35,29.35,29.06,29.26,0.03,0.10,"9,817","2,868",0.99,2.97
2020-09-01,越剑智能,0603095,29.20,29.23,28.96,29.23,0.12,0.41,"8,993","2,619",0.93,2.73
2020-08-31,越剑智能,0603095,29.28,29.48,29.10,29.11,-0.11,-0.38,"11,174","3,275",1.30,3.39
2020-08-28,越剑智能,0603095,29.07,29.34,29.04,29.22,0.13,0.45,"10,546","3,079",1.03,3.20
