日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,金明精机,1300281,12.96,13.45,12.86,13.45,0.32,2.44,"25,338","3,341",4.49,1.04
2017-12-28,金明精机,1300281,12.77,13.14,12.61,13.13,0.23,1.78,"20,213","2,615",4.11,0.83
2017-12-27,金明精机,1300281,12.61,12.92,12.31,12.90,0.30,2.38,"22,130","2,805",4.84,0.91
2017-12-26,金明精机,1300281,12.25,12.80,12.12,12.60,0.38,3.11,"20,298","2,541",5.56,0.83
2017-12-25,金明精机,1300281,12.40,12.50,12.11,12.22,-0.21,-1.69,"4,019",491,3.14,0.17
2017-12-22,金明精机,1300281,12.31,12.50,12.16,12.43,0.10,0.81,"9,287","1,146",2.76,0.38
2017-12-21,金明精机,1300281,11.64,12.49,11.58,12.33,0.57,4.85,"17,989","2,186",7.74,0.74
2017-12-20,金明精机,1300281,11.70,11.95,11.55,11.76,0.06,0.51,"6,691",788,3.42,0.27
2017-12-19,金明精机,1300281,11.46,11.70,11.35,11.70,0.23,2.01,"3,926",456,3.05,0.16
2017-12-18,金明精机,1300281,11.64,11.74,11.00,11.47,-0.15,-1.29,"6,752",772,6.37,0.28
2017-12-15,金明精机,1300281,11.65,11.71,11.52,11.62,-0.08,-0.68,"4,794",556,1.62,0.20
2017-12-14,金明精机,1300281,11.88,11.88,11.58,11.70,-0.05,-0.43,"3,573",417,2.55,0.15
2017-12-13,金明精机,1300281,11.75,11.85,11.50,11.75,0.02,0.17,"3,774",442,2.98,0.16
2017-12-12,金明精机,1300281,11.95,12.01,11.72,11.73,-0.31,-2.57,"3,428",406,2.41,0.14
2017-12-11,金明精机,1300281,11.76,12.08,11.70,12.04,0.24,2.03,"5,690",679,3.22,0.23
2017-12-08,金明精机,1300281,11.72,11.90,11.50,11.80,0.17,1.46,"3,596",423,3.44,0.15
2017-12-07,金明精机,1300281,11.77,11.77,11.58,11.63,-0.05,-0.43,"2,965",345,1.63,0.12
2017-12-06,金明精机,1300281,11.79,11.86,11.35,11.68,-0.17,-1.43,"8,994","1,039",4.30,0.37
2017-12-05,金明精机,1300281,12.29,12.29,11.85,11.85,-0.47,-3.81,"7,088",850,3.57,0.29
2017-12-04,金明精机,1300281,12.60,12.60,12.10,12.32,-0.21,-1.68,"4,431",543,3.99,0.18
2017-12-01,金明精机,1300281,12.09,12.60,12.00,12.53,0.45,3.73,"9,831","1,213",4.97,0.40
2017-11-30,金明精机,1300281,12.06,12.35,11.85,12.08,-0.15,-1.23,"6,445",782,4.09,0.26
2017-11-29,金明精机,1300281,12.50,12.55,12.17,12.23,-0.32,-2.55,"5,572",684,3.03,0.23
2017-11-28,金明精机,1300281,12.66,12.66,12.24,12.55,0.05,0.40,"7,183",896,3.36,0.30
2017-11-27,金明精机,1300281,12.72,12.98,12.50,12.50,-0.48,-3.70,"4,964",628,3.70,0.20
2017-11-24,金明精机,1300281,12.62,13.17,12.50,12.98,-0.22,-1.67,"4,186",541,5.08,0.17
2017-11-23,金明精机,1300281,13.30,13.37,12.91,13.20,-0.29,-2.15,"6,428",844,3.41,0.26
2017-11-22,金明精机,1300281,13.37,13.50,13.13,13.49,-0.03,-0.22,"5,658",755,2.74,0.23
2017-11-21,金明精机,1300281,13.35,13.55,13.30,13.52,-0.02,-0.15,"3,825",513,1.85,0.16
2017-11-20,金明精机,1300281,13.29,13.55,12.80,13.54,0.26,1.96,"5,988",793,5.65,0.25
2017-11-17,金明精机,1300281,13.80,13.94,13.26,13.28,-0.56,-4.05,"7,703","1,041",4.91,0.32
2017-11-16,金明精机,1300281,13.85,14.07,13.80,13.84,-0.08,-0.57,"3,878",539,1.94,0.16
2017-11-15,金明精机,1300281,14.05,14.26,13.87,13.92,-0.28,-1.97,"6,960",974,2.75,0.29
2017-11-14,金明精机,1300281,14.23,14.47,14.20,14.20,-0.10,-0.70,"4,850",693,1.89,0.20
2017-11-13,金明精机,1300281,14.33,14.48,14.30,14.30,-0.26,-1.79,"5,419",779,1.24,0.22
2017-11-10,金明精机,1300281,14.50,14.79,14.49,14.56,-0.34,-2.28,"12,919","1,886",2.01,0.53
2017-11-09,金明精机,1300281,14.04,15.00,14.00,14.90,0.83,5.90,"19,642","2,881",7.11,0.81
2017-11-08,金明精机,1300281,14.06,14.24,14.02,14.07,0.02,0.14,"4,713",664,1.57,0.19
2017-11-07,金明精机,1300281,14.00,14.14,13.97,14.05,-0.05,-0.35,"3,069",431,1.21,0.13
2017-11-06,金明精机,1300281,14.13,14.65,13.88,14.10,-0.11,-0.77,"10,942","1,560",5.42,0.45
2017-11-03,金明精机,1300281,14.02,14.35,14.02,14.21,-0.05,-0.35,"3,379",479,2.31,0.14
2017-11-02,金明精机,1300281,14.23,14.40,14.03,14.26,0.07,0.49,"5,744",818,2.61,0.24
2017-11-01,金明精机,1300281,14.08,14.40,13.78,14.19,0.17,1.21,"10,081","1,433",4.42,0.41
2017-10-31,金明精机,1300281,14.20,14.20,13.83,14.02,-0.08,-0.57,"7,660","1,071",2.62,0.31
2017-10-30,金明精机,1300281,14.59,14.79,14.10,14.10,-0.49,-3.36,"6,462",922,4.73,0.27
2017-10-27,金明精机,1300281,14.68,14.76,14.55,14.59,-0.08,-0.55,"3,945",578,1.43,0.16
2017-10-26,金明精机,1300281,14.35,14.77,14.35,14.67,0.13,0.89,"4,757",695,2.89,0.20
2017-10-25,金明精机,1300281,14.47,14.63,14.47,14.54,0.03,0.21,"4,243",618,1.10,0.17
2017-10-24,金明精机,1300281,14.57,14.70,14.50,14.51,-0.13,-0.89,"3,690",537,1.37,0.15
2017-10-23,金明精机,1300281,14.52,14.69,14.52,14.64,0.01,0.07,"4,027",588,1.16,0.17
2017-10-20,金明精机,1300281,14.53,14.70,14.45,14.63,0.10,0.69,"4,497",656,1.72,0.18
2017-10-19,金明精机,1300281,14.57,14.68,14.42,14.53,-0.04,-0.27,"8,320","1,214",1.78,0.34
2017-10-18,金明精机,1300281,14.71,14.79,14.57,14.57,-0.15,-1.02,"9,906","1,452",1.49,0.41
2017-10-17,金明精机,1300281,14.90,14.95,14.62,14.72,-0.53,-3.48,"16,567","2,445",2.16,0.68
2017-10-16,金明精机,1300281,15.14,15.59,14.61,15.25,0.10,0.66,"35,547","5,406",6.47,1.46
2017-10-13,金明精机,1300281,14.80,15.20,14.68,15.15,0.43,2.92,"13,009","1,946",3.53,0.53
2017-10-12,金明精机,1300281,14.91,14.95,14.52,14.72,-0.23,-1.54,"6,904","1,021",2.88,0.28
2017-10-11,金明精机,1300281,15.07,15.13,14.85,14.95,-0.13,-0.86,"18,417","2,753",1.86,0.76
2017-10-10,金明精机,1300281,15.18,15.18,14.85,15.08,0.15,1.00,"7,588","1,134",2.21,0.31
2017-10-09,金明精机,1300281,15.11,15.18,14.81,14.93,-0.07,-0.47,"7,037","1,048",2.47,0.29
2017-09-29,金明精机,1300281,14.83,15.00,14.80,15.00,0.02,0.13,"4,864",724,1.34,0.20
2017-09-28,金明精机,1300281,14.59,15.22,14.38,14.98,0.43,2.96,"13,335","1,977",5.77,0.55
2017-09-27,金明精机,1300281,14.49,14.77,14.30,14.55,0.05,0.34,"4,654",677,3.24,0.19
2017-09-26,金明精机,1300281,14.53,14.58,14.23,14.50,-0.02,-0.14,"3,783",547,2.41,0.16
2017-09-25,金明精机,1300281,14.62,14.88,14.17,14.52,-0.28,-1.89,"5,883",862,4.80,0.24
2017-09-22,金明精机,1300281,14.97,15.03,14.76,14.80,-0.17,-1.14,"5,844",867,1.80,0.24
2017-09-21,金明精机,1300281,15.11,15.19,14.81,14.97,-0.19,-1.25,"8,646","1,296",2.51,0.36
2017-09-20,金明精机,1300281,15.33,15.33,15.05,15.16,0.01,0.07,"10,019","1,518",1.85,0.41
2017-09-19,金明精机,1300281,15.44,15.57,15.10,15.15,-0.21,-1.37,"9,054","1,377",3.06,0.37
2017-09-18,金明精机,1300281,15.10,15.49,15.10,15.36,-0.17,-1.09,"9,178","1,403",2.51,0.38
2017-09-15,金明精机,1300281,15.63,15.79,15.39,15.53,0.03,0.19,"10,847","1,687",2.58,0.45
2017-09-14,金明精机,1300281,15.27,15.67,15.16,15.50,0.22,1.44,"15,537","2,406",3.34,0.64
2017-09-13,金明精机,1300281,15.00,15.36,15.00,15.28,0.06,0.39,"6,010",916,2.37,0.25
2017-09-12,金明精机,1300281,15.31,15.48,15.18,15.22,-0.09,-0.59,"10,238","1,564",1.96,0.42
2017-09-11,金明精机,1300281,14.98,15.38,14.93,15.31,0.51,3.45,"21,346","3,253",3.04,0.88
2017-09-08,金明精机,1300281,14.96,15.04,14.51,14.80,-0.16,-1.07,"8,313","1,235",3.54,0.34
2017-09-07,金明精机,1300281,15.03,15.15,14.90,14.96,-0.08,-0.53,"8,419","1,267",1.66,0.35
2017-09-06,金明精机,1300281,14.90,15.10,14.81,15.04,0.16,1.08,"9,265","1,384",1.95,0.38
2017-09-05,金明精机,1300281,14.80,15.02,14.78,14.88,0.00,0.00,"7,757","1,154",1.61,0.32
2017-09-04,金明精机,1300281,14.97,15.09,14.84,14.88,-0.10,-0.67,"9,394","1,403",1.67,0.39
2017-09-01,金明精机,1300281,14.76,14.98,14.53,14.98,0.28,1.90,"8,490","1,248",3.06,0.35
2017-08-31,金明精机,1300281,14.52,14.76,14.50,14.70,0.05,0.34,"7,709","1,130",1.77,0.32
2017-08-30,金明精机,1300281,14.69,14.96,14.58,14.65,0.00,0.00,"6,901","1,017",2.59,0.28
2017-08-29,金明精机,1300281,14.99,15.04,14.50,14.65,-0.34,-2.27,"10,097","1,486",3.60,0.41
2017-08-28,金明精机,1300281,15.15,15.20,14.90,14.99,-0.02,-0.13,"7,959","1,194",2.00,0.33
2017-08-25,金明精机,1300281,14.60,15.10,14.60,15.01,0.23,1.56,"8,296","1,244",3.38,0.34
2017-08-24,金明精机,1300281,15.04,15.04,14.60,14.78,-0.05,-0.34,"6,470",956,2.97,0.27
2017-08-23,金明精机,1300281,14.94,15.06,14.81,14.83,0.01,0.07,"6,336",946,1.69,0.26
2017-08-22,金明精机,1300281,15.02,15.09,14.81,14.82,-0.20,-1.33,"6,781","1,010",1.86,0.28
