日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,中国中车,0601766,9.72,9.77,9.71,9.73,0.01,0.10,"220,858","21,502",0.62,0.10
2017-09-28,中国中车,0601766,9.77,9.78,9.71,9.72,-0.05,-0.51,"249,493","24,306",0.72,0.11
2017-09-27,中国中车,0601766,9.76,9.85,9.74,9.77,0.01,0.10,"275,420","26,924",1.13,0.12
2017-09-26,中国中车,0601766,9.76,9.79,9.74,9.76,-0.01,-0.10,"224,741","21,928",0.51,0.10
2017-09-25,中国中车,0601766,9.84,9.85,9.76,9.77,-0.06,-0.61,"316,453","31,023",0.92,0.14
2017-09-22,中国中车,0601766,9.82,9.86,9.81,9.83,-0.01,-0.10,"275,032","27,030",0.51,0.12
2017-09-21,中国中车,0601766,9.87,9.88,9.83,9.84,-0.03,-0.30,"330,345","32,531",0.51,0.14
2017-09-20,中国中车,0601766,9.85,9.87,9.84,9.87,0.01,0.10,"274,899","27,087",0.30,0.12
2017-09-19,中国中车,0601766,9.90,9.92,9.85,9.86,-0.04,-0.40,"378,218","37,368",0.71,0.17
2017-09-18,中国中车,0601766,9.86,9.93,9.86,9.90,0.02,0.20,"333,988","33,026",0.71,0.15
2017-09-15,中国中车,0601766,9.95,9.95,9.85,9.88,-0.08,-0.80,"595,319","58,823",1.00,0.26
2017-09-14,中国中车,0601766,9.91,10.09,9.91,9.96,0.08,0.81,"891,495","89,105",1.82,0.39
2017-09-13,中国中车,0601766,9.84,9.91,9.82,9.88,0.04,0.41,"340,359","33,611",0.91,0.15
2017-09-12,中国中车,0601766,9.86,9.89,9.82,9.84,-0.04,-0.40,"387,489","38,143",0.71,0.17
2017-09-11,中国中车,0601766,9.88,9.91,9.83,9.88,0.03,0.30,"348,980","34,412",0.81,0.15
2017-09-08,中国中车,0601766,9.88,9.89,9.83,9.85,-0.02,-0.20,"310,692","30,611",0.61,0.14
2017-09-07,中国中车,0601766,9.95,9.95,9.86,9.87,-0.09,-0.90,"463,573","45,905",0.90,0.20
2017-09-06,中国中车,0601766,9.89,10.03,9.83,9.96,0.07,0.71,"729,099","72,495",2.02,0.32
2017-09-05,中国中车,0601766,9.89,9.91,9.85,9.89,0.01,0.10,"248,918","24,586",0.61,0.11
2017-09-04,中国中车,0601766,9.91,9.92,9.85,9.88,-0.02,-0.20,"308,205","30,476",0.71,0.13
2017-09-01,中国中车,0601766,9.95,9.96,9.88,9.90,-0.04,-0.40,"401,720","39,788",0.80,0.18
2017-08-31,中国中车,0601766,9.96,9.99,9.92,9.94,-0.03,-0.30,"285,944","28,428",0.70,0.12
2017-08-30,中国中车,0601766,9.95,9.98,9.92,9.97,0.03,0.30,"292,853","29,135",0.60,0.13
2017-08-29,中国中车,0601766,9.97,9.99,9.93,9.94,-0.04,-0.40,"320,743","31,911",0.60,0.14
2017-08-28,中国中车,0601766,9.87,10.05,9.86,9.98,0.07,0.71,"732,730","73,065",1.92,0.32
2017-08-25,中国中车,0601766,9.80,9.92,9.80,9.91,0.09,0.92,"351,634","34,710",1.22,0.15
2017-08-24,中国中车,0601766,9.90,9.90,9.80,9.82,-0.07,-0.71,"305,593","30,082",1.01,0.13
2017-08-23,中国中车,0601766,9.93,9.95,9.88,9.89,-0.04,-0.40,"263,086","26,056",0.70,0.11
2017-08-22,中国中车,0601766,9.99,10.00,9.91,9.93,-0.03,-0.30,"341,549","33,976",0.90,0.15
2017-08-21,中国中车,0601766,9.96,10.00,9.92,9.96,0.01,0.10,"392,085","39,000",0.80,0.17
2017-08-18,中国中车,0601766,9.96,9.97,9.92,9.95,-0.01,-0.10,"294,467","29,277",0.50,0.13
2017-08-17,中国中车,0601766,9.90,10.02,9.89,9.96,0.09,0.91,"425,977","42,404",1.32,0.19
2017-08-16,中国中车,0601766,9.89,9.89,9.84,9.87,-0.03,-0.30,"292,175","28,810",0.51,0.13
2017-08-15,中国中车,0601766,9.92,9.93,9.85,9.90,-0.01,-0.10,"299,576","29,598",0.81,0.13
2017-08-14,中国中车,0601766,9.88,9.93,9.83,9.91,0.10,1.02,"318,791","31,481",1.02,0.14
2017-08-11,中国中车,0601766,10.01,10.01,9.80,9.81,-0.19,-1.90,"583,242","57,834",2.10,0.25
2017-08-10,中国中车,0601766,10.23,10.23,10.14,10.21,-0.01,-0.10,"503,078","51,236",0.88,0.22
2017-08-09,中国中车,0601766,10.24,10.25,10.17,10.22,-0.04,-0.39,"434,751","44,354",0.78,0.19
