日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,中航高科,0600862,12.17,12.83,12.13,12.67,0.48,3.94,"288,352","36,288",5.74,3.65
2017-09-28,中航高科,0600862,11.70,12.44,11.68,12.19,0.40,3.39,"255,492","31,163",6.45,3.23
2017-09-27,中航高科,0600862,11.65,11.82,11.50,11.79,0.06,0.51,"95,888","11,213",2.73,1.21
2017-09-26,中航高科,0600862,11.48,11.78,11.23,11.73,0.12,1.03,"110,084","12,680",4.74,1.39
2017-09-25,中航高科,0600862,12.19,12.23,11.57,11.61,-0.51,-4.21,"150,946","17,924",5.45,1.91
2017-09-22,中航高科,0600862,11.85,12.23,11.71,12.12,0.17,1.42,"222,041","26,763",4.35,2.81
2017-09-21,中航高科,0600862,11.74,12.00,11.52,11.95,0.01,0.08,"140,679","16,475",4.02,1.78
2017-09-20,中航高科,0600862,11.75,12.43,11.71,11.94,0.26,2.23,"235,192","28,362",6.16,2.98
2017-09-19,中航高科,0600862,11.65,11.75,11.51,11.68,0.03,0.26,"127,696","14,849",2.06,1.62
2017-09-18,中航高科,0600862,11.89,11.90,11.55,11.65,-0.17,-1.44,"175,770","20,482",2.96,2.22
2017-09-15,中航高科,0600862,11.14,11.85,11.13,11.82,0.68,6.10,"286,177","33,132",6.46,3.62
2017-09-14,中航高科,0600862,11.10,11.21,11.03,11.14,0.03,0.27,"72,185","8,029",1.62,0.91
2017-09-13,中航高科,0600862,10.96,11.18,10.96,11.11,0.16,1.46,"75,407","8,372",2.01,0.95
2017-09-12,中航高科,0600862,11.16,11.18,10.88,10.95,-0.23,-2.06,"98,313","10,851",2.68,1.24
2017-09-11,中航高科,0600862,11.22,11.28,11.00,11.18,-0.04,-0.36,"61,123","6,823",2.50,0.77
2017-09-08,中航高科,0600862,11.18,11.25,11.01,11.22,0.08,0.72,"69,603","7,778",2.15,0.88
2017-09-07,中航高科,0600862,11.30,11.39,11.12,11.14,-0.22,-1.94,"89,577","10,081",2.38,1.13
2017-09-06,中航高科,0600862,11.35,11.43,11.22,11.36,-0.03,-0.26,"76,432","8,651",1.84,0.97
2017-09-05,中航高科,0600862,11.60,11.60,11.33,11.39,-0.22,-1.89,"100,821","11,510",2.33,1.28
2017-09-04,中航高科,0600862,11.44,11.64,11.41,11.61,0.27,2.38,"159,785","18,487",2.03,2.02
2017-09-01,中航高科,0600862,11.42,11.52,11.15,11.34,-0.08,-0.70,"104,316","11,770",3.24,1.32
2017-08-31,中航高科,0600862,11.49,11.55,11.35,11.42,-0.07,-0.61,"72,007","8,235",1.74,0.91
