日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,建车B,1200054,11.61,11.61,11.31,11.49,0.04,0.35,309,35,2.62,0.10
2017-03-30,建车B,1200054,11.57,11.57,11.26,11.45,-0.22,-1.89,503,57,2.66,0.17
2017-03-29,建车B,1200054,11.65,11.82,11.56,11.67,0.02,0.17,635,74,2.23,0.21
2017-03-28,建车B,1200054,11.98,11.98,11.63,11.65,-0.08,-0.68,263,31,2.98,0.09
2017-03-27,建车B,1200054,11.89,11.90,11.73,11.73,0.01,0.09,254,30,1.45,0.08
2017-03-24,建车B,1200054,11.67,11.80,11.55,11.72,-0.08,-0.68,777,91,2.12,0.26
2017-03-23,建车B,1200054,12.02,12.02,11.65,11.80,-0.05,-0.42,746,88,3.12,0.25
2017-03-22,建车B,1200054,11.99,12.00,11.85,11.85,-0.13,-1.09,296,35,1.25,0.10
2017-03-21,建车B,1200054,11.86,12.00,11.86,11.98,0.12,1.01,564,67,1.18,0.19
2017-03-20,建车B,1200054,11.97,12.00,11.86,11.86,-0.02,-0.17,497,59,1.18,0.17
2017-03-17,建车B,1200054,11.99,11.99,11.85,11.88,-0.12,-1.00,615,73,1.17,0.21
2017-03-16,建车B,1200054,11.78,12.02,11.78,12.00,0.20,1.69,286,34,2.03,0.10
2017-03-15,建车B,1200054,11.85,11.85,11.79,11.80,-0.08,-0.67,337,40,0.51,0.11
2017-03-14,建车B,1200054,11.99,11.99,11.86,11.88,-0.02,-0.17,254,30,1.09,0.08
2017-03-13,建车B,1200054,11.98,12.07,11.80,11.90,-0.08,-0.67,569,68,2.25,0.19
2017-03-10,建车B,1200054,12.30,12.47,11.80,11.98,0.07,0.59,394,47,5.63,0.13
2017-03-09,建车B,1200054,12.19,12.19,11.83,11.91,-0.37,-3.01,959,114,2.93,0.32
2017-03-08,建车B,1200054,12.29,12.30,12.20,12.28,-0.02,-0.16,154,19,0.81,0.05
2017-03-07,建车B,1200054,12.33,12.43,12.25,12.30,0.00,0.00,297,37,1.46,0.10
2017-03-06,建车B,1200054,12.27,12.38,12.17,12.30,0.03,0.24,281,35,1.71,0.09
2017-03-03,建车B,1200054,12.29,12.39,12.26,12.27,-0.11,-0.89,"1,093",135,1.05,0.36
2017-03-02,建车B,1200054,12.29,12.50,12.29,12.38,0.01,0.08,298,37,1.70,0.10
2017-03-01,建车B,1200054,12.40,12.50,12.37,12.37,-0.04,-0.32,306,38,1.05,0.10
2017-02-28,建车B,1200054,12.36,12.43,12.35,12.41,0.03,0.24,172,21,0.65,0.06
2017-02-27,建车B,1200054,12.38,12.44,12.30,12.38,0.03,0.24,85,11,1.13,0.03
2017-02-24,建车B,1200054,12.22,12.35,12.20,12.35,0.14,1.15,184,23,1.23,0.06
2017-02-23,建车B,1200054,12.19,12.38,12.19,12.21,-0.07,-0.57,117,14,1.55,0.04
2017-02-22,建车B,1200054,12.29,12.34,12.28,12.28,0.13,1.07,690,85,0.49,0.23
2017-02-21,建车B,1200054,12.23,12.27,12.13,12.15,-0.09,-0.74,599,73,1.14,0.20
2017-02-20,建车B,1200054,12.13,12.29,12.01,12.24,0.13,1.07,668,81,2.31,0.22
2017-02-17,建车B,1200054,12.36,12.41,12.02,12.11,-0.32,-2.57,"1,146",140,3.14,0.38
2017-02-16,建车B,1200054,12.43,12.48,12.20,12.43,0.00,0.00,"1,259",155,2.25,0.42
2017-02-15,建车B,1200054,12.92,12.92,12.40,12.43,-0.26,-2.05,965,121,4.10,0.32
2017-02-14,建车B,1200054,12.94,12.95,12.66,12.69,-0.09,-0.70,559,71,2.27,0.19
2017-02-13,建车B,1200054,12.87,12.88,12.56,12.78,0.03,0.24,438,56,2.51,0.15
2017-02-10,建车B,1200054,12.80,12.81,12.75,12.75,-0.13,-1.01,180,23,0.47,0.06
2017-02-09,建车B,1200054,12.73,12.90,12.73,12.88,0.10,0.78,395,50,1.33,0.13
2017-02-08,建车B,1200054,12.67,12.82,12.66,12.78,0.05,0.39,52,7,1.26,0.02
2017-02-07,建车B,1200054,12.72,12.88,12.71,12.73,-0.11,-0.86,258,33,1.32,0.09
2017-02-06,建车B,1200054,12.85,12.90,12.82,12.84,-0.10,-0.77,188,24,0.62,0.06
2017-02-03,建车B,1200054,12.95,13.13,12.90,12.94,-0.24,-1.82,94,12,1.75,0.03
2017-01-26,建车B,1200054,13.45,13.45,12.98,13.18,-0.01,-0.08,528,69,3.56,0.18
2017-01-25,建车B,1200054,13.05,13.26,13.00,13.19,0.19,1.46,130,17,2.00,0.04
2017-01-24,建车B,1200054,12.96,13.10,12.96,13.00,0.00,0.00,498,65,1.08,0.17
2017-01-23,建车B,1200054,12.78,13.13,12.78,13.00,0.22,1.72,456,59,2.74,0.15
2017-01-20,建车B,1200054,12.72,12.79,12.72,12.78,0.23,1.83,19,2,0.56,0.01
2017-01-19,建车B,1200054,12.53,12.75,12.53,12.55,-0.15,-1.18,333,42,1.73,0.11
2017-01-18,建车B,1200054,12.78,12.78,12.50,12.70,0.10,0.79,44,5,2.22,0.01
2017-01-17,建车B,1200054,12.69,12.69,12.37,12.60,0.25,2.02,316,39,2.59,0.11
2017-01-16,建车B,1200054,12.70,12.90,12.26,12.35,-0.35,-2.76,496,62,5.04,0.17
2017-01-13,建车B,1200054,13.02,13.02,12.70,12.70,-0.49,-3.71,793,102,2.43,0.26
2017-01-12,建车B,1200054,12.90,13.22,12.55,13.19,-0.15,-1.12,119,16,5.02,0.04
2017-01-11,建车B,1200054,13.57,13.58,13.34,13.34,-0.17,-1.26,397,53,1.78,0.13
2017-01-10,建车B,1200054,13.32,13.56,13.19,13.51,0.19,1.43,468,63,2.78,0.16
2017-01-09,建车B,1200054,13.16,13.35,13.03,13.32,0.19,1.45,684,90,2.44,0.23
2017-01-06,建车B,1200054,13.85,13.85,12.85,13.13,0.26,2.02,"1,050",139,7.77,0.35
2017-01-05,建车B,1200054,12.80,12.89,12.80,12.87,0.01,0.08,194,25,0.70,0.06
2017-01-04,建车B,1200054,12.76,12.87,12.76,12.86,0.03,0.23,176,23,0.86,0.06
2017-01-03,建车B,1200054,12.72,12.86,12.68,12.83,0.01,0.08,521,66,1.40,0.17
2017-06-30,建车B,1200054,9.20,9.33,9.20,9.33,-0.02,-0.21,261,24,1.39,0.09
2017-06-29,建车B,1200054,9.30,9.35,9.29,9.35,0.02,0.21,540,50,0.64,0.18
2017-06-28,建车B,1200054,9.25,9.33,9.12,9.33,-0.12,-1.27,855,79,2.22,0.29
2017-06-27,建车B,1200054,9.31,9.45,9.20,9.45,0.02,0.21,794,74,2.65,0.26
2017-06-26,建车B,1200054,9.22,9.43,9.22,9.43,0.26,2.84,952,89,2.29,0.32
2017-06-23,建车B,1200054,8.70,9.20,8.70,9.17,0.29,3.27,"2,297",209,5.63,0.77
2017-06-22,建车B,1200054,8.90,8.99,8.88,8.88,-0.02,-0.22,806,72,1.24,0.27
2017-06-21,建车B,1200054,8.69,8.90,8.61,8.90,0.13,1.48,"1,825",161,3.31,0.61
2017-06-20,建车B,1200054,8.82,8.82,8.66,8.77,0.00,0.00,608,53,1.82,0.20
2017-06-19,建车B,1200054,8.57,8.77,8.57,8.77,0.15,1.74,146,13,2.32,0.05
2017-06-16,建车B,1200054,8.70,8.75,8.55,8.62,-0.02,-0.23,588,51,2.31,0.20
2017-06-15,建车B,1200054,8.47,8.66,8.46,8.64,0.29,3.47,518,44,2.40,0.17
2017-06-14,建车B,1200054,8.36,8.42,8.34,8.35,-0.05,-0.60,533,45,0.95,0.18
2017-06-13,建车B,1200054,8.19,8.51,8.18,8.40,0.19,2.31,518,43,4.02,0.17
2017-06-12,建车B,1200054,8.46,8.46,8.18,8.21,-0.30,-3.53,"1,812",151,3.29,0.60
2017-06-09,建车B,1200054,8.50,8.65,8.41,8.51,0.00,0.00,173,15,2.82,0.06
2017-06-08,建车B,1200054,8.50,8.53,8.36,8.51,0.17,2.04,459,39,2.04,0.15
2017-06-07,建车B,1200054,8.28,8.40,8.19,8.34,0.09,1.09,712,59,2.55,0.24
2017-06-06,建车B,1200054,8.57,8.57,8.20,8.25,0.01,0.12,182,15,4.49,0.06
2017-06-05,建车B,1200054,8.05,8.30,8.05,8.24,0.08,0.98,201,17,3.06,0.07
2017-06-02,建车B,1200054,8.10,8.30,7.99,8.16,-0.04,-0.49,727,59,3.78,0.24
2017-06-01,建车B,1200054,8.51,8.51,8.09,8.20,-0.28,-3.30,957,79,4.95,0.32
2017-05-31,建车B,1200054,8.70,8.84,8.48,8.48,-0.26,-2.97,685,59,4.12,0.23
2017-05-26,建车B,1200054,8.89,8.89,8.69,8.74,0.07,0.81,190,17,2.31,0.06
2017-05-25,建车B,1200054,8.83,8.83,8.48,8.67,0.01,0.12,665,58,4.04,0.22
2017-05-24,建车B,1200054,8.75,8.75,8.50,8.66,-0.04,-0.46,351,30,2.87,0.12
2017-05-23,建车B,1200054,9.01,9.05,8.60,8.70,-0.41,-4.50,701,62,4.94,0.23
2017-05-22,建车B,1200054,9.28,9.33,9.00,9.11,-0.46,-4.81,722,66,3.45,0.24
2017-05-19,建车B,1200054,9.69,9.69,9.08,9.57,-0.10,-1.03,431,40,6.31,0.14
2017-05-18,建车B,1200054,9.63,9.73,9.62,9.67,-0.04,-0.41,33,3,1.13,0.01
2017-05-17,建车B,1200054,9.74,9.74,9.54,9.71,0.01,0.10,323,31,2.06,0.11
