日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-09-30,时代电气,0688187,47.48,51.60,47.30,50.70,3.18,6.69,"88,012","44,084",9.05,5.55
2021-09-29,时代电气,0688187,48.15,49.58,46.50,47.52,-1.78,-3.61,"83,321","39,845",6.25,5.26
2021-09-28,时代电气,0688187,49.74,50.90,48.88,49.30,-0.65,-1.30,"70,157","34,994",4.04,4.43
2021-09-27,时代电气,0688187,50.80,51.00,47.72,49.95,0.15,0.30,"91,221","45,106",6.59,5.76
2021-09-24,时代电气,0688187,50.99,51.44,49.52,49.80,-0.59,-1.17,"70,884","35,775",3.81,4.47
2021-09-23,时代电气,0688187,48.13,51.88,47.77,50.39,2.33,4.85,"157,280","79,228",8.55,9.92
2021-09-22,时代电气,0688187,46.29,49.80,46.19,48.06,0.88,1.87,"113,119","54,929",7.65,7.14
2021-09-17,时代电气,0688187,47.47,48.74,45.90,47.18,-0.30,-0.63,"124,996","59,163",5.98,7.89
2021-09-16,时代电气,0688187,50.60,50.60,47.38,47.48,-3.00,-5.94,"137,172","66,902",6.38,8.66
2021-09-15,时代电气,0688187,52.30,53.08,49.90,50.48,-2.13,-4.05,"148,071","75,791",6.04,9.34
2021-09-14,时代电气,0688187,50.84,53.77,50.51,52.61,1.11,2.16,"195,513","103,153",6.33,12.34
2021-09-13,时代电气,0688187,51.20,53.21,50.25,51.50,-0.04,-0.08,"175,053","90,715",5.74,11.05
2021-09-10,时代电气,0688187,52.80,53.42,49.80,51.54,-1.65,-3.10,"289,735","148,953",6.81,18.28
2021-09-09,时代电气,0688187,52.80,54.46,50.33,53.19,1.19,2.29,"309,845","163,602",7.94,19.55
2021-09-08,时代电气,0688187,57.60,58.27,51.81,52.00,-5.50,-9.57,"518,083","285,662",11.23,32.69
2021-09-07,时代电气,0688187,55.11,62.76,54.62,57.50,26.12,83.24,"1,024,267","583,951",25.94,64.63
2021-12-31,时代电气,0688187,79.81,83.55,79.81,82.00,1.54,1.91,"50,018","41,000",4.65,3.16
2021-12-30,时代电气,0688187,79.84,81.81,78.21,80.46,0.86,1.08,"42,681","34,351",4.52,2.69
2021-12-29,时代电气,0688187,79.92,82.46,78.40,79.60,-0.80,-1.00,"29,475","23,578",5.05,1.86
2021-12-28,时代电气,0688187,82.74,83.37,79.97,80.40,-1.84,-2.24,"40,329","32,710",4.13,2.54
2021-12-27,时代电气,0688187,79.70,83.99,79.70,82.24,2.21,2.76,"50,504","41,603",5.36,3.19
2021-12-24,时代电气,0688187,81.80,84.88,79.85,80.03,-2.52,-3.05,"49,408","40,540",6.09,3.12
2021-12-23,时代电气,0688187,78.71,83.93,77.00,82.55,3.59,4.55,"63,662","52,116",8.78,4.02
2021-12-22,时代电气,0688187,82.18,82.90,78.64,78.96,-3.23,-3.93,"41,473","33,328",5.18,2.62
2021-12-21,时代电气,0688187,74.34,82.98,74.16,82.19,6.91,9.18,"67,125","53,258",11.72,4.24
2021-12-20,时代电气,0688187,77.50,78.00,74.00,75.28,-1.88,-2.44,"40,133","30,336",5.18,2.53
2021-12-17,时代电气,0688187,78.71,78.80,74.00,77.16,-0.82,-1.05,"57,988","44,133",6.16,3.66
