日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,晋西车轴,0600495,6.99,7.09,6.96,7.05,-0.04,-0.56,"158,296","11,120",1.83,1.31
2017-06-29,晋西车轴,0600495,7.12,7.16,7.06,7.09,-0.01,-0.14,"241,621","17,161",1.41,2.00
2017-06-28,晋西车轴,0600495,7.16,7.20,6.99,7.10,-0.11,-1.53,"343,716","24,265",2.91,2.84
2017-06-27,晋西车轴,0600495,7.50,7.50,7.13,7.21,-0.05,-0.69,"716,853","52,201",5.10,5.93
2017-06-26,晋西车轴,0600495,6.62,7.26,6.62,7.26,0.66,10.00,"229,555","16,381",9.70,1.90
2017-06-23,晋西车轴,0600495,6.60,6.64,6.48,6.60,-0.02,-0.30,"122,419","8,036",2.42,1.01
2017-06-22,晋西车轴,0600495,6.75,6.78,6.60,6.62,-0.15,-2.22,"142,270","9,522",2.66,1.18
2017-06-21,晋西车轴,0600495,6.73,6.83,6.72,6.77,0.04,0.59,"152,123","10,312",1.63,1.26
2017-06-20,晋西车轴,0600495,6.78,6.84,6.70,6.73,-0.05,-0.74,"149,463","10,105",2.06,1.24
2017-06-19,晋西车轴,0600495,6.73,6.79,6.70,6.78,0.05,0.74,"154,540","10,437",1.34,1.28
2017-06-16,晋西车轴,0600495,6.62,6.76,6.61,6.73,0.10,1.51,"179,448","12,020",2.26,1.49
2017-06-15,晋西车轴,0600495,6.56,6.69,6.54,6.63,0.06,0.91,"134,814","8,935",2.28,1.12
2017-06-14,晋西车轴,0600495,6.54,6.62,6.54,6.57,0.01,0.15,"103,917","6,831",1.22,0.86
2017-06-13,晋西车轴,0600495,6.48,6.57,6.46,6.56,0.07,1.08,"105,500","6,885",1.69,0.87
2017-06-12,晋西车轴,0600495,6.66,6.66,6.46,6.49,-0.19,-2.84,"121,370","7,939",2.99,1.00
2017-06-09,晋西车轴,0600495,6.71,6.75,6.66,6.68,-0.02,-0.30,"96,800","6,478",1.34,0.80
2017-06-08,晋西车轴,0600495,6.80,6.80,6.69,6.70,-0.08,-1.18,"110,116","7,402",1.62,0.91
2017-06-07,晋西车轴,0600495,6.68,6.78,6.66,6.78,0.09,1.35,"136,890","9,228",1.79,1.13
2017-06-06,晋西车轴,0600495,6.67,6.71,6.62,6.69,0.05,0.75,"72,000","4,801",1.36,0.60
2017-06-05,晋西车轴,0600495,6.58,6.65,6.58,6.64,0.07,1.07,"66,114","4,375",1.07,0.55
2017-06-02,晋西车轴,0600495,6.47,6.60,6.40,6.57,0.13,2.02,"87,649","5,692",3.11,0.73
2017-06-01,晋西车轴,0600495,6.62,6.70,6.41,6.44,-0.21,-3.16,"103,812","6,837",4.36,0.86
2017-05-31,晋西车轴,0600495,6.72,6.79,6.64,6.65,0.02,0.30,"83,630","5,608",2.26,0.69
2017-05-26,晋西车轴,0600495,6.63,6.74,6.61,6.63,0.01,0.15,"106,484","7,098",1.96,0.88
2017-05-25,晋西车轴,0600495,6.56,6.65,6.44,6.62,0.06,0.91,"144,962","9,497",3.20,1.20
2017-05-24,晋西车轴,0600495,6.51,6.61,6.32,6.56,0.01,0.15,"129,862","8,418",4.43,1.07
2017-05-23,晋西车轴,0600495,6.86,6.89,6.52,6.55,-0.31,-4.52,"208,414","13,932",5.39,1.73
2017-05-22,晋西车轴,0600495,7.10,7.10,6.85,6.86,-0.21,-2.97,"129,570","9,056",3.54,1.07
2017-05-19,晋西车轴,0600495,7.06,7.14,7.02,7.07,-0.02,-0.28,"94,295","6,672",1.69,0.78
2017-05-18,晋西车轴,0600495,7.11,7.20,7.08,7.09,-0.17,-2.34,"160,217","11,420",1.65,1.33
2017-05-17,晋西车轴,0600495,7.14,7.29,7.08,7.26,0.12,1.68,"257,580","18,539",2.94,2.13
2017-05-16,晋西车轴,0600495,7.06,7.15,6.85,7.14,0.07,0.99,"188,061","13,169",4.24,1.56
2017-05-15,晋西车轴,0600495,7.12,7.20,7.03,7.07,0.00,0.00,"141,605","10,056",2.40,1.17
2017-05-12,晋西车轴,0600495,7.16,7.17,6.97,7.07,-0.12,-1.67,"170,374","12,070",2.78,1.41
2017-05-11,晋西车轴,0600495,6.99,7.23,6.81,7.19,0.14,1.99,"243,347","17,087",5.96,2.01
2017-05-10,晋西车轴,0600495,7.29,7.39,7.03,7.05,-0.22,-3.03,"183,492","13,195",4.95,1.52
2017-05-09,晋西车轴,0600495,7.18,7.34,7.18,7.27,0.11,1.54,"149,283","10,832",2.23,1.24
2017-05-08,晋西车轴,0600495,7.45,7.55,7.11,7.16,-0.35,-4.66,"247,435","18,090",5.86,2.05
2017-05-05,晋西车轴,0600495,7.60,7.71,7.50,7.51,-0.11,-1.44,"188,951","14,341",2.76,1.56
2017-05-04,晋西车轴,0600495,7.75,7.87,7.48,7.62,-0.13,-1.68,"271,618","20,787",5.03,2.25
2017-05-03,晋西车轴,0600495,7.73,7.88,7.68,7.75,0.05,0.65,"218,568","17,022",2.60,1.81
2017-05-02,晋西车轴,0600495,7.70,7.83,7.66,7.70,-0.04,-0.52,"185,214","14,332",2.20,1.53
2017-04-28,晋西车轴,0600495,7.65,7.80,7.58,7.74,0.07,0.91,"210,497","16,213",2.87,1.74
2017-04-27,晋西车轴,0600495,7.46,7.73,7.18,7.67,0.17,2.27,"345,415","26,016",7.33,2.86
2017-04-26,晋西车轴,0600495,7.51,7.53,7.40,7.50,0.03,0.40,"190,713","14,267",1.74,1.58
2017-04-25,晋西车轴,0600495,7.36,7.58,7.36,7.47,0.08,1.08,"255,364","19,115",2.98,2.11
2017-04-24,晋西车轴,0600495,7.70,7.76,7.31,7.39,-0.54,-6.81,"480,264","36,000",5.67,3.98
2017-04-21,晋西车轴,0600495,8.82,8.89,7.93,7.93,-0.88,-9.99,"789,285","65,537",10.90,6.53
2017-04-20,晋西车轴,0600495,8.86,8.94,8.55,8.81,-0.11,-1.23,"444,537","38,991",4.37,3.68
2017-04-19,晋西车轴,0600495,8.62,9.00,8.50,8.92,0.15,1.71,"723,926","64,017",5.70,5.99
2017-04-18,晋西车轴,0600495,8.72,8.95,8.60,8.77,0.11,1.27,"425,533","37,416",4.04,3.52
2017-04-17,晋西车轴,0600495,8.67,8.80,8.58,8.66,-0.02,-0.23,"285,240","24,748",2.53,2.36
2017-04-14,晋西车轴,0600495,8.77,8.91,8.62,8.68,-0.08,-0.91,"386,930","33,944",3.31,3.20
2017-04-13,晋西车轴,0600495,8.82,8.95,8.70,8.76,-0.13,-1.46,"411,451","36,266",2.81,3.41
2017-04-12,晋西车轴,0600495,9.15,9.22,8.78,8.89,-0.32,-3.47,"639,784","57,597",4.78,5.30
2017-04-11,晋西车轴,0600495,8.75,9.40,8.72,9.21,0.38,4.30,"1,024,180","92,483",7.70,8.48
2017-04-10,晋西车轴,0600495,8.98,9.10,8.75,8.83,-0.14,-1.56,"652,373","58,040",3.90,5.40
2017-04-07,晋西车轴,0600495,9.01,9.09,8.88,8.97,-0.21,-2.29,"677,536","60,677",2.29,5.61
2017-04-06,晋西车轴,0600495,9.00,9.39,8.86,9.18,0.25,2.80,"1,359,646","124,447",5.94,11.25
2017-04-05,晋西车轴,0600495,8.42,9.20,8.36,8.93,0.47,5.56,"852,085","75,221",9.93,7.05
2017-03-31,晋西车轴,0600495,8.63,8.74,8.30,8.46,-0.32,-3.64,"769,937","65,288",5.01,6.37
2017-03-30,晋西车轴,0600495,8.49,9.35,8.46,8.78,0.22,2.57,"1,437,851","127,596",10.40,11.90
2017-03-29,晋西车轴,0600495,8.30,8.83,8.30,8.56,0.19,2.27,"1,120,405","96,448",6.33,9.27
2017-03-28,晋西车轴,0600495,8.25,8.46,8.16,8.37,0.10,1.21,"499,058","41,570",3.63,4.13
2017-03-27,晋西车轴,0600495,8.30,8.43,8.25,8.27,-0.08,-0.96,"453,236","37,766",2.16,3.75
2017-03-24,晋西车轴,0600495,7.90,8.60,7.84,8.35,0.42,5.30,"794,875","65,982",9.58,6.58
2017-03-23,晋西车轴,0600495,8.03,8.06,7.83,7.93,-0.10,-1.25,"230,973","18,376",2.86,1.91
2017-03-22,晋西车轴,0600495,7.99,8.10,7.92,8.03,0.01,0.12,"209,908","16,843",2.24,1.74
2017-03-21,晋西车轴,0600495,8.02,8.06,7.98,8.02,0.00,0.00,"120,679","9,686",1.00,1.00
2017-03-20,晋西车轴,0600495,8.00,8.06,7.96,8.02,0.01,0.12,"133,580","10,697",1.25,1.11
2017-03-17,晋西车轴,0600495,8.18,8.18,7.99,8.01,-0.13,-1.60,"169,851","13,723",2.33,1.41
2017-03-16,晋西车轴,0600495,8.09,8.15,8.07,8.14,0.09,1.12,"173,354","14,039",0.99,1.43
2017-03-15,晋西车轴,0600495,8.01,8.14,7.98,8.05,0.01,0.12,"153,595","12,369",1.99,1.27
2017-03-14,晋西车轴,0600495,8.05,8.11,8.00,8.04,-0.02,-0.25,"142,533","11,492",1.36,1.18
2017-03-13,晋西车轴,0600495,8.02,8.06,7.95,8.06,0.03,0.37,"161,517","12,942",1.37,1.34
2017-03-10,晋西车轴,0600495,8.10,8.15,8.02,8.03,-0.10,-1.23,"170,790","13,793",1.60,1.41
2017-03-09,晋西车轴,0600495,8.21,8.24,8.10,8.13,-0.13,-1.57,"192,367","15,660",1.69,1.59
2017-03-08,晋西车轴,0600495,8.23,8.35,8.18,8.26,0.04,0.49,"254,205","21,054",2.07,2.10
2017-03-07,晋西车轴,0600495,8.23,8.26,8.17,8.22,0.01,0.12,"157,498","12,927",1.10,1.30
2017-03-06,晋西车轴,0600495,8.18,8.21,8.11,8.21,0.07,0.86,"148,555","12,159",1.23,1.23
2017-03-03,晋西车轴,0600495,8.07,8.18,8.06,8.14,0.02,0.25,"159,677","12,966",1.48,1.32
2017-03-02,晋西车轴,0600495,8.23,8.27,8.11,8.12,-0.11,-1.34,"185,293","15,131",1.94,1.53
2017-03-01,晋西车轴,0600495,8.20,8.32,8.14,8.23,0.03,0.37,"222,758","18,377",2.20,1.84
2017-02-28,晋西车轴,0600495,8.15,8.23,8.12,8.20,0.05,0.61,"163,949","13,414",1.35,1.36
2017-02-27,晋西车轴,0600495,8.34,8.35,8.13,8.15,-0.19,-2.28,"252,652","20,784",2.64,2.09
2017-02-24,晋西车轴,0600495,8.29,8.36,8.21,8.34,0.03,0.36,"265,905","22,050",1.81,2.20
2017-02-23,晋西车轴,0600495,8.46,8.48,8.26,8.31,-0.15,-1.77,"328,706","27,388",2.60,2.72
2017-02-22,晋西车轴,0600495,8.48,8.50,8.38,8.46,0.02,0.24,"367,427","31,008",1.42,3.04
2017-02-21,晋西车轴,0600495,8.45,8.45,8.35,8.44,-0.03,-0.35,"319,730","26,852",1.18,2.65
2017-02-20,晋西车轴,0600495,8.25,8.49,8.25,8.47,0.23,2.79,"595,264","49,986",2.91,4.93
2017-02-17,晋西车轴,0600495,8.18,8.29,8.09,8.24,0.03,0.37,"356,071","29,168",2.44,2.95
2017-02-16,晋西车轴,0600495,8.07,8.24,8.04,8.21,0.11,1.36,"296,958","24,247",2.47,2.46
2017-02-15,晋西车轴,0600495,8.23,8.31,8.04,8.10,-0.15,-1.82,"411,708","33,658",3.27,3.41
2017-02-14,晋西车轴,0600495,8.32,8.36,8.19,8.25,-0.07,-0.84,"309,259","25,541",2.04,2.56
2017-02-13,晋西车轴,0600495,8.25,8.41,8.21,8.32,0.03,0.36,"319,572","26,561",2.41,2.65
2017-02-10,晋西车轴,0600495,8.40,8.53,8.28,8.29,-0.16,-1.89,"523,269","43,988",2.96,4.33
2017-02-09,晋西车轴,0600495,8.41,8.67,8.37,8.45,0.00,0.00,"620,281","52,826",3.55,5.13
2017-02-08,晋西车轴,0600495,8.26,8.50,8.25,8.45,0.14,1.68,"480,702","40,366",3.01,3.98
2017-02-07,晋西车轴,0600495,8.39,8.47,8.22,8.31,-0.10,-1.19,"405,300","33,734",2.97,3.35
2017-02-06,晋西车轴,0600495,8.19,8.43,8.12,8.41,0.22,2.69,"486,020","40,303",3.79,4.02
2017-02-03,晋西车轴,0600495,8.11,8.28,8.02,8.19,0.11,1.36,"411,902","33,743",3.22,3.41
2017-01-26,晋西车轴,0600495,8.10,8.15,8.05,8.08,0.02,0.25,"258,279","20,916",1.24,2.14
2017-01-25,晋西车轴,0600495,8.03,8.09,7.98,8.06,-0.03,-0.37,"247,248","19,889",1.36,2.05
2017-01-24,晋西车轴,0600495,7.97,8.15,7.85,8.09,0.05,0.62,"460,703","36,849",3.73,3.81
2017-01-23,晋西车轴,0600495,8.10,8.19,8.00,8.04,-0.01,-0.12,"397,395","32,177",2.36,3.29
2017-01-20,晋西车轴,0600495,7.85,8.12,7.83,8.05,0.14,1.77,"383,208","30,784",3.67,3.17
2017-01-19,晋西车轴,0600495,8.01,8.10,7.85,7.91,-0.23,-2.83,"379,595","30,242",3.07,3.14
2017-01-18,晋西车轴,0600495,7.98,8.23,7.86,8.14,0.08,0.99,"591,751","47,711",4.59,4.90
2017-01-17,晋西车轴,0600495,7.69,8.11,7.62,8.06,0.34,4.40,"741,649","58,887",6.35,6.14
2017-01-16,晋西车轴,0600495,7.98,8.00,7.30,7.72,-0.33,-4.10,"624,386","48,332",8.70,5.17
2017-01-13,晋西车轴,0600495,8.41,8.48,8.03,8.05,-0.36,-4.28,"650,304","53,571",5.35,5.38
2017-01-12,晋西车轴,0600495,8.44,8.54,8.31,8.41,-0.16,-1.87,"679,534","57,120",2.68,5.62
2017-01-11,晋西车轴,0600495,8.50,8.75,8.43,8.57,0.00,0.00,"955,933","82,737",3.73,7.91
2017-01-10,晋西车轴,0600495,8.71,8.93,8.54,8.57,-0.37,-4.14,"1,459,421","126,699",4.36,12.08
2017-01-09,晋西车轴,0600495,8.31,9.14,8.02,8.94,0.63,7.58,"2,445,817","215,379",13.48,20.24
2017-01-06,晋西车轴,0600495,8.31,8.31,8.31,8.31,0.76,10.07,"337,124","28,015",0.00,2.79
2017-01-05,晋西车轴,0600495,7.39,7.57,7.37,7.55,0.14,1.89,"264,305","19,855",2.70,2.19
2017-01-04,晋西车轴,0600495,7.37,7.48,7.37,7.41,0.05,0.68,"155,340","11,532",1.49,1.29
2017-01-03,晋西车轴,0600495,7.30,7.38,7.26,7.36,0.10,1.38,"109,081","7,998",1.65,0.90
2017-09-29,晋西车轴,0600495,7.03,7.07,7.02,7.04,0.02,0.28,"79,285","5,584",0.71,0.66
