日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,神州高铁,1000008,7.24,7.29,7.17,7.28,0.03,0.41,"42,680","3,083",1.66,0.21
2017-06-29,神州高铁,1000008,7.26,7.29,7.24,7.25,-0.02,-0.28,"38,610","2,805",0.69,0.19
2017-06-28,神州高铁,1000008,7.33,7.35,7.24,7.27,-0.06,-0.82,"38,644","2,813",1.50,0.19
2017-06-27,神州高铁,1000008,7.42,7.42,7.31,7.33,-0.06,-0.81,"61,513","4,519",1.49,0.30
2017-06-26,神州高铁,1000008,7.18,7.46,7.16,7.39,0.20,2.78,"92,645","6,842",4.17,0.45
2017-06-23,神州高铁,1000008,7.23,7.28,7.09,7.19,-0.05,-0.69,"54,428","3,914",2.62,0.26
2017-06-22,神州高铁,1000008,7.37,7.38,7.24,7.24,-0.13,-1.76,"39,080","2,858",1.90,0.19
2017-06-21,神州高铁,1000008,7.41,7.44,7.34,7.37,-0.02,-0.27,"41,945","3,089",1.35,0.20
2017-06-20,神州高铁,1000008,7.45,7.47,7.36,7.39,-0.02,-0.27,"41,010","3,029",1.48,0.20
2017-06-19,神州高铁,1000008,7.35,7.44,7.35,7.41,0.06,0.82,"50,846","3,763",1.22,0.25
2017-06-16,神州高铁,1000008,7.35,7.47,7.32,7.35,0.00,0.00,"47,641","3,529",2.04,0.23
2017-06-15,神州高铁,1000008,7.36,7.37,7.31,7.35,0.01,0.14,"32,311","2,372",0.82,0.16
2017-06-14,神州高铁,1000008,7.33,7.38,7.30,7.34,0.04,0.55,"43,641","3,204",1.10,0.21
2017-06-13,神州高铁,1000008,7.23,7.31,7.22,7.30,0.04,0.55,"46,032","3,349",1.24,0.22
2017-06-12,神州高铁,1000008,7.29,7.35,7.23,7.26,-0.04,-0.55,"46,803","3,411",1.64,0.23
2017-06-09,神州高铁,1000008,7.27,7.31,7.22,7.30,0.05,0.69,"84,054","6,114",1.24,0.41
2017-06-08,神州高铁,1000008,7.28,7.29,7.21,7.25,-0.01,-0.14,"52,190","3,781",1.10,0.25
2017-06-07,神州高铁,1000008,7.14,7.29,7.12,7.26,0.12,1.68,"81,612","5,898",2.38,0.40
2017-06-06,神州高铁,1000008,7.12,7.15,7.09,7.14,0.02,0.28,"38,152","2,719",0.84,0.19
2017-06-05,神州高铁,1000008,7.08,7.15,7.06,7.12,0.01,0.14,"47,520","3,382",1.27,0.23
2017-06-02,神州高铁,1000008,7.02,7.12,6.92,7.11,0.11,1.57,"49,902","3,509",2.86,0.24
2017-06-01,神州高铁,1000008,7.09,7.10,6.93,7.01,-0.08,-1.13,"62,475","4,373",2.40,0.30
2017-05-31,神州高铁,1000008,7.21,7.27,7.07,7.09,-0.06,-0.84,"97,021","6,955",2.80,0.47
2017-05-26,神州高铁,1000008,7.15,7.24,7.08,7.15,-0.03,-0.42,"76,236","5,459",2.23,0.37
2017-05-25,神州高铁,1000008,6.95,7.24,6.91,7.18,0.20,2.87,"120,861","8,601",4.73,0.59
2017-05-24,神州高铁,1000008,7.04,7.04,6.85,6.98,-0.10,-1.41,"58,044","4,037",2.68,0.28
2017-05-23,神州高铁,1000008,7.25,7.29,7.04,7.08,-0.17,-2.34,"69,047","4,916",3.45,0.34
2017-05-22,神州高铁,1000008,7.32,7.34,7.24,7.25,-0.11,-1.49,"33,676","2,454",1.36,0.16
2017-05-19,神州高铁,1000008,7.37,7.38,7.26,7.36,0.00,0.00,"51,630","3,782",1.63,0.25
2017-05-18,神州高铁,1000008,7.42,7.42,7.32,7.36,-0.04,-0.54,"54,285","4,001",1.35,0.26
2017-05-17,神州高铁,1000008,7.37,7.46,7.31,7.40,0.02,0.27,"63,816","4,724",2.03,0.31
2017-05-16,神州高铁,1000008,7.36,7.39,7.22,7.38,0.02,0.27,"58,005","4,237",2.31,0.28
2017-05-15,神州高铁,1000008,7.36,7.44,7.29,7.36,0.01,0.14,"54,646","4,021",2.04,0.27
2017-05-12,神州高铁,1000008,7.40,7.41,7.30,7.35,-0.07,-0.94,"40,182","2,948",1.48,0.20
2017-05-11,神州高铁,1000008,7.32,7.42,7.05,7.42,0.06,0.82,"92,051","6,645",5.03,0.45
2017-05-10,神州高铁,1000008,7.38,7.50,7.33,7.36,0.03,0.41,"77,370","5,742",2.32,0.38
2017-05-09,神州高铁,1000008,7.20,7.37,7.19,7.33,0.02,0.27,"57,489","4,208",2.46,0.28
