日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,航发控制,1000738,24.33,24.85,24.32,24.58,0.36,1.49,"86,764","21,368",2.19,0.76
2017-03-30,航发控制,1000738,24.66,24.69,24.20,24.22,-0.42,-1.70,"59,857","14,584",1.99,0.52
2017-03-29,航发控制,1000738,24.60,24.80,24.56,24.64,0.05,0.20,"48,533","11,975",0.98,0.42
2017-03-28,航发控制,1000738,24.80,24.93,24.58,24.59,-0.22,-0.89,"47,343","11,704",1.41,0.41
2017-03-27,航发控制,1000738,24.56,24.88,24.56,24.81,0.29,1.18,"73,967","18,304",1.31,0.65
2017-03-24,航发控制,1000738,24.60,24.64,24.34,24.52,-0.04,-0.16,"40,881","9,995",1.22,0.36
2017-03-23,航发控制,1000738,24.40,24.66,24.22,24.56,0.25,1.03,"64,540","15,814",1.81,0.56
2017-03-22,航发控制,1000738,24.62,24.69,24.28,24.31,-0.45,-1.82,"67,392","16,453",1.66,0.59
2017-03-21,航发控制,1000738,24.66,24.78,24.60,24.76,0.10,0.41,"37,050","9,146",0.73,0.32
2017-03-20,航发控制,1000738,24.81,24.89,24.50,24.66,-0.15,-0.60,"63,369","15,627",1.57,0.55
2017-03-17,航发控制,1000738,25.05,25.28,24.80,24.81,-0.23,-0.92,"94,615","23,692",1.92,0.83
2017-03-16,航发控制,1000738,24.90,25.09,24.90,25.04,0.20,0.81,"58,226","14,556",0.76,0.51
2017-03-15,航发控制,1000738,25.06,25.16,24.82,24.84,-0.29,-1.15,"68,605","17,098",1.35,0.60
2017-03-14,航发控制,1000738,25.18,25.37,24.99,25.13,-0.02,-0.08,"67,240","16,922",1.51,0.59
2017-03-13,航发控制,1000738,24.94,25.20,24.93,25.15,0.25,1.00,"83,798","20,987",1.08,0.73
2017-03-10,航发控制,1000738,25.09,25.27,24.86,24.90,-0.21,-0.84,"59,750","14,956",1.63,0.52
2017-03-09,航发控制,1000738,25.30,25.45,25.06,25.11,-0.35,-1.37,"69,532","17,532",1.53,0.61
2017-03-08,航发控制,1000738,25.55,25.90,25.40,25.46,-0.05,-0.20,"74,386","19,081",1.96,0.65
2017-03-07,航发控制,1000738,25.68,25.70,25.42,25.51,-0.20,-0.78,"55,386","14,134",1.09,0.48
2017-03-06,航发控制,1000738,25.57,25.77,25.40,25.71,0.19,0.74,"85,795","21,971",1.45,0.75
2017-03-03,航发控制,1000738,25.22,25.61,25.14,25.52,0.31,1.23,"77,629","19,746",1.86,0.68
2017-03-02,航发控制,1000738,25.47,25.50,25.14,25.21,-0.21,-0.83,"51,558","13,035",1.42,0.45
2017-03-01,航发控制,1000738,25.24,25.59,25.21,25.42,0.20,0.79,"79,046","20,118",1.51,0.69
2017-02-28,航发控制,1000738,25.05,25.28,25.00,25.22,0.11,0.44,"49,243","12,371",1.12,0.43
2017-02-27,航发控制,1000738,25.55,25.59,25.01,25.11,-0.54,-2.11,"84,317","21,324",2.26,0.74
2017-02-24,航发控制,1000738,25.50,25.72,25.48,25.65,0.07,0.27,"58,129","14,887",0.94,0.51
2017-02-23,航发控制,1000738,25.94,25.98,25.41,25.58,-0.31,-1.20,"76,102","19,521",2.20,0.66
2017-02-22,航发控制,1000738,26.05,26.13,25.82,25.89,-0.16,-0.61,"65,101","16,884",1.19,0.57
2017-02-21,航发控制,1000738,25.98,26.16,25.78,26.05,0.07,0.27,"89,298","23,161",1.46,0.78
2017-02-20,航发控制,1000738,25.91,26.24,25.77,25.98,0.23,0.89,"94,378","24,495",1.83,0.82
2017-02-17,航发控制,1000738,25.51,25.96,25.41,25.75,0.10,0.39,"110,294","28,359",2.14,0.96
2017-02-16,航发控制,1000738,25.51,25.85,25.49,25.65,0.09,0.35,"64,494","16,512",1.41,0.56
2017-02-15,航发控制,1000738,25.70,25.89,25.47,25.56,-0.10,-0.39,"74,938","19,230",1.64,0.65
2017-02-14,航发控制,1000738,25.69,25.93,25.60,25.66,-0.04,-0.16,"59,870","15,413",1.28,0.52
2017-02-13,航发控制,1000738,25.73,25.85,25.55,25.70,-0.02,-0.08,"62,691","16,098",1.17,0.55
2017-02-10,航发控制,1000738,26.06,26.13,25.70,25.72,-0.34,-1.30,"76,944","19,891",1.65,0.67
2017-02-09,航发控制,1000738,26.12,26.18,25.92,26.06,-0.07,-0.27,"75,689","19,698",1.00,0.66
2017-02-08,航发控制,1000738,25.69,26.17,25.50,26.13,0.47,1.83,"110,376","28,585",2.61,0.96
2017-02-07,航发控制,1000738,25.95,26.06,25.60,25.66,-0.36,-1.38,"62,751","16,153",1.77,0.55
2017-02-06,航发控制,1000738,25.83,26.10,25.57,26.02,0.19,0.74,"72,649","18,822",2.05,0.63
2017-02-03,航发控制,1000738,25.48,26.13,25.39,25.83,0.30,1.18,"72,661","18,745",2.90,0.63
2017-01-26,航发控制,1000738,25.50,25.65,25.40,25.53,0.11,0.43,"44,132","11,265",0.98,0.39
2017-01-25,航发控制,1000738,25.04,25.43,25.04,25.42,0.28,1.11,"51,553","13,040",1.55,0.45
2017-01-24,航发控制,1000738,25.40,25.43,25.10,25.14,-0.27,-1.06,"36,441","9,194",1.30,0.32
2017-01-23,航发控制,1000738,25.34,25.86,25.28,25.41,0.17,0.67,"64,046","16,369",2.30,0.56
2017-01-20,航发控制,1000738,25.08,25.34,25.00,25.24,0.14,0.56,"49,919","12,576",1.35,0.44
2017-01-19,航发控制,1000738,24.90,25.20,24.70,25.10,0.11,0.44,"45,623","11,402",2.00,0.40
2017-01-18,航发控制,1000738,24.89,25.38,24.80,24.99,-0.05,-0.20,"45,066","11,282",2.32,0.39
