日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-31,高铁电气,0688285,10.29,10.33,10.12,10.17,-0.08,-0.78,"49,733","5,074",2.05,6.90
2021-12-30,高铁电气,0688285,10.25,10.35,10.18,10.25,0.05,0.49,"39,951","4,093",1.67,5.54
2021-12-29,高铁电气,0688285,10.00,10.38,9.87,10.20,0.20,2.00,"75,584","7,679",5.10,10.49
2021-12-28,高铁电气,0688285,10.25,10.31,9.98,10.00,-0.22,-2.15,"63,115","6,362",3.23,8.76
2021-12-27,高铁电气,0688285,10.34,10.49,10.05,10.22,-0.09,-0.87,"74,557","7,642",4.27,10.34
2021-12-24,高铁电气,0688285,10.28,10.70,10.16,10.31,0.14,1.38,"152,598","15,934",5.31,21.17
2021-12-23,高铁电气,0688285,10.08,10.57,9.90,10.17,0.10,0.99,"77,116","7,824",6.65,10.70
2021-12-22,高铁电气,0688285,10.18,10.25,9.97,10.07,-0.06,-0.59,"43,079","4,351",2.76,5.98
2021-12-21,高铁电气,0688285,9.64,10.16,9.61,10.13,0.49,5.08,"59,967","5,972",5.71,8.32
2021-12-20,高铁电气,0688285,9.88,9.92,9.62,9.64,-0.31,-3.12,"35,903","3,501",3.02,4.98
2021-12-17,高铁电气,0688285,10.03,10.18,9.94,9.95,-0.04,-0.40,"38,192","3,836",2.40,5.30
2021-12-16,高铁电气,0688285,10.00,10.10,9.96,9.99,-0.04,-0.40,"29,356","2,940",1.40,4.07
2021-12-15,高铁电气,0688285,9.80,10.25,9.80,10.03,0.21,2.14,"52,119","5,210",4.58,7.23
2021-12-14,高铁电气,0688285,9.65,9.96,9.54,9.82,0.18,1.87,"56,305","5,502",4.36,7.81
2021-12-13,高铁电气,0688285,9.71,9.76,9.61,9.64,-0.12,-1.23,"29,284","2,829",1.54,4.06
2021-12-10,高铁电气,0688285,9.70,9.77,9.63,9.76,0.08,0.83,"24,458","2,375",1.45,3.39
2021-12-09,高铁电气,0688285,9.71,9.76,9.63,9.68,-0.03,-0.31,"24,460","2,373",1.34,3.39
2021-12-08,高铁电气,0688285,9.60,9.76,9.54,9.71,0.15,1.57,"29,713","2,872",2.30,4.12
2021-12-07,高铁电气,0688285,9.52,9.63,9.43,9.56,0.10,1.06,"27,520","2,625",2.11,3.82
2021-12-06,高铁电气,0688285,9.93,9.98,9.43,9.46,-0.52,-5.21,"73,372","7,078",5.51,10.18
2021-12-03,高铁电气,0688285,9.97,10.05,9.91,9.98,0.01,0.10,"30,930","3,084",1.40,4.29
2021-12-02,高铁电气,0688285,10.04,10.11,9.86,9.97,-0.07,-0.70,"44,255","4,424",2.49,6.14
2021-12-01,高铁电气,0688285,9.87,10.07,9.87,10.04,0.11,1.11,"35,745","3,572",2.01,4.96
2021-11-30,高铁电气,0688285,10.14,10.25,9.82,9.93,-0.13,-1.29,"80,161","8,054",4.27,11.12
2021-11-29,高铁电气,0688285,9.99,10.21,9.93,10.06,-0.05,-0.49,"46,849","4,724",2.77,6.50
2021-11-26,高铁电气,0688285,10.35,10.54,10.10,10.11,-0.36,-3.44,"68,879","7,065",4.20,9.56
2021-11-25,高铁电气,0688285,10.33,10.96,10.32,10.47,0.33,3.25,"112,810","11,929",6.31,15.65
2021-11-24,高铁电气,0688285,10.00,10.19,10.00,10.14,0.07,0.70,"51,471","5,204",1.89,7.14
2021-11-23,高铁电气,0688285,10.19,10.24,10.03,10.07,-0.21,-2.04,"74,614","7,542",2.04,10.35
2021-11-22,高铁电气,0688285,9.78,10.33,9.69,10.28,0.57,5.87,"116,828","11,673",6.59,16.21
2021-11-19,高铁电气,0688285,9.58,9.88,9.40,9.71,0.13,1.36,"66,707","6,442",5.01,9.26
2021-11-18,高铁电气,0688285,9.80,9.82,9.56,9.58,-0.26,-2.64,"47,687","4,615",2.64,6.62
2021-11-17,高铁电气,0688285,9.63,9.87,9.61,9.84,0.18,1.86,"56,098","5,476",2.69,7.78
2021-11-16,高铁电气,0688285,9.91,10.04,9.60,9.66,-0.27,-2.72,"86,869","8,481",4.43,12.05
2021-11-15,高铁电气,0688285,10.00,10.15,9.71,9.93,0.07,0.71,"125,999","12,559",4.46,17.48
2021-11-12,高铁电气,0688285,9.20,9.92,9.09,9.86,0.71,7.76,"207,116","19,963",9.07,28.74
2021-11-11,高铁电气,0688285,8.92,9.18,8.92,9.15,0.17,1.89,"59,687","5,438",2.90,8.28
2021-11-10,高铁电气,0688285,9.04,9.07,8.81,8.98,-0.07,-0.77,"59,599","5,322",2.87,8.27
2021-11-09,高铁电气,0688285,9.00,9.14,8.98,9.05,0.01,0.11,"40,170","3,634",1.77,5.57
2021-11-08,高铁电气,0688285,9.07,9.18,8.99,9.04,0.09,1.01,"43,392","3,925",2.12,6.02
2021-11-05,高铁电气,0688285,9.00,9.09,8.93,8.95,-0.05,-0.56,"50,044","4,507",1.78,6.94
2021-11-04,高铁电气,0688285,8.85,9.07,8.85,9.00,0.02,0.22,"64,802","5,790",2.45,8.99
2021-11-03,高铁电气,0688285,9.09,9.22,8.96,8.98,0.05,0.56,"56,031","5,090",2.91,7.77
2021-11-02,高铁电气,0688285,8.80,9.24,8.75,8.93,0.16,1.82,"119,912","10,843",5.59,16.64
2021-11-01,高铁电气,0688285,8.65,8.90,8.61,8.77,0.04,0.46,"74,606","6,546",3.32,10.35
2021-10-29,高铁电气,0688285,8.76,8.91,8.66,8.73,0.08,0.92,"56,299","4,957",2.89,7.81
2021-10-28,高铁电气,0688285,8.96,9.03,8.63,8.65,-0.39,-4.31,"74,335","6,513",4.42,10.31
2021-10-27,高铁电气,0688285,9.23,9.33,8.93,9.04,-0.26,-2.80,"93,727","8,508",4.30,13.00
2021-10-26,高铁电气,0688285,9.50,9.59,9.28,9.30,-0.28,-2.92,"106,696","10,019",3.24,14.80
2021-10-25,高铁电气,0688285,9.93,9.93,9.46,9.58,-0.25,-2.54,"145,357","13,944",4.78,20.17
2021-10-22,高铁电气,0688285,9.98,10.24,9.76,9.83,0.01,0.10,"189,281","18,865",4.89,26.26
2021-10-21,高铁电气,0688285,10.40,10.40,9.80,9.82,-0.83,-7.79,"335,682","33,639",5.63,46.57
2021-10-20,高铁电气,0688285,12.51,12.96,10.50,10.65,3.47,48.33,"552,298","62,235",34.26,76.63
2022-08-16,高铁电气,0688285,8.90,9.17,8.88,9.06,0.16,1.80,"17,783","1,611",3.26,2.36
2022-08-15,高铁电气,0688285,8.90,8.97,8.84,8.90,-0.05,-0.56,"16,024","1,425",1.45,2.13
2022-08-12,高铁电气,0688285,9.15,9.19,8.93,8.95,-0.15,-1.65,"23,190","2,096",2.86,3.08
2022-08-11,高铁电气,0688285,9.05,9.21,9.03,9.10,0.06,0.66,"17,205","1,569",1.99,2.29
2022-08-10,高铁电气,0688285,8.99,9.08,8.93,9.04,0.05,0.56,"19,354","1,741",1.67,2.57
2022-08-09,高铁电气,0688285,9.00,9.21,9.00,9.08,0.03,0.33,"19,528","1,782",2.32,2.59
2022-08-08,高铁电气,0688285,8.86,9.06,8.80,9.05,0.19,2.14,"20,521","1,843",2.93,2.73
2022-08-05,高铁电气,0688285,8.82,8.88,8.73,8.86,0.05,0.57,"16,431","1,445",1.70,2.18
2022-08-04,高铁电气,0688285,8.73,8.96,8.61,8.81,0.24,2.80,"22,912","2,017",4.08,3.04
2022-08-03,高铁电气,0688285,8.55,8.83,8.52,8.57,0.10,1.18,"35,008","3,056",3.66,4.65
2022-08-02,高铁电气,0688285,9.10,9.10,8.46,8.47,-0.62,-6.82,"51,164","4,398",7.04,6.80
2022-08-01,高铁电气,0688285,9.10,9.12,8.73,9.09,0.06,0.66,"35,331","3,169",4.32,4.69
2022-07-29,高铁电气,0688285,9.07,9.24,8.94,9.03,0.01,0.11,"40,821","3,700",3.33,5.42
2022-07-28,高铁电气,0688285,9.00,9.15,8.95,9.02,0.04,0.45,"25,951","2,344",2.23,3.45
2022-07-27,高铁电气,0688285,8.85,8.99,8.74,8.98,0.15,1.70,"25,844","2,300",2.83,3.43
2022-07-26,高铁电气,0688285,8.89,8.89,8.64,8.83,0.03,0.34,"12,936","1,132",2.84,1.72
2022-07-25,高铁电气,0688285,8.83,8.93,8.71,8.80,-0.03,-0.34,"14,361","1,268",2.49,1.91
2022-07-22,高铁电气,0688285,8.96,9.08,8.78,8.83,-0.07,-0.79,"21,616","1,924",3.37,2.87
2022-07-21,高铁电气,0688285,8.96,9.09,8.79,8.90,-0.03,-0.34,"28,340","2,535",3.36,3.76
2022-07-20,高铁电气,0688285,8.89,9.07,8.81,8.93,0.08,0.90,"29,254","2,622",2.94,3.89
2022-07-19,高铁电气,0688285,8.71,8.90,8.71,8.85,0.09,1.03,"29,081","2,565",2.17,3.86
2022-07-18,高铁电气,0688285,8.49,8.82,8.49,8.76,0.27,3.18,"22,266","1,945",3.89,2.96
2022-07-15,高铁电气,0688285,8.70,8.74,8.49,8.49,-0.22,-2.53,"20,474","1,758",2.87,2.72
2022-07-14,高铁电气,0688285,8.42,8.86,8.36,8.71,0.31,3.69,"41,244","3,583",5.95,5.48
2022-07-13,高铁电气,0688285,8.31,8.40,8.29,8.40,0.10,1.20,"9,743",812,1.33,1.29
2022-07-12,高铁电气,0688285,8.38,8.41,8.26,8.30,-0.13,-1.54,"11,183",930,1.78,1.49
2022-07-11,高铁电气,0688285,8.42,8.50,8.30,8.43,-0.07,-0.82,"11,332",952,2.35,1.51
2022-07-08,高铁电气,0688285,8.38,8.56,8.36,8.50,0.12,1.43,"14,024","1,192",2.39,1.86
2022-07-07,高铁电气,0688285,8.32,8.45,8.32,8.38,0.06,0.72,"11,794",991,1.56,1.57
