日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-12-31,中创物流,0603967,16.08,16.18,15.96,16.00,-0.06,-0.37,"20,667","3,313",1.37,3.10
2019-12-30,中创物流,0603967,15.80,16.08,15.73,16.06,0.17,1.07,"18,413","2,932",2.20,2.76
2019-12-27,中创物流,0603967,16.03,16.20,15.88,15.89,-0.16,-1.00,"24,282","3,903",1.99,3.64
2019-12-26,中创物流,0603967,15.90,16.09,15.82,16.05,0.15,0.94,"20,800","3,327",1.70,3.12
2019-12-25,中创物流,0603967,15.71,16.07,15.71,15.90,0.03,0.19,"22,912","3,649",2.27,3.44
2019-12-24,中创物流,0603967,15.81,15.94,15.71,15.87,0.00,0.00,"25,905","4,104",1.45,3.89
2019-12-23,中创物流,0603967,16.52,16.52,15.86,15.87,-0.67,-4.05,"30,509","4,931",3.99,4.58
2019-12-20,中创物流,0603967,16.66,16.68,16.40,16.54,-0.08,-0.48,"28,796","4,760",1.68,4.32
2019-12-19,中创物流,0603967,16.36,16.71,16.25,16.62,0.31,1.90,"41,710","6,884",2.82,6.26
2019-12-18,中创物流,0603967,16.37,16.39,16.20,16.31,-0.02,-0.12,"26,142","4,260",1.16,3.92
2019-12-17,中创物流,0603967,16.19,16.39,16.12,16.33,0.14,0.86,"33,045","5,380",1.67,4.96
2019-12-16,中创物流,0603967,16.18,16.19,15.97,16.19,0.07,0.43,"31,222","5,020",1.36,4.68
2019-12-13,中创物流,0603967,16.18,16.25,16.08,16.12,0.01,0.06,"31,794","5,139",1.06,4.77
2019-12-12,中创物流,0603967,16.01,16.26,15.93,16.11,0.00,0.00,"31,836","5,123",2.05,4.78
2019-12-11,中创物流,0603967,15.97,16.21,15.90,16.11,0.17,1.07,"33,273","5,353",1.94,4.99
2019-12-10,中创物流,0603967,15.77,15.97,15.72,15.94,0.14,0.89,"27,233","4,325",1.58,4.08
2019-12-09,中创物流,0603967,15.80,15.84,15.70,15.80,0.00,0.00,"15,042","2,373",0.89,2.26
2019-12-06,中创物流,0603967,15.86,15.86,15.66,15.80,-0.05,-0.32,"17,986","2,833",1.26,2.70
2019-12-05,中创物流,0603967,15.79,15.86,15.75,15.85,0.04,0.25,"18,598","2,943",0.70,2.79
2019-12-04,中创物流,0603967,15.70,15.92,15.66,15.81,0.01,0.06,"17,876","2,821",1.65,2.68
2019-12-03,中创物流,0603967,15.53,15.80,15.52,15.80,0.12,0.77,"15,804","2,482",1.79,2.37
2019-12-02,中创物流,0603967,15.54,15.74,15.47,15.68,0.20,1.29,"19,065","2,977",1.74,2.86
2019-11-29,中创物流,0603967,15.51,15.54,15.32,15.48,0.01,0.06,"13,355","2,057",1.42,2.00
2019-11-28,中创物流,0603967,15.60,15.66,15.43,15.47,-0.11,-0.71,"14,492","2,251",1.48,2.17
2019-11-27,中创物流,0603967,15.70,15.70,15.53,15.58,-0.12,-0.76,"14,055","2,191",1.08,2.11
2019-11-26,中创物流,0603967,15.77,15.77,15.64,15.70,-0.04,-0.25,"13,408","2,104",0.83,2.01
2019-11-25,中创物流,0603967,15.70,15.81,15.56,15.74,0.06,0.38,"15,915","2,496",1.59,2.39
2019-11-22,中创物流,0603967,15.88,16.06,15.67,15.68,-0.19,-1.20,"23,329","3,691",2.46,3.50
2019-11-21,中创物流,0603967,15.83,15.93,15.79,15.87,-0.06,-0.38,"16,776","2,659",0.88,2.52
2019-11-20,中创物流,0603967,16.18,16.18,15.91,15.93,-0.25,-1.55,"20,020","3,207",1.67,3.00
2019-11-19,中创物流,0603967,15.93,16.18,15.89,16.18,0.27,1.70,"19,987","3,212",1.82,3.00
2019-11-18,中创物流,0603967,15.96,16.04,15.88,15.91,0.05,0.32,"16,372","2,611",1.01,2.46
2019-11-15,中创物流,0603967,16.29,16.29,15.84,15.86,-0.40,-2.46,"25,769","4,129",2.77,3.87
2019-11-14,中创物流,0603967,16.26,16.35,16.17,16.26,0.11,0.68,"19,186","3,122",1.11,2.88
2019-11-13,中创物流,0603967,16.42,16.45,16.10,16.15,-0.32,-1.94,"23,307","3,783",2.13,3.50
2019-11-12,中创物流,0603967,16.40,16.53,16.22,16.47,0.24,1.48,"21,827","3,570",1.91,3.27
2019-11-11,中创物流,0603967,17.02,17.02,16.21,16.23,-0.84,-4.92,"38,471","6,353",4.75,5.77
2019-11-08,中创物流,0603967,17.20,17.24,16.99,17.07,-0.11,-0.64,"29,021","4,966",1.46,4.35
2019-11-07,中创物流,0603967,17.00,17.22,16.91,17.18,0.18,1.06,"26,711","4,568",1.82,4.01
2019-11-06,中创物流,0603967,17.49,17.53,16.95,17.00,-0.62,-3.52,"47,926","8,226",3.29,7.19
