日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,宁沪高速,0600377,9.30,9.42,9.28,9.35,0.01,0.11,"66,433","6,196",1.50,0.17
2017-03-30,宁沪高速,0600377,9.43,9.43,9.22,9.34,-0.05,-0.53,"82,180","7,677",2.24,0.22
2017-03-29,宁沪高速,0600377,9.46,9.59,9.38,9.39,-0.07,-0.74,"88,375","8,402",2.22,0.23
2017-03-28,宁沪高速,0600377,9.36,9.47,9.35,9.46,0.11,1.18,"41,361","3,902",1.28,0.11
2017-03-27,宁沪高速,0600377,9.39,9.44,9.33,9.35,0.03,0.32,"48,390","4,547",1.18,0.13
2017-03-24,宁沪高速,0600377,9.29,9.43,9.27,9.32,0.03,0.32,"46,169","4,322",1.72,0.12
2017-03-23,宁沪高速,0600377,9.27,9.30,9.24,9.29,0.01,0.11,"16,325","1,513",0.65,0.04
2017-03-22,宁沪高速,0600377,9.29,9.31,9.20,9.28,-0.03,-0.32,"25,724","2,381",1.18,0.07
2017-03-21,宁沪高速,0600377,9.28,9.38,9.24,9.31,0.02,0.22,"28,907","2,697",1.51,0.08
2017-03-20,宁沪高速,0600377,9.17,9.35,9.15,9.29,0.14,1.53,"52,763","4,894",2.19,0.14
2017-03-17,宁沪高速,0600377,9.19,9.19,9.12,9.15,-0.03,-0.33,"18,676","1,709",0.76,0.05
2017-03-16,宁沪高速,0600377,9.14,9.18,9.12,9.18,0.03,0.33,"23,293","2,134",0.66,0.06
2017-03-15,宁沪高速,0600377,9.10,9.18,9.07,9.15,0.05,0.55,"18,894","1,725",1.21,0.05
2017-03-14,宁沪高速,0600377,9.07,9.12,9.05,9.10,0.03,0.33,"16,601","1,509",0.77,0.04
2017-03-13,宁沪高速,0600377,9.05,9.10,9.01,9.07,-0.01,-0.11,"21,076","1,907",0.99,0.06
2017-03-10,宁沪高速,0600377,9.09,9.14,9.03,9.08,-0.05,-0.55,"18,608","1,687",1.20,0.05
2017-03-09,宁沪高速,0600377,9.15,9.15,9.10,9.13,-0.01,-0.11,"14,636","1,335",0.55,0.04
2017-03-08,宁沪高速,0600377,9.08,9.15,9.08,9.14,0.04,0.44,"21,319","1,945",0.77,0.06
2017-03-07,宁沪高速,0600377,9.05,9.11,9.04,9.10,0.03,0.33,"15,552","1,413",0.77,0.04
2017-03-06,宁沪高速,0600377,9.05,9.08,9.02,9.07,0.01,0.11,"15,454","1,398",0.66,0.04
2017-03-03,宁沪高速,0600377,9.05,9.09,9.01,9.06,-0.01,-0.11,"18,031","1,633",0.88,0.05
2017-03-02,宁沪高速,0600377,9.08,9.10,9.02,9.07,-0.02,-0.22,"19,375","1,759",0.88,0.05
2017-03-01,宁沪高速,0600377,9.02,9.10,8.98,9.09,0.03,0.33,"36,019","3,258",1.32,0.09
2017-02-28,宁沪高速,0600377,9.11,9.17,8.92,9.06,-0.04,-0.44,"56,212","5,100",2.75,0.15
2017-02-27,宁沪高速,0600377,9.00,9.13,8.96,9.10,0.10,1.11,"52,388","4,740",1.89,0.14
2017-02-24,宁沪高速,0600377,8.97,9.05,8.97,9.00,0.02,0.22,"31,485","2,834",0.89,0.08
2017-02-23,宁沪高速,0600377,8.99,9.02,8.93,8.98,-0.01,-0.11,"43,108","3,866",1.00,0.11
2017-02-22,宁沪高速,0600377,8.93,9.00,8.90,8.99,0.03,0.33,"48,605","4,356",1.12,0.13
2017-02-21,宁沪高速,0600377,8.96,8.98,8.92,8.96,0.00,0.00,"22,162","1,983",0.67,0.06
2017-02-20,宁沪高速,0600377,8.86,8.97,8.86,8.96,0.07,0.79,"31,358","2,799",1.24,0.08
2017-02-17,宁沪高速,0600377,8.90,8.92,8.84,8.89,0.01,0.11,"28,454","2,527",0.90,0.07
2017-02-16,宁沪高速,0600377,8.87,8.90,8.86,8.88,0.00,0.00,"21,849","1,940",0.45,0.06
2017-02-15,宁沪高速,0600377,8.89,8.90,8.83,8.88,0.01,0.11,"32,004","2,838",0.79,0.08
2017-02-14,宁沪高速,0600377,8.86,8.90,8.84,8.87,0.01,0.11,"36,302","3,221",0.68,0.10
2017-02-13,宁沪高速,0600377,8.75,8.88,8.75,8.86,0.10,1.14,"66,618","5,885",1.48,0.18
2017-02-10,宁沪高速,0600377,8.74,8.78,8.71,8.76,0.02,0.23,"44,380","3,882",0.80,0.12
2017-02-09,宁沪高速,0600377,8.71,8.77,8.70,8.74,0.02,0.23,"35,206","3,076",0.80,0.09
2017-02-08,宁沪高速,0600377,8.71,8.73,8.65,8.72,0.01,0.11,"24,523","2,133",0.92,0.06
2017-02-07,宁沪高速,0600377,8.73,8.75,8.69,8.71,-0.05,-0.57,"34,836","3,035",0.68,0.09
2017-02-06,宁沪高速,0600377,8.78,8.79,8.70,8.76,-0.02,-0.23,"50,469","4,407",1.03,0.13
2017-02-03,宁沪高速,0600377,8.80,8.81,8.77,8.78,-0.02,-0.23,"24,743","2,175",0.45,0.07
2017-01-26,宁沪高速,0600377,8.81,8.84,8.78,8.80,-0.01,-0.11,"40,753","3,591",0.68,0.11
2017-01-25,宁沪高速,0600377,8.80,8.84,8.79,8.81,0.00,0.00,"30,934","2,727",0.57,0.08
2017-01-24,宁沪高速,0600377,8.85,8.85,8.80,8.81,-0.03,-0.34,"28,648","2,526",0.57,0.08
2017-01-23,宁沪高速,0600377,8.77,8.88,8.75,8.84,0.07,0.80,"44,273","3,911",1.48,0.12
2017-01-20,宁沪高速,0600377,8.70,8.78,8.70,8.77,0.06,0.69,"28,300","2,477",0.92,0.07
2017-01-19,宁沪高速,0600377,8.77,8.77,8.70,8.71,-0.06,-0.68,"24,478","2,135",0.80,0.06
2017-01-18,宁沪高速,0600377,8.74,8.79,8.71,8.77,0.02,0.23,"34,216","2,996",0.91,0.09
2017-01-17,宁沪高速,0600377,8.86,8.86,8.70,8.75,-0.14,-1.57,"37,039","3,244",1.80,0.10
2017-01-16,宁沪高速,0600377,8.70,8.96,8.58,8.89,0.11,1.25,"239,666","21,180",4.33,0.63
2017-01-13,宁沪高速,0600377,8.53,8.86,8.50,8.78,0.26,3.05,"78,438","6,785",4.23,0.21
2017-01-12,宁沪高速,0600377,8.56,8.58,8.51,8.52,-0.05,-0.58,"30,851","2,633",0.82,0.08
2017-01-11,宁沪高速,0600377,8.65,8.65,8.56,8.57,-0.06,-0.70,"28,667","2,463",1.04,0.08
2017-01-10,宁沪高速,0600377,8.57,8.67,8.55,8.63,0.06,0.70,"46,030","3,959",1.40,0.12
2017-01-09,宁沪高速,0600377,8.57,8.58,8.55,8.57,0.01,0.12,"21,982","1,883",0.35,0.06
2017-01-06,宁沪高速,0600377,8.60,8.60,8.53,8.56,-0.04,-0.47,"67,538","5,783",0.81,0.18
2017-01-05,宁沪高速,0600377,8.58,8.60,8.54,8.60,0.02,0.23,"55,243","4,731",0.70,0.15
