日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,江西长运,0600561,12.40,12.42,12.27,12.36,-0.10,-0.80,"43,842","5,411",1.20,1.85
2017-03-30,江西长运,0600561,12.87,12.87,12.10,12.46,-0.51,-3.93,"88,762","11,028",5.94,3.74
2017-03-29,江西长运,0600561,13.09,13.14,12.86,12.97,-0.16,-1.22,"36,042","4,680",2.13,1.52
2017-03-28,江西长运,0600561,13.08,13.15,12.99,13.13,0.00,0.00,"25,243","3,304",1.22,1.06
2017-03-27,江西长运,0600561,13.08,13.24,13.01,13.13,0.01,0.08,"37,530","4,929",1.75,1.58
2017-03-24,江西长运,0600561,13.21,13.21,12.95,13.12,-0.08,-0.61,"33,831","4,416",1.97,1.43
2017-03-23,江西长运,0600561,13.23,13.34,13.00,13.20,-0.13,-0.98,"43,237","5,686",2.55,1.82
2017-03-22,江西长运,0600561,13.29,13.45,13.01,13.33,-0.14,-1.04,"64,080","8,446",3.27,2.70
2017-03-21,江西长运,0600561,13.40,13.49,13.37,13.47,-0.03,-0.22,"40,223","5,402",0.89,1.70
2017-03-20,江西长运,0600561,13.49,13.58,13.31,13.50,-0.03,-0.22,"49,508","6,643",2.00,2.09
2017-03-17,江西长运,0600561,13.70,13.71,13.39,13.53,-0.14,-1.02,"47,953","6,503",2.34,2.02
2017-03-16,江西长运,0600561,13.41,13.68,13.40,13.67,0.21,1.56,"41,980","5,691",2.08,1.77
2017-03-15,江西长运,0600561,13.37,13.53,13.34,13.46,0.00,0.00,"24,723","3,318",1.41,1.04
2017-03-14,江西长运,0600561,13.49,13.55,13.35,13.46,-0.04,-0.30,"23,449","3,156",1.48,0.99
2017-03-13,江西长运,0600561,13.52,13.55,13.24,13.50,-0.04,-0.30,"32,752","4,379",2.29,1.38
2017-03-10,江西长运,0600561,13.49,13.59,13.44,13.54,0.00,0.00,"34,259","4,627",1.11,1.45
2017-03-09,江西长运,0600561,13.56,13.60,13.32,13.54,-0.02,-0.15,"34,218","4,599",2.06,1.44
2017-03-08,江西长运,0600561,13.40,13.65,13.40,13.56,0.08,0.59,"51,532","6,977",1.85,2.17
2017-03-07,江西长运,0600561,13.46,13.55,13.27,13.48,0.02,0.15,"40,549","5,436",2.08,1.71
2017-03-06,江西长运,0600561,13.19,13.48,13.12,13.46,0.26,1.97,"54,357","7,264",2.73,2.29
2017-03-03,江西长运,0600561,13.06,13.23,13.00,13.20,0.13,0.99,"38,824","5,107",1.76,1.64
2017-03-02,江西长运,0600561,13.48,13.54,12.96,13.07,-0.41,-3.04,"59,246","7,837",4.30,2.50
2017-03-01,江西长运,0600561,13.34,13.82,13.33,13.48,0.02,0.15,"66,450","8,972",3.64,2.80
2017-02-28,江西长运,0600561,13.20,13.47,13.13,13.46,0.28,2.12,"49,045","6,541",2.58,2.07
2017-02-27,江西长运,0600561,13.28,13.34,13.14,13.18,-0.10,-0.75,"30,282","4,004",1.51,1.28
2017-02-24,江西长运,0600561,13.14,13.35,13.07,13.28,0.09,0.68,"42,570","5,620",2.12,1.80
2017-02-23,江西长运,0600561,13.21,13.25,13.08,13.19,-0.03,-0.23,"35,117","4,617",1.29,1.48
2017-02-22,江西长运,0600561,13.11,13.27,13.09,13.22,0.12,0.92,"53,294","7,023",1.37,2.25
2017-02-21,江西长运,0600561,12.90,13.18,12.90,13.10,0.17,1.31,"44,290","5,768",2.17,1.87
2017-02-20,江西长运,0600561,12.92,12.96,12.79,12.93,0.01,0.08,"46,838","6,026",1.32,1.98
2017-02-17,江西长运,0600561,13.07,13.14,12.87,12.92,-0.11,-0.84,"27,660","3,601",2.07,1.17
2017-02-16,江西长运,0600561,12.82,13.08,12.82,13.03,0.15,1.16,"29,522","3,836",2.02,1.25
2017-02-15,江西长运,0600561,13.02,13.06,12.83,12.88,-0.16,-1.23,"32,897","4,272",1.76,1.39
2017-02-14,江西长运,0600561,13.12,13.15,13.00,13.04,-0.11,-0.84,"36,861","4,813",1.14,1.55
2017-02-13,江西长运,0600561,13.13,13.18,12.94,13.15,-0.01,-0.08,"36,578","4,781",1.82,1.54
2017-02-10,江西长运,0600561,13.17,13.25,13.10,13.16,0.03,0.23,"32,130","4,230",1.14,1.36
2017-02-09,江西长运,0600561,13.03,13.18,13.00,13.13,0.06,0.46,"30,843","4,042",1.38,1.30
2017-02-08,江西长运,0600561,12.95,13.09,12.85,13.07,0.14,1.08,"28,352","3,678",1.86,1.20
2017-02-07,江西长运,0600561,12.87,13.06,12.82,12.93,-0.03,-0.23,"25,863","3,349",1.85,1.09
2017-02-06,江西长运,0600561,12.81,12.99,12.73,12.96,0.15,1.17,"30,676","3,933",2.03,1.29
2017-02-03,江西长运,0600561,12.89,12.98,12.74,12.81,-0.11,-0.85,"20,745","2,673",1.86,0.88
2017-01-26,江西长运,0600561,12.83,12.96,12.80,12.92,0.10,0.78,"35,667","4,590",1.25,1.50
2017-01-25,江西长运,0600561,12.90,12.99,12.72,12.82,-0.04,-0.31,"25,761","3,315",2.10,1.09
2017-01-24,江西长运,0600561,12.82,13.06,12.70,12.86,-0.04,-0.31,"30,653","3,955",2.79,1.29
2017-01-23,江西长运,0600561,12.50,12.99,12.50,12.90,0.32,2.54,"35,168","4,517",3.90,1.48
2017-01-20,江西长运,0600561,12.27,12.66,12.22,12.58,0.35,2.86,"31,821","3,979",3.60,1.34
2017-01-19,江西长运,0600561,12.45,12.50,12.15,12.23,-0.17,-1.37,"23,947","2,946",2.82,1.01
2017-01-18,江西长运,0600561,12.50,12.63,12.34,12.40,-0.20,-1.59,"28,055","3,505",2.30,1.18
2017-01-17,江西长运,0600561,12.27,12.61,12.11,12.60,0.23,1.86,"35,919","4,453",4.04,1.52
2017-01-16,江西长运,0600561,13.15,13.15,11.85,12.37,-0.80,-6.07,"67,848","8,493",9.87,2.86
2017-01-13,江西长运,0600561,13.65,13.68,13.04,13.17,-0.50,-3.66,"41,727","5,606",4.68,1.76
2017-01-12,江西长运,0600561,13.83,13.95,13.60,13.67,-0.10,-0.73,"37,281","5,141",2.54,1.57
2017-01-11,江西长运,0600561,14.25,14.29,13.72,13.77,-0.49,-3.44,"55,782","7,774",4.00,2.35
2017-01-10,江西长运,0600561,14.24,14.39,14.08,14.26,0.03,0.21,"52,759","7,505",2.18,2.23
2017-01-09,江西长运,0600561,14.06,14.32,14.05,14.23,0.17,1.21,"44,084","6,253",1.92,1.86
2017-01-06,江西长运,0600561,14.29,14.33,14.01,14.06,-0.20,-1.40,"55,242","7,802",2.24,2.33
2017-01-05,江西长运,0600561,14.13,14.54,14.07,14.26,0.13,0.92,"74,500","10,666",3.33,3.14
2017-01-04,江西长运,0600561,14.05,14.18,13.94,14.13,0.05,0.36,"77,572","10,912",1.70,3.27
2017-01-03,江西长运,0600561,13.90,14.11,13.81,14.08,0.20,1.44,"65,496","9,130",2.16,2.76
2017-12-29,江西长运,0600561,8.07,8.21,8.03,8.20,0.14,1.74,"10,794",878,2.23,0.46
2017-12-28,江西长运,0600561,8.01,8.10,7.98,8.06,0.03,0.37,"7,655",617,1.49,0.32
2017-12-27,江西长运,0600561,8.00,8.10,8.00,8.03,-0.01,-0.12,"8,848",713,1.24,0.37
2017-12-26,江西长运,0600561,7.99,8.09,7.98,8.04,0.01,0.12,"10,213",821,1.37,0.43
2017-12-25,江西长运,0600561,8.14,8.16,7.99,8.03,-0.15,-1.83,"9,139",736,2.08,0.39
2017-12-22,江西长运,0600561,8.18,8.21,8.13,8.18,-0.02,-0.24,"6,463",528,0.98,0.27
2017-12-21,江西长运,0600561,8.18,8.21,8.07,8.20,0.02,0.24,"9,304",757,1.71,0.39
2017-12-20,江西长运,0600561,8.29,8.32,8.14,8.18,-0.12,-1.45,"10,565",867,2.17,0.45
2017-12-19,江西长运,0600561,8.25,8.39,8.23,8.30,0.05,0.61,"14,272","1,184",1.94,0.60
2017-12-18,江西长运,0600561,8.42,8.42,8.22,8.25,-0.13,-1.55,"12,720","1,054",2.39,0.54
2017-12-15,江西长运,0600561,8.37,8.41,8.33,8.38,-0.02,-0.24,"8,842",741,0.95,0.37
2017-12-14,江西长运,0600561,8.37,8.45,8.31,8.40,0.01,0.12,"9,082",760,1.67,0.38
2017-12-13,江西长运,0600561,8.36,8.40,8.30,8.39,0.03,0.36,"6,386",533,1.20,0.27
2017-12-12,江西长运,0600561,8.41,8.47,8.32,8.36,-0.09,-1.07,"9,152",767,1.78,0.39
2017-12-11,江西长运,0600561,8.45,8.50,8.37,8.45,0.03,0.36,"12,271","1,033",1.54,0.52
2017-12-08,江西长运,0600561,8.32,8.44,8.29,8.42,0.12,1.45,"12,176","1,020",1.81,0.51
2017-12-07,江西长运,0600561,8.16,8.31,8.16,8.30,0.10,1.22,"10,227",844,1.83,0.43
2017-12-06,江西长运,0600561,8.01,8.20,8.01,8.20,0.15,1.86,"13,751","1,113",2.36,0.58
2017-12-05,江西长运,0600561,8.22,8.32,8.00,8.05,-0.24,-2.90,"19,642","1,603",3.86,0.83
2017-12-04,江西长运,0600561,8.46,8.55,8.26,8.29,-0.21,-2.47,"15,230","1,281",3.41,0.64
2017-12-01,江西长运,0600561,8.38,8.50,8.36,8.50,0.09,1.07,"10,908",923,1.66,0.46
2017-11-30,江西长运,0600561,8.41,8.46,8.31,8.41,-0.03,-0.36,"9,199",773,1.78,0.39
2017-11-29,江西长运,0600561,8.38,8.45,8.33,8.44,0.06,0.72,"11,726",983,1.43,0.49
2017-11-28,江西长运,0600561,8.32,8.42,8.26,8.38,0.04,0.48,"15,616","1,305",1.92,0.66
2017-11-27,江西长运,0600561,8.31,8.39,8.30,8.34,0.04,0.48,"12,533","1,045",1.08,0.53
2017-11-24,江西长运,0600561,8.22,8.32,8.20,8.30,0.04,0.48,"11,373",940,1.45,0.48
2017-11-23,江西长运,0600561,8.31,8.41,8.25,8.26,-0.05,-0.60,"16,407","1,365",1.93,0.69
2017-11-22,江西长运,0600561,8.30,8.45,8.26,8.31,-0.03,-0.36,"18,249","1,527",2.28,0.77
2017-11-21,江西长运,0600561,8.35,8.48,8.29,8.34,-0.04,-0.48,"21,774","1,823",2.27,0.92
2017-11-20,江西长运,0600561,8.33,8.40,8.14,8.38,-0.03,-0.36,"18,010","1,485",3.09,0.76
2017-11-17,江西长运,0600561,8.78,8.78,8.37,8.41,-0.40,-4.54,"33,006","2,822",4.65,1.39
2017-11-16,江西长运,0600561,8.80,8.85,8.73,8.81,0.00,0.00,"12,321","1,085",1.36,0.52
2017-11-15,江西长运,0600561,8.78,8.87,8.77,8.81,0.00,0.00,"13,776","1,215",1.14,0.58
2017-11-14,江西长运,0600561,8.93,8.94,8.78,8.81,-0.14,-1.56,"22,176","1,963",1.79,0.94
