日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,白云机场,0600004,15.83,16.05,15.78,15.94,0.11,0.69,"75,947","12,088",1.71,0.66
2017-03-30,白云机场,0600004,16.08,16.10,15.69,15.83,-0.26,-1.62,"81,445","12,934",2.55,0.71
2017-03-29,白云机场,0600004,16.03,16.43,15.90,16.09,0.11,0.69,"153,394","24,812",3.32,1.33
2017-03-28,白云机场,0600004,16.18,16.18,15.82,15.98,-0.22,-1.36,"82,774","13,222",2.22,0.72
2017-03-27,白云机场,0600004,16.42,16.71,16.12,16.20,-0.21,-1.28,"128,209","21,040",3.60,1.11
2017-03-24,白云机场,0600004,16.01,16.45,15.96,16.41,0.41,2.56,"137,361","22,407",3.06,1.19
2017-03-23,白云机场,0600004,15.90,16.15,15.72,16.00,0.04,0.25,"103,566","16,524",2.69,0.90
2017-03-22,白云机场,0600004,16.17,16.18,15.95,15.96,-0.29,-1.78,"76,512","12,265",1.42,0.67
2017-03-21,白云机场,0600004,16.17,16.35,16.10,16.25,0.03,0.19,"73,734","11,968",1.54,0.64
2017-03-20,白云机场,0600004,16.16,16.23,15.98,16.22,0.06,0.37,"76,254","12,311",1.55,0.66
2017-03-17,白云机场,0600004,16.28,16.36,16.13,16.16,-0.12,-0.74,"78,301","12,720",1.41,0.68
2017-03-16,白云机场,0600004,16.18,16.29,16.00,16.28,0.09,0.56,"83,748","13,531",1.79,0.73
2017-03-15,白云机场,0600004,16.12,16.35,16.03,16.19,0.10,0.62,"91,777","14,870",1.99,0.80
2017-03-14,白云机场,0600004,16.14,16.25,15.88,16.09,-0.11,-0.68,"116,943","18,857",2.28,1.02
2017-03-13,白云机场,0600004,15.61,16.35,15.45,16.20,1.01,6.65,"314,236","50,044",5.93,2.73
2017-03-10,白云机场,0600004,15.20,15.26,15.13,15.19,-0.05,-0.33,"44,959","6,827",0.85,0.39
2017-03-09,白云机场,0600004,14.99,15.25,14.99,15.24,0.28,1.87,"134,285","20,303",1.74,1.17
2017-03-08,白云机场,0600004,15.03,15.03,14.93,14.96,-0.07,-0.47,"20,424","3,057",0.67,0.18
2017-03-07,白云机场,0600004,15.10,15.10,14.95,15.03,-0.05,-0.33,"30,288","4,544",0.99,0.26
2017-03-06,白云机场,0600004,14.90,15.16,14.90,15.08,0.14,0.94,"60,689","9,137",1.74,0.53
2017-03-03,白云机场,0600004,14.84,14.99,14.72,14.94,0.04,0.27,"43,044","6,382",1.81,0.37
2017-03-02,白云机场,0600004,15.08,15.09,14.85,14.90,-0.12,-0.80,"49,601","7,421",1.60,0.43
2017-03-01,白云机场,0600004,15.00,15.18,15.00,15.02,-0.01,-0.07,"38,839","5,864",1.20,0.34
2017-02-28,白云机场,0600004,14.97,15.10,14.93,15.03,0.09,0.60,"52,345","7,856",1.14,0.46
2017-02-27,白云机场,0600004,15.21,15.25,14.92,14.94,-0.41,-2.67,"73,263","11,064",2.15,0.64
2017-02-24,白云机场,0600004,15.20,15.69,15.02,15.35,0.08,0.52,"127,312","19,504",4.39,1.11
2017-02-23,白云机场,0600004,14.86,15.29,14.85,15.27,0.41,2.76,"150,214","22,765",2.96,1.31
2017-02-22,白云机场,0600004,14.78,14.92,14.78,14.86,0.02,0.13,"47,452","7,049",0.94,0.41
2017-02-21,白云机场,0600004,14.75,14.84,14.66,14.84,0.11,0.75,"70,988","10,480",1.22,0.62
2017-02-20,白云机场,0600004,14.36,14.75,14.34,14.73,0.40,2.79,"95,777","13,958",2.86,0.83
2017-02-17,白云机场,0600004,14.48,14.51,14.32,14.33,-0.15,-1.04,"49,268","7,098",1.31,0.43
2017-02-16,白云机场,0600004,14.46,14.52,14.42,14.48,0.04,0.28,"42,113","6,094",0.69,0.37
2017-02-15,白云机场,0600004,14.52,14.56,14.43,14.44,-0.11,-0.76,"67,750","9,825",0.89,0.59
2017-02-14,白云机场,0600004,14.60,14.65,14.50,14.55,-0.05,-0.34,"39,621","5,772",1.03,0.34
2017-02-13,白云机场,0600004,14.57,14.66,14.53,14.60,0.04,0.27,"37,706","5,503",0.89,0.33
2017-02-10,白云机场,0600004,14.49,14.60,14.46,14.56,0.07,0.48,"38,230","5,567",0.97,0.33
2017-02-09,白云机场,0600004,14.47,14.50,14.41,14.49,0.02,0.14,"34,567","4,997",0.62,0.30
2017-02-08,白云机场,0600004,14.42,14.49,14.31,14.47,0.04,0.28,"33,865","4,883",1.25,0.29
2017-02-07,白云机场,0600004,14.31,14.44,14.27,14.43,0.11,0.77,"54,516","7,837",1.19,0.47
2017-02-06,白云机场,0600004,14.25,14.33,14.17,14.32,0.07,0.49,"43,803","6,235",1.12,0.38
2017-02-03,白云机场,0600004,14.38,14.44,14.17,14.25,-0.19,-1.32,"57,033","8,148",1.87,0.50
2017-01-26,白云机场,0600004,14.46,14.52,14.36,14.44,0.01,0.07,"31,834","4,597",1.11,0.28
2017-01-25,白云机场,0600004,14.24,14.44,14.21,14.43,0.17,1.19,"48,761","7,004",1.61,0.42
2017-01-24,白云机场,0600004,14.25,14.29,14.15,14.26,0.03,0.21,"31,050","4,418",0.98,0.27
2017-01-23,白云机场,0600004,14.16,14.30,14.15,14.23,0.06,0.42,"36,802","5,243",1.06,0.32
2017-01-20,白云机场,0600004,13.99,14.18,13.94,14.17,0.16,1.14,"34,965","4,927",1.71,0.30
2017-01-19,白云机场,0600004,13.99,14.07,13.95,14.01,0.01,0.07,"36,655","5,134",0.86,0.32
2017-01-18,白云机场,0600004,13.97,14.05,13.93,14.00,0.07,0.50,"60,333","8,449",0.86,0.52
2017-01-17,白云机场,0600004,13.91,14.03,13.87,13.93,-0.04,-0.29,"50,507","7,052",1.15,0.44
2017-01-16,白云机场,0600004,14.10,14.15,13.68,13.97,-0.16,-1.13,"120,196","16,759",3.33,1.05
2017-01-13,白云机场,0600004,14.24,14.24,14.07,14.13,-0.03,-0.21,"30,025","4,245",1.20,0.26
2017-01-12,白云机场,0600004,14.34,14.37,14.15,14.16,-0.18,-1.26,"36,374","5,182",1.53,0.32
2017-01-11,白云机场,0600004,14.45,14.45,14.31,14.34,-0.12,-0.83,"44,597","6,418",0.97,0.39
2017-01-10,白云机场,0600004,14.46,14.54,14.36,14.46,-0.01,-0.07,"31,990","4,629",1.24,0.28
2017-01-09,白云机场,0600004,14.33,14.48,14.33,14.47,0.12,0.84,"31,776","4,578",1.05,0.28
