日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,铁龙物流,0600125,8.69,8.98,8.67,8.96,0.22,2.52,"262,678","23,221",3.55,2.01
2017-06-29,铁龙物流,0600125,8.67,8.85,8.66,8.74,0.08,0.92,"220,415","19,354",2.19,1.69
2017-06-28,铁龙物流,0600125,8.71,8.76,8.64,8.66,-0.10,-1.14,"145,921","12,680",1.37,1.12
2017-06-27,铁龙物流,0600125,8.75,8.84,8.67,8.76,0.06,0.69,"217,944","19,078",1.95,1.67
2017-06-26,铁龙物流,0600125,8.53,8.77,8.46,8.70,0.17,1.99,"296,614","25,773",3.63,2.27
2017-06-23,铁龙物流,0600125,8.51,8.66,8.29,8.53,0.03,0.35,"167,654","14,206",4.35,1.28
2017-06-22,铁龙物流,0600125,8.68,8.80,8.52,8.56,-0.16,-1.83,"215,995","18,698",3.21,1.65
2017-06-21,铁龙物流,0600125,8.75,8.88,8.63,8.72,-0.03,-0.34,"226,960","19,833",2.86,1.74
2017-06-20,铁龙物流,0600125,8.73,8.76,8.61,8.75,-0.01,-0.11,"216,311","18,789",1.71,1.66
2017-06-19,铁龙物流,0600125,8.38,8.77,8.32,8.76,0.41,4.91,"428,898","37,049",5.39,3.29
2017-06-16,铁龙物流,0600125,8.32,8.45,8.31,8.35,-0.02,-0.24,"105,877","8,873",1.67,0.81
2017-06-15,铁龙物流,0600125,8.38,8.47,8.34,8.37,-0.02,-0.24,"170,081","14,301",1.55,1.30
2017-06-14,铁龙物流,0600125,8.30,8.44,8.26,8.39,0.08,0.96,"147,575","12,345",2.17,1.13
2017-06-13,铁龙物流,0600125,8.18,8.34,8.16,8.31,0.10,1.22,"166,182","13,733",2.19,1.27
2017-06-12,铁龙物流,0600125,8.48,8.51,8.17,8.21,-0.33,-3.86,"229,285","19,069",3.98,1.76
2017-06-09,铁龙物流,0600125,8.60,8.64,8.48,8.54,-0.03,-0.35,"145,662","12,452",1.87,1.12
2017-06-08,铁龙物流,0600125,8.60,8.67,8.54,8.57,-0.06,-0.70,"150,320","12,911",1.51,1.15
2017-06-07,铁龙物流,0600125,8.50,8.68,8.42,8.63,0.14,1.65,"228,747","19,705",3.06,1.75
2017-06-06,铁龙物流,0600125,8.50,8.74,8.37,8.49,-0.04,-0.47,"201,757","17,270",4.34,1.55
2017-06-05,铁龙物流,0600125,8.44,8.68,8.41,8.53,0.08,0.95,"216,457","18,528",3.20,1.66
2017-06-02,铁龙物流,0600125,8.07,8.50,8.01,8.45,0.33,4.06,"206,143","17,102",6.03,1.58
2017-06-01,铁龙物流,0600125,8.27,8.36,8.10,8.12,-0.15,-1.81,"129,933","10,711",3.14,1.00
2017-05-31,铁龙物流,0600125,8.32,8.55,8.27,8.27,0.03,0.36,"178,801","15,055",3.40,1.37
2017-05-26,铁龙物流,0600125,8.28,8.38,8.21,8.24,-0.05,-0.60,"155,351","12,890",2.05,1.19
2017-05-25,铁龙物流,0600125,8.12,8.35,8.00,8.29,0.18,2.22,"229,776","18,841",4.32,1.76
2017-05-24,铁龙物流,0600125,7.98,8.15,7.70,8.11,0.12,1.50,"196,721","15,628",5.63,1.51
2017-05-23,铁龙物流,0600125,8.20,8.25,7.92,7.99,-0.21,-2.56,"232,700","18,757",4.02,1.78
2017-05-22,铁龙物流,0600125,8.55,8.61,8.13,8.20,-0.38,-4.43,"159,718","13,356",5.59,1.22
2017-05-19,铁龙物流,0600125,8.53,8.72,8.50,8.58,0.00,0.00,"138,692","11,931",2.56,1.06
2017-05-18,铁龙物流,0600125,8.71,8.76,8.57,8.58,-0.22,-2.50,"259,988","22,540",2.16,1.99
2017-05-17,铁龙物流,0600125,8.50,8.98,8.42,8.80,0.26,3.04,"404,349","35,051",6.56,3.10
2017-05-16,铁龙物流,0600125,8.33,8.55,8.05,8.54,0.18,2.15,"294,254","24,554",5.98,2.25
2017-05-15,铁龙物流,0600125,8.61,8.67,8.35,8.36,-0.18,-2.11,"259,365","21,958",3.75,1.99
2017-05-12,铁龙物流,0600125,8.35,8.67,8.24,8.54,0.09,1.07,"365,972","30,954",5.09,2.80
2017-05-11,铁龙物流,0600125,7.96,8.46,7.91,8.45,0.45,5.63,"372,388","30,650",6.88,2.85
2017-05-10,铁龙物流,0600125,8.30,8.30,7.99,8.00,-0.20,-2.44,"200,170","16,294",3.78,1.53
2017-05-09,铁龙物流,0600125,7.88,8.29,7.85,8.20,0.34,4.33,"288,240","23,353",5.60,2.21
2017-05-08,铁龙物流,0600125,8.25,8.25,7.85,7.86,-0.43,-5.19,"305,054","24,535",4.83,2.34
2017-05-05,铁龙物流,0600125,8.45,8.49,8.20,8.29,-0.23,-2.70,"297,179","24,726",3.40,2.28
2017-05-04,铁龙物流,0600125,8.76,8.83,8.49,8.52,-0.27,-3.07,"242,530","21,010",3.87,1.86
2017-05-03,铁龙物流,0600125,8.86,8.97,8.73,8.79,-0.07,-0.79,"198,183","17,521",2.71,1.52
2017-05-02,铁龙物流,0600125,8.76,8.90,8.74,8.86,0.17,1.96,"202,185","17,836",1.84,1.55
2017-04-28,铁龙物流,0600125,8.68,8.80,8.52,8.69,-0.11,-1.25,"206,253","17,889",3.18,1.58
2017-04-27,铁龙物流,0600125,8.66,8.85,8.21,8.80,0.15,1.73,"378,476","32,394",7.40,2.90
2017-04-26,铁龙物流,0600125,9.21,9.30,8.35,8.65,-0.55,-5.98,"373,574","33,225",10.33,2.86
2017-04-25,铁龙物流,0600125,9.24,9.42,9.18,9.20,-0.02,-0.22,"174,001","16,178",2.60,1.33
2017-04-24,铁龙物流,0600125,9.72,9.78,9.20,9.22,-0.50,-5.14,"259,408","24,493",5.97,1.99
2017-04-21,铁龙物流,0600125,9.75,9.86,9.60,9.72,0.04,0.41,"189,767","18,476",2.69,1.45
2017-04-20,铁龙物流,0600125,9.68,9.84,9.60,9.68,0.06,0.62,"221,897","21,535",2.49,1.70
2017-04-19,铁龙物流,0600125,9.71,9.79,9.45,9.62,-0.20,-2.04,"288,928","27,732",3.46,2.21
2017-04-18,铁龙物流,0600125,10.28,10.35,9.81,9.82,-0.46,-4.47,"323,671","32,642",5.25,2.48
2017-04-17,铁龙物流,0600125,10.22,10.38,10.08,10.28,0.06,0.59,"246,646","25,232",2.94,1.89
2017-04-14,铁龙物流,0600125,10.57,10.57,10.20,10.22,-0.36,-3.40,"314,333","32,474",3.50,2.41
2017-04-13,铁龙物流,0600125,10.63,10.63,10.41,10.58,-0.10,-0.94,"329,251","34,585",2.06,2.52
2017-04-12,铁龙物流,0600125,11.06,11.20,10.66,10.68,-0.37,-3.35,"472,630","51,276",4.89,3.62
2017-04-11,铁龙物流,0600125,10.60,11.15,10.56,11.05,0.45,4.25,"790,400","86,399",5.57,6.05
2017-04-10,铁龙物流,0600125,10.49,10.87,10.31,10.60,0.16,1.53,"606,503","64,746",5.36,4.65
2017-04-07,铁龙物流,0600125,10.45,10.71,10.32,10.44,-0.13,-1.23,"712,489","75,011",3.69,5.46
2017-04-06,铁龙物流,0600125,10.12,10.99,10.12,10.57,0.50,4.97,"1,089,560","115,388",8.64,8.35
2017-04-05,铁龙物流,0600125,10.00,10.09,9.76,10.07,0.26,2.65,"417,824","41,615",3.36,3.20
2017-12-29,铁龙物流,0600125,10.82,10.87,10.63,10.82,-0.06,-0.55,"319,018","34,202",2.21,2.44
2017-12-28,铁龙物流,0600125,10.72,11.19,10.70,10.88,0.10,0.93,"540,925","59,300",4.55,4.14
2017-12-27,铁龙物流,0600125,10.92,11.05,10.77,10.78,-0.32,-2.88,"513,015","55,896",2.52,3.93
2017-12-26,铁龙物流,0600125,10.38,11.23,10.30,11.10,0.81,7.87,"753,286","81,195",9.04,5.77
2017-12-25,铁龙物流,0600125,10.55,10.55,10.26,10.29,-0.31,-2.92,"314,076","32,604",2.74,2.41
2017-12-22,铁龙物流,0600125,10.45,10.76,10.35,10.60,0.15,1.44,"499,365","52,746",3.92,3.83
2017-12-21,铁龙物流,0600125,10.44,10.55,10.23,10.45,0.05,0.48,"372,203","38,749",3.08,2.85
2017-12-20,铁龙物流,0600125,10.45,10.66,10.34,10.40,-0.17,-1.61,"369,564","38,719",3.03,2.83
2017-12-19,铁龙物流,0600125,10.48,10.72,10.25,10.57,0.06,0.57,"476,703","49,790",4.47,3.65
2017-12-18,铁龙物流,0600125,10.16,10.79,10.10,10.51,0.32,3.14,"718,004","75,492",6.77,5.50
2017-12-15,铁龙物流,0600125,10.18,10.39,10.12,10.19,0.06,0.59,"758,444","77,659",2.67,5.81
2017-12-14,铁龙物流,0600125,9.24,10.13,9.22,10.13,0.92,9.99,"662,018","64,121",9.88,5.07
2017-12-13,铁龙物流,0600125,9.16,9.26,9.14,9.21,0.05,0.55,"106,414","9,788",1.31,0.82
2017-12-12,铁龙物流,0600125,9.25,9.32,9.12,9.16,-0.12,-1.29,"146,639","13,493",2.16,1.12
2017-12-11,铁龙物流,0600125,9.18,9.29,9.16,9.28,0.07,0.76,"146,708","13,543",1.41,1.12
2017-12-08,铁龙物流,0600125,9.16,9.29,9.15,9.21,0.07,0.77,"148,202","13,657",1.53,1.14
2017-12-07,铁龙物流,0600125,9.17,9.33,9.12,9.14,-0.07,-0.76,"169,190","15,599",2.28,1.30
2017-12-06,铁龙物流,0600125,9.14,9.23,9.03,9.21,0.04,0.44,"195,918","17,876",2.18,1.50
2017-12-05,铁龙物流,0600125,9.69,9.74,9.00,9.17,-0.58,-5.95,"371,374","34,648",7.59,2.84
2017-12-04,铁龙物流,0600125,9.97,9.97,9.72,9.75,-0.29,-2.89,"200,620","19,772",2.49,1.54
2017-12-01,铁龙物流,0600125,10.00,10.15,10.00,10.04,-0.01,-0.10,"129,295","13,009",1.49,0.99
2017-11-30,铁龙物流,0600125,10.15,10.25,10.03,10.05,-0.12,-1.18,"269,627","27,299",2.16,2.07
2017-11-29,铁龙物流,0600125,9.90,10.18,9.77,10.17,0.26,2.62,"301,464","30,031",4.14,2.31
2017-11-28,铁龙物流,0600125,9.75,9.93,9.74,9.91,0.10,1.02,"154,935","15,259",1.94,1.19
2017-11-27,铁龙物流,0600125,10.06,10.12,9.79,9.81,-0.19,-1.90,"196,914","19,541",3.30,1.51
2017-11-24,铁龙物流,0600125,9.88,10.20,9.75,10.00,-0.02,-0.20,"288,599","28,650",4.49,2.21
2017-11-23,铁龙物流,0600125,10.02,10.34,9.84,10.02,-0.01,-0.10,"439,507","44,405",4.99,3.37
2017-11-22,铁龙物流,0600125,9.85,10.18,9.62,10.03,0.18,1.83,"402,395","39,788",5.69,3.08
2017-11-21,铁龙物流,0600125,9.99,10.05,9.79,9.85,-0.18,-1.79,"212,573","21,039",2.59,1.63
2017-11-20,铁龙物流,0600125,9.87,10.04,9.64,10.03,0.21,2.14,"238,495","23,546",4.07,1.83
2017-11-17,铁龙物流,0600125,10.63,10.63,9.80,9.82,-0.75,-7.10,"465,694","47,118",7.85,3.57
2017-11-16,铁龙物流,0600125,10.64,10.82,10.55,10.57,-0.03,-0.28,"212,431","22,681",2.55,1.63
2017-11-15,铁龙物流,0600125,10.65,10.86,10.45,10.60,-0.06,-0.56,"279,574","29,816",3.85,2.14
2017-11-14,铁龙物流,0600125,10.78,10.86,10.62,10.66,-0.13,-1.20,"248,268","26,616",2.22,1.90
2017-11-13,铁龙物流,0600125,11.08,11.10,10.76,10.79,-0.26,-2.35,"305,611","33,113",3.08,2.34
2017-11-10,铁龙物流,0600125,11.19,11.25,10.99,11.05,-0.21,-1.87,"293,122","32,467",2.31,2.25
2017-11-09,铁龙物流,0600125,11.20,11.38,11.13,11.26,-0.02,-0.18,"261,048","29,333",2.22,2.00
2017-11-08,铁龙物流,0600125,11.32,11.49,11.19,11.28,-0.06,-0.53,"364,362","41,246",2.65,2.79
2017-11-07,铁龙物流,0600125,11.27,11.38,11.11,11.34,0.07,0.62,"354,009","39,889",2.40,2.71
2017-11-06,铁龙物流,0600125,10.97,11.28,10.88,11.27,0.27,2.45,"255,656","28,544",3.64,1.96
2017-11-03,铁龙物流,0600125,11.28,11.28,10.82,11.00,-0.28,-2.48,"285,197","31,426",4.08,2.18
2017-11-02,铁龙物流,0600125,11.21,11.38,11.09,11.28,0.09,0.80,"311,862","35,123",2.59,2.39
2017-11-01,铁龙物流,0600125,11.18,11.36,11.09,11.19,0.07,0.63,"434,451","48,699",2.43,3.33
2017-10-31,铁龙物流,0600125,10.67,11.14,10.61,11.12,0.44,4.12,"434,468","47,404",4.96,3.33
2017-10-30,铁龙物流,0600125,11.11,11.23,10.45,10.68,-0.59,-5.24,"521,193","56,107",6.92,3.99
2017-10-27,铁龙物流,0600125,11.30,11.73,11.25,11.27,-0.11,-0.97,"391,552","44,847",4.22,3.00
2017-10-26,铁龙物流,0600125,11.29,11.44,11.11,11.38,0.08,0.71,"305,942","34,568",2.92,2.34
2017-10-25,铁龙物流,0600125,11.20,11.37,11.13,11.30,0.12,1.07,"213,329","24,062",2.15,1.63
