日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,锦在线B,0900914,1.38,1.39,1.38,1.38,0.00,0.29,"1,750",24,0.22,0.11
2017-09-28,锦在线B,0900914,1.38,1.39,1.38,1.38,0.00,0.29,"1,541",21,0.65,0.10
2017-09-27,锦在线B,0900914,1.37,1.38,1.36,1.38,0.00,0.15,"1,317",18,0.95,0.08
2017-09-26,锦在线B,0900914,1.37,1.38,1.37,1.37,0.01,0.44,"1,318",18,0.73,0.08
2017-09-25,锦在线B,0900914,1.37,1.38,1.37,1.37,-0.01,-0.87,"2,505",34,0.94,0.16
2017-09-22,锦在线B,0900914,1.38,1.39,1.37,1.38,-0.01,-0.79,"1,898",26,1.30,0.12
2017-09-21,锦在线B,0900914,1.39,1.39,1.38,1.39,0.00,0.00,"1,368",19,0.72,0.09
2017-09-20,锦在线B,0900914,1.39,1.39,1.39,1.39,0.00,0.00,"2,072",29,0.58,0.13
2017-09-19,锦在线B,0900914,1.38,1.40,1.38,1.39,0.00,0.22,"2,503",35,1.01,0.16
2017-09-18,锦在线B,0900914,1.38,1.39,1.38,1.39,-0.00,-0.14,973,13,0.65,0.06
2017-09-15,锦在线B,0900914,1.38,1.39,1.38,1.39,0.00,0.07,"1,960",27,0.86,0.12
2017-09-14,锦在线B,0900914,1.40,1.40,1.38,1.39,-0.01,-0.50,"3,958",55,1.36,0.25
2017-09-13,锦在线B,0900914,1.39,1.40,1.39,1.40,0.01,0.65,"2,755",38,0.87,0.17
2017-09-12,锦在线B,0900914,1.40,1.40,1.38,1.39,-0.01,-0.93,"2,868",40,1.43,0.18
2017-09-11,锦在线B,0900914,1.40,1.40,1.39,1.40,0.01,1.01,"3,836",54,0.87,0.24
2017-09-08,锦在线B,0900914,1.36,1.41,1.36,1.39,0.02,1.54,"12,960",180,3.59,0.80
2017-09-07,锦在线B,0900914,1.35,1.37,1.35,1.36,-0.00,-0.15,"1,920",26,1.46,0.12
2017-09-06,锦在线B,0900914,1.35,1.37,1.35,1.37,0.01,0.59,"2,636",36,1.18,0.16
2017-09-05,锦在线B,0900914,1.36,1.37,1.36,1.36,-0.00,-0.22,"1,144",16,0.81,0.07
2017-09-04,锦在线B,0900914,1.37,1.37,1.36,1.36,-0.00,-0.29,"1,428",19,0.88,0.09
2017-09-01,锦在线B,0900914,1.37,1.37,1.36,1.37,-0.00,-0.29,"3,329",45,0.80,0.21
2017-08-31,锦在线B,0900914,1.38,1.38,1.36,1.37,-0.00,-0.15,"2,684",37,1.09,0.17
2017-08-30,锦在线B,0900914,1.38,1.39,1.37,1.37,0.01,0.44,"4,342",60,1.32,0.27
2017-08-29,锦在线B,0900914,1.37,1.37,1.37,1.37,-0.01,-0.66,"1,444",20,0.66,0.09
2017-08-28,锦在线B,0900914,1.38,1.38,1.37,1.37,0.01,0.51,"2,244",31,0.51,0.14
2017-08-25,锦在线B,0900914,1.36,1.37,1.36,1.37,0.00,0.22,817,11,0.66,0.05
2017-08-24,锦在线B,0900914,1.36,1.38,1.36,1.36,0.00,0.15,"1,695",23,1.32,0.11
2017-08-23,锦在线B,0900914,1.37,1.37,1.36,1.36,-0.00,-0.15,320,4,0.81,0.02
2017-08-22,锦在线B,0900914,1.36,1.37,1.36,1.36,-0.01,-0.37,666,9,0.66,0.04
2017-08-21,锦在线B,0900914,1.38,1.38,1.36,1.37,0.00,0.00,"1,921",26,1.31,0.12
2017-08-18,锦在线B,0900914,1.36,1.37,1.35,1.37,0.01,1.03,"3,957",54,1.62,0.25
2017-08-17,锦在线B,0900914,1.34,1.36,1.34,1.36,0.01,0.82,"1,803",24,1.49,0.11
