日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-09-30,万胜智能,1300882,31.09,31.88,29.70,30.20,-0.57,-1.85,"57,730","17,726",7.08,15.48
2020-09-29,万胜智能,1300882,32.06,32.37,30.66,30.77,-1.42,-4.41,"65,196","20,343",5.31,17.49
2020-09-28,万胜智能,1300882,31.11,33.69,31.11,32.19,0.41,1.29,"81,327","26,483",8.12,21.81
2020-09-25,万胜智能,1300882,33.78,33.98,31.66,31.78,-1.93,-5.73,"77,271","25,204",6.88,20.72
2020-09-24,万胜智能,1300882,32.62,35.39,31.77,33.71,0.12,0.36,"127,136","42,669",10.78,34.10
2020-09-23,万胜智能,1300882,31.02,33.80,31.02,33.59,2.70,8.74,"120,139","39,557",9.00,32.22
2020-09-22,万胜智能,1300882,32.00,32.68,30.71,30.89,-2.09,-6.34,"87,011","27,493",5.97,23.34
2020-09-21,万胜智能,1300882,34.70,34.98,32.65,32.98,-1.72,-4.96,"103,092","34,352",6.71,27.65
2020-09-18,万胜智能,1300882,35.11,36.58,33.46,34.70,-2.48,-6.67,"135,420","47,316",8.39,36.32
2020-09-17,万胜智能,1300882,35.90,43.00,35.00,37.18,0.98,2.71,"238,452","92,691",22.10,63.95
2020-09-16,万胜智能,1300882,32.05,38.41,30.52,36.20,2.54,7.55,"214,677","73,655",23.44,57.58
2020-09-15,万胜智能,1300882,31.56,36.20,29.51,33.66,1.87,5.88,"182,345","60,408",21.04,48.90
2020-09-14,万胜智能,1300882,31.30,33.86,31.08,31.79,-2.37,-6.94,"151,932","49,166",8.14,40.75
2020-09-11,万胜智能,1300882,30.00,43.66,28.66,34.16,-3.67,-9.70,"204,417","68,985",39.65,54.82
2020-09-10,万胜智能,1300882,56.75,60.00,36.66,37.83,27.50,266.21,"260,827","115,741",225.94,69.95
2020-12-31,万胜智能,1300882,26.23,27.69,26.23,27.33,1.03,3.92,"27,848","7,589",5.55,7.47
2020-12-30,万胜智能,1300882,25.63,26.49,25.63,26.30,0.48,1.86,"19,275","5,049",3.33,5.17
2020-12-29,万胜智能,1300882,25.54,26.26,25.31,25.82,0.24,0.94,"20,426","5,273",3.71,5.48
2020-12-28,万胜智能,1300882,26.47,26.55,25.49,25.58,-0.94,-3.54,"27,724","7,167",4.00,7.44
2020-12-25,万胜智能,1300882,25.14,27.57,25.05,26.52,1.44,5.74,"44,055","11,665",10.05,11.82
2020-12-24,万胜智能,1300882,26.12,26.38,24.86,25.08,-1.04,-3.98,"29,420","7,524",5.82,7.89
2020-12-23,万胜智能,1300882,26.70,27.13,26.01,26.12,-0.71,-2.65,"27,058","7,148",4.17,7.26
2020-12-22,万胜智能,1300882,27.84,27.97,26.82,26.83,-0.98,-3.52,"24,177","6,638",4.14,6.48
2020-12-21,万胜智能,1300882,28.00,28.66,27.77,27.81,-0.32,-1.14,"18,818","5,297",3.16,5.05
2020-12-18,万胜智能,1300882,28.80,29.38,28.12,28.13,-0.97,-3.33,"19,514","5,613",4.33,5.23
2020-12-17,万胜智能,1300882,28.79,29.26,27.31,29.10,0.36,1.25,"31,200","8,827",6.79,8.37
2020-12-16,万胜智能,1300882,30.13,30.13,28.70,28.74,-1.23,-4.10,"22,392","6,521",4.77,6.01
2020-12-15,万胜智能,1300882,30.37,30.40,29.92,29.97,-0.28,-0.93,"14,500","4,364",1.59,3.89
2020-12-14,万胜智能,1300882,30.18,30.71,29.86,30.25,-0.15,-0.49,"15,744","4,765",2.80,4.22
2020-12-11,万胜智能,1300882,31.13,31.84,29.95,30.40,-1.30,-4.10,"27,234","8,360",5.96,7.30
2020-12-10,万胜智能,1300882,30.70,32.49,30.30,31.70,0.79,2.56,"37,190","11,801",7.09,9.97
2020-12-09,万胜智能,1300882,30.80,31.30,30.11,30.91,0.11,0.36,"24,046","7,384",3.86,6.45
2020-12-08,万胜智能,1300882,31.65,31.94,30.75,30.80,-0.84,-2.65,"26,536","8,275",3.76,7.12
2020-12-07,万胜智能,1300882,32.95,32.96,31.55,31.64,-1.31,-3.98,"25,761","8,301",4.28,6.91
