日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-12-31,力合科技,1300800,77.20,77.99,75.58,75.99,-2.69,-3.42,"42,491","32,548",3.06,21.25
2019-12-30,力合科技,1300800,71.00,78.68,70.21,78.68,7.15,10.00,"68,783","52,630",11.84,34.39
2019-12-27,力合科技,1300800,69.00,71.97,68.76,71.53,2.40,3.47,"31,124","21,919",4.64,15.56
2019-12-26,力合科技,1300800,69.00,69.56,68.49,69.13,0.14,0.20,"12,999","8,968",1.55,6.50
2019-12-25,力合科技,1300800,68.10,69.66,67.60,68.99,0.90,1.32,"14,246","9,773",3.03,7.12
2019-12-24,力合科技,1300800,67.82,68.19,67.64,68.09,0.39,0.58,"10,659","7,238",0.81,5.33
2019-12-23,力合科技,1300800,69.03,69.08,67.68,67.70,-1.66,-2.39,"15,979","10,893",2.02,7.99
2019-12-20,力合科技,1300800,70.85,71.18,69.36,69.36,-1.55,-2.19,"18,965","13,301",2.57,9.48
2019-12-19,力合科技,1300800,70.92,71.69,70.56,70.91,-0.02,-0.03,"15,969","11,346",1.59,7.98
2019-12-18,力合科技,1300800,70.65,71.88,70.35,70.93,0.03,0.04,"19,250","13,693",2.16,9.63
2019-12-17,力合科技,1300800,71.22,71.40,70.35,70.90,-0.10,-0.14,"20,153","14,265",1.48,10.08
2019-12-16,力合科技,1300800,69.40,71.48,69.36,71.00,1.99,2.88,"23,169","16,336",3.07,11.58
2019-12-13,力合科技,1300800,69.44,69.63,68.80,69.01,-0.03,-0.04,"14,730","10,192",1.20,7.37
2019-12-12,力合科技,1300800,70.51,70.62,69.04,69.04,-1.68,-2.38,"20,766","14,453",2.23,10.38
2019-12-11,力合科技,1300800,69.19,71.59,68.65,70.72,1.53,2.21,"33,278","23,355",4.25,16.64
2019-12-10,力合科技,1300800,68.13,69.37,67.04,69.19,0.82,1.20,"26,503","18,108",3.41,13.25
2019-12-09,力合科技,1300800,68.94,69.19,68.18,68.37,-0.45,-0.65,"14,493","9,919",1.47,7.25
2019-12-06,力合科技,1300800,68.70,69.51,68.08,68.82,-0.25,-0.36,"19,663","13,523",2.07,9.83
2019-12-05,力合科技,1300800,68.10,69.12,67.75,69.07,1.32,1.95,"19,437","13,324",2.02,9.72
2019-12-04,力合科技,1300800,67.80,68.65,67.38,67.75,-0.55,-0.81,"14,767","10,037",1.86,7.38
2019-12-03,力合科技,1300800,68.38,68.42,67.15,68.30,-0.72,-1.04,"17,217","11,682",1.84,8.61
2019-12-02,力合科技,1300800,69.77,69.77,68.18,69.02,-0.76,-1.09,"16,747","11,565",2.28,8.37
2019-11-29,力合科技,1300800,67.90,69.96,67.06,69.78,1.48,2.17,"23,959","16,430",4.25,11.98
2019-11-28,力合科技,1300800,69.36,69.86,68.30,68.30,-1.61,-2.30,"17,050","11,753",2.23,8.53
2019-11-27,力合科技,1300800,68.55,69.97,67.13,69.91,0.76,1.10,"19,743","13,551",4.11,9.87
2019-11-26,力合科技,1300800,69.80,71.37,68.20,69.15,-0.91,-1.30,"22,771","15,952",4.52,11.39
2019-11-25,力合科技,1300800,74.50,74.80,69.88,70.06,-4.49,-6.02,"33,180","23,562",6.60,16.59
2019-11-22,力合科技,1300800,76.66,77.33,73.82,74.55,-2.80,-3.62,"34,272","25,844",4.54,17.14
2019-11-21,力合科技,1300800,76.21,78.48,74.30,77.35,1.65,2.18,"37,937","28,933",5.52,18.97
2019-11-20,力合科技,1300800,78.50,79.96,75.57,75.70,-3.66,-4.61,"42,415","32,775",5.53,21.21
2019-11-19,力合科技,1300800,75.66,79.55,74.61,79.36,3.46,4.56,"49,265","38,097",6.51,24.63
2019-11-18,力合科技,1300800,74.91,75.98,73.13,75.90,1.18,1.58,"38,638","28,863",3.81,19.32
2019-11-15,力合科技,1300800,80.41,81.50,74.53,74.72,-8.09,-9.77,"68,293","52,698",8.42,34.15
2019-11-14,力合科技,1300800,83.78,86.51,82.01,82.81,-0.97,-1.16,"53,800","45,216",5.37,26.90
2019-11-13,力合科技,1300800,82.00,85.68,80.15,83.78,0.08,0.10,"67,229","55,790",6.61,33.61
2019-11-12,力合科技,1300800,88.00,88.97,83.70,83.70,-9.30,-10.00,"67,209","57,774",5.67,33.60
2019-11-11,力合科技,1300800,91.75,97.05,90.00,93.00,4.77,5.41,"96,621","91,375",7.99,48.31
2019-11-08,力合科技,1300800,80.00,88.23,78.96,88.23,8.02,10.00,"56,134","47,659",11.56,28.07
2019-11-07,力合科技,1300800,75.00,80.21,69.05,80.21,7.29,10.00,"87,178","66,822",15.30,43.59
2019-11-06,力合科技,1300800,60.77,72.92,60.77,72.92,22.28,44.00,"8,179","5,959",23.99,4.09
2020-03-31,力合科技,1300800,65.36,65.93,64.74,65.70,1.44,2.24,"5,607","3,669",1.85,2.80
2020-03-30,力合科技,1300800,65.14,65.20,63.48,64.26,-1.65,-2.50,"6,189","3,981",2.61,3.09
2020-03-27,力合科技,1300800,67.10,67.45,65.85,65.91,-0.61,-0.92,"5,125","3,420",2.41,2.56
