日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-06-30,华盛昌,1002980,61.20,64.00,61.20,63.56,1.82,2.95,"48,169","30,470",4.54,14.45
2020-06-29,华盛昌,1002980,58.40,62.60,58.21,61.74,0.72,1.18,"40,649","24,980",7.19,12.19
2020-06-24,华盛昌,1002980,63.61,63.90,60.00,61.02,-2.90,-4.54,"70,095","43,080",6.10,21.03
2020-06-23,华盛昌,1002980,63.00,64.95,62.85,63.92,0.58,0.92,"49,810","31,979",3.32,14.94
2020-06-22,华盛昌,1002980,63.07,64.23,62.11,63.34,-0.41,-0.64,"51,529","32,477",3.33,15.46
2020-06-19,华盛昌,1002980,63.08,64.77,63.06,63.75,0.00,0.00,"45,870","29,244",2.68,13.76
2020-06-18,华盛昌,1002980,66.09,66.50,62.80,63.75,-4.93,-7.18,"92,896","59,921",5.39,27.87
2020-06-17,华盛昌,1002980,66.46,70.50,65.47,68.68,3.58,5.50,"121,102","82,172",7.73,36.33
2020-06-16,华盛昌,1002980,64.51,66.90,64.08,65.10,-1.31,-1.97,"90,734","59,117",4.25,27.22
2020-06-15,华盛昌,1002980,69.00,71.50,65.70,66.41,0.56,0.85,"157,834","108,453",8.81,47.35
2020-06-12,华盛昌,1002980,59.00,65.85,58.30,65.85,5.99,10.01,"142,996","90,850",12.61,42.90
2020-06-11,华盛昌,1002980,58.42,59.89,57.28,59.86,1.19,2.03,"68,203","39,997",4.45,20.46
2020-06-10,华盛昌,1002980,58.00,59.98,57.12,58.67,0.32,0.55,"61,762","36,420",4.90,18.53
2020-06-09,华盛昌,1002980,59.00,60.17,58.01,58.35,-1.03,-1.73,"55,171","32,424",3.64,16.55
2020-06-08,华盛昌,1002980,55.80,59.75,55.02,59.38,3.23,5.75,"89,572","51,845",8.42,26.87
2020-06-05,华盛昌,1002980,57.87,58.53,54.20,56.15,-2.47,-4.21,"81,825","45,841",7.39,24.55
2020-06-04,华盛昌,1002980,61.51,62.00,58.13,58.62,-3.69,-5.92,"93,001","55,388",6.21,27.90
2020-06-03,华盛昌,1002980,60.40,63.33,59.55,62.31,-0.48,-0.76,"105,955","64,747",6.02,31.79
2020-06-02,华盛昌,1002980,62.84,65.60,61.30,62.79,2.27,3.75,"121,606","76,758",7.11,36.48
2020-06-01,华盛昌,1002980,58.01,60.98,57.39,60.52,2.16,3.70,"96,675","57,588",6.15,29.00
2020-05-29,华盛昌,1002980,58.01,60.46,57.45,58.36,-0.54,-0.92,"88,497","51,996",5.11,26.55
2020-05-28,华盛昌,1002980,63.16,63.79,58.44,58.90,-5.91,-9.12,"134,368","81,588",8.25,40.31
2020-05-27,华盛昌,1002980,63.07,68.18,62.50,64.81,1.70,2.69,"145,977","95,981",9.00,43.79
2020-05-26,华盛昌,1002980,62.01,64.58,58.86,63.11,-0.19,-0.30,"137,625","85,191",9.04,41.29
2020-05-25,华盛昌,1002980,63.00,69.70,62.10,63.30,-5.70,-8.26,"162,601","104,803",11.01,48.78
2020-05-22,华盛昌,1002980,69.26,75.00,65.01,69.00,-0.26,-0.38,"200,021","141,216",14.42,60.01
2020-05-21,华盛昌,1002980,61.02,69.26,59.50,69.26,6.30,10.01,"162,710","106,457",15.50,48.81
2020-05-20,华盛昌,1002980,63.00,67.90,59.91,62.96,-1.89,-2.91,"172,465","109,944",12.32,51.74
2020-05-19,华盛昌,1002980,58.10,64.85,58.01,64.85,5.90,10.01,"161,509","101,295",11.60,48.45
2020-05-18,华盛昌,1002980,60.04,62.19,57.40,58.95,-3.32,-5.33,"144,814","86,368",7.69,43.44
2020-05-15,华盛昌,1002980,58.00,65.23,56.70,62.27,2.97,5.01,"193,342","117,894",14.38,58.00
2020-05-14,华盛昌,1002980,66.51,69.84,58.80,59.30,-4.78,-7.46,"214,636","137,303",17.23,64.39
2020-05-13,华盛昌,1002980,61.33,64.08,60.68,64.08,5.83,10.01,"176,908","111,598",5.84,53.07
2020-05-12,华盛昌,1002980,54.00,58.25,50.50,58.25,5.30,10.01,"167,418","92,648",14.64,50.23
2020-05-11,华盛昌,1002980,54.77,55.45,50.46,52.95,2.54,5.04,"170,870","93,098",9.90,51.26
2020-05-08,华盛昌,1002980,45.98,50.41,45.00,50.41,4.58,9.99,"176,735","86,075",11.80,53.02
2020-05-07,华盛昌,1002980,40.11,45.83,39.20,45.83,4.17,10.01,"162,293","68,173",15.91,48.69
2020-05-06,华盛昌,1002980,38.00,41.66,37.87,41.66,3.79,10.01,"203,750","81,839",10.01,61.12
2020-04-30,华盛昌,1002980,37.87,37.87,37.08,37.87,3.44,9.99,"111,082","42,028",2.29,33.32
2020-04-29,华盛昌,1002980,34.43,34.43,34.43,34.43,3.13,10.00,"20,169","6,944",0.00,6.05
2020-04-28,华盛昌,1002980,32.43,32.67,30.11,31.30,-2.15,-6.43,"111,343","34,697",7.65,33.40
2020-04-27,华盛昌,1002980,34.80,35.18,32.55,33.45,-0.73,-2.14,"100,893","34,446",7.69,30.27
2020-04-24,华盛昌,1002980,36.00,36.66,34.17,34.18,-3.79,-9.98,"158,031","55,582",6.56,47.41
2020-04-23,华盛昌,1002980,35.00,37.97,34.00,37.97,3.45,9.99,"213,713","77,749",11.50,64.11
2020-04-22,华盛昌,1002980,34.52,34.52,34.52,34.52,3.14,10.01,"3,311","1,143",0.00,0.99
2020-04-21,华盛昌,1002980,31.38,31.38,31.38,31.38,2.85,9.99,"1,760",552,0.00,0.53
2020-04-20,华盛昌,1002980,28.53,28.53,28.53,28.53,2.59,9.98,374,107,0.00,0.11
2020-04-17,华盛昌,1002980,25.94,25.94,25.94,25.94,2.36,10.01,276,72,0.00,0.08
2020-04-16,华盛昌,1002980,23.58,23.58,23.58,23.58,2.14,9.98,277,65,0.00,0.08
2020-04-15,华盛昌,1002980,17.87,21.44,17.87,21.44,6.55,43.99,"1,107",237,23.98,0.33
2020-12-31,华盛昌,1002980,44.31,45.73,44.31,45.10,0.49,1.10,"6,546","2,955",3.18,1.96
2020-12-30,华盛昌,1002980,45.19,45.45,44.25,44.61,-0.58,-1.28,"8,762","3,907",2.66,2.63
2020-12-29,华盛昌,1002980,45.21,45.88,45.16,45.19,-0.01,-0.02,"6,521","2,964",1.59,1.96
2020-12-28,华盛昌,1002980,47.29,47.34,45.20,45.20,-2.22,-4.68,"12,140","5,575",4.51,3.64
2020-12-25,华盛昌,1002980,47.35,48.19,47.35,47.42,-0.56,-1.17,"8,778","4,176",1.75,2.63
2020-12-24,华盛昌,1002980,49.32,49.32,47.91,47.98,-1.45,-2.93,"8,412","4,081",2.85,2.52
2020-12-23,华盛昌,1002980,49.97,50.51,49.30,49.43,-0.64,-1.28,"9,298","4,616",2.42,2.79
2020-12-22,华盛昌,1002980,50.31,51.58,49.21,50.07,-0.31,-0.62,"16,317","8,257",4.70,4.90
2020-12-21,华盛昌,1002980,49.95,50.55,49.58,50.38,0.34,0.68,"9,232","4,642",1.94,2.77
2020-12-18,华盛昌,1002980,49.40,50.47,48.78,50.04,0.38,0.77,"10,743","5,330",3.40,3.22
2020-12-17,华盛昌,1002980,50.35,50.35,48.68,49.66,-0.39,-0.78,"9,498","4,679",3.34,2.85
2020-12-16,华盛昌,1002980,49.12,50.59,49.12,50.05,0.70,1.42,"11,988","6,014",2.98,3.60
2020-12-15,华盛昌,1002980,48.30,49.35,47.92,49.35,1.05,2.17,"8,305","4,043",2.96,2.49
