日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2022-06-30,坤恒顺维,0688283,47.92,49.70,47.21,47.67,-0.25,-0.52,"5,622","2,719",5.20,3.21
2022-06-29,坤恒顺维,0688283,47.93,49.77,46.80,47.92,-0.01,-0.02,"7,130","3,431",6.20,4.07
2022-06-28,坤恒顺维,0688283,48.99,50.10,47.20,47.93,-0.37,-0.77,"8,106","3,918",6.00,4.62
2022-06-27,坤恒顺维,0688283,51.18,51.99,48.10,48.30,-1.20,-2.42,"5,932","2,939",7.86,3.38
2022-06-24,坤恒顺维,0688283,45.50,50.96,45.50,49.50,4.30,9.51,"11,150","5,505",12.08,6.36
2022-06-23,坤恒顺维,0688283,43.67,46.04,43.42,45.20,1.67,3.84,"4,488","2,016",6.02,2.56
2022-06-22,坤恒顺维,0688283,43.99,44.33,42.70,43.53,-0.67,-1.52,"5,980","2,603",3.69,3.41
2022-06-21,坤恒顺维,0688283,45.87,46.33,42.59,44.20,-0.40,-0.90,"7,678","3,347",8.39,4.38
2022-06-20,坤恒顺维,0688283,45.64,47.30,44.57,44.60,-1.50,-3.25,"7,374","3,352",5.92,4.21
2022-06-17,坤恒顺维,0688283,45.70,47.74,44.01,46.10,0.29,0.63,"9,122","4,223",8.14,5.20
2022-06-16,坤恒顺维,0688283,41.90,47.22,41.90,45.81,3.27,7.69,"11,995","5,470",12.51,6.84
2022-06-15,坤恒顺维,0688283,41.49,43.91,40.98,42.54,1.46,3.55,"10,854","4,636",7.13,6.19
2022-06-14,坤恒顺维,0688283,41.00,42.32,40.52,41.08,-0.42,-1.01,"8,139","3,380",4.34,4.64
2022-06-13,坤恒顺维,0688283,39.39,41.98,39.18,41.50,1.22,3.03,"8,482","3,469",6.95,4.84
2022-06-10,坤恒顺维,0688283,39.96,40.87,38.56,40.28,0.91,2.31,"4,966","1,991",5.87,2.83
2022-06-09,坤恒顺维,0688283,40.19,40.99,39.06,39.37,-1.23,-3.03,"10,326","4,112",4.75,5.89
2022-06-08,坤恒顺维,0688283,43.00,43.85,40.40,40.60,-1.61,-3.81,"11,962","4,950",8.17,6.82
2022-06-07,坤恒顺维,0688283,42.38,42.72,41.36,42.21,-0.29,-0.68,"7,055","2,966",3.20,4.02
2022-06-06,坤恒顺维,0688283,41.99,43.10,40.99,42.50,0.63,1.50,"12,430","5,238",5.04,7.09
2022-06-02,坤恒顺维,0688283,39.20,42.55,39.20,41.87,2.07,5.20,"13,121","5,446",8.42,7.48
2022-06-01,坤恒顺维,0688283,32.24,40.83,32.24,39.86,-0.44,-1.09,"18,957","7,562",21.32,10.81
2022-05-31,坤恒顺维,0688283,38.88,40.81,38.32,40.30,2.18,5.72,"27,505","10,903",6.53,15.69
2022-05-30,坤恒顺维,0688283,35.80,38.90,35.02,38.12,2.38,6.66,"18,947","7,080",10.86,10.81
2022-05-27,坤恒顺维,0688283,33.95,36.60,33.95,35.74,2.08,6.18,"16,081","5,723",7.87,9.17
2022-05-26,坤恒顺维,0688283,31.98,34.41,31.01,33.66,2.41,7.71,"16,074","5,331",10.88,9.17
2022-05-25,坤恒顺维,0688283,31.00,32.23,30.98,31.25,-0.13,-0.41,"8,388","2,642",3.98,4.78
2022-05-24,坤恒顺维,0688283,33.63,33.63,31.01,31.38,-2.04,-6.10,"8,001","2,588",7.84,4.56
2022-05-23,坤恒顺维,0688283,34.02,34.02,33.04,33.42,-0.13,-0.39,"3,700","1,236",2.92,2.11
2022-05-20,坤恒顺维,0688283,33.66,34.53,33.33,33.55,0.00,0.00,"7,763","2,639",3.58,4.43
2022-05-19,坤恒顺维,0688283,31.00,33.64,30.88,33.55,2.03,6.44,"11,314","3,721",8.76,6.45
2022-05-18,坤恒顺维,0688283,31.70,32.06,31.23,31.52,-0.36,-1.13,"3,896","1,232",2.60,2.22
2022-05-17,坤恒顺维,0688283,31.05,32.05,30.00,31.88,0.70,2.25,"8,224","2,591",6.57,4.69
2022-05-16,坤恒顺维,0688283,32.32,33.16,30.66,31.18,-0.71,-2.23,"9,175","2,861",7.84,5.23
2022-05-13,坤恒顺维,0688283,32.66,34.00,31.61,31.89,-0.54,-1.67,"10,743","3,503",7.37,6.13
2022-05-12,坤恒顺维,0688283,32.50,32.90,31.38,32.43,0.10,0.31,"13,606","4,383",4.70,7.76
2022-05-11,坤恒顺维,0688283,31.58,34.49,31.58,32.33,1.13,3.62,"21,337","7,107",9.33,12.17
2022-05-10,坤恒顺维,0688283,30.58,31.34,30.14,31.20,0.55,1.79,"13,919","4,301",3.92,7.94
2022-05-09,坤恒顺维,0688283,29.33,31.09,28.39,30.65,1.65,5.69,"18,099","5,493",9.31,10.32
2022-05-06,坤恒顺维,0688283,28.00,29.97,27.50,29.00,0.30,1.05,"10,573","3,092",8.61,6.03
2022-05-05,坤恒顺维,0688283,28.50,29.60,27.72,28.70,0.35,1.23,"12,488","3,577",6.63,7.12
2022-04-29,坤恒顺维,0688283,25.25,28.47,25.25,28.35,3.15,12.50,"7,788","2,105",12.78,4.44
2022-04-28,坤恒顺维,0688283,24.25,25.44,24.09,25.20,0.60,2.44,"4,144","1,036",5.49,2.36
2022-04-27,坤恒顺维,0688283,23.80,24.70,23.09,24.60,0.72,3.02,"4,213","1,005",6.74,2.40
2022-04-26,坤恒顺维,0688283,25.88,26.21,23.80,23.88,-1.65,-6.46,"9,638","2,394",9.44,5.50
2022-04-25,坤恒顺维,0688283,25.97,27.30,24.18,25.53,-0.65,-2.48,"18,030","4,675",11.92,10.28
2022-04-22,坤恒顺维,0688283,26.99,26.99,25.32,26.18,-0.69,-2.57,"7,732","2,009",6.22,4.41
2022-04-21,坤恒顺维,0688283,28.00,28.22,26.70,26.87,-1.43,-5.05,"9,565","2,608",5.37,5.46
2022-04-20,坤恒顺维,0688283,28.80,28.80,27.87,28.30,-0.63,-2.18,"6,116","1,722",3.21,3.49
2022-04-19,坤恒顺维,0688283,28.80,29.15,28.00,28.93,0.01,0.03,"4,986","1,424",3.98,2.84
2022-04-18,坤恒顺维,0688283,27.42,29.46,26.72,28.92,1.50,5.47,"9,562","2,702",9.99,5.45
2022-04-15,坤恒顺维,0688283,27.87,27.87,26.52,27.42,-0.38,-1.37,"8,445","2,282",4.86,4.82
2022-04-14,坤恒顺维,0688283,28.00,28.32,27.52,27.80,0.02,0.07,"5,483","1,529",2.88,3.13
2022-04-13,坤恒顺维,0688283,28.86,28.94,27.18,27.78,-1.40,-4.80,"11,656","3,268",6.03,6.65
2022-04-12,坤恒顺维,0688283,28.75,29.36,28.21,29.18,0.28,0.97,"12,095","3,478",3.98,6.90
2022-04-11,坤恒顺维,0688283,29.52,29.86,28.42,28.90,-0.59,-2.00,"7,821","2,256",4.88,4.46
2022-04-08,坤恒顺维,0688283,29.48,29.66,28.67,29.49,0.01,0.03,"6,653","1,945",3.36,3.80
2022-04-07,坤恒顺维,0688283,29.19,29.61,28.87,29.48,0.28,0.96,"6,260","1,837",2.53,3.57
2022-04-06,坤恒顺维,0688283,28.81,29.74,28.80,29.20,0.35,1.21,"7,842","2,300",3.26,4.47
2022-04-01,坤恒顺维,0688283,29.13,29.36,27.95,28.85,-0.28,-0.96,"8,738","2,486",4.84,4.98
2022-08-16,坤恒顺维,0688283,59.00,61.10,53.55,60.30,3.93,6.97,"13,755","7,984",13.39,7.49
2022-08-15,坤恒顺维,0688283,53.16,56.47,49.96,56.37,3.22,6.06,"9,645","5,190",12.25,5.26
2022-08-12,坤恒顺维,0688283,57.56,58.29,53.06,53.15,-5.14,-8.82,"4,784","2,630",8.97,2.73
2022-08-11,坤恒顺维,0688283,60.60,60.99,57.50,58.29,-1.74,-2.90,"5,016","2,957",5.81,2.86
2022-08-10,坤恒顺维,0688283,55.90,61.58,55.76,60.03,3.88,6.91,"7,134","4,222",10.37,4.07
2022-08-09,坤恒顺维,0688283,57.78,58.40,55.19,56.15,0.01,0.02,"4,835","2,739",5.72,2.76
2022-08-08,坤恒顺维,0688283,53.89,58.55,53.44,56.14,1.76,3.24,"4,270","2,410",9.40,2.44
2022-08-05,坤恒顺维,0688283,53.13,55.37,52.68,54.38,0.39,0.72,"3,693","1,987",4.98,2.11
