日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,安科瑞,1300286,20.28,20.68,20.13,20.63,0.23,1.13,"10,299","2,108",2.70,0.72
2017-06-29,安科瑞,1300286,20.28,20.53,20.20,20.40,0.05,0.25,"5,150","1,050",1.62,0.36
2017-06-28,安科瑞,1300286,20.43,20.43,20.11,20.35,-0.09,-0.44,"5,936","1,203",1.57,0.42
2017-06-27,安科瑞,1300286,20.59,20.63,20.30,20.44,-0.05,-0.24,"7,938","1,623",1.61,0.56
2017-06-26,安科瑞,1300286,20.24,20.50,20.06,20.49,0.25,1.24,"9,160","1,861",2.17,0.64
2017-06-23,安科瑞,1300286,20.60,20.66,19.88,20.24,0.02,0.10,"9,409","1,909",3.86,0.66
2017-06-22,安科瑞,1300286,20.84,20.84,20.20,20.22,-0.62,-2.98,"11,987","2,450",3.07,0.84
2017-06-21,安科瑞,1300286,20.58,20.94,20.52,20.84,0.21,1.02,"8,347","1,728",2.04,0.59
2017-06-20,安科瑞,1300286,20.72,20.96,20.55,20.63,-0.15,-0.72,"7,418","1,544",1.97,0.52
2017-06-19,安科瑞,1300286,20.58,20.90,20.52,20.78,0.14,0.68,"6,586","1,365",1.84,0.46
2017-06-16,安科瑞,1300286,20.75,20.78,20.53,20.64,-0.01,-0.05,"7,252","1,497",1.21,0.51
2017-06-15,安科瑞,1300286,20.22,20.94,20.21,20.65,0.34,1.67,"16,283","3,370",3.59,1.14
2017-06-14,安科瑞,1300286,20.11,20.44,19.96,20.31,0.20,0.99,"8,653","1,756",2.39,0.61
2017-06-13,安科瑞,1300286,19.45,20.16,19.40,20.11,0.70,3.61,"9,092","1,813",3.92,0.64
2017-06-12,安科瑞,1300286,20.36,20.38,19.08,19.41,-1.01,-4.95,"10,219","2,027",6.37,0.72
2017-06-09,安科瑞,1300286,20.50,20.84,20.25,20.42,-0.08,-0.39,"8,375","1,710",2.88,0.59
2017-06-08,安科瑞,1300286,20.46,20.67,20.30,20.50,0.00,0.00,"11,897","2,440",1.80,0.84
2017-06-07,安科瑞,1300286,19.80,20.50,19.80,20.50,0.56,2.81,"20,775","4,218",3.51,1.46
2017-06-06,安科瑞,1300286,19.75,20.03,19.73,19.94,0.02,0.10,"3,430",683,1.51,0.24
2017-06-05,安科瑞,1300286,19.70,20.08,19.70,19.92,0.15,0.76,"5,378","1,071",1.92,0.38
2017-06-02,安科瑞,1300286,19.25,20.14,18.72,19.77,0.51,2.65,"9,922","1,916",7.37,0.70
2017-06-01,安科瑞,1300286,19.82,19.94,19.22,19.26,-0.72,-3.60,"5,452","1,069",3.60,0.38
2017-05-31,安科瑞,1300286,20.32,20.56,19.88,19.98,-0.12,-0.60,"5,448","1,106",3.38,0.38
2017-05-26,安科瑞,1300286,20.35,20.35,20.00,20.10,-0.09,-0.45,"4,217",851,1.73,0.30
2017-05-25,安科瑞,1300286,19.72,20.39,19.71,20.19,0.20,1.00,"6,453","1,292",3.40,0.45
2017-05-24,安科瑞,1300286,19.52,20.10,19.41,19.99,0.48,2.46,"8,273","1,638",3.54,0.58
2017-05-23,安科瑞,1300286,20.68,20.93,19.42,19.51,-1.24,-5.98,"9,032","1,822",7.28,0.63
2017-05-22,安科瑞,1300286,21.70,21.70,20.73,20.75,-0.80,-3.71,"7,764","1,641",4.50,0.55
2017-05-19,安科瑞,1300286,21.81,22.18,21.38,21.55,-0.29,-1.33,"5,248","1,135",3.66,0.37
2017-05-18,安科瑞,1300286,21.90,22.18,21.72,21.84,-0.22,-1.00,"6,034","1,328",2.09,0.42
2017-05-17,安科瑞,1300286,21.79,22.25,21.66,22.06,0.35,1.61,"11,257","2,475",2.72,0.79
2017-05-16,安科瑞,1300286,20.82,21.76,20.52,21.71,0.88,4.22,"9,614","2,035",5.95,0.67
2017-05-15,安科瑞,1300286,20.90,20.99,20.70,20.83,-0.02,-0.10,"3,977",828,1.39,0.28
2017-05-12,安科瑞,1300286,21.10,21.15,20.62,20.85,-0.19,-0.90,"4,891","1,019",2.52,0.34
2017-05-11,安科瑞,1300286,21.44,21.44,20.52,21.04,-0.40,-1.87,"8,616","1,804",4.29,0.61
2017-05-10,安科瑞,1300286,21.49,21.79,21.31,21.44,-0.14,-0.65,"5,698","1,234",2.22,0.40
2017-05-09,安科瑞,1300286,21.35,21.66,21.10,21.58,0.05,0.23,"6,563","1,401",2.60,0.47
2017-05-08,安科瑞,1300286,21.94,22.08,21.53,21.53,-0.61,-2.76,"7,348","1,595",2.48,0.52
2017-05-05,安科瑞,1300286,22.49,22.51,22.13,22.14,-0.26,-1.16,"6,476","1,449",1.70,0.46
2017-05-04,安科瑞,1300286,22.55,22.67,21.90,22.40,-0.15,-0.67,"6,663","1,496",3.41,0.47
2017-05-03,安科瑞,1300286,22.21,22.68,22.21,22.55,0.25,1.12,"10,562","2,381",2.11,0.75
2017-05-02,安科瑞,1300286,22.34,22.65,22.22,22.30,-0.11,-0.49,"7,431","1,663",1.92,0.53
2017-04-28,安科瑞,1300286,22.20,22.55,22.01,22.41,0.13,0.58,"7,269","1,627",2.42,0.52
2017-04-27,安科瑞,1300286,21.75,22.37,21.21,22.28,0.56,2.58,"11,113","2,428",5.34,0.79
2017-04-26,安科瑞,1300286,21.53,21.93,21.53,21.72,0.21,0.98,"4,647","1,009",1.86,0.33
2017-04-25,安科瑞,1300286,21.28,21.80,21.27,21.51,0.26,1.22,"7,248","1,564",2.49,0.51
2017-04-24,安科瑞,1300286,21.76,21.77,21.06,21.25,-0.37,-1.71,"10,261","2,186",3.28,0.73
2017-04-21,安科瑞,1300286,22.50,22.54,21.46,21.62,-0.82,-3.65,"17,538","3,846",4.81,1.24
2017-04-20,安科瑞,1300286,22.98,23.10,22.30,22.44,-0.46,-2.01,"10,100","2,286",3.49,0.72
