日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-12-31,福光股份,0688010,41.75,42.19,41.20,41.76,0.13,0.31,"10,729","4,483",2.38,3.03
2019-12-30,福光股份,0688010,42.41,42.41,41.00,41.63,-0.63,-1.49,"14,637","6,085",3.34,4.13
2019-12-27,福光股份,0688010,42.55,43.25,42.21,42.26,-0.23,-0.54,"19,490","8,335",2.45,5.50
2019-12-26,福光股份,0688010,42.44,42.94,41.90,42.49,0.02,0.05,"16,666","7,077",2.45,4.70
2019-12-25,福光股份,0688010,41.82,43.00,41.62,42.47,0.66,1.58,"24,554","10,445",3.30,6.93
2019-12-24,福光股份,0688010,41.25,41.89,41.20,41.81,0.92,2.25,"12,805","5,322",1.69,3.61
2019-12-23,福光股份,0688010,42.38,42.77,40.88,40.89,-1.41,-3.33,"18,454","7,643",4.47,5.21
2019-12-20,福光股份,0688010,43.51,44.20,42.25,42.30,-1.42,-3.25,"21,866","9,441",4.46,6.17
2019-12-19,福光股份,0688010,44.50,44.77,43.31,43.72,-0.80,-1.80,"22,152","9,692",3.28,6.25
2019-12-18,福光股份,0688010,43.45,45.19,43.45,44.52,1.09,2.51,"37,767","16,814",4.01,10.66
2019-12-17,福光股份,0688010,42.46,43.48,42.46,43.43,0.91,2.14,"23,636","10,184",2.40,6.67
2019-12-16,福光股份,0688010,42.20,42.80,42.10,42.52,0.44,1.05,"15,995","6,790",1.66,4.51
2019-12-13,福光股份,0688010,42.58,42.77,41.31,42.08,-0.08,-0.19,"19,069","8,005",3.46,5.38
2019-12-12,福光股份,0688010,42.10,43.30,41.90,42.16,0.16,0.38,"21,833","9,296",3.33,6.16
2019-12-11,福光股份,0688010,43.21,44.60,42.00,42.00,-1.74,-3.98,"36,133","15,509",5.94,10.19
2019-12-10,福光股份,0688010,40.79,46.30,40.30,43.74,3.05,7.50,"65,909","28,721",14.75,18.59
2019-12-09,福光股份,0688010,39.53,40.86,39.53,40.69,1.47,3.75,"27,994","11,322",3.39,7.90
2019-12-06,福光股份,0688010,38.83,39.41,38.78,39.22,0.48,1.24,"13,430","5,246",1.63,3.79
2019-12-05,福光股份,0688010,38.50,38.92,38.38,38.74,0.04,0.10,"12,902","4,995",1.40,3.64
2019-12-04,福光股份,0688010,38.51,39.57,38.51,38.70,0.50,1.31,"18,132","7,093",2.77,5.12
2019-12-03,福光股份,0688010,39.17,39.17,37.60,38.20,-1.06,-2.70,"17,437","6,652",4.00,4.92
2019-12-02,福光股份,0688010,39.98,40.57,39.18,39.26,-0.47,-1.18,"14,756","5,895",3.50,4.16
2019-11-29,福光股份,0688010,39.29,39.86,39.00,39.73,0.61,1.56,"14,577","5,750",2.20,4.11
2019-11-28,福光股份,0688010,38.99,39.80,38.65,39.12,0.35,0.90,"15,149","5,951",2.97,4.27
2019-11-27,福光股份,0688010,38.70,39.20,38.70,38.77,-0.06,-0.15,"8,623","3,357",1.29,2.43
2019-11-26,福光股份,0688010,38.80,39.43,38.80,38.83,-0.21,-0.54,"8,047","3,140",1.61,2.27
2019-11-25,福光股份,0688010,40.10,40.59,38.60,39.04,-1.44,-3.56,"17,372","6,791",4.92,4.90
2019-11-22,福光股份,0688010,40.48,41.57,40.00,40.48,-0.26,-0.64,"16,884","6,855",3.85,4.76
2019-11-21,福光股份,0688010,40.00,42.10,39.77,40.74,0.49,1.22,"26,987","11,095",5.79,7.61
2019-11-20,福光股份,0688010,41.76,41.80,40.01,40.25,-1.38,-3.31,"20,617","8,436",4.30,5.82
2019-11-19,福光股份,0688010,40.88,42.10,40.85,41.63,0.78,1.91,"20,370","8,432",3.06,5.75
2019-11-18,福光股份,0688010,40.68,41.22,40.40,40.85,0.20,0.49,"12,517","5,112",2.02,3.53
2019-11-15,福光股份,0688010,41.64,41.64,40.58,40.65,-1.33,-3.17,"25,480","10,439",2.53,7.19
2019-11-14,福光股份,0688010,41.47,42.52,40.78,41.98,0.29,0.70,"25,046","10,467",4.17,7.07
2019-11-13,福光股份,0688010,41.18,42.30,41.18,41.69,0.23,0.55,"15,497","6,462",2.70,4.37
2019-11-12,福光股份,0688010,41.81,42.33,41.00,41.46,-0.39,-0.93,"18,736","7,770",3.18,5.29
2019-11-11,福光股份,0688010,45.60,45.60,41.83,41.85,-4.18,-9.08,"35,212","15,207",8.19,9.93
2019-11-08,福光股份,0688010,46.10,47.15,45.81,46.03,0.25,0.55,"24,381","11,306",2.93,6.88
2019-11-07,福光股份,0688010,45.49,47.10,44.03,45.78,0.66,1.46,"29,789","13,635",6.80,8.40
2019-11-06,福光股份,0688010,44.71,46.20,44.55,45.12,0.26,0.58,"20,888","9,488",3.68,5.89
2019-11-05,福光股份,0688010,46.22,46.35,44.50,44.86,-1.56,-3.36,"31,542","14,180",3.99,8.90
2019-11-04,福光股份,0688010,47.00,48.46,46.21,46.42,-0.54,-1.15,"28,037","13,301",4.79,7.91
2019-11-01,福光股份,0688010,45.91,48.48,45.30,46.96,1.48,3.25,"38,217","18,108",6.99,10.78
2019-10-31,福光股份,0688010,49.03,49.29,45.45,45.48,-4.82,-9.58,"52,117","24,533",7.63,14.70
2019-10-30,福光股份,0688010,52.23,54.78,50.28,50.30,-5.83,-10.39,"63,742","33,355",8.02,17.98
2019-10-29,福光股份,0688010,56.56,63.00,54.98,56.13,-0.87,-1.53,"126,089","75,173",14.07,35.57
2019-10-28,福光股份,0688010,55.00,57.00,52.20,57.00,9.50,20.00,"98,182","53,960",10.11,27.70
2019-10-25,福光股份,0688010,47.56,48.70,46.59,47.50,-0.68,-1.41,"27,647","13,125",4.38,7.80
2019-10-24,福光股份,0688010,47.49,50.50,47.13,48.18,0.07,0.15,"48,489","23,673",7.00,13.68
2019-10-23,福光股份,0688010,44.74,49.08,44.71,48.11,2.75,6.06,"44,548","20,962",9.63,12.57
2019-10-22,福光股份,0688010,44.49,45.38,44.27,45.36,0.66,1.48,"19,239","8,634",2.48,5.43
2019-10-21,福光股份,0688010,47.08,47.38,43.77,44.70,-2.38,-5.06,"27,272","12,247",7.67,7.69
2019-10-18,福光股份,0688010,46.98,48.70,46.87,47.08,0.22,0.47,"25,408","12,169",3.91,7.17
2019-10-17,福光股份,0688010,48.40,48.56,46.80,46.86,-1.44,-2.98,"23,273","11,035",3.64,6.57
2019-10-16,福光股份,0688010,50.41,50.87,47.76,48.30,-2.64,-5.18,"35,842","17,584",6.11,10.11
2019-10-15,福光股份,0688010,50.50,52.74,50.41,50.94,0.24,0.47,"29,543","15,300",4.60,8.33
2019-10-14,福光股份,0688010,50.23,51.24,49.58,50.70,0.70,1.40,"20,788","10,502",3.32,5.86
2019-10-11,福光股份,0688010,51.00,51.85,49.50,50.00,-1.07,-2.10,"19,551","9,953",4.60,5.52
2019-10-10,福光股份,0688010,50.88,51.87,50.55,51.07,0.33,0.65,"17,892","9,172",2.60,5.05
2019-10-09,福光股份,0688010,50.38,50.74,48.76,50.74,0.67,1.34,"16,769","8,426",3.95,4.73
2019-10-08,福光股份,0688010,52.14,52.48,49.88,50.07,-2.11,-4.04,"19,455","9,916",4.98,5.49
2019-09-30,福光股份,0688010,55.69,55.82,50.80,52.18,-4.08,-7.25,"38,176","20,141",8.92,10.77
2019-09-27,福光股份,0688010,54.90,57.30,54.53,56.26,1.46,2.66,"31,406","17,585",5.05,8.86
2019-09-26,福光股份,0688010,61.76,61.97,54.52,54.80,-7.21,-11.63,"47,894","27,557",12.01,13.51
2019-09-25,福光股份,0688010,65.43,65.88,62.01,62.01,-3.15,-4.83,"36,524","23,258",5.94,10.30
2019-09-24,福光股份,0688010,64.25,65.76,63.50,65.16,1.81,2.86,"41,997","27,255",3.57,11.85
2019-09-23,福光股份,0688010,63.70,64.57,63.01,63.35,-0.05,-0.08,"22,346","14,216",2.46,6.30
2019-09-20,福光股份,0688010,63.89,64.40,62.51,63.40,-0.70,-1.09,"25,559","16,239",2.95,7.21
2019-09-19,福光股份,0688010,63.49,65.95,62.00,64.10,0.82,1.30,"39,809","25,663",6.24,11.23
2019-09-18,福光股份,0688010,65.66,66.16,61.87,63.28,-2.48,-3.77,"49,601","31,277",6.52,13.99
2019-09-17,福光股份,0688010,66.80,67.58,65.40,65.76,-1.33,-1.98,"29,315","19,496",3.25,8.27
