日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-09-30,莱伯泰科,0688056,35.51,35.89,35.30,35.33,-0.23,-0.65,"3,498","1,245",1.66,2.26
2020-09-29,莱伯泰科,0688056,35.65,36.19,35.56,35.56,0.01,0.03,"4,812","1,726",1.77,3.11
2020-09-28,莱伯泰科,0688056,36.67,37.00,35.36,35.55,-1.05,-2.87,"6,954","2,497",4.48,4.50
2020-09-25,莱伯泰科,0688056,37.44,37.75,36.19,36.60,-0.42,-1.13,"7,428","2,743",4.21,4.80
2020-09-24,莱伯泰科,0688056,37.82,38.00,36.61,37.02,-1.03,-2.71,"9,273","3,450",3.65,6.00
2020-09-23,莱伯泰科,0688056,37.78,38.46,37.71,38.05,0.55,1.47,"7,875","3,000",2.00,5.09
2020-09-22,莱伯泰科,0688056,38.80,38.80,37.42,37.50,-1.35,-3.47,"12,862","4,900",3.55,8.32
2020-09-21,莱伯泰科,0688056,39.50,39.80,38.45,38.85,-0.62,-1.57,"12,846","4,976",3.42,8.31
2020-09-18,莱伯泰科,0688056,39.91,40.30,39.09,39.47,-0.93,-2.30,"18,675","7,391",3.00,12.08
2020-09-17,莱伯泰科,0688056,38.07,42.00,37.80,40.40,2.22,5.81,"36,749","14,761",11.00,23.76
2020-09-16,莱伯泰科,0688056,37.18,38.38,37.18,38.18,0.59,1.57,"14,132","5,346",3.19,9.14
2020-09-15,莱伯泰科,0688056,36.27,38.10,36.21,37.59,0.94,2.56,"14,596","5,480",5.16,9.44
2020-09-14,莱伯泰科,0688056,37.65,38.29,36.56,36.65,0.38,1.05,"15,064","5,629",4.77,9.74
2020-09-11,莱伯泰科,0688056,34.69,36.79,34.61,36.27,1.50,4.31,"13,914","4,985",6.27,9.00
2020-09-10,莱伯泰科,0688056,36.89,37.02,34.70,34.77,-1.63,-4.48,"16,552","5,946",6.37,10.70
2020-09-09,莱伯泰科,0688056,38.85,38.85,36.40,36.40,-2.45,-6.31,"22,915","8,581",6.31,14.82
2020-09-08,莱伯泰科,0688056,40.01,40.48,38.81,38.85,-1.25,-3.12,"22,006","8,671",4.16,14.23
2020-09-07,莱伯泰科,0688056,42.20,42.21,39.90,40.10,-2.13,-5.04,"33,064","13,461",5.47,21.38
2020-09-04,莱伯泰科,0688056,44.18,46.49,42.22,42.23,-2.27,-5.10,"42,119","18,361",9.60,27.24
2020-09-03,莱伯泰科,0688056,44.00,46.50,43.40,44.50,-2.90,-6.12,"64,585","28,756",6.54,41.77
2020-09-02,莱伯泰科,0688056,63.10,63.10,47.39,47.40,22.60,91.13,"114,097","58,861",63.35,73.79
2020-12-31,莱伯泰科,0688056,31.13,32.02,30.81,31.89,0.85,2.74,"3,769","1,190",3.90,2.44
2020-12-30,莱伯泰科,0688056,30.81,31.18,30.33,31.04,0.32,1.04,"4,114","1,265",2.77,2.66
2020-12-29,莱伯泰科,0688056,30.62,31.14,30.43,30.72,0.08,0.26,"3,328","1,026",2.32,2.15
2020-12-28,莱伯泰科,0688056,32.78,32.78,30.25,30.64,-2.04,-6.24,"8,492","2,653",7.74,5.49
2020-12-25,莱伯泰科,0688056,33.15,33.49,32.49,32.68,-0.42,-1.27,"5,948","1,960",3.02,3.85
2020-12-24,莱伯泰科,0688056,34.18,34.43,33.04,33.10,-1.59,-4.58,"8,285","2,782",4.01,5.36
2020-12-23,莱伯泰科,0688056,35.73,36.73,34.60,34.69,0.29,0.84,"10,334","3,670",6.19,6.68
2020-12-22,莱伯泰科,0688056,35.31,35.48,34.01,34.40,-1.11,-3.13,"5,403","1,868",4.14,3.49
2020-12-21,莱伯泰科,0688056,35.16,35.88,35.16,35.51,0.05,0.14,"2,999","1,065",2.03,1.94
2020-12-18,莱伯泰科,0688056,35.17,35.53,34.50,35.46,0.29,0.82,"3,654","1,283",2.93,2.36
2020-12-17,莱伯泰科,0688056,35.08,35.41,34.14,35.17,0.09,0.26,"3,860","1,342",3.62,2.50
2020-12-16,莱伯泰科,0688056,36.04,36.04,35.01,35.08,-0.72,-2.01,"3,302","1,165",2.88,2.14
2020-12-15,莱伯泰科,0688056,35.81,36.19,35.50,35.80,-0.01,-0.03,"2,386",854,1.93,1.54
2020-12-14,莱伯泰科,0688056,35.65,36.38,35.18,35.81,0.20,0.56,"3,278","1,173",3.37,2.12
2020-12-11,莱伯泰科,0688056,37.12,37.21,35.53,35.61,-1.74,-4.66,"6,683","2,417",4.50,4.32
