日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,雪迪龙,1002658,15.50,15.63,15.50,15.56,0.03,0.19,"20,092","3,121",0.84,0.33
2017-03-30,雪迪龙,1002658,15.82,15.88,15.46,15.53,-0.35,-2.20,"45,450","7,088",2.64,0.75
2017-03-29,雪迪龙,1002658,15.85,15.99,15.79,15.88,0.02,0.13,"28,897","4,593",1.26,0.48
2017-03-28,雪迪龙,1002658,16.06,16.06,15.80,15.86,-0.08,-0.50,"26,971","4,280",1.63,0.45
2017-03-27,雪迪龙,1002658,16.02,16.11,15.89,15.94,-0.08,-0.50,"28,772","4,597",1.37,0.48
2017-03-24,雪迪龙,1002658,16.06,16.06,15.80,16.02,-0.02,-0.12,"37,147","5,915",1.62,0.61
2017-03-23,雪迪龙,1002658,16.07,16.17,15.98,16.04,-0.02,-0.12,"36,925","5,930",1.18,0.61
2017-03-22,雪迪龙,1002658,16.22,16.30,16.02,16.06,-0.19,-1.17,"35,667","5,749",1.72,0.59
2017-03-21,雪迪龙,1002658,16.31,16.33,16.22,16.25,-0.06,-0.37,"28,076","4,564",0.67,0.46
2017-03-20,雪迪龙,1002658,16.24,16.35,16.20,16.31,0.06,0.37,"24,642","4,005",0.92,0.41
2017-03-17,雪迪龙,1002658,16.51,16.51,16.23,16.25,-0.25,-1.52,"41,121","6,726",1.70,0.68
2017-03-16,雪迪龙,1002658,16.37,16.50,16.32,16.50,0.12,0.73,"36,715","6,031",1.10,0.61
2017-03-15,雪迪龙,1002658,16.27,16.43,16.27,16.38,0.13,0.80,"29,191","4,779",0.98,0.48
2017-03-14,雪迪龙,1002658,16.33,16.42,16.24,16.25,-0.07,-0.43,"26,583","4,340",1.10,0.44
2017-03-13,雪迪龙,1002658,16.20,16.40,16.18,16.32,0.06,0.37,"25,816","4,212",1.35,0.43
2017-03-10,雪迪龙,1002658,16.31,16.41,16.20,16.26,-0.05,-0.31,"30,556","4,985",1.29,0.51
2017-03-09,雪迪龙,1002658,16.76,16.76,16.28,16.31,-0.45,-2.69,"53,938","8,876",2.86,0.89
2017-03-08,雪迪龙,1002658,16.84,16.84,16.70,16.76,-0.12,-0.71,"31,622","5,296",0.83,0.52
2017-03-07,雪迪龙,1002658,16.92,16.96,16.70,16.88,-0.04,-0.24,"43,989","7,396",1.54,0.73
2017-03-06,雪迪龙,1002658,16.65,16.95,16.65,16.92,0.29,1.74,"50,490","8,469",1.80,0.83
2017-03-03,雪迪龙,1002658,16.58,16.66,16.42,16.63,-0.02,-0.12,"33,192","5,497",1.44,0.55
2017-03-02,雪迪龙,1002658,16.77,16.80,16.52,16.65,-0.10,-0.60,"38,379","6,386",1.67,0.63
2017-03-01,雪迪龙,1002658,16.82,16.89,16.68,16.75,-0.06,-0.36,"35,900","6,009",1.25,0.59
2017-02-28,雪迪龙,1002658,16.65,16.86,16.62,16.81,0.02,0.12,"53,891","9,010",1.43,0.89
2017-02-27,雪迪龙,1002658,16.45,16.86,16.45,16.79,0.29,1.76,"99,543","16,684",2.48,1.65
2017-02-24,雪迪龙,1002658,16.41,16.51,16.34,16.50,0.09,0.55,"27,289","4,481",1.04,0.45
2017-02-23,雪迪龙,1002658,16.62,16.66,16.30,16.41,-0.11,-0.67,"39,408","6,463",2.18,0.65
2017-02-22,雪迪龙,1002658,16.57,16.57,16.42,16.52,0.03,0.18,"32,225","5,316",0.91,0.53
2017-02-21,雪迪龙,1002658,16.35,16.50,16.30,16.49,0.14,0.86,"33,987","5,589",1.22,0.56
2017-02-20,雪迪龙,1002658,16.15,16.38,16.14,16.35,0.16,0.99,"29,775","4,847",1.48,0.49
2017-02-17,雪迪龙,1002658,16.58,16.63,16.16,16.19,-0.37,-2.23,"51,592","8,431",2.84,0.85
2017-02-16,雪迪龙,1002658,16.53,16.59,16.40,16.56,0.04,0.24,"36,588","6,038",1.15,0.60
2017-02-15,雪迪龙,1002658,16.49,16.79,16.45,16.52,0.03,0.18,"55,152","9,166",2.06,0.91
2017-02-14,雪迪龙,1002658,16.56,16.61,16.42,16.49,-0.07,-0.42,"33,834","5,584",1.15,0.56
2017-02-13,雪迪龙,1002658,16.65,16.66,16.48,16.56,-0.05,-0.30,"40,702","6,741",1.08,0.67
2017-02-10,雪迪龙,1002658,16.52,16.65,16.40,16.61,0.08,0.48,"54,063","8,921",1.51,0.89
2017-02-09,雪迪龙,1002658,16.25,16.72,16.25,16.53,0.31,1.91,"80,051","13,231",2.90,1.32
2017-02-08,雪迪龙,1002658,16.32,16.33,16.00,16.22,-0.10,-0.61,"65,113","10,507",2.02,1.08
2017-02-07,雪迪龙,1002658,16.46,16.56,16.17,16.32,-0.18,-1.09,"59,330","9,683",2.36,0.98
2017-02-06,雪迪龙,1002658,16.19,16.50,16.16,16.50,0.30,1.85,"36,514","5,976",2.10,0.60
2017-02-03,雪迪龙,1002658,16.29,16.35,16.14,16.20,-0.07,-0.43,"23,775","3,858",1.29,0.39
2017-01-26,雪迪龙,1002658,16.24,16.36,16.18,16.27,0.08,0.49,"36,530","5,934",1.11,0.60
2017-01-25,雪迪龙,1002658,16.28,16.32,16.09,16.19,-0.05,-0.31,"32,996","5,337",1.42,0.55
2017-01-24,雪迪龙,1002658,16.51,16.58,16.18,16.24,-0.27,-1.64,"35,725","5,826",2.42,0.59
2017-01-23,雪迪龙,1002658,16.55,16.65,16.47,16.51,0.08,0.49,"28,033","4,637",1.10,0.46
2017-01-20,雪迪龙,1002658,16.32,16.62,16.20,16.43,0.05,0.31,"43,944","7,234",2.56,0.73
2017-01-19,雪迪龙,1002658,16.88,16.88,16.16,16.38,-0.47,-2.79,"57,874","9,533",4.27,0.96
