日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-06-30,华立科技,1301011,45.79,47.50,45.22,46.70,0.20,0.43,"37,562","17,357",4.90,20.28
2021-06-29,华立科技,1301011,48.45,50.24,46.50,46.50,-2.60,-5.30,"51,713","24,773",7.62,27.92
2021-06-28,华立科技,1301011,46.23,50.79,44.86,49.10,1.92,4.07,"82,486","39,339",12.57,44.54
2021-06-25,华立科技,1301011,46.02,48.44,45.22,47.18,1.25,2.72,"62,038","28,975",7.01,33.50
2021-06-24,华立科技,1301011,48.60,49.40,45.70,45.93,-2.70,-5.55,"60,398","28,553",7.61,32.61
2021-06-23,华立科技,1301011,50.50,50.82,48.60,48.63,-3.13,-6.05,"73,106","36,067",4.29,39.48
2021-06-22,华立科技,1301011,52.03,54.97,51.15,51.76,-0.53,-1.01,"84,997","44,961",7.31,45.90
2021-06-21,华立科技,1301011,55.00,55.99,51.80,52.29,-8.41,-13.86,"116,256","62,293",6.90,62.78
2021-06-18,华立科技,1301011,68.00,73.10,60.70,60.70,-0.80,-1.30,"149,717","99,670",20.16,80.84
2021-06-17,华立科技,1301011,61.00,70.00,60.02,61.50,47.30,333.10,"149,954","96,054",70.28,80.97
2021-09-30,华立科技,1301011,51.13,53.56,51.13,52.05,1.47,2.91,"9,359","4,906",4.80,5.05
2021-09-29,华立科技,1301011,52.90,53.41,50.21,50.58,-2.72,-5.10,"11,758","6,071",6.00,6.35
2021-09-28,华立科技,1301011,54.64,56.60,53.20,53.30,0.55,1.04,"11,310","6,147",6.45,6.11
2021-09-27,华立科技,1301011,60.00,60.00,52.28,52.75,-8.93,-14.48,"21,635","11,770",12.52,11.68
2021-09-24,华立科技,1301011,60.80,63.20,59.83,61.68,0.43,0.70,"11,553","7,058",5.50,6.24
2021-09-23,华立科技,1301011,61.00,62.20,60.00,61.25,0.74,1.22,"10,253","6,270",3.64,5.54
2021-09-22,华立科技,1301011,58.73,61.20,58.01,60.51,0.65,1.09,"9,354","5,582",5.33,5.05
2021-09-17,华立科技,1301011,61.36,62.07,59.70,59.86,-1.71,-2.78,"10,871","6,585",3.85,5.87
2021-09-16,华立科技,1301011,61.66,63.55,60.41,61.57,-0.88,-1.41,"12,925","8,007",5.03,6.98
2021-09-15,华立科技,1301011,64.48,64.48,61.59,62.45,-2.39,-3.69,"22,180","13,813",4.46,11.98
2021-09-14,华立科技,1301011,63.88,65.99,62.00,64.84,0.06,0.09,"19,453","12,451",6.16,10.50
2021-09-13,华立科技,1301011,64.01,66.44,62.75,64.78,0.53,0.82,"26,451","17,126",5.74,14.28
2021-09-10,华立科技,1301011,66.24,66.97,63.49,64.25,-1.99,-3.00,"35,292","22,813",5.25,19.06
2021-09-09,华立科技,1301011,72.20,74.80,66.02,66.24,-9.76,-12.84,"57,614","39,847",11.55,31.11
2021-09-08,华立科技,1301011,78.00,78.88,72.12,76.00,2.53,3.44,"65,876","49,811",9.20,35.57
2021-09-07,华立科技,1301011,70.50,82.70,69.20,73.47,4.55,6.60,"77,935","59,836",19.59,42.08
2021-09-06,华立科技,1301011,69.71,73.00,65.50,68.92,1.12,1.65,"36,246","24,929",11.06,19.57
2021-09-03,华立科技,1301011,61.50,69.29,61.50,67.80,6.02,9.74,"55,761","36,703",12.61,30.11
2021-09-02,华立科技,1301011,63.50,64.71,60.66,61.78,-1.72,-2.71,"38,000","23,589",6.38,20.52
2021-09-01,华立科技,1301011,69.02,71.79,62.70,63.50,-5.40,-7.84,"64,116","42,449",13.19,34.62
2021-08-31,华立科技,1301011,71.54,73.50,67.03,68.90,-1.50,-2.13,"74,333","52,076",9.19,40.14
2021-08-30,华立科技,1301011,74.30,75.80,68.01,70.40,7.23,11.45,"101,035","73,320",12.33,54.56
2021-08-27,华立科技,1301011,53.00,63.17,51.17,63.17,10.53,20.00,"39,806","23,226",22.80,21.49
2021-08-26,华立科技,1301011,53.80,53.88,52.03,52.64,-1.72,-3.16,"14,614","7,717",3.40,7.89
2021-08-25,华立科技,1301011,54.01,57.60,53.05,54.36,1.01,1.89,"27,099","15,069",8.53,14.63
2021-08-24,华立科技,1301011,52.62,53.57,51.51,53.35,0.73,1.39,"16,545","8,734",3.91,8.93
2021-08-23,华立科技,1301011,51.20,52.75,50.62,52.62,2.04,4.03,"17,498","9,063",4.21,9.45
2021-08-20,华立科技,1301011,49.52,51.30,48.11,50.58,0.68,1.36,"15,219","7,656",6.39,8.22
2021-08-19,华立科技,1301011,49.91,51.48,49.59,49.90,0.66,1.34,"13,368","6,754",3.84,7.22
2021-08-18,华立科技,1301011,48.35,49.70,48.32,49.24,0.36,0.74,"9,639","4,724",2.82,5.21
2021-08-17,华立科技,1301011,51.25,52.18,48.75,48.88,-2.03,-3.99,"16,555","8,320",6.74,8.94
2021-08-16,华立科技,1301011,50.30,51.85,50.30,50.91,-0.02,-0.04,"11,118","5,676",3.04,6.00
2021-08-13,华立科技,1301011,52.60,53.02,50.50,50.93,-1.97,-3.72,"17,872","9,151",4.76,9.65
2021-08-12,华立科技,1301011,53.44,54.47,52.51,52.90,-0.54,-1.01,"12,903","6,881",3.67,6.97
2021-08-11,华立科技,1301011,54.00,54.10,52.68,53.44,-0.67,-1.24,"11,757","6,247",2.62,6.35
2021-08-10,华立科技,1301011,54.98,55.47,53.18,54.11,-0.35,-0.64,"16,692","9,044",4.20,9.01
2021-08-09,华立科技,1301011,51.51,55.49,50.35,54.46,2.95,5.73,"27,939","14,917",9.98,15.09
2021-08-06,华立科技,1301011,50.00,52.36,48.61,51.51,1.02,2.02,"23,324","11,853",7.43,12.59
2021-08-05,华立科技,1301011,53.35,53.50,50.00,50.49,-2.24,-4.25,"24,041","12,215",6.64,12.98
2021-08-04,华立科技,1301011,51.41,53.50,51.30,52.73,1.11,2.15,"20,769","10,914",4.26,11.22
2021-08-03,华立科技,1301011,54.49,56.68,51.60,51.62,-3.66,-6.62,"29,592","15,960",9.19,15.98
2021-08-02,华立科技,1301011,51.06,55.59,49.63,55.28,2.41,4.56,"33,864","17,963",11.27,18.29
2021-07-30,华立科技,1301011,57.50,58.18,52.81,52.87,-5.08,-8.77,"42,660","23,139",9.27,23.04
2021-07-29,华立科技,1301011,57.13,59.87,57.13,57.95,0.87,1.52,"23,526","13,727",4.80,12.70
2021-07-28,华立科技,1301011,59.00,59.98,55.00,57.08,-1.92,-3.25,"30,126","17,426",8.44,16.27
2021-07-27,华立科技,1301011,62.60,62.80,59.00,59.00,-5.00,-7.81,"43,648","26,525",5.94,23.57
2021-07-26,华立科技,1301011,61.87,66.30,59.87,64.00,3.10,5.09,"47,337","29,952",10.56,25.56
2021-07-23,华立科技,1301011,58.50,64.97,57.62,60.90,3.40,5.91,"61,364","36,908",12.78,33.14
2021-07-22,华立科技,1301011,52.31,61.20,51.50,57.50,4.20,7.88,"72,806","41,454",18.20,39.31
2021-07-21,华立科技,1301011,54.91,57.53,53.30,53.30,-0.40,-0.74,"38,116","21,002",7.88,20.58
2021-07-20,华立科技,1301011,52.55,54.26,51.95,53.70,0.37,0.69,"28,142","14,933",4.33,15.20
2021-07-19,华立科技,1301011,56.38,56.96,52.50,53.33,-2.77,-4.94,"37,628","20,331",7.95,20.32
2021-07-16,华立科技,1301011,58.34,58.46,55.27,56.10,-2.36,-4.04,"52,542","29,742",5.46,28.37
2021-07-15,华立科技,1301011,53.00,61.91,51.00,58.46,5.98,11.39,"80,579","45,255",20.79,43.51
2021-07-14,华立科技,1301011,55.01,57.90,52.30,52.48,0.61,1.18,"72,994","40,074",10.80,39.42
2021-07-13,华立科技,1301011,49.70,53.33,49.70,51.87,2.56,5.19,"70,719","36,628",7.36,38.19
2021-07-12,华立科技,1301011,47.65,49.35,46.13,49.31,1.30,2.71,"48,077","22,977",6.71,25.96
2021-07-09,华立科技,1301011,47.90,49.90,47.55,48.01,0.51,1.07,"30,008","14,533",4.95,16.20
2021-07-08,华立科技,1301011,48.08,49.92,47.13,47.50,-1.57,-3.20,"45,176","21,805",5.69,24.39
2021-07-07,华立科技,1301011,47.00,50.58,46.99,49.07,1.52,3.20,"57,365","28,297",7.55,30.98
2021-07-06,华立科技,1301011,45.66,49.00,45.24,47.55,1.67,3.64,"48,419","23,125",8.20,26.15
2021-07-05,华立科技,1301011,45.93,46.50,45.36,45.88,0.41,0.90,"20,677","9,510",2.51,11.17
2021-07-02,华立科技,1301011,46.89,47.30,45.36,45.47,-2.05,-4.31,"28,613","13,222",4.08,15.45
2021-07-01,华立科技,1301011,46.68,49.33,45.30,47.52,0.82,1.76,"53,703","25,415",8.63,29.00
