日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,奥飞娱乐,1002292,14.35,14.46,14.19,14.29,-0.05,-0.35,"65,902","9,403",1.88,0.51
2017-12-28,奥飞娱乐,1002292,14.45,14.69,14.22,14.34,-0.13,-0.90,"66,626","9,615",3.25,0.51
2017-12-27,奥飞娱乐,1002292,14.80,14.93,14.45,14.47,-0.39,-2.62,"74,607","10,931",3.23,0.57
2017-12-26,奥飞娱乐,1002292,14.63,14.88,14.57,14.86,0.14,0.95,"57,192","8,436",2.11,0.44
2017-12-25,奥飞娱乐,1002292,14.55,14.86,14.16,14.72,0.19,1.31,"135,222","19,607",4.82,1.04
2017-12-22,奥飞娱乐,1002292,14.95,15.03,14.42,14.53,-0.46,-3.07,"113,005","16,554",4.07,0.87
2017-12-21,奥飞娱乐,1002292,14.88,15.14,14.74,14.99,0.19,1.28,"81,247","12,153",2.70,0.62
2017-12-20,奥飞娱乐,1002292,14.98,15.09,14.76,14.80,-0.20,-1.33,"69,370","10,332",2.20,0.53
2017-12-19,奥飞娱乐,1002292,14.99,15.04,14.81,15.00,-0.03,-0.20,"87,004","12,988",1.53,0.67
2017-12-18,奥飞娱乐,1002292,14.23,15.14,14.16,15.03,0.84,5.92,"188,051","27,780",6.91,1.44
2017-12-15,奥飞娱乐,1002292,14.48,14.48,14.01,14.19,-0.32,-2.21,"72,611","10,320",3.24,0.56
2017-12-14,奥飞娱乐,1002292,14.51,14.65,14.43,14.51,-0.01,-0.07,"43,382","6,301",1.52,0.33
2017-12-13,奥飞娱乐,1002292,14.28,14.58,14.23,14.52,0.14,0.97,"33,529","4,842",2.43,0.26
2017-12-12,奥飞娱乐,1002292,14.59,14.68,14.35,14.38,-0.20,-1.37,"42,816","6,210",2.26,0.33
2017-12-11,奥飞娱乐,1002292,14.42,14.73,14.42,14.58,0.16,1.11,"46,531","6,803",2.15,0.36
2017-12-08,奥飞娱乐,1002292,14.20,14.54,14.20,14.42,0.15,1.05,"42,436","6,128",2.38,0.33
2017-12-07,奥飞娱乐,1002292,14.36,14.44,14.24,14.27,-0.17,-1.18,"31,865","4,570",1.39,0.24
2017-12-06,奥飞娱乐,1002292,14.00,14.45,13.92,14.44,0.27,1.91,"52,616","7,489",3.74,0.40
2017-12-05,奥飞娱乐,1002292,14.41,14.51,14.05,14.17,-0.34,-2.34,"71,391","10,156",3.17,0.55
2017-12-04,奥飞娱乐,1002292,14.66,14.88,14.44,14.51,-0.20,-1.36,"64,379","9,409",2.99,0.49
2017-12-01,奥飞娱乐,1002292,14.39,14.80,14.35,14.71,0.31,2.15,"74,450","10,917",3.13,0.57
2017-11-30,奥飞娱乐,1002292,14.35,14.47,14.23,14.40,0.03,0.21,"63,161","9,087",1.67,0.48
2017-11-29,奥飞娱乐,1002292,14.55,14.55,14.08,14.37,-0.21,-1.44,"94,169","13,442",3.22,0.72
2017-11-28,奥飞娱乐,1002292,14.39,14.66,14.36,14.58,0.20,1.39,"76,787","11,151",2.09,0.59
