日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,*ST金洲,1000587,15.10,15.20,15.05,15.14,0.03,0.20,"33,517","5,076",0.99,0.58
2017-03-30,*ST金洲,1000587,15.41,15.46,14.99,15.11,-0.29,-1.88,"78,332","11,864",3.05,1.36
2017-03-29,*ST金洲,1000587,15.55,15.58,15.38,15.40,-0.11,-0.71,"51,202","7,930",1.29,0.89
2017-03-28,*ST金洲,1000587,15.60,15.66,15.49,15.51,-0.06,-0.39,"60,349","9,381",1.09,1.05
2017-03-27,*ST金洲,1000587,15.72,15.75,15.56,15.57,-0.18,-1.14,"60,453","9,452",1.21,1.05
2017-03-24,*ST金洲,1000587,15.70,15.77,15.52,15.75,0.01,0.06,"80,643","12,602",1.59,1.40
2017-03-23,*ST金洲,1000587,15.76,15.84,15.58,15.74,-0.01,-0.06,"83,353","13,109",1.65,1.45
2017-03-22,*ST金洲,1000587,15.88,15.92,15.71,15.75,-0.23,-1.44,"80,190","12,668",1.31,1.39
2017-03-21,*ST金洲,1000587,16.09,16.09,15.86,15.98,-0.12,-0.75,"79,431","12,670",1.43,1.38
2017-03-20,*ST金洲,1000587,15.86,16.10,15.86,16.10,0.26,1.64,"91,954","14,721",1.52,1.60
2017-03-17,*ST金洲,1000587,15.98,16.09,15.82,15.84,-0.13,-0.81,"93,153","14,871",1.69,1.62
2017-03-16,*ST金洲,1000587,15.81,16.07,15.75,15.97,0.22,1.40,"120,194","19,119",2.03,2.09
2017-03-15,*ST金洲,1000587,15.83,15.83,15.68,15.75,-0.03,-0.19,"47,229","7,440",0.95,0.82
2017-03-14,*ST金洲,1000587,15.61,15.81,15.58,15.78,0.12,0.77,"63,393","9,944",1.47,1.10
2017-03-13,*ST金洲,1000587,15.44,15.66,15.39,15.66,0.23,1.49,"62,193","9,684",1.75,1.08
2017-03-10,*ST金洲,1000587,15.47,15.61,15.41,15.43,-0.02,-0.13,"65,945","10,217",1.29,1.14
2017-03-09,*ST金洲,1000587,15.71,15.79,15.41,15.45,-0.29,-1.84,"63,214","9,811",2.41,1.10
2017-03-08,*ST金洲,1000587,15.88,15.89,15.70,15.74,-0.16,-1.01,"51,459","8,125",1.20,0.89
2017-03-07,*ST金洲,1000587,15.90,15.94,15.74,15.90,0.00,0.00,"81,979","12,984",1.26,1.42
2017-03-06,*ST金洲,1000587,15.75,15.92,15.70,15.90,0.10,0.63,"86,593","13,703",1.39,1.50
2017-03-03,*ST金洲,1000587,15.57,15.88,15.48,15.80,0.14,0.89,"80,485","12,598",2.55,1.40
2017-03-02,*ST金洲,1000587,15.89,15.94,15.65,15.66,-0.22,-1.39,"73,222","11,532",1.83,1.27
2017-03-01,*ST金洲,1000587,15.77,15.93,15.66,15.88,0.11,0.70,"76,740","12,151",1.71,1.33
2017-02-28,*ST金洲,1000587,15.75,15.83,15.64,15.77,0.03,0.19,"62,092","9,765",1.21,1.08
2017-02-27,*ST金洲,1000587,16.01,16.10,15.73,15.74,-0.27,-1.69,"81,980","13,027",2.31,1.42
2017-02-24,*ST金洲,1000587,15.78,16.15,15.77,16.01,0.28,1.78,"140,049","22,381",2.42,2.43
2017-02-23,*ST金洲,1000587,15.82,15.82,15.61,15.73,-0.07,-0.44,"79,399","12,470",1.33,1.38
2017-02-22,*ST金洲,1000587,15.79,15.87,15.72,15.80,0.04,0.25,"72,300","11,408",0.95,1.26
2017-02-21,*ST金洲,1000587,15.55,15.84,15.55,15.76,0.20,1.29,"85,133","13,382",1.86,1.48
