日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-06-30,中金辐照,1300962,23.81,24.14,23.72,24.00,0.19,0.80,"29,427","7,049",1.76,4.70
2021-06-29,中金辐照,1300962,24.13,24.33,23.80,23.81,-0.29,-1.20,"35,099","8,417",2.20,5.61
2021-06-28,中金辐照,1300962,24.65,24.69,23.98,24.10,-0.54,-2.19,"42,033","10,169",2.88,6.71
2021-06-25,中金辐照,1300962,24.82,25.07,24.60,24.64,-0.70,-2.76,"60,271","14,941",1.85,9.63
2021-06-24,中金辐照,1300962,24.35,25.49,23.70,25.34,1.10,4.54,"92,640","22,856",7.38,14.80
2021-06-23,中金辐照,1300962,24.51,24.74,24.21,24.24,-0.59,-2.38,"44,693","10,902",2.13,7.14
2021-06-22,中金辐照,1300962,24.15,25.31,23.83,24.83,0.68,2.82,"69,292","16,963",6.13,11.07
2021-06-21,中金辐照,1300962,23.56,24.35,23.50,24.15,0.45,1.90,"40,546","9,748",3.59,6.48
2021-06-18,中金辐照,1300962,23.26,23.76,23.26,23.70,0.24,1.02,"40,855","9,596",2.13,6.53
2021-06-17,中金辐照,1300962,24.10,24.12,23.20,23.46,-0.64,-2.66,"57,898","13,588",3.82,9.25
2021-06-16,中金辐照,1300962,24.12,24.56,23.96,24.10,0.01,0.04,"35,661","8,637",2.49,5.70
2021-06-15,中金辐照,1300962,24.89,24.99,23.92,24.09,-0.71,-2.86,"48,341","11,745",4.31,7.72
2021-06-11,中金辐照,1300962,25.14,25.15,24.70,24.80,-0.34,-1.35,"46,234","11,506",1.79,7.39
2021-06-10,中金辐照,1300962,25.93,25.93,25.01,25.14,-0.62,-2.41,"63,145","15,934",3.57,10.09
2021-06-09,中金辐照,1300962,25.49,25.92,25.25,25.92,0.62,2.45,"53,587","13,716",2.65,8.56
2021-06-08,中金辐照,1300962,25.81,25.96,25.17,25.30,-0.50,-1.94,"66,454","16,910",3.06,10.62
2021-06-07,中金辐照,1300962,25.91,26.26,25.34,25.80,-0.57,-2.16,"72,488","18,689",3.49,11.58
2021-06-04,中金辐照,1300962,27.28,28.25,26.23,26.37,-0.76,-2.80,"111,736","30,255",7.45,17.85
2021-06-03,中金辐照,1300962,27.27,27.86,26.82,27.13,-0.74,-2.66,"119,764","32,738",3.73,19.13
2021-06-02,中金辐照,1300962,26.21,30.00,26.05,27.87,1.82,6.99,"201,455","55,833",15.16,32.18
2021-06-01,中金辐照,1300962,26.00,26.39,25.75,26.05,-0.19,-0.72,"71,962","18,708",2.44,11.50
2021-05-31,中金辐照,1300962,24.95,26.79,24.81,26.24,1.23,4.92,"112,222","29,212",7.92,17.93
2021-05-28,中金辐照,1300962,25.90,25.91,24.89,25.01,-0.83,-3.21,"79,572","20,126",3.95,12.71
2021-05-27,中金辐照,1300962,25.66,26.35,25.47,25.84,0.02,0.08,"86,498","22,465",3.41,13.82
2021-05-26,中金辐照,1300962,25.00,26.15,24.72,25.82,0.77,3.07,"103,375","26,434",5.71,16.51
2021-05-25,中金辐照,1300962,24.80,25.37,24.65,25.05,0.03,0.12,"60,961","15,208",2.88,9.74
2021-05-24,中金辐照,1300962,24.99,25.57,24.96,25.02,0.08,0.32,"54,469","13,701",2.45,8.70
2021-05-21,中金辐照,1300962,25.35,25.60,24.82,24.94,-0.33,-1.31,"61,420","15,439",3.09,9.81
2021-05-20,中金辐照,1300962,26.11,26.49,24.90,25.27,-1.24,-4.68,"105,502","26,945",6.00,16.85
2021-05-19,中金辐照,1300962,26.05,26.77,25.62,26.51,0.22,0.84,"98,333","25,913",4.37,15.71
2021-05-18,中金辐照,1300962,26.11,27.00,26.09,26.29,-0.19,-0.72,"122,296","32,397",3.44,19.54
2021-05-17,中金辐照,1300962,25.35,27.06,24.03,26.48,1.31,5.20,"162,774","42,047",12.04,26.00
2021-05-14,中金辐照,1300962,25.03,25.83,24.83,25.17,-0.04,-0.16,"79,430","20,119",3.97,12.69
2021-05-13,中金辐照,1300962,26.20,26.80,25.17,25.21,-1.16,-4.40,"100,867","26,067",6.18,16.11
2021-05-12,中金辐照,1300962,25.30,26.38,25.16,26.37,0.49,1.89,"107,509","27,698",4.71,17.17
2021-05-11,中金辐照,1300962,25.00,26.88,24.58,25.88,0.70,2.78,"133,167","34,719",9.13,21.27
2021-05-10,中金辐照,1300962,26.00,26.00,24.51,25.18,-1.06,-4.04,"113,510","28,334",5.68,18.13
2021-05-07,中金辐照,1300962,25.71,27.00,25.40,26.24,0.75,2.94,"133,777","35,242",6.28,21.37
2021-05-06,中金辐照,1300962,26.26,26.77,25.20,25.49,-1.03,-3.88,"119,070","30,643",5.92,19.02
2021-04-30,中金辐照,1300962,26.31,28.20,26.25,26.52,-0.79,-2.89,"158,852","42,795",7.14,25.38
2021-04-29,中金辐照,1300962,30.03,31.77,27.10,27.31,-1.27,-4.44,"278,404","82,061",16.34,44.48
2021-04-28,中金辐照,1300962,24.00,28.58,23.88,28.58,4.76,19.98,"224,569","60,344",19.73,35.88
2021-04-27,中金辐照,1300962,25.90,25.95,23.80,23.82,-2.25,-8.63,"139,685","34,374",8.25,22.31
2021-04-26,中金辐照,1300962,26.00,27.05,25.70,26.07,-0.40,-1.51,"118,773","31,335",5.10,18.97
2021-04-23,中金辐照,1300962,25.85,27.25,25.35,26.47,0.13,0.49,"167,057","43,831",7.21,26.69
2021-04-22,中金辐照,1300962,27.30,27.86,26.06,26.34,-1.13,-4.11,"174,433","46,509",6.55,27.87
2021-04-21,中金辐照,1300962,29.90,30.17,27.37,27.47,-3.53,-11.39,"216,785","62,094",9.03,34.63
2021-04-20,中金辐照,1300962,31.81,31.94,29.50,31.00,-2.01,-6.09,"284,118","87,310",7.39,45.39
2021-04-19,中金辐照,1300962,32.01,34.38,31.30,33.01,1.06,3.32,"260,926","86,816",9.64,41.68
2021-04-16,中金辐照,1300962,34.00,37.49,31.80,31.95,-3.05,-8.71,"291,158","100,651",16.26,46.51
2021-04-15,中金辐照,1300962,30.00,35.00,28.80,35.00,2.00,6.06,"290,534","92,365",18.79,46.41
2021-04-14,中金辐照,1300962,32.00,36.48,31.50,33.00,0.15,0.46,"338,324","115,156",15.16,54.05
2021-04-13,中金辐照,1300962,29.50,33.33,27.71,32.85,0.41,1.26,"343,835","102,686",17.32,54.93
2021-04-12,中金辐照,1300962,30.00,40.81,29.85,32.44,-2.26,-6.51,"450,542","158,882",31.59,71.97
2021-04-09,中金辐照,1300962,25.88,40.00,24.01,34.70,31.30,920.59,"477,770","127,590",470.29,76.32
2021-12-31,中金辐照,1300962,19.67,20.13,19.63,19.83,0.16,0.81,"18,931","3,769",2.54,2.87
2021-12-30,中金辐照,1300962,19.69,19.80,19.60,19.67,-0.02,-0.10,"16,690","3,288",1.02,2.53
2021-12-29,中金辐照,1300962,19.51,19.90,19.42,19.69,0.14,0.72,"17,638","3,469",2.46,2.67
2021-12-28,中金辐照,1300962,19.50,19.68,19.40,19.55,0.01,0.05,"14,994","2,924",1.43,2.27
2021-12-27,中金辐照,1300962,19.41,19.68,19.11,19.54,0.09,0.46,"18,130","3,524",2.93,2.75
2021-12-24,中金辐照,1300962,20.55,20.60,19.45,19.45,-1.08,-5.26,"43,512","8,625",5.60,6.59
