日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2018-03-30,倍加洁,0603059,53.10,53.79,52.05,52.71,-0.46,-0.87,"40,918","21,672",3.27,20.46
2018-03-29,倍加洁,0603059,52.00,54.29,51.03,53.17,0.67,1.28,"41,239","21,768",6.21,20.62
2018-03-28,倍加洁,0603059,54.47,56.48,52.11,52.50,-4.76,-8.31,"62,581","34,022",7.63,31.29
2018-03-27,倍加洁,0603059,54.89,60.00,54.18,57.26,1.88,3.39,"96,271","55,007",10.51,48.14
2018-03-26,倍加洁,0603059,51.08,56.87,48.32,55.38,1.69,3.15,"83,398","43,659",15.92,41.70
2018-03-23,倍加洁,0603059,51.08,59.00,51.01,53.69,-0.21,-0.39,"108,529","58,635",14.82,54.26
2018-03-22,倍加洁,0603059,49.25,53.90,48.01,53.90,4.90,10.00,"85,116","43,808",12.02,42.56
2018-03-21,倍加洁,0603059,48.80,51.40,48.57,49.00,0.51,1.05,"55,964","27,824",5.84,27.98
2018-03-20,倍加洁,0603059,48.30,49.16,47.00,48.49,-1.02,-2.06,"40,596","19,485",4.36,20.30
2018-03-19,倍加洁,0603059,48.00,50.58,46.80,49.51,1.26,2.61,"45,911","22,406",7.83,22.96
2018-03-16,倍加洁,0603059,48.48,49.30,47.71,48.25,0.07,0.15,"41,064","19,917",3.30,20.53
2018-03-15,倍加洁,0603059,49.00,49.30,46.43,48.18,-3.41,-6.61,"64,634","30,760",5.56,32.32
2018-03-14,倍加洁,0603059,49.25,52.58,49.25,51.59,1.86,3.74,"76,533","38,933",6.70,38.27
2018-03-13,倍加洁,0603059,51.03,51.79,48.50,49.73,-2.52,-4.82,"71,212","35,576",6.30,35.61
2018-03-12,倍加洁,0603059,50.52,54.74,50.52,52.25,-0.05,-0.10,"92,325","48,678",8.07,46.16
2018-03-09,倍加洁,0603059,53.00,55.00,52.01,52.30,1.56,3.07,"137,270","73,487",5.89,68.64
2018-03-08,倍加洁,0603059,48.00,50.74,47.49,50.74,4.61,9.99,"95,862","47,669",7.05,47.93
2018-03-07,倍加洁,0603059,46.13,46.13,46.13,46.13,4.19,9.99,"7,175","3,310",0.00,3.59
2018-03-06,倍加洁,0603059,41.94,41.94,41.94,41.94,3.81,9.99,"6,574","2,757",0.00,3.29
2018-03-05,倍加洁,0603059,38.13,38.13,38.13,38.13,3.47,10.01,"1,128",430,0.00,0.56
2018-03-02,倍加洁,0603059,34.66,34.66,34.66,34.66,10.59,44.00,525,182,0.00,0.26
2018-12-28,倍加洁,0603059,33.59,33.90,31.50,31.63,-1.95,-5.81,"21,167","6,866",7.15,10.58
2018-12-27,倍加洁,0603059,35.09,35.10,33.30,33.58,-0.92,-2.67,"15,963","5,515",5.22,7.98
2018-12-26,倍加洁,0603059,34.61,34.80,34.11,34.50,-0.08,-0.23,"12,994","4,485",2.00,6.50
2018-12-25,倍加洁,0603059,34.45,34.68,33.52,34.58,-0.40,-1.14,"18,081","6,177",3.32,9.04
2018-12-24,倍加洁,0603059,34.08,34.98,33.82,34.98,0.91,2.67,"21,623","7,483",3.40,10.81
2018-12-21,倍加洁,0603059,33.65,34.47,33.33,34.07,0.77,2.31,"18,151","6,183",3.42,9.08
2018-12-20,倍加洁,0603059,32.91,33.38,32.77,33.30,0.18,0.54,"10,094","3,345",1.84,5.05
2018-12-19,倍加洁,0603059,32.80,33.65,32.70,33.12,0.40,1.22,"10,384","3,440",2.90,5.19
2018-12-18,倍加洁,0603059,32.99,33.09,32.45,32.72,-0.38,-1.15,"6,602","2,162",1.93,3.30
2018-12-17,倍加洁,0603059,32.83,33.16,32.41,33.10,0.13,0.39,"6,768","2,224",2.27,3.38
2018-12-14,倍加洁,0603059,33.80,33.88,32.81,32.97,-0.88,-2.60,"11,267","3,753",3.16,5.63
2018-12-13,倍加洁,0603059,33.65,33.99,32.92,33.85,0.47,1.41,"14,570","4,909",3.21,7.29
2018-12-12,倍加洁,0603059,33.68,33.85,33.02,33.38,-0.01,-0.03,"11,375","3,806",2.49,5.69
2018-12-11,倍加洁,0603059,33.20,33.46,32.81,33.39,0.42,1.27,"9,254","3,065",1.97,4.63
2018-12-10,倍加洁,0603059,32.86,33.78,32.72,32.97,-0.30,-0.90,"7,397","2,443",3.19,3.70
2018-12-07,倍加洁,0603059,33.17,33.61,33.01,33.27,0.52,1.59,"13,729","4,577",1.83,6.86
2018-12-06,倍加洁,0603059,34.07,34.15,32.71,32.75,-1.34,-3.93,"15,192","5,069",4.22,7.60
2018-12-05,倍加洁,0603059,34.09,34.50,33.66,34.09,-0.67,-1.93,"16,243","5,539",2.42,8.12
2018-12-04,倍加洁,0603059,35.20,35.20,34.50,34.76,-0.24,-0.69,"14,165","4,922",2.00,7.08
2018-12-03,倍加洁,0603059,35.00,35.45,34.60,35.00,0.96,2.82,"20,949","7,327",2.50,10.47
2018-11-30,倍加洁,0603059,33.30,34.10,32.88,34.04,0.84,2.53,"18,638","6,269",3.67,9.32
2018-11-29,倍加洁,0603059,35.59,35.75,33.20,33.20,-2.36,-6.64,"25,412","8,795",7.17,12.71
2018-11-28,倍加洁,0603059,35.32,35.63,34.65,35.56,0.18,0.51,"20,115","7,081",2.77,10.06
2018-11-27,倍加洁,0603059,35.89,36.00,34.62,35.38,0.08,0.23,"24,201","8,525",3.91,12.10
2018-11-26,倍加洁,0603059,35.79,36.36,35.00,35.30,0.00,0.00,"20,760","7,386",3.85,10.38
2018-11-23,倍加洁,0603059,37.62,37.99,34.88,35.30,-2.13,-5.69,"32,475","11,825",8.31,16.24
2018-11-22,倍加洁,0603059,39.60,39.93,37.37,37.43,-1.27,-3.28,"29,512","11,304",6.62,14.76
2018-11-21,倍加洁,0603059,38.97,39.39,37.89,38.70,-0.29,-0.74,"28,220","10,946",3.85,14.11
2018-11-20,倍加洁,0603059,39.00,40.10,38.00,38.99,-0.01,-0.03,"38,863","15,259",5.38,19.43
2018-11-19,倍加洁,0603059,38.90,39.80,38.53,39.00,-0.16,-0.41,"34,704","13,598",3.24,17.35
2018-11-16,倍加洁,0603059,39.20,39.98,38.70,39.16,-1.24,-3.07,"53,614","21,080",3.17,26.81
2018-11-15,倍加洁,0603059,38.72,41.00,37.70,40.40,3.10,8.31,"68,280","26,647",8.85,34.14
2018-11-14,倍加洁,0603059,36.25,38.50,35.60,37.30,1.12,3.10,"55,359","20,387",8.02,27.68
2018-11-13,倍加洁,0603059,35.60,38.27,34.60,36.18,1.39,4.00,"70,964","26,107",10.55,35.48
