日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,华立股份,0603038,62.60,63.47,61.05,62.07,-0.50,-0.80,"13,586","8,480",3.87,8.14
2017-03-30,华立股份,0603038,64.86,64.92,62.19,62.57,-2.89,-4.41,"22,797","14,418",4.17,13.65
2017-03-29,华立股份,0603038,69.45,69.91,65.32,65.46,-4.52,-6.46,"27,805","18,729",6.56,16.65
2017-03-28,华立股份,0603038,71.12,72.50,69.90,69.98,-1.12,-1.58,"25,749","18,381",3.66,15.42
2017-03-27,华立股份,0603038,70.48,71.49,69.51,71.10,0.57,0.81,"21,029","14,864",2.81,12.59
2017-03-24,华立股份,0603038,69.33,70.68,68.75,70.53,1.12,1.61,"20,509","14,364",2.78,12.28
2017-03-23,华立股份,0603038,71.55,71.87,66.95,69.41,-1.51,-2.13,"31,243","21,853",6.94,18.71
2017-03-22,华立股份,0603038,69.70,71.50,69.20,70.92,0.41,0.58,"26,561","18,653",3.26,15.90
2017-03-21,华立股份,0603038,68.67,71.48,68.51,70.51,1.78,2.59,"30,811","21,630",4.32,18.45
2017-03-20,华立股份,0603038,67.08,68.78,66.68,68.73,1.64,2.44,"21,332","14,457",3.13,12.77
2017-03-17,华立股份,0603038,69.60,70.00,67.01,67.09,-2.34,-3.37,"30,860","21,191",4.31,18.48
2017-03-16,华立股份,0603038,67.50,70.14,67.40,69.43,1.80,2.66,"32,121","22,241",4.05,19.23
2017-03-15,华立股份,0603038,66.38,67.95,65.70,67.63,1.21,1.82,"23,931","16,040",3.39,14.33
2017-03-14,华立股份,0603038,66.56,67.70,66.31,66.42,-0.26,-0.39,"25,710","17,250",2.08,15.40
2017-03-13,华立股份,0603038,65.31,66.80,64.06,66.68,0.70,1.06,"21,232","13,987",4.15,12.71
2017-03-10,华立股份,0603038,65.97,66.31,65.57,65.98,-0.07,-0.11,"13,224","8,723",1.12,7.92
2017-03-09,华立股份,0603038,67.62,67.76,65.20,66.05,-1.91,-2.81,"24,139","15,955",3.77,14.45
2017-03-08,华立股份,0603038,67.79,68.50,67.03,67.96,0.33,0.49,"18,153","12,279",2.17,10.87
2017-03-07,华立股份,0603038,67.00,67.86,66.63,67.63,0.66,0.99,"21,436","14,415",1.84,12.84
