日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-30,ST獐子岛,1002069,11.89,11.92,11.41,11.48,-0.42,-3.53,"63,126","7,319",4.29,0.89
2017-03-29,ST獐子岛,1002069,11.92,11.98,11.81,11.90,0.01,0.08,"40,074","4,767",1.43,0.56
2017-03-28,ST獐子岛,1002069,11.80,11.90,11.73,11.89,0.06,0.51,"42,318","4,993",1.44,0.60
2017-03-27,ST獐子岛,1002069,11.98,11.98,11.70,11.83,-0.11,-0.92,"44,297","5,242",2.35,0.62
2017-03-24,ST獐子岛,1002069,11.91,11.96,11.81,11.94,0.02,0.17,"36,321","4,320",1.26,0.51
2017-03-23,ST獐子岛,1002069,12.03,12.10,11.83,11.92,-0.12,-1.00,"49,473","5,922",2.24,0.70
2017-03-22,ST獐子岛,1002069,12.00,12.13,11.86,12.04,0.04,0.33,"49,925","5,973",2.25,0.70
2017-03-21,ST獐子岛,1002069,12.15,12.17,11.91,12.00,-0.11,-0.91,"76,599","9,211",2.15,1.08
2017-03-20,ST獐子岛,1002069,11.88,12.17,11.86,12.11,0.21,1.76,"73,019","8,804",2.61,1.03
2017-03-17,ST獐子岛,1002069,11.70,12.15,11.65,11.90,0.22,1.88,"105,561","12,616",4.28,1.49
2017-03-16,ST獐子岛,1002069,11.60,11.69,11.60,11.68,0.03,0.26,"34,389","4,007",0.77,0.48
2017-03-15,ST獐子岛,1002069,11.39,11.70,11.35,11.65,0.25,2.19,"50,968","5,882",3.07,0.72
2017-03-14,ST獐子岛,1002069,11.50,11.50,11.37,11.40,-0.08,-0.70,"40,670","4,647",1.13,0.57
2017-03-13,ST獐子岛,1002069,11.57,11.62,11.39,11.48,-0.08,-0.69,"84,815","9,787",1.99,1.19
2017-03-10,ST獐子岛,1002069,11.55,11.63,11.53,11.56,0.00,0.00,"32,947","3,815",0.87,0.46
2017-03-09,ST獐子岛,1002069,11.70,11.70,11.49,11.56,-0.14,-1.20,"51,677","5,974",1.79,0.73
2017-03-08,ST獐子岛,1002069,11.69,11.85,11.64,11.70,-0.01,-0.09,"46,463","5,438",1.79,0.65
2017-03-07,ST獐子岛,1002069,11.84,11.84,11.67,11.71,-0.11,-0.93,"52,009","6,101",1.44,0.73
2017-03-06,ST獐子岛,1002069,11.47,11.84,11.47,11.82,0.39,3.41,"88,147","10,298",3.24,1.24
2017-03-03,ST獐子岛,1002069,11.37,11.46,11.30,11.43,0.06,0.53,"39,245","4,472",1.41,0.55
2017-03-02,ST獐子岛,1002069,11.48,11.54,11.29,11.37,-0.11,-0.96,"73,272","8,336",2.18,1.03
2017-03-01,ST獐子岛,1002069,11.25,11.59,11.17,11.48,0.22,1.95,"110,199","12,652",3.73,1.55
2017-02-28,ST獐子岛,1002069,11.19,11.45,11.17,11.26,0.22,1.99,"78,693","8,889",2.54,1.11
2017-02-27,ST獐子岛,1002069,11.10,11.17,11.04,11.04,-0.09,-0.81,"31,299","3,477",1.17,0.44
2017-02-24,ST獐子岛,1002069,11.10,11.17,11.05,11.13,0.04,0.36,"24,908","2,773",1.08,0.35
2017-02-23,ST獐子岛,1002069,11.15,11.15,11.01,11.09,-0.05,-0.45,"33,364","3,689",1.26,0.47
2017-02-22,ST獐子岛,1002069,11.16,11.22,11.08,11.14,0.02,0.18,"44,411","4,950",1.26,0.63
2017-02-21,ST獐子岛,1002069,10.95,11.17,10.87,11.12,0.20,1.83,"62,102","6,853",2.75,0.87
2017-02-20,ST獐子岛,1002069,10.85,10.93,10.81,10.92,0.08,0.74,"27,704","3,010",1.11,0.39
2017-02-17,ST獐子岛,1002069,10.92,10.92,10.79,10.84,-0.08,-0.73,"23,632","2,565",1.19,0.33
