日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-07-07,新五丰,0600975,6.44,6.56,6.41,6.53,0.04,0.62,"62,567","4,058",2.31,1.33
2017-07-06,新五丰,0600975,6.55,6.59,6.42,6.49,-0.05,-0.76,"69,979","4,552",2.60,1.49
2017-07-05,新五丰,0600975,6.60,6.60,6.47,6.54,-0.06,-0.91,"78,897","5,148",1.97,1.68
2017-07-04,新五丰,0600975,6.59,6.64,6.52,6.60,-0.03,-0.45,"78,132","5,128",1.81,1.67
2017-07-03,新五丰,0600975,6.42,6.65,6.37,6.63,0.23,3.59,"138,045","9,027",4.38,2.95
2017-12-29,新五丰,0600975,5.71,5.73,5.68,5.73,0.04,0.70,"21,092","1,202",0.88,0.45
2017-12-28,新五丰,0600975,5.71,5.73,5.66,5.69,-0.01,-0.18,"24,467","1,393",1.23,0.52
2017-12-27,新五丰,0600975,5.67,5.79,5.67,5.70,0.00,0.00,"33,933","1,946",2.11,0.72
2017-12-26,新五丰,0600975,5.66,5.71,5.65,5.70,0.01,0.18,"21,563","1,225",1.05,0.46
2017-12-25,新五丰,0600975,5.77,5.83,5.68,5.69,-0.08,-1.39,"30,173","1,725",2.60,0.64
2017-12-22,新五丰,0600975,5.75,5.86,5.74,5.77,0.04,0.70,"28,871","1,673",2.09,0.62
2017-12-21,新五丰,0600975,5.74,5.74,5.63,5.73,0.03,0.53,"22,691","1,290",1.93,0.48
2017-12-20,新五丰,0600975,5.79,5.82,5.68,5.70,-0.09,-1.55,"22,634","1,300",2.42,0.48
2017-12-19,新五丰,0600975,5.77,5.81,5.76,5.79,0.03,0.52,"15,915",921,0.87,0.34
2017-12-18,新五丰,0600975,5.79,5.81,5.74,5.76,-0.03,-0.52,"17,151",989,1.21,0.37
2017-12-15,新五丰,0600975,5.85,5.85,5.70,5.79,-0.04,-0.69,"24,302","1,405",2.57,0.52
2017-12-14,新五丰,0600975,5.86,5.86,5.80,5.83,-0.04,-0.68,"23,426","1,363",1.02,0.50
2017-12-13,新五丰,0600975,5.91,5.91,5.82,5.87,-0.05,-0.84,"30,995","1,814",1.52,0.66
2017-12-12,新五丰,0600975,5.95,5.98,5.91,5.92,-0.03,-0.50,"31,026","1,844",1.18,0.66
2017-12-11,新五丰,0600975,5.98,5.99,5.91,5.95,0.00,0.00,"31,079","1,846",1.34,0.66
2017-12-08,新五丰,0600975,5.99,6.00,5.90,5.95,0.04,0.68,"41,782","2,484",1.69,0.89
2017-12-07,新五丰,0600975,5.92,5.97,5.89,5.91,-0.05,-0.84,"47,347","2,802",1.34,1.01
2017-12-06,新五丰,0600975,5.65,6.20,5.60,5.96,0.29,5.11,"106,263","6,322",10.58,2.27
2017-12-05,新五丰,0600975,5.83,5.87,5.64,5.67,-0.19,-3.24,"35,322","2,035",3.92,0.75
2017-12-04,新五丰,0600975,5.83,5.89,5.82,5.86,0.04,0.69,"34,057","1,997",1.20,0.73
2017-12-01,新五丰,0600975,5.76,5.88,5.76,5.82,0.02,0.34,"26,780","1,561",2.07,0.57
2017-11-30,新五丰,0600975,5.78,5.88,5.74,5.80,0.00,0.00,"26,888","1,563",2.41,0.57
2017-11-29,新五丰,0600975,5.77,5.85,5.71,5.80,-0.02,-0.34,"30,011","1,727",2.41,0.64
2017-11-28,新五丰,0600975,5.76,5.83,5.74,5.82,0.01,0.17,"22,253","1,288",1.55,0.47
2017-11-27,新五丰,0600975,5.88,5.90,5.80,5.81,-0.09,-1.53,"23,133","1,351",1.69,0.49
2017-11-24,新五丰,0600975,5.83,5.99,5.83,5.90,-0.04,-0.67,"28,768","1,697",2.69,0.61
2017-11-23,新五丰,0600975,6.09,6.11,5.90,5.94,-0.18,-2.94,"46,629","2,796",3.43,0.99
2017-11-22,新五丰,0600975,6.23,6.23,6.02,6.12,-0.11,-1.77,"51,771","3,167",3.37,1.10
2017-11-21,新五丰,0600975,5.99,6.25,5.96,6.23,0.24,4.01,"86,783","5,338",4.84,1.85
2017-11-20,新五丰,0600975,6.08,6.08,5.60,5.99,-0.04,-0.66,"46,520","2,724",7.96,0.99
2017-11-17,新五丰,0600975,6.06,6.14,6.00,6.03,-0.02,-0.33,"74,269","4,520",2.31,1.58
2017-11-16,新五丰,0600975,5.93,6.11,5.91,6.05,0.11,1.85,"59,346","3,582",3.37,1.27
2017-11-15,新五丰,0600975,6.02,6.02,5.91,5.94,-0.05,-0.83,"30,832","1,832",1.84,0.66
2017-11-14,新五丰,0600975,6.06,6.14,5.98,5.99,-0.11,-1.80,"61,300","3,694",2.62,1.31
2017-11-13,新五丰,0600975,6.23,6.28,6.08,6.10,-0.10,-1.61,"52,700","3,247",3.23,1.12
2017-11-10,新五丰,0600975,6.24,6.28,6.18,6.20,-0.05,-0.80,"41,589","2,589",1.60,0.89
2017-11-09,新五丰,0600975,6.20,6.29,6.20,6.25,0.01,0.16,"38,575","2,407",1.44,0.82
2017-11-08,新五丰,0600975,6.16,6.34,6.16,6.24,-0.04,-0.64,"52,809","3,309",2.87,1.13
2017-11-07,新五丰,0600975,6.34,6.39,6.24,6.28,-0.14,-2.18,"80,979","5,087",2.34,1.73
2017-11-06,新五丰,0600975,6.54,6.57,6.29,6.42,-0.12,-1.83,"74,009","4,722",4.28,1.58
2017-11-03,新五丰,0600975,6.70,6.70,6.52,6.54,-0.18,-2.68,"77,598","5,104",2.68,1.66
2017-11-02,新五丰,0600975,6.86,6.87,6.62,6.72,-0.25,-3.59,"113,102","7,609",3.59,2.41
2017-11-01,新五丰,0600975,6.61,7.08,6.61,6.97,0.41,6.25,"218,708","15,144",7.16,4.67
2017-10-31,新五丰,0600975,6.65,6.74,6.43,6.56,-0.16,-2.38,"115,078","7,522",4.61,2.46
2017-10-30,新五丰,0600975,6.91,7.01,6.56,6.72,-0.16,-2.33,"130,679","8,768",6.54,2.79
2017-10-27,新五丰,0600975,7.17,7.45,6.85,6.88,-0.30,-4.18,"278,146","19,821",8.36,5.93
2017-10-26,新五丰,0600975,7.18,7.18,6.90,7.18,0.65,9.95,"67,758","4,846",4.29,1.45
2017-06-30,新五丰,0600975,6.41,6.42,6.33,6.40,-0.02,-0.31,"35,423","2,259",1.40,0.76
2017-06-29,新五丰,0600975,6.37,6.42,6.34,6.42,0.03,0.47,"49,806","3,179",1.25,1.06
2017-06-28,新五丰,0600975,6.47,6.47,6.33,6.39,-0.11,-1.69,"65,503","4,180",2.15,1.40
2017-06-27,新五丰,0600975,6.50,6.52,6.39,6.50,0.01,0.15,"63,716","4,117",2.00,1.36
2017-06-26,新五丰,0600975,6.41,6.51,6.37,6.49,0.00,0.00,"85,998","5,550",2.16,1.83
2017-06-23,新五丰,0600975,6.45,6.51,6.25,6.49,0.04,0.62,"115,907","7,426",4.03,2.47
2017-06-22,新五丰,0600975,6.65,6.68,6.42,6.45,-0.30,-4.44,"157,874","10,380",3.85,3.37
2017-06-21,新五丰,0600975,6.69,6.76,6.54,6.75,-0.03,-0.44,"201,219","13,325",3.24,4.29
2017-06-20,新五丰,0600975,6.59,7.06,6.54,6.78,0.21,3.20,"426,637","28,995",7.91,9.10
2017-06-19,新五丰,0600975,6.04,6.57,6.01,6.57,0.60,10.05,"267,011","17,321",9.38,5.70
2017-06-16,新五丰,0600975,6.03,6.05,5.94,5.97,-0.06,-1.00,"28,200","1,687",1.82,0.60
2017-06-15,新五丰,0600975,5.95,6.07,5.95,6.03,0.08,1.34,"48,444","2,915",2.02,1.03
2017-06-14,新五丰,0600975,6.01,6.01,5.93,5.95,-0.03,-0.50,"33,120","1,973",1.34,0.71
2017-06-13,新五丰,0600975,5.99,6.09,5.98,6.08,0.08,1.33,"39,550","2,391",1.83,0.84
2017-06-12,新五丰,0600975,6.04,6.06,5.97,6.00,-0.09,-1.48,"45,009","2,704",1.48,0.96
2017-06-09,新五丰,0600975,6.33,6.35,6.07,6.09,0.03,0.50,"98,057","6,049",4.62,2.09
2017-06-08,新五丰,0600975,5.98,6.08,5.95,6.06,0.07,1.17,"58,499","3,526",2.17,1.25
2017-06-07,新五丰,0600975,5.89,6.04,5.85,5.99,0.11,1.87,"48,487","2,892",3.23,1.03
2017-06-06,新五丰,0600975,5.80,5.89,5.78,5.88,0.08,1.38,"37,918","2,220",1.90,0.81
2017-06-05,新五丰,0600975,5.69,5.82,5.66,5.80,0.08,1.40,"37,454","2,163",2.80,0.80
2017-06-02,新五丰,0600975,5.69,5.75,5.50,5.72,0.03,0.53,"62,083","3,489",4.39,1.32
2017-06-01,新五丰,0600975,5.98,5.98,5.68,5.69,-0.29,-4.85,"50,037","2,927",5.02,1.07
2017-05-31,新五丰,0600975,6.00,6.06,5.97,5.98,0.01,0.17,"33,487","2,016",1.51,0.71
2017-05-26,新五丰,0600975,6.01,6.03,5.95,5.97,-0.06,-1.00,"34,634","2,075",1.33,0.74
2017-05-25,新五丰,0600975,5.96,6.07,5.87,6.03,0.04,0.67,"44,270","2,644",3.34,0.94
2017-05-24,新五丰,0600975,6.02,6.03,5.81,5.99,-0.06,-0.99,"55,972","3,316",3.64,1.19
2017-05-23,新五丰,0600975,6.29,6.30,6.03,6.05,-0.23,-3.66,"42,074","2,594",4.30,0.90
2017-05-22,新五丰,0600975,6.42,6.46,6.24,6.28,-0.14,-2.18,"30,486","1,937",3.43,0.65
2017-05-19,新五丰,0600975,6.38,6.50,6.38,6.42,0.01,0.16,"31,323","2,015",1.87,0.67
2017-05-18,新五丰,0600975,6.42,6.50,6.37,6.41,-0.03,-0.47,"44,415","2,860",2.02,0.95
2017-05-17,新五丰,0600975,6.38,6.51,6.35,6.44,0.04,0.63,"60,695","3,915",2.50,1.29
2017-05-16,新五丰,0600975,6.27,6.40,6.14,6.40,0.13,2.07,"56,627","3,543",4.15,1.21
2017-05-15,新五丰,0600975,6.31,6.32,6.25,6.27,-0.01,-0.16,"29,650","1,863",1.11,0.63
2017-05-12,新五丰,0600975,6.23,6.30,6.23,6.28,-0.01,-0.16,"42,656","2,672",1.11,0.91
2017-05-11,新五丰,0600975,6.43,6.45,6.15,6.29,-0.18,-2.78,"69,259","4,348",4.64,1.48
2017-05-10,新五丰,0600975,6.58,6.64,6.45,6.47,-0.14,-2.12,"42,458","2,780",2.87,0.91
2017-05-09,新五丰,0600975,6.52,6.64,6.42,6.61,0.10,1.54,"57,689","3,775",3.38,1.23
2017-05-08,新五丰,0600975,6.78,6.78,6.50,6.51,-0.31,-4.55,"80,546","5,323",4.11,1.72
2017-05-05,新五丰,0600975,6.99,6.99,6.80,6.82,-0.16,-2.29,"63,162","4,335",2.72,1.35
2017-05-04,新五丰,0600975,7.12,7.12,6.94,6.98,-0.14,-1.97,"79,877","5,591",2.53,1.70
2017-05-03,新五丰,0600975,7.38,7.38,7.10,7.12,-0.25,-3.39,"102,481","7,356",3.80,2.19
2017-05-02,新五丰,0600975,7.44,7.45,7.35,7.37,-0.12,-1.60,"42,533","3,141",1.34,0.91
2017-04-28,新五丰,0600975,7.45,7.53,7.38,7.49,-0.15,-1.96,"52,750","3,942",1.96,1.13
2017-04-27,新五丰,0600975,7.63,7.70,7.28,7.64,0.01,0.13,"71,639","5,342",5.50,1.53
2017-04-26,新五丰,0600975,7.72,7.74,7.58,7.63,-0.08,-1.04,"34,931","2,667",2.08,0.75
2017-04-25,新五丰,0600975,7.67,7.82,7.65,7.71,0.04,0.52,"29,980","2,320",2.22,0.64
2017-04-24,新五丰,0600975,7.90,7.94,7.63,7.67,-0.22,-2.79,"43,151","3,337",3.93,0.92
2017-04-21,新五丰,0600975,7.69,7.94,7.62,7.89,0.22,2.87,"67,975","5,299",4.17,1.45
2017-04-20,新五丰,0600975,7.87,7.87,7.60,7.67,-0.20,-2.54,"69,806","5,390",3.43,1.49
2017-04-19,新五丰,0600975,8.04,8.13,7.81,7.87,-0.14,-1.75,"70,519","5,579",4.00,1.50
2017-04-18,新五丰,0600975,8.13,8.15,8.00,8.01,-0.12,-1.48,"45,133","3,640",1.85,0.96
2017-04-17,新五丰,0600975,8.19,8.19,8.08,8.13,-0.05,-0.61,"42,980","3,492",1.34,0.92
2017-04-14,新五丰,0600975,8.26,8.27,8.16,8.18,-0.08,-0.97,"46,058","3,773",1.33,0.98
2017-04-13,新五丰,0600975,8.22,8.27,8.21,8.26,0.03,0.36,"39,858","3,285",0.73,0.85
2017-04-12,新五丰,0600975,8.27,8.27,8.21,8.23,-0.05,-0.60,"42,171","3,471",0.72,0.90
2017-04-11,新五丰,0600975,8.28,8.29,8.18,8.28,0.04,0.49,"48,921","4,030",1.34,1.04
2017-04-10,新五丰,0600975,8.37,8.38,8.21,8.24,-0.11,-1.32,"55,171","4,561",2.04,1.18
2017-04-07,新五丰,0600975,8.47,8.47,8.35,8.35,-0.08,-0.95,"45,904","3,849",1.42,0.98
2017-04-06,新五丰,0600975,8.40,8.47,8.30,8.43,0.05,0.60,"60,935","5,107",2.03,1.30
2017-04-05,新五丰,0600975,8.20,8.47,8.18,8.38,0.18,2.20,"63,059","5,252",3.54,1.35
2017-03-31,新五丰,0600975,8.23,8.24,8.15,8.20,0.01,0.12,"38,526","3,157",1.10,0.82
2017-03-30,新五丰,0600975,8.39,8.40,8.17,8.19,-0.19,-2.27,"82,706","6,803",2.74,1.76
2017-03-29,新五丰,0600975,8.50,8.50,8.37,8.38,-0.10,-1.18,"61,293","5,164",1.53,1.31
2017-03-28,新五丰,0600975,8.45,8.52,8.45,8.48,0.00,0.00,"41,182","3,491",0.83,0.88
2017-03-27,新五丰,0600975,8.47,8.53,8.45,8.48,0.00,0.00,"59,003","5,007",0.94,1.26
2017-03-24,新五丰,0600975,8.49,8.53,8.41,8.48,0.01,0.12,"57,597","4,877",1.42,1.23
2017-03-23,新五丰,0600975,8.52,8.57,8.45,8.47,-0.05,-0.59,"58,197","4,951",1.41,1.24
2017-03-22,新五丰,0600975,8.59,8.62,8.48,8.52,-0.09,-1.05,"55,526","4,740",1.63,1.18
2017-03-21,新五丰,0600975,8.65,8.67,8.58,8.61,-0.04,-0.46,"40,532","3,495",1.04,0.86
2017-03-20,新五丰,0600975,8.57,8.68,8.57,8.65,0.05,0.58,"39,757","3,429",1.28,0.85
2017-03-17,新五丰,0600975,8.71,8.71,8.55,8.60,-0.08,-0.92,"48,992","4,235",1.84,1.05
2017-03-16,新五丰,0600975,8.57,8.72,8.56,8.68,0.10,1.17,"68,640","5,948",1.86,1.46
2017-03-15,新五丰,0600975,8.62,8.64,8.54,8.58,-0.04,-0.46,"39,054","3,350",1.16,0.83
2017-03-14,新五丰,0600975,8.68,8.69,8.60,8.62,-0.06,-0.69,"56,645","4,900",1.04,1.21
2017-03-13,新五丰,0600975,8.64,8.68,8.56,8.68,0.04,0.46,"43,305","3,740",1.39,0.92
2017-03-10,新五丰,0600975,8.64,8.68,8.64,8.64,0.00,0.00,"38,045","3,295",0.46,0.81
2017-03-09,新五丰,0600975,8.78,8.78,8.63,8.64,-0.12,-1.37,"59,992","5,204",1.71,1.28
2017-03-08,新五丰,0600975,8.84,8.85,8.73,8.76,-0.08,-0.91,"61,212","5,374",1.36,1.31
2017-03-07,新五丰,0600975,8.81,8.85,8.77,8.84,0.03,0.34,"54,733","4,822",0.91,1.17
2017-03-06,新五丰,0600975,8.75,8.84,8.74,8.81,0.07,0.80,"57,477","5,053",1.14,1.23
2017-03-03,新五丰,0600975,8.80,8.83,8.71,8.74,-0.07,-0.79,"62,113","5,434",1.36,1.33
2017-03-02,新五丰,0600975,8.94,8.96,8.78,8.81,-0.11,-1.23,"66,282","5,864",2.02,1.41
2017-03-01,新五丰,0600975,8.97,8.99,8.90,8.92,-0.04,-0.45,"66,932","5,979",1.00,1.43
2017-02-28,新五丰,0600975,8.93,8.97,8.88,8.96,0.03,0.34,"63,397","5,657",1.01,1.35
2017-02-27,新五丰,0600975,9.02,9.04,8.91,8.93,-0.09,-1.00,"103,141","9,245",1.44,2.20
2017-02-24,新五丰,0600975,8.83,9.05,8.80,9.02,0.17,1.92,"160,924","14,425",2.82,3.43
2017-02-23,新五丰,0600975,8.92,8.95,8.81,8.85,-0.08,-0.90,"83,569","7,403",1.57,1.78
2017-02-22,新五丰,0600975,8.94,8.96,8.86,8.93,0.04,0.45,"90,153","8,034",1.12,1.92
2017-02-21,新五丰,0600975,8.85,8.90,8.82,8.89,0.04,0.45,"90,558","8,031",0.90,1.93
2017-02-20,新五丰,0600975,8.68,8.85,8.68,8.85,0.17,1.96,"72,714","6,379",1.96,1.55
2017-02-17,新五丰,0600975,8.81,8.85,8.66,8.68,-0.12,-1.36,"88,922","7,770",2.16,1.90
2017-02-16,新五丰,0600975,8.78,8.87,8.77,8.80,0.02,0.23,"76,106","6,710",1.14,1.62
2017-02-15,新五丰,0600975,8.90,8.95,8.74,8.78,-0.21,-2.34,"127,898","11,316",2.34,2.73
2017-02-14,新五丰,0600975,9.15,9.20,8.92,8.99,0.07,0.78,"188,283","17,012",3.14,4.02
2017-02-13,新五丰,0600975,8.85,8.95,8.81,8.92,0.07,0.79,"96,121","8,532",1.58,2.05
2017-02-10,新五丰,0600975,8.83,8.89,8.78,8.85,0.02,0.23,"88,972","7,853",1.25,1.90
2017-02-09,新五丰,0600975,8.77,8.83,8.74,8.83,0.04,0.46,"79,058","6,964",1.02,1.69
2017-02-08,新五丰,0600975,8.81,8.81,8.69,8.79,-0.03,-0.34,"55,821","4,883",1.36,1.19
2017-02-07,新五丰,0600975,8.76,8.84,8.76,8.82,0.02,0.23,"68,521","6,034",0.91,1.46
2017-02-06,新五丰,0600975,8.71,8.85,8.71,8.80,0.15,1.73,"74,199","6,520",1.62,1.58
2017-02-03,新五丰,0600975,8.79,8.79,8.64,8.65,-0.08,-0.92,"36,416","3,162",1.72,0.78
2017-01-26,新五丰,0600975,8.74,8.77,8.71,8.73,0.02,0.23,"37,844","3,305",0.69,0.81
2017-01-25,新五丰,0600975,8.70,8.81,8.65,8.71,-0.05,-0.57,"47,583","4,149",1.83,1.02
2017-01-24,新五丰,0600975,8.73,8.98,8.71,8.76,0.12,1.39,"98,364","8,678",3.13,2.10
2017-01-23,新五丰,0600975,8.56,8.66,8.52,8.64,0.12,1.41,"48,034","4,140",1.64,1.02
2017-01-20,新五丰,0600975,8.40,8.54,8.40,8.52,0.12,1.43,"53,886","4,578",1.67,1.15
2017-01-19,新五丰,0600975,8.46,8.50,8.36,8.40,-0.07,-0.83,"39,925","3,358",1.65,0.85
2017-01-18,新五丰,0600975,8.50,8.57,8.40,8.47,-0.06,-0.70,"48,757","4,143",1.99,1.04
2017-01-17,新五丰,0600975,8.47,8.54,8.29,8.53,0.03,0.35,"69,240","5,836",2.94,1.48
2017-01-16,新五丰,0600975,8.81,8.83,8.11,8.50,-0.31,-3.52,"117,442","10,042",8.17,2.51
2017-01-13,新五丰,0600975,8.98,9.01,8.80,8.81,-0.22,-2.44,"88,009","7,803",2.33,1.88
2017-01-12,新五丰,0600975,9.11,9.14,8.99,9.03,-0.10,-1.10,"86,330","7,835",1.64,1.84
2017-01-11,新五丰,0600975,9.04,9.15,8.98,9.13,0.10,1.11,"114,498","10,366",1.88,2.44
2017-01-10,新五丰,0600975,9.19,9.19,9.02,9.03,-0.16,-1.74,"116,922","10,610",1.85,2.49
2017-01-09,新五丰,0600975,9.16,9.21,9.10,9.19,0.05,0.55,"99,779","9,131",1.20,2.13
2017-01-06,新五丰,0600975,9.27,9.28,9.09,9.14,-0.14,-1.51,"177,849","16,294",2.05,3.79
2017-01-05,新五丰,0600975,9.05,9.33,9.03,9.28,0.28,3.11,"285,388","26,419",3.33,6.09
2017-01-04,新五丰,0600975,8.88,9.03,8.88,9.00,0.16,1.81,"121,163","10,868",1.70,2.59
2017-01-03,新五丰,0600975,8.72,8.85,8.72,8.84,0.13,1.49,"70,322","6,190",1.49,1.50
2018-03-30,新五丰,0600975,5.51,5.55,5.42,5.53,0.01,0.18,"123,788","6,781",2.36,2.64
2018-03-29,新五丰,0600975,5.59,5.62,5.45,5.52,-0.08,-1.43,"143,019","7,892",3.04,3.05
2018-03-28,新五丰,0600975,5.70,5.83,5.51,5.60,-0.38,-6.35,"247,521","14,090",5.35,5.28
2018-03-27,新五丰,0600975,5.55,6.10,5.41,5.98,0.11,1.87,"387,960","22,207",11.75,8.28
2018-03-26,新五丰,0600975,5.81,6.19,5.72,5.87,0.06,1.03,"522,423","31,085",8.09,11.15
2018-03-23,新五丰,0600975,5.81,5.81,5.50,5.81,0.53,10.04,"375,141","21,744",5.87,8.00
2018-03-22,新五丰,0600975,5.21,5.30,5.19,5.28,0.01,0.19,"49,489","2,595",2.09,1.06
2018-03-21,新五丰,0600975,5.32,5.32,5.21,5.27,-0.04,-0.75,"45,277","2,390",2.07,0.97
2018-03-20,新五丰,0600975,5.25,5.31,5.19,5.31,0.03,0.57,"45,814","2,408",2.27,0.98
2018-03-19,新五丰,0600975,5.19,5.30,5.19,5.28,0.12,2.33,"60,169","3,170",2.13,1.28
2018-03-16,新五丰,0600975,5.18,5.22,5.15,5.16,-0.02,-0.39,"26,424","1,370",1.35,0.56
2018-03-15,新五丰,0600975,5.20,5.20,5.14,5.18,-0.03,-0.58,"34,514","1,784",1.15,0.74
2018-03-14,新五丰,0600975,5.30,5.33,5.17,5.21,-0.16,-2.98,"78,140","4,094",2.98,1.67
2018-03-13,新五丰,0600975,5.61,5.64,5.36,5.37,0.01,0.19,"146,285","8,065",5.22,3.12
2018-03-12,新五丰,0600975,5.22,5.39,5.18,5.36,0.14,2.68,"78,956","4,176",4.02,1.68
2018-03-09,新五丰,0600975,5.17,5.23,5.16,5.22,0.06,1.16,"46,118","2,398",1.36,0.98
2018-03-08,新五丰,0600975,5.09,5.17,5.08,5.16,0.07,1.38,"34,509","1,773",1.77,0.74
2018-03-07,新五丰,0600975,5.18,5.18,5.08,5.09,-0.08,-1.55,"34,191","1,751",1.93,0.73
2018-03-06,新五丰,0600975,5.14,5.18,5.12,5.17,0.03,0.58,"35,204","1,813",1.17,0.75
2018-03-05,新五丰,0600975,5.16,5.18,5.11,5.14,-0.01,-0.19,"24,694","1,268",1.36,0.53
2018-03-02,新五丰,0600975,5.14,5.19,5.13,5.15,-0.05,-0.96,"25,606","1,319",1.15,0.55
2018-03-01,新五丰,0600975,5.14,5.21,5.13,5.20,0.03,0.58,"34,414","1,782",1.55,0.73
2018-02-28,新五丰,0600975,5.17,5.17,5.11,5.17,0.00,0.00,"29,088","1,494",1.16,0.62
