日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-06-30,神农集团,0605296,48.29,48.29,47.04,47.20,-1.32,-2.72,"30,008","14,232",2.58,7.50
2021-06-29,神农集团,0605296,49.20,49.73,48.48,48.52,-2.38,-4.68,"46,432","22,665",2.46,11.60
2021-06-28,神农集团,0605296,49.00,52.18,49.00,50.90,2.93,6.11,"72,296","36,635",6.63,18.06
2021-06-25,神农集团,0605296,47.60,48.47,47.60,47.97,0.34,0.71,"23,872","11,479",1.83,5.96
2021-06-24,神农集团,0605296,48.20,48.77,47.63,47.63,-1.56,-3.17,"33,914","16,316",2.32,8.47
2021-06-23,神农集团,0605296,47.07,49.97,46.71,49.19,1.57,3.30,"58,004","28,011",6.85,14.49
2021-06-22,神农集团,0605296,46.20,47.98,46.11,47.62,1.49,3.23,"41,269","19,532",4.05,10.31
2021-06-21,神农集团,0605296,45.92,46.47,45.62,46.13,-0.25,-0.54,"22,957","10,550",1.83,5.73
2021-06-18,神农集团,0605296,45.89,46.78,45.51,46.38,0.57,1.24,"24,116","11,152",2.77,6.02
2021-06-17,神农集团,0605296,45.85,46.50,45.60,45.81,-0.22,-0.48,"21,654","9,958",1.96,5.41
2021-06-16,神农集团,0605296,45.58,47.30,45.58,46.03,0.01,0.02,"23,947","11,115",3.74,5.98
2021-06-15,神农集团,0605296,48.00,48.00,46.00,46.02,-2.22,-4.60,"39,134","18,222",4.15,9.78
2021-06-11,神农集团,0605296,48.15,48.96,48.15,48.24,-0.25,-0.52,"24,363","11,804",1.67,6.09
2021-06-10,神农集团,0605296,49.07,49.49,48.48,48.49,-1.32,-2.65,"39,143","19,079",2.03,9.78
2021-06-09,神农集团,0605296,48.52,51.18,48.01,49.81,0.84,1.72,"57,729","28,758",6.47,14.42
2021-06-08,神农集团,0605296,48.58,49.49,48.58,48.97,0.11,0.23,"38,613","18,963",1.86,9.65
