日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-09-30,立华股份,1300761,66.81,68.96,66.21,67.33,0.55,0.82,"11,751","7,982",4.12,2.85
2019-09-27,立华股份,1300761,65.68,67.58,65.68,66.78,0.78,1.18,"17,810","11,904",2.88,4.31
2019-09-26,立华股份,1300761,68.21,68.88,65.01,66.00,-2.13,-3.13,"23,627","15,689",5.68,5.72
2019-09-25,立华股份,1300761,67.94,69.11,67.33,68.13,0.03,0.04,"15,273","10,431",2.61,3.70
2019-09-24,立华股份,1300761,70.16,70.85,66.70,68.10,-2.51,-3.55,"29,749","20,276",5.88,7.21
2019-09-23,立华股份,1300761,72.63,74.87,70.03,70.61,-2.84,-3.87,"21,695","15,528",6.59,5.26
2019-09-20,立华股份,1300761,71.80,74.27,71.11,73.45,1.00,1.38,"21,004","15,314",4.36,5.09
2019-09-19,立华股份,1300761,72.54,72.80,70.00,72.45,0.00,0.00,"20,860","14,853",3.86,5.05
2019-09-18,立华股份,1300761,70.82,72.88,70.77,72.45,1.28,1.80,"18,933","13,654",2.96,4.59
2019-09-17,立华股份,1300761,70.81,72.10,70.68,71.17,-0.51,-0.71,"17,986","12,801",1.98,4.36
2019-09-16,立华股份,1300761,72.00,72.49,70.88,71.68,0.12,0.17,"18,601","13,281",2.25,4.51
2019-09-12,立华股份,1300761,71.27,72.86,70.83,71.56,0.80,1.13,"23,085","16,611",2.87,5.59
2019-09-11,立华股份,1300761,74.11,74.11,70.69,70.76,-3.57,-4.80,"37,379","26,796",4.60,9.06
2019-09-10,立华股份,1300761,73.55,76.18,73.51,74.33,0.33,0.45,"24,559","18,406",3.61,5.95
2019-09-09,立华股份,1300761,73.07,74.11,70.59,74.00,1.00,1.37,"29,983","21,874",4.82,7.26
2019-09-06,立华股份,1300761,77.05,77.65,72.35,73.00,-3.94,-5.12,"35,221","26,048",6.89,8.53
2019-09-05,立华股份,1300761,78.12,78.12,76.01,76.94,-1.18,-1.51,"27,715","21,272",2.70,6.71
2019-09-04,立华股份,1300761,77.00,78.88,74.40,78.12,1.12,1.45,"33,325","25,489",5.82,8.07
2019-09-03,立华股份,1300761,74.40,80.00,74.40,77.00,2.67,3.59,"32,171","24,866",7.53,7.79
2019-09-02,立华股份,1300761,69.94,74.84,69.94,74.33,4.32,6.17,"36,458","26,619",7.00,8.83
2019-08-30,立华股份,1300761,71.07,72.99,70.00,70.01,-1.03,-1.45,"28,845","20,586",4.21,6.99
2019-08-29,立华股份,1300761,69.53,72.44,69.31,71.04,1.00,1.43,"32,770","23,410",4.47,7.94
2019-08-28,立华股份,1300761,69.65,71.14,67.50,70.04,1.00,1.45,"33,722","23,444",5.27,8.17
2019-08-27,立华股份,1300761,68.09,71.45,67.73,69.04,0.93,1.37,"43,230","30,125",5.46,10.47
2019-08-26,立华股份,1300761,63.60,68.11,63.51,68.11,3.61,5.60,"39,057","25,968",7.13,9.46
2019-08-23,立华股份,1300761,65.90,66.10,63.22,64.50,-0.44,-0.68,"29,382","18,877",4.43,7.12
2019-08-22,立华股份,1300761,63.89,65.50,63.01,64.94,1.49,2.35,"28,816","18,596",3.92,6.98
2019-08-21,立华股份,1300761,65.70,66.35,63.00,63.45,-1.91,-2.92,"26,291","17,049",5.13,6.37
2019-08-20,立华股份,1300761,65.26,66.99,64.48,65.36,-1.59,-2.37,"31,998","21,007",3.75,7.75
2019-08-19,立华股份,1300761,70.10,70.20,64.37,66.95,-2.85,-4.08,"71,175","47,121",8.35,17.24
2019-08-16,立华股份,1300761,67.88,71.66,66.66,69.80,2.73,4.07,"39,515","27,427",7.45,9.57
2019-08-15,立华股份,1300761,66.45,67.31,64.50,67.07,-0.31,-0.46,"24,080","15,950",4.17,5.83
2019-08-14,立华股份,1300761,69.90,70.80,66.41,67.38,-1.54,-2.23,"34,165","23,187",6.37,8.28
2019-08-13,立华股份,1300761,68.28,70.19,67.50,68.92,0.72,1.06,"24,854","17,137",3.94,6.02
2019-08-12,立华股份,1300761,68.50,70.00,66.40,68.20,0.03,0.04,"34,148","23,273",5.28,8.27
2019-08-09,立华股份,1300761,72.66,73.10,67.01,68.17,-4.96,-6.78,"50,110","35,209",8.33,12.14
2019-08-08,立华股份,1300761,69.52,73.13,69.50,73.13,4.23,6.14,"44,907","32,302",5.27,10.88
2019-08-07,立华股份,1300761,67.68,72.50,67.68,68.90,1.57,2.33,"47,259","33,067",7.16,11.45
2019-08-06,立华股份,1300761,64.39,68.00,64.30,67.33,1.66,2.53,"47,548","31,489",5.63,11.52
2019-08-05,立华股份,1300761,64.31,67.94,64.31,65.67,1.87,2.93,"55,749","36,910",5.69,13.51
2019-08-02,立华股份,1300761,63.31,64.80,62.10,63.80,-0.98,-1.51,"46,466","29,510",4.17,11.26
2019-08-01,立华股份,1300761,64.64,65.96,64.10,64.78,0.54,0.84,"39,902","25,916",2.90,9.67
2019-07-31,立华股份,1300761,63.43,66.95,62.87,64.24,0.34,0.53,"58,607","37,994",6.39,14.20
2019-07-30,立华股份,1300761,62.91,64.78,61.38,63.90,1.86,3.00,"67,590","42,718",5.48,16.37
2019-07-29,立华股份,1300761,56.61,62.04,56.20,62.04,5.64,10.00,"72,291","43,552",10.35,17.51
2019-07-26,立华股份,1300761,56.30,57.03,55.58,56.40,0.24,0.43,"27,161","15,359",2.58,6.58
2019-07-25,立华股份,1300761,54.80,56.79,54.68,56.16,1.60,2.93,"38,629","21,649",3.87,9.36
2019-07-24,立华股份,1300761,53.70,55.15,53.30,54.56,1.21,2.27,"20,824","11,301",3.47,5.04
2019-07-23,立华股份,1300761,52.78,53.45,52.55,53.35,0.74,1.41,"11,992","6,368",1.71,2.91
2019-07-22,立华股份,1300761,54.59,54.59,51.82,52.61,-2.09,-3.82,"18,241","9,654",5.06,4.42
2019-07-19,立华股份,1300761,54.38,55.24,54.20,54.70,0.47,0.87,"18,092","9,900",1.92,4.38
2019-07-18,立华股份,1300761,54.89,55.28,53.91,54.23,-0.72,-1.31,"24,891","13,571",2.49,6.03
2019-07-17,立华股份,1300761,52.71,55.45,52.37,54.95,2.18,4.13,"44,682","24,206",5.84,10.82
2019-07-16,立华股份,1300761,51.98,53.15,51.98,52.77,0.60,1.15,"23,267","12,292",2.24,5.64
2019-07-15,立华股份,1300761,51.29,52.45,50.61,52.17,0.82,1.60,"24,932","12,855",3.58,6.04
2019-07-12,立华股份,1300761,51.20,52.30,50.95,51.35,0.60,1.18,"23,692","12,209",2.66,5.74
2019-07-11,立华股份,1300761,51.23,51.68,50.29,50.75,-0.94,-1.82,"35,402","17,959",2.69,8.58
2019-07-10,立华股份,1300761,56.10,56.50,51.67,51.69,-5.72,-9.96,"74,883","40,073",8.41,18.14
2019-07-09,立华股份,1300761,58.16,58.88,57.00,57.41,-0.19,-0.33,"39,531","22,932",3.26,9.58
2019-07-08,立华股份,1300761,57.10,58.11,56.11,57.60,0.75,1.32,"42,431","24,313",3.52,10.28
2019-07-05,立华股份,1300761,55.08,56.90,55.08,56.85,1.48,2.67,"25,535","14,376",3.29,6.19
2019-07-04,立华股份,1300761,56.00,56.58,55.28,55.37,-0.79,-1.41,"16,178","9,026",2.31,3.92
2019-07-03,立华股份,1300761,55.70,56.94,55.31,56.16,0.23,0.41,"26,514","14,875",2.91,6.42
2019-07-02,立华股份,1300761,54.90,56.97,54.70,55.93,0.90,1.64,"33,020","18,516",4.13,8.00
2019-07-01,立华股份,1300761,54.20,55.62,53.85,55.03,1.44,2.69,"23,291","12,727",3.30,5.64
2019-03-29,立华股份,1300761,68.48,71.18,68.42,70.14,1.87,2.74,"53,279","37,306",4.04,12.91
2019-03-28,立华股份,1300761,69.17,70.30,68.27,68.27,-1.73,-2.47,"45,118","31,259",2.90,10.93
2019-03-27,立华股份,1300761,75.06,75.30,69.63,70.00,-4.62,-6.19,"83,847","59,944",7.60,20.31
2019-03-26,立华股份,1300761,73.19,75.66,73.19,74.62,1.97,2.71,"77,136","57,807",3.40,18.69
2019-03-25,立华股份,1300761,71.90,73.47,71.20,72.65,-1.32,-1.78,"39,400","28,599",3.07,9.54
2019-03-22,立华股份,1300761,74.65,74.99,73.20,73.97,-1.58,-2.09,"49,005","36,266",2.37,11.87
2019-03-21,立华股份,1300761,74.61,76.98,73.80,75.55,0.76,1.02,"68,300","51,275",4.25,16.55
2019-03-20,立华股份,1300761,77.00,77.20,73.00,74.79,-2.62,-3.38,"78,802","59,043",5.43,19.09
2019-03-19,立华股份,1300761,75.90,77.78,75.20,77.41,0.92,1.20,"63,837","48,966",3.37,15.46
2019-03-18,立华股份,1300761,76.58,76.97,73.18,76.49,1.31,1.74,"74,760","56,273",5.04,18.11
2019-03-15,立华股份,1300761,78.80,79.50,74.00,75.18,-3.45,-4.39,"99,276","76,007",6.99,24.05
2019-03-14,立华股份,1300761,82.60,82.60,78.63,78.63,-8.74,-10.00,"77,451","61,647",4.54,18.76
2019-03-13,立华股份,1300761,95.50,98.05,87.37,87.37,-9.71,-10.00,"119,322","109,209",11.00,28.91
2019-03-12,立华股份,1300761,88.00,99.17,88.00,97.08,6.93,7.69,"150,815","142,903",12.39,36.53
2019-03-11,立华股份,1300761,89.99,92.45,85.00,90.15,2.61,2.98,"91,032","81,398",8.51,22.05
2019-03-08,立华股份,1300761,84.00,91.68,83.00,87.54,-1.37,-1.54,"120,689","106,449",9.76,29.24
2019-03-07,立华股份,1300761,86.45,95.60,85.58,88.91,0.66,0.75,"144,776","129,283",11.35,35.07
2019-03-06,立华股份,1300761,86.40,90.25,85.88,88.25,0.47,0.54,"106,704","93,712",4.98,25.85
2019-03-05,立华股份,1300761,87.00,90.90,85.92,87.78,-3.50,-3.83,"128,572","113,268",5.46,31.15
2019-03-04,立华股份,1300761,90.98,93.68,86.68,91.28,5.39,6.28,"142,941","128,575",8.15,34.63
2019-03-01,立华股份,1300761,80.00,85.89,80.00,85.89,7.81,10.00,"154,854","128,431",7.54,37.51
2019-02-28,立华股份,1300761,78.00,80.94,76.20,78.08,3.48,4.66,"160,118","125,026",6.35,38.79
2019-02-27,立华股份,1300761,77.00,78.99,72.22,74.60,-0.28,-0.37,"211,641","159,081",9.04,51.27
2019-02-26,立华股份,1300761,73.50,74.88,69.51,74.88,6.81,10.00,"245,341","177,214",7.89,59.43
2019-02-25,立华股份,1300761,68.07,68.07,68.07,68.07,6.19,10.00,"4,353","2,963",0.00,1.05
2019-02-22,立华股份,1300761,61.88,61.88,61.88,61.88,5.63,10.01,"3,340","2,067",0.00,0.81
2019-02-21,立华股份,1300761,56.25,56.25,56.25,56.25,5.11,9.99,"1,138",640,0.00,0.28
2019-02-20,立华股份,1300761,51.14,51.14,51.14,51.14,4.65,10.00,552,282,0.00,0.13
2019-02-19,立华股份,1300761,46.49,46.49,46.49,46.49,4.23,10.01,240,111,0.00,0.06
2019-02-18,立华股份,1300761,35.22,42.26,35.22,42.26,12.91,43.99,435,184,23.99,0.11
2019-06-28,立华股份,1300761,54.30,54.40,53.51,53.59,-0.96,-1.76,"13,483","7,255",1.63,3.27
2019-06-27,立华股份,1300761,54.18,55.38,53.80,54.55,0.48,0.89,"20,979","11,407",2.92,5.08
2019-06-26,立华股份,1300761,53.31,54.35,53.30,54.07,0.21,0.39,"11,657","6,279",1.95,2.82
