日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-10-24,ST金正,1002470,9.00,9.28,8.81,9.15,0.10,1.11,"161,728","14,740",5.19,0.51
2017-10-23,ST金正,1002470,8.98,9.08,8.93,9.05,0.02,0.22,"79,825","7,189",1.66,0.25
2017-10-20,ST金正,1002470,8.96,9.12,8.81,9.03,0.01,0.11,"112,180","10,082",3.44,0.36
2017-10-19,ST金正,1002470,8.54,9.17,8.53,9.02,0.41,4.76,"234,509","20,889",7.43,0.74
2017-10-18,ST金正,1002470,8.63,8.65,8.52,8.61,-0.01,-0.12,"98,260","8,454",1.51,0.31
2017-10-17,ST金正,1002470,8.65,8.68,8.52,8.62,-0.01,-0.12,"69,195","5,947",1.85,0.22
2017-10-16,ST金正,1002470,8.45,8.66,8.43,8.63,0.18,2.13,"151,026","13,008",2.72,0.48
2017-10-13,ST金正,1002470,8.49,8.55,8.43,8.45,-0.04,-0.47,"67,773","5,749",1.41,0.22
2017-10-12,ST金正,1002470,8.37,8.53,8.32,8.49,0.10,1.19,"127,461","10,788",2.50,0.40
2017-10-11,ST金正,1002470,8.24,8.39,8.22,8.39,0.14,1.70,"142,839","11,887",2.06,0.45
2017-10-10,ST金正,1002470,8.22,8.25,8.16,8.25,0.04,0.49,"56,034","4,607",1.10,0.18
2017-10-09,ST金正,1002470,8.10,8.23,8.08,8.21,0.16,1.99,"102,371","8,391",1.86,0.33
2017-03-31,ST金正,1002470,7.17,7.24,7.14,7.22,0.04,0.56,"101,025","7,263",1.39,0.32
2017-03-30,ST金正,1002470,7.25,7.25,7.10,7.18,-0.08,-1.10,"194,354","13,882",2.07,0.62
2017-03-29,ST金正,1002470,7.33,7.36,7.22,7.26,-0.08,-1.09,"116,290","8,452",1.91,0.37
2017-03-28,ST金正,1002470,7.35,7.38,7.32,7.34,0.02,0.27,"105,081","7,730",0.82,0.33
2017-03-27,ST金正,1002470,7.36,7.43,7.31,7.32,-0.08,-1.08,"138,477","10,206",1.62,0.44
2017-03-24,ST金正,1002470,7.32,7.40,7.30,7.40,0.09,1.23,"102,543","7,539",1.37,0.33
2017-03-23,ST金正,1002470,7.29,7.39,7.27,7.31,0.02,0.27,"120,289","8,825",1.65,0.38
2017-03-22,ST金正,1002470,7.35,7.37,7.28,7.29,-0.08,-1.09,"161,365","11,794",1.22,0.51
2017-03-21,ST金正,1002470,7.43,7.43,7.35,7.37,-0.05,-0.67,"134,036","9,881",1.08,0.43
2017-03-20,ST金正,1002470,7.44,7.46,7.36,7.42,-0.03,-0.40,"148,464","10,991",1.34,0.47
2017-03-17,ST金正,1002470,7.54,7.55,7.43,7.45,-0.08,-1.06,"117,638","8,824",1.59,0.37
2017-03-16,ST金正,1002470,7.50,7.54,7.49,7.53,0.03,0.40,"133,365","10,013",0.67,0.42
2017-03-15,ST金正,1002470,7.50,7.57,7.45,7.50,-0.03,-0.40,"89,440","6,704",1.59,0.28
2017-03-14,ST金正,1002470,7.46,7.57,7.46,7.53,0.07,0.94,"141,709","10,682",1.47,0.45
2017-03-13,ST金正,1002470,7.41,7.48,7.39,7.46,0.01,0.13,"81,214","6,046",1.21,0.26
2017-03-10,ST金正,1002470,7.45,7.46,7.40,7.45,-0.01,-0.13,"99,662","7,406",0.80,0.32
2017-03-09,ST金正,1002470,7.57,7.59,7.42,7.46,-0.10,-1.32,"150,692","11,267",2.25,0.48
2017-03-08,ST金正,1002470,7.60,7.63,7.55,7.56,-0.05,-0.66,"92,475","7,016",1.05,0.29
2017-03-07,ST金正,1002470,7.63,7.66,7.56,7.61,-0.01,-0.13,"122,397","9,307",1.31,0.39
2017-03-06,ST金正,1002470,7.60,7.63,7.55,7.62,0.03,0.40,"124,810","9,480",1.05,0.40
2017-03-03,ST金正,1002470,7.53,7.62,7.51,7.59,0.02,0.26,"117,278","8,874",1.45,0.37
2017-03-02,ST金正,1002470,7.67,7.68,7.55,7.57,-0.06,-0.79,"145,300","11,041",1.70,0.46
2017-03-01,ST金正,1002470,7.66,7.73,7.61,7.63,-0.08,-1.04,"176,671","13,550",1.56,0.56
2017-02-28,ST金正,1002470,7.71,7.76,7.52,7.71,-0.03,-0.39,"303,013","23,107",3.10,0.96
2017-02-27,ST金正,1002470,7.94,7.94,7.70,7.74,-0.21,-2.64,"181,608","14,184",3.02,0.58
2017-02-24,ST金正,1002470,7.93,8.04,7.84,7.95,0.01,0.13,"166,002","13,154",2.52,0.53
2017-02-23,ST金正,1002470,7.85,7.96,7.81,7.94,0.05,0.63,"194,552","15,319",1.90,0.62
2017-02-22,ST金正,1002470,7.83,7.97,7.77,7.89,0.06,0.77,"232,996","18,376",2.55,0.74
2017-02-21,ST金正,1002470,7.77,7.83,7.70,7.83,0.07,0.90,"174,237","13,549",1.68,0.55
2017-02-20,ST金正,1002470,7.59,7.79,7.59,7.76,0.17,2.24,"190,074","14,648",2.64,0.61
2017-02-17,ST金正,1002470,7.64,7.65,7.57,7.59,-0.05,-0.65,"116,975","8,889",1.05,0.37
2017-02-16,ST金正,1002470,7.62,7.69,7.59,7.64,0.00,0.00,"150,942","11,512",1.31,0.48
2017-02-15,ST金正,1002470,7.54,7.70,7.51,7.64,0.11,1.46,"289,179","22,066",2.52,0.92
2017-02-14,ST金正,1002470,7.57,7.59,7.49,7.53,-0.03,-0.40,"137,286","10,330",1.32,0.44
2017-02-13,ST金正,1002470,7.49,7.56,7.47,7.56,0.06,0.80,"220,360","16,572",1.20,0.70
2017-02-10,ST金正,1002470,7.46,7.52,7.44,7.50,0.04,0.54,"168,357","12,565",1.07,0.54
2017-02-09,ST金正,1002470,7.46,7.47,7.41,7.46,0.00,0.00,"160,352","11,938",0.80,0.51
2017-02-08,ST金正,1002470,7.49,7.50,7.37,7.46,-0.03,-0.40,"164,080","12,170",1.74,0.52
2017-02-07,ST金正,1002470,7.52,7.53,7.44,7.49,-0.03,-0.40,"92,147","6,896",1.20,0.29
2017-02-06,ST金正,1002470,7.43,7.56,7.43,7.52,0.10,1.35,"143,613","10,750",1.75,0.46
2017-02-03,ST金正,1002470,7.47,7.49,7.38,7.42,-0.05,-0.67,"57,459","4,265",1.47,0.18
2017-01-26,ST金正,1002470,7.46,7.56,7.43,7.47,-0.01,-0.13,"70,898","5,314",1.74,0.23
2017-01-25,ST金正,1002470,7.46,7.51,7.43,7.48,-0.02,-0.27,"44,804","3,346",1.07,0.14
2017-01-24,ST金正,1002470,7.47,7.52,7.43,7.50,0.05,0.67,"110,996","8,304",1.21,0.35
2017-01-23,ST金正,1002470,7.39,7.54,7.38,7.45,0.06,0.81,"89,690","6,698",2.17,0.29
2017-01-20,ST金正,1002470,7.31,7.43,7.30,7.39,0.06,0.82,"61,737","4,563",1.77,0.20
2017-01-19,ST金正,1002470,7.36,7.36,7.27,7.33,-0.02,-0.27,"59,425","4,342",1.22,0.19
2017-01-18,ST金正,1002470,7.37,7.37,7.31,7.35,0.02,0.27,"42,831","3,143",0.82,0.14
2017-01-17,ST金正,1002470,7.30,7.39,7.25,7.33,0.02,0.27,"91,698","6,716",1.92,0.29
2017-01-16,ST金正,1002470,7.55,7.56,6.94,7.31,-0.22,-2.92,"166,605","12,222",8.23,0.53
2017-01-13,ST金正,1002470,7.53,7.58,7.51,7.53,-0.01,-0.13,"100,326","7,569",0.93,0.32
2017-01-12,ST金正,1002470,7.80,7.81,7.51,7.54,-0.27,-3.46,"252,523","19,260",3.84,0.80
2017-01-11,ST金正,1002470,7.92,7.93,7.78,7.81,-0.10,-1.26,"135,705","10,652",1.90,0.43
2017-01-10,ST金正,1002470,7.94,7.99,7.86,7.91,-0.02,-0.25,"127,973","10,136",1.64,0.41
2017-01-09,ST金正,1002470,7.88,7.99,7.86,7.93,0.04,0.51,"145,636","11,521",1.65,0.46
2017-01-06,ST金正,1002470,7.96,7.99,7.86,7.89,-0.08,-1.00,"164,046","12,986",1.63,0.52
2017-01-05,ST金正,1002470,8.05,8.05,7.95,7.97,-0.09,-1.12,"146,796","11,725",1.24,0.47
2017-01-04,ST金正,1002470,7.91,8.07,7.89,8.06,0.17,2.15,"239,059","19,067",2.28,0.76
2017-01-03,ST金正,1002470,7.91,8.01,7.86,7.89,-0.01,-0.13,"181,162","14,371",1.90,0.58
2017-06-30,ST金正,1002470,7.40,7.53,7.38,7.53,0.09,1.21,"107,590","8,070",2.02,0.34
2017-06-29,ST金正,1002470,7.37,7.45,7.32,7.44,0.09,1.22,"76,908","5,692",1.77,0.24
2017-06-28,ST金正,1002470,7.49,7.49,7.33,7.35,-0.14,-1.87,"84,322","6,240",2.14,0.27
2017-06-27,ST金正,1002470,7.51,7.59,7.48,7.49,-0.02,-0.27,"101,918","7,661",1.46,0.32
2017-06-26,ST金正,1002470,7.47,7.55,7.44,7.51,0.08,1.08,"176,636","13,261",1.48,0.56
2017-06-23,ST金正,1002470,7.37,7.46,7.33,7.43,0.03,0.41,"86,945","6,415",1.76,0.28
