日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,三棵树,0603737,64.82,64.82,63.38,64.13,-0.69,-1.06,"2,775","1,779",2.22,0.92
2017-06-29,三棵树,0603737,64.58,65.38,64.10,64.82,0.23,0.36,"3,884","2,522",1.98,1.29
2017-06-28,三棵树,0603737,65.00,65.03,64.20,64.59,-0.46,-0.71,"1,491",964,1.28,0.49
2017-06-27,三棵树,0603737,65.40,65.40,64.09,65.05,-0.40,-0.61,"5,116","3,314",2.00,1.69
2017-06-26,三棵树,0603737,63.36,65.52,63.36,65.45,0.73,1.13,"5,873","3,788",3.34,1.94
2017-06-23,三棵树,0603737,63.81,65.01,62.28,64.72,0.26,0.40,"5,937","3,771",4.24,1.96
2017-06-22,三棵树,0603737,64.95,64.97,64.10,64.46,-0.19,-0.29,"2,548","1,642",1.35,0.84
2017-06-21,三棵树,0603737,64.72,64.95,64.01,64.65,0.46,0.72,"2,858","1,842",1.46,0.95
2017-06-20,三棵树,0603737,64.27,64.50,63.81,64.19,-0.08,-0.12,"2,632","1,688",1.07,0.87
2017-06-19,三棵树,0603737,64.00,64.30,63.57,64.27,0.25,0.39,"2,722","1,740",1.14,0.90
2017-06-16,三棵树,0603737,64.80,65.00,63.80,64.02,-0.98,-1.51,"2,728","1,749",1.85,0.90
2017-06-15,三棵树,0603737,64.46,66.10,63.63,65.00,0.86,1.34,"6,770","4,422",3.85,2.24
2017-06-14,三棵树,0603737,65.30,65.30,64.00,64.14,-0.86,-1.32,"3,988","2,562",2.00,1.32
2017-06-13,三棵树,0603737,64.41,65.20,64.01,65.00,0.73,1.14,"6,216","4,024",1.85,2.06
2017-06-12,三棵树,0603737,64.33,64.60,63.21,64.27,-0.39,-0.60,"6,121","3,910",2.15,2.03
2017-06-09,三棵树,0603737,64.70,64.70,63.50,64.66,-0.35,-0.54,"6,484","4,147",1.85,2.15
2017-06-08,三棵树,0603737,66.60,66.61,64.20,65.01,-1.60,-2.40,"10,450","6,795",3.62,3.46
2017-06-07,三棵树,0603737,65.88,67.78,65.40,67.01,1.34,2.04,"14,901","9,988",3.62,4.93
2017-06-06,三棵树,0603737,66.75,67.33,65.00,65.67,-1.08,-1.62,"3,130","2,068",3.49,1.04
2017-06-05,三棵树,0603737,66.11,67.56,65.35,66.75,0.66,1.00,"3,448","2,300",3.34,1.14
2017-06-02,三棵树,0603737,64.00,66.98,64.00,66.09,0.09,0.14,"4,223","2,770",4.52,1.69
2017-06-01,三棵树,0603737,65.00,66.26,63.12,66.00,0.99,1.52,"9,698","6,341",4.83,3.88
2017-05-31,三棵树,0603737,69.03,69.29,64.71,65.01,-2.42,-3.59,"8,190","5,415",6.79,3.28
2017-05-26,三棵树,0603737,63.20,68.50,63.19,67.43,3.73,5.86,"5,570","3,662",8.34,2.23
2017-05-25,三棵树,0603737,64.28,64.40,62.76,63.70,0.13,0.20,"1,889","1,200",2.58,0.76
2017-05-24,三棵树,0603737,61.73,63.87,61.29,63.57,1.19,1.91,"2,796","1,760",4.14,1.12
2017-05-23,三棵树,0603737,64.80,65.00,62.01,62.38,-2.67,-4.10,"4,635","2,939",4.60,1.85
2017-05-22,三棵树,0603737,65.50,65.87,63.91,65.05,-0.55,-0.84,"4,783","3,110",2.99,1.91
2017-05-19,三棵树,0603737,65.48,65.98,65.30,65.60,0.12,0.18,"1,461",958,1.04,0.58
2017-05-18,三棵树,0603737,66.28,66.44,65.45,65.48,-0.96,-1.44,"2,245","1,475",1.49,0.90
2017-05-17,三棵树,0603737,67.64,68.28,66.31,66.44,-1.20,-1.77,"4,635","3,111",2.91,1.85
2017-05-16,三棵树,0603737,66.01,67.88,64.85,67.64,1.63,2.47,"3,822","2,549",4.59,1.53
2017-05-15,三棵树,0603737,66.05,66.65,65.35,66.01,-0.04,-0.06,"3,871","2,553",1.97,1.55
2017-05-12,三棵树,0603737,64.88,66.08,64.30,66.05,1.37,2.12,"3,596","2,354",2.75,1.44
2017-05-11,三棵树,0603737,64.00,65.40,63.96,64.68,0.00,0.00,"4,640","3,003",2.23,1.86
2017-05-10,三棵树,0603737,64.20,64.95,63.65,64.68,0.17,0.26,"2,737","1,762",2.02,1.09
