日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,东方材料,0603110,27.01,27.20,26.17,26.47,-0.80,-2.93,"27,115","7,236",3.78,10.56
2017-12-28,东方材料,0603110,26.09,27.58,26.07,27.27,0.95,3.61,"44,808","12,075",5.74,17.46
2017-12-27,东方材料,0603110,26.53,27.31,26.24,26.32,-0.52,-1.94,"34,596","9,256",3.99,13.48
2017-12-26,东方材料,0603110,25.66,27.50,25.60,26.84,0.87,3.35,"50,179","13,421",7.32,19.55
2017-12-25,东方材料,0603110,25.00,26.26,24.70,25.97,0.72,2.85,"35,551","9,077",6.18,13.85
2017-12-22,东方材料,0603110,24.50,27.00,24.50,25.25,0.64,2.60,"34,878","8,934",10.16,13.59
2017-12-21,东方材料,0603110,24.30,24.99,23.80,24.61,0.25,1.03,"20,254","4,968",4.89,7.89
2017-12-20,东方材料,0603110,24.80,24.90,24.06,24.36,-0.58,-2.33,"14,044","3,427",3.37,5.47
2017-12-19,东方材料,0603110,24.36,25.12,24.22,24.94,0.64,2.63,"21,498","5,323",3.70,8.38
2017-12-18,东方材料,0603110,24.48,24.48,23.73,24.30,-0.01,-0.04,"13,642","3,302",3.09,5.31
2017-12-15,东方材料,0603110,24.82,24.82,24.11,24.31,-0.57,-2.29,"15,305","3,740",2.85,5.96
2017-12-14,东方材料,0603110,24.64,24.95,24.12,24.88,0.22,0.89,"16,820","4,136",3.37,6.55
2017-12-13,东方材料,0603110,23.99,24.83,23.99,24.66,0.45,1.86,"14,019","3,447",3.47,5.46
2017-12-12,东方材料,0603110,25.40,25.40,24.16,24.21,-1.29,-5.06,"24,220","5,963",4.86,9.44
2017-12-11,东方材料,0603110,25.33,25.66,25.00,25.50,0.14,0.55,"19,512","4,947",2.60,7.60
2017-12-08,东方材料,0603110,24.58,26.30,24.56,25.36,0.74,3.01,"28,113","7,178",7.07,10.95
2017-12-07,东方材料,0603110,24.93,25.47,24.50,24.62,-0.50,-1.99,"18,798","4,704",3.86,7.32
2017-12-06,东方材料,0603110,24.30,25.25,24.12,25.12,1.03,4.28,"24,722","6,107",4.69,9.63
2017-12-05,东方材料,0603110,24.50,25.16,23.36,24.09,-1.09,-4.33,"28,294","6,859",7.15,11.02
2017-12-04,东方材料,0603110,27.50,27.56,25.18,25.18,-2.80,-10.01,"38,677","10,022",8.51,15.07
2017-12-01,东方材料,0603110,28.00,28.20,27.72,27.98,-0.41,-1.44,"22,592","6,318",1.69,8.80
2017-11-30,东方材料,0603110,28.16,28.67,27.75,28.39,0.36,1.28,"36,027","10,153",3.28,14.04
2017-11-29,东方材料,0603110,28.20,28.40,27.19,28.03,-0.42,-1.48,"40,465","11,270",4.25,15.77
2017-11-28,东方材料,0603110,26.35,28.45,26.35,28.45,2.59,10.02,"45,729","12,708",8.12,17.82
2017-11-27,东方材料,0603110,26.00,26.47,25.75,25.86,-0.22,-0.84,"15,324","4,000",2.76,5.97
2017-11-24,东方材料,0603110,26.40,26.97,25.80,26.08,-0.72,-2.69,"17,859","4,741",4.37,6.96
2017-11-23,东方材料,0603110,27.50,28.10,26.60,26.80,-1.08,-3.87,"19,580","5,389",5.38,7.63
2017-11-22,东方材料,0603110,28.00,28.29,27.51,27.88,-0.49,-1.73,"21,149","5,901",2.75,8.24
2017-11-21,东方材料,0603110,28.51,28.70,27.40,28.37,0.20,0.71,"28,039","7,890",4.61,10.92
2017-11-20,东方材料,0603110,27.70,28.39,27.07,28.17,0.55,1.99,"26,665","7,441",4.78,10.39
2017-11-17,东方材料,0603110,30.06,30.39,27.45,27.62,-2.78,-9.14,"44,325","12,760",9.67,17.27
2017-11-16,东方材料,0603110,31.26,31.98,30.30,30.40,-1.22,-3.86,"32,658","10,216",5.31,12.72
2017-11-15,东方材料,0603110,33.51,33.51,31.18,31.62,-2.27,-6.70,"49,112","15,731",6.88,19.13
2017-11-14,东方材料,0603110,34.80,35.00,33.60,33.89,-1.38,-3.91,"52,573","17,943",3.97,20.48
2017-11-13,东方材料,0603110,34.29,35.94,34.29,35.27,0.67,1.94,"62,746","22,128",4.77,24.45
2017-11-10,东方材料,0603110,35.01,36.48,34.50,34.60,-1.19,-3.33,"81,205","28,713",5.53,31.64
2017-11-09,东方材料,0603110,33.90,37.16,33.50,35.79,0.94,2.70,"121,402","42,383",10.50,47.30
2017-11-08,东方材料,0603110,31.90,34.85,31.84,34.85,3.17,10.01,"85,208","28,808",9.50,33.20
2017-11-07,东方材料,0603110,32.08,32.08,31.16,31.68,-0.72,-2.22,"45,933","14,457",2.84,17.90
2017-11-06,东方材料,0603110,32.60,33.32,32.17,32.40,0.26,0.81,"51,307","16,799",3.58,19.99
2017-11-03,东方材料,0603110,32.01,33.24,31.70,32.14,-0.29,-0.89,"52,845","17,166",4.75,20.59
2017-11-02,东方材料,0603110,31.54,32.75,30.81,32.43,0.29,0.90,"59,093","18,806",6.04,23.02
2017-11-01,东方材料,0603110,32.01,33.21,31.91,32.14,-0.19,-0.59,"59,341","19,254",4.02,23.12
2017-10-31,东方材料,0603110,30.99,32.89,30.81,32.33,0.87,2.77,"73,048","23,485",6.61,28.46
2017-10-30,东方材料,0603110,33.50,33.67,31.15,31.46,-3.14,-9.08,"90,764","29,213",7.28,35.36
2017-10-27,东方材料,0603110,37.80,37.80,34.50,34.60,-3.58,-9.38,"122,103","43,697",8.64,47.57
2017-10-26,东方材料,0603110,39.00,39.39,37.65,38.18,-2.09,-5.19,"151,782","58,386",4.32,59.14
2017-10-25,东方材料,0603110,37.50,40.27,37.18,40.27,3.66,10.00,"130,316","51,257",8.44,50.77
2017-10-24,东方材料,0603110,36.61,36.61,36.61,36.61,3.33,10.01,"6,026","2,206",0.00,2.35
2017-10-23,东方材料,0603110,33.28,33.28,33.28,33.28,3.03,10.02,"4,012","1,335",0.00,1.56
2017-10-20,东方材料,0603110,30.25,30.25,30.25,30.25,2.75,10.00,365,110,0.00,0.14
2017-10-19,东方材料,0603110,27.50,27.50,27.50,27.50,2.50,10.00,156,43,0.00,0.06
2017-10-18,东方材料,0603110,25.00,25.00,25.00,25.00,2.27,9.99,87,22,0.00,0.03
2017-10-17,东方材料,0603110,22.73,22.73,22.73,22.73,2.07,10.02,30,7,0.00,0.01
2017-10-16,东方材料,0603110,20.66,20.66,20.66,20.66,1.88,10.01,60,12,0.00,0.02
2017-10-13,东方材料,0603110,15.65,18.78,15.65,18.78,5.74,44.02,136,25,24.00,0.05
2018-09-28,东方材料,0603110,11.98,12.19,11.96,12.08,0.16,1.34,"9,256","1,119",1.93,2.58
2018-09-27,东方材料,0603110,12.46,12.46,11.92,11.92,-0.54,-4.33,"13,341","1,626",4.33,3.71
2018-09-26,东方材料,0603110,12.52,12.63,12.35,12.46,-0.11,-0.88,"8,373","1,047",2.23,2.33
2018-09-25,东方材料,0603110,12.38,12.57,12.21,12.57,0.18,1.45,"10,927","1,359",2.91,3.04
2018-09-21,东方材料,0603110,12.31,12.44,12.16,12.39,0.13,1.06,"10,988","1,355",2.28,3.06
2018-09-20,东方材料,0603110,12.23,12.55,12.16,12.26,-0.01,-0.08,"10,468","1,293",3.18,2.91
2018-09-19,东方材料,0603110,12.15,12.39,11.99,12.27,0.05,0.41,"13,005","1,588",3.27,3.62
2018-09-18,东方材料,0603110,12.11,12.28,11.78,12.22,0.16,1.33,"10,128","1,228",4.15,2.82
2018-09-17,东方材料,0603110,12.54,12.54,12.00,12.06,-0.48,-3.83,"10,962","1,334",4.31,3.05
2018-09-14,东方材料,0603110,13.03,13.05,12.51,12.54,-0.50,-3.83,"14,719","1,882",4.14,4.10
2018-09-13,东方材料,0603110,13.18,13.26,12.77,13.04,-0.06,-0.46,"13,171","1,712",3.74,3.67
2018-09-12,东方材料,0603110,13.05,13.36,12.90,13.10,-0.34,-2.53,"19,331","2,531",3.42,5.38
2018-09-11,东方材料,0603110,14.00,14.08,13.31,13.44,-0.05,-0.37,"26,223","3,574",5.71,7.30
2018-09-10,东方材料,0603110,13.30,14.20,13.03,13.49,0.20,1.50,"33,431","4,522",8.80,9.30
2018-09-07,东方材料,0603110,12.75,13.36,12.72,13.29,0.54,4.24,"18,101","2,359",5.02,5.04
2018-09-06,东方材料,0603110,12.61,12.88,12.60,12.75,0.15,1.19,"9,903","1,265",2.22,2.76
2018-09-05,东方材料,0603110,12.86,13.05,12.58,12.60,-0.30,-2.33,"11,839","1,518",3.64,3.29
2018-09-04,东方材料,0603110,12.77,12.95,12.67,12.90,0.07,0.55,"9,953","1,280",2.18,2.77
2018-09-03,东方材料,0603110,13.19,13.35,12.43,12.83,-0.36,-2.73,"14,692","1,866",6.98,4.09
2018-08-31,东方材料,0603110,13.50,13.69,13.12,13.19,-0.25,-1.86,"8,486","1,140",4.24,2.36
2018-08-30,东方材料,0603110,13.93,13.93,13.41,13.44,-0.52,-3.72,"12,013","1,638",3.72,3.34
2018-08-29,东方材料,0603110,13.82,14.09,13.67,13.96,-0.01,-0.07,"11,131","1,544",3.01,3.10
2018-08-28,东方材料,0603110,13.71,14.17,13.71,13.97,0.19,1.38,"13,295","1,860",3.34,3.70
2018-08-27,东方材料,0603110,13.47,13.85,13.47,13.78,0.34,2.53,"12,160","1,670",2.83,3.38
2018-08-24,东方材料,0603110,13.61,13.69,13.40,13.44,-0.30,-2.18,"9,092","1,230",2.11,2.53
2018-08-23,东方材料,0603110,13.70,13.77,13.50,13.74,0.24,1.78,"10,841","1,481",2.00,3.02
2018-08-22,东方材料,0603110,13.63,13.96,13.50,13.50,-0.35,-2.53,"6,746",923,3.32,1.88
2018-08-21,东方材料,0603110,13.80,14.05,13.50,13.85,0.02,0.14,"8,982","1,241",3.98,2.50
2018-08-20,东方材料,0603110,13.42,13.89,13.37,13.83,0.12,0.88,"9,140","1,248",3.79,2.54
2018-08-17,东方材料,0603110,14.25,14.54,13.70,13.71,-0.46,-3.25,"11,723","1,643",5.93,3.26
2018-08-16,东方材料,0603110,14.06,14.42,13.79,14.17,-0.09,-0.63,"9,965","1,411",4.42,2.77
2018-08-15,东方材料,0603110,14.70,14.94,14.20,14.26,-0.54,-3.65,"11,913","1,725",5.00,3.32
2018-08-14,东方材料,0603110,14.68,14.99,14.60,14.80,0.02,0.14,"10,289","1,521",2.64,2.86
2018-08-13,东方材料,0603110,14.43,14.84,14.41,14.78,0.03,0.20,"12,187","1,778",2.92,3.39
2018-08-10,东方材料,0603110,14.66,14.83,14.46,14.75,0.10,0.68,"13,189","1,930",2.53,3.67
2018-08-09,东方材料,0603110,14.10,14.90,14.10,14.65,0.35,2.45,"17,467","2,559",5.59,4.86
2018-08-08,东方材料,0603110,14.40,14.74,14.25,14.30,-0.13,-0.90,"13,110","1,899",3.40,3.65
2018-08-07,东方材料,0603110,13.99,14.48,13.90,14.43,0.49,3.52,"11,840","1,689",4.16,3.29
2018-08-06,东方材料,0603110,14.45,14.63,13.81,13.94,-0.70,-4.78,"13,396","1,899",5.60,3.73
2018-08-03,东方材料,0603110,14.90,14.90,14.53,14.64,-0.14,-0.95,"8,945","1,320",2.50,2.49
2018-08-02,东方材料,0603110,14.71,15.11,14.16,14.78,-0.39,-2.57,"17,109","2,512",6.26,4.76
2018-08-01,东方材料,0603110,15.71,15.93,15.13,15.17,-0.56,-3.56,"12,841","2,001",5.09,3.57
2018-07-31,东方材料,0603110,15.58,15.88,15.55,15.73,0.15,0.96,"10,131","1,595",2.12,2.82
2018-07-30,东方材料,0603110,16.25,16.37,15.48,15.58,-0.83,-5.06,"16,777","2,663",5.42,4.67
2018-07-27,东方材料,0603110,16.27,16.54,16.09,16.41,0.15,0.92,"13,600","2,224",2.77,3.78
2018-07-26,东方材料,0603110,16.46,16.50,16.13,16.26,-0.33,-1.99,"18,714","3,042",2.23,5.21
2018-07-25,东方材料,0603110,16.86,17.06,16.41,16.59,-0.33,-1.95,"18,822","3,153",3.84,5.24
2018-07-24,东方材料,0603110,16.94,17.10,16.53,16.92,-0.20,-1.17,"26,516","4,474",3.33,7.38
2018-07-23,东方材料,0603110,16.44,17.19,16.23,17.12,0.49,2.95,"28,480","4,789",5.77,7.93
2018-07-20,东方材料,0603110,16.85,17.00,16.22,16.63,-0.05,-0.30,"26,708","4,456",4.68,7.43
2018-07-19,东方材料,0603110,17.06,17.35,16.50,16.68,-0.74,-4.25,"45,064","7,592",4.88,12.54
2018-07-18,东方材料,0603110,16.58,17.95,16.54,17.42,0.52,3.08,"70,497","12,176",8.34,19.62
2018-07-17,东方材料,0603110,16.04,17.64,15.90,16.90,0.86,5.36,"56,701","9,600",10.85,15.78
