日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,中广核技,1000881,25.30,25.54,25.22,25.40,0.03,0.12,"20,800","5,272",1.26,0.68
2017-03-30,中广核技,1000881,26.01,26.01,25.17,25.37,-0.58,-2.24,"40,688","10,337",3.24,1.32
2017-03-29,中广核技,1000881,25.86,26.36,25.86,25.95,0.06,0.23,"19,683","5,134",1.93,0.64
2017-03-28,中广核技,1000881,25.98,25.99,25.65,25.89,-0.09,-0.35,"18,998","4,893",1.31,0.62
2017-03-27,中广核技,1000881,26.20,26.47,25.90,25.98,-0.24,-0.92,"21,455","5,591",2.17,0.70
2017-03-24,中广核技,1000881,26.38,26.38,25.86,26.22,-0.16,-0.61,"32,945","8,588",1.97,1.07
2017-03-23,中广核技,1000881,25.97,26.56,25.81,26.38,0.39,1.50,"28,535","7,465",2.89,0.93
2017-03-22,中广核技,1000881,26.35,26.35,25.80,25.99,-0.40,-1.52,"34,730","9,038",2.08,1.13
2017-03-21,中广核技,1000881,26.80,27.00,26.20,26.39,-0.53,-1.97,"32,304","8,550",2.97,1.05
2017-03-20,中广核技,1000881,26.63,27.29,26.63,26.92,0.13,0.49,"28,114","7,604",2.46,0.91
2017-03-17,中广核技,1000881,27.21,27.60,26.57,26.79,-0.51,-1.87,"40,975","11,103",3.77,1.33
2017-03-16,中广核技,1000881,26.57,27.46,26.57,27.30,0.66,2.48,"42,674","11,621",3.34,1.39
2017-03-15,中广核技,1000881,26.65,26.80,26.50,26.64,0.11,0.41,"21,410","5,700",1.13,0.70
2017-03-14,中广核技,1000881,26.80,26.90,26.30,26.53,-0.18,-0.67,"35,647","9,459",2.25,1.16
2017-03-13,中广核技,1000881,26.54,26.85,26.29,26.71,-0.05,-0.19,"27,830","7,410",2.09,0.90
2017-03-10,中广核技,1000881,26.78,26.94,26.37,26.76,-0.04,-0.15,"36,322","9,675",2.13,1.18
2017-03-09,中广核技,1000881,27.19,27.25,26.70,26.80,-0.38,-1.40,"31,074","8,355",2.02,1.01
2017-03-08,中广核技,1000881,27.68,27.68,27.04,27.18,-0.61,-2.20,"56,158","15,308",2.30,1.82
2017-03-07,中广核技,1000881,27.76,28.13,27.41,27.79,0.05,0.18,"63,450","17,584",2.60,2.06
2017-03-06,中广核技,1000881,27.90,28.20,27.30,27.74,0.24,0.87,"80,436","22,329",3.27,2.61
2017-03-03,中广核技,1000881,28.05,28.25,27.19,27.50,-0.86,-3.03,"110,641","30,523",3.74,3.59
2017-03-02,中广核技,1000881,28.80,29.75,27.50,28.36,0.33,1.18,"303,794","87,128",8.03,9.86
2017-03-01,中广核技,1000881,25.21,28.03,25.20,28.03,2.55,10.01,"231,405","63,890",11.11,7.51
2017-02-28,中广核技,1000881,26.59,26.59,25.19,25.48,-0.80,-3.04,"81,297","20,755",5.33,2.64
2017-02-27,中广核技,1000881,27.98,27.98,26.20,26.28,-1.13,-4.12,"87,632","23,812",6.49,2.84
2017-02-24,中广核技,1000881,26.48,27.73,26.40,27.41,0.91,3.43,"72,557","19,741",5.02,2.36
2017-02-23,中广核技,1000881,26.19,26.72,25.77,26.50,0.49,1.88,"49,575","13,024",3.65,1.61
2017-02-22,中广核技,1000881,26.90,26.95,25.89,26.01,-0.79,-2.95,"38,707","10,164",3.96,1.26
2017-02-21,中广核技,1000881,26.85,27.05,26.66,26.80,-0.05,-0.19,"27,750","7,458",1.45,0.90
2017-02-20,中广核技,1000881,26.58,27.05,26.22,26.85,0.27,1.02,"29,774","7,985",3.12,0.97
2017-02-17,中广核技,1000881,26.32,26.88,25.88,26.58,0.26,0.99,"27,827","7,319",3.80,0.90
2017-02-16,中广核技,1000881,25.70,26.47,25.58,26.32,0.66,2.57,"27,482","7,158",3.47,0.89
2017-02-15,中广核技,1000881,25.88,25.88,25.55,25.66,-0.22,-0.85,"11,409","2,929",1.28,0.37
2017-02-14,中广核技,1000881,26.00,26.26,25.70,25.88,0.03,0.12,"8,835","2,289",2.17,0.29
2017-02-13,中广核技,1000881,25.36,26.12,25.36,25.85,0.30,1.17,"15,847","4,097",2.97,0.51
2017-02-10,中广核技,1000881,25.88,26.04,25.45,25.55,-0.41,-1.58,"23,045","5,908",2.27,0.75
2017-02-09,中广核技,1000881,26.02,26.20,25.91,25.96,-0.19,-0.73,"15,496","4,033",1.11,0.50
2017-02-08,中广核技,1000881,26.24,26.24,25.77,26.15,-0.08,-0.31,"11,822","3,071",1.79,0.38
2017-02-07,中广核技,1000881,26.25,26.29,25.83,26.23,-0.02,-0.08,"12,862","3,352",1.75,0.42
2017-02-06,中广核技,1000881,26.20,26.29,26.00,26.25,0.03,0.11,"10,661","2,793",1.11,0.35
2017-02-03,中广核技,1000881,26.20,26.28,25.70,26.22,0.02,0.08,"9,776","2,537",2.21,0.32
2017-01-26,中广核技,1000881,25.90,26.29,25.70,26.20,0.03,0.11,"17,350","4,507",2.25,0.56
2017-01-25,中广核技,1000881,26.45,26.45,25.80,26.17,0.02,0.08,"14,170","3,710",2.49,0.46
2017-01-24,中广核技,1000881,25.53,26.51,25.52,26.15,0.77,3.03,"31,900","8,376",3.90,1.04
2017-01-23,中广核技,1000881,25.50,25.60,25.28,25.38,-0.19,-0.74,"16,600","4,222",1.25,0.54
2017-01-20,中广核技,1000881,24.78,25.78,24.56,25.57,0.84,3.40,"23,535","5,934",4.93,0.76
2017-01-19,中广核技,1000881,24.91,24.91,24.26,24.73,-0.03,-0.12,"21,519","5,290",2.63,0.70
2017-01-18,中广核技,1000881,24.18,25.00,24.17,24.76,0.58,2.40,"24,808","6,095",3.43,0.81
2017-01-17,中广核技,1000881,24.10,24.84,23.53,24.18,-0.56,-2.26,"34,542","8,348",5.30,1.12
2017-01-16,中广核技,1000881,25.56,25.88,23.01,24.74,-0.82,-3.21,"53,996","13,429",11.23,1.75
2017-01-13,中广核技,1000881,26.60,26.65,25.30,25.56,-0.94,-3.55,"26,291","6,841",5.09,0.85
2017-01-12,中广核技,1000881,26.55,27.00,26.50,26.50,-0.17,-0.64,"22,825","6,128",1.87,0.74
2017-01-11,中广核技,1000881,26.60,26.84,26.37,26.67,0.07,0.26,"19,406","5,161",1.77,0.63
2017-01-10,中广核技,1000881,27.40,27.48,26.60,26.60,-0.92,-3.34,"49,479","13,315",3.20,1.61
2017-01-09,中广核技,1000881,28.50,28.87,27.34,27.52,-0.48,-1.71,"52,451","14,623",5.46,1.70
2017-01-06,中广核技,1000881,27.64,28.13,27.49,28.00,0.42,1.52,"40,617","11,323",2.32,1.32
2017-01-05,中广核技,1000881,27.62,27.95,27.30,27.58,-0.12,-0.43,"39,331","10,828",2.35,1.28
2017-01-04,中广核技,1000881,28.00,28.20,27.64,27.70,-0.40,-1.42,"41,220","11,498",1.99,1.34
2017-01-03,中广核技,1000881,27.24,28.18,27.03,28.10,0.80,2.93,"64,925","18,134",4.21,2.11
2017-12-29,中广核技,1000881,12.57,13.13,12.56,13.07,0.55,4.39,"76,273","9,836",4.55,2.48
2017-12-28,中广核技,1000881,12.50,12.66,12.40,12.52,0.04,0.32,"41,097","5,153",2.08,1.33
2017-12-27,中广核技,1000881,12.20,12.95,12.04,12.48,0.35,2.89,"53,461","6,711",7.50,1.74
2017-12-26,中广核技,1000881,12.02,12.13,11.90,12.13,0.05,0.41,"20,026","2,407",1.90,0.65
2017-12-25,中广核技,1000881,12.07,12.29,12.03,12.08,-0.01,-0.08,"24,807","3,012",2.15,0.81
2017-12-22,中广核技,1000881,11.98,12.18,11.98,12.09,0.03,0.25,"14,969","1,809",1.66,0.49
