日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,中欣氟材,1002915,35.19,35.19,35.19,35.19,3.20,10.00,"4,409","1,552",0.00,1.57
2017-12-28,中欣氟材,1002915,31.99,31.99,31.99,31.99,2.91,10.01,"3,258","1,042",0.00,1.16
2017-12-27,中欣氟材,1002915,29.08,29.08,29.08,29.08,2.64,9.98,"1,824",530,0.00,0.65
2017-12-26,中欣氟材,1002915,26.44,26.44,26.44,26.44,2.40,9.98,"5,890","1,557",0.00,2.10
2017-12-25,中欣氟材,1002915,24.04,24.04,24.04,24.04,2.19,10.02,"4,208","1,012",0.00,1.50
2017-12-18,中欣氟材,1002915,21.85,21.85,21.85,21.85,1.99,10.02,"1,436",314,0.00,0.51
2017-12-15,中欣氟材,1002915,19.86,19.86,19.86,19.86,1.81,10.03,783,156,0.00,0.28
2017-12-14,中欣氟材,1002915,18.05,18.05,18.05,18.05,1.64,9.99,579,105,0.00,0.21
2017-12-13,中欣氟材,1002915,16.41,16.41,16.41,16.41,1.49,9.99,286,47,0.00,0.10
2017-12-12,中欣氟材,1002915,14.92,14.92,14.92,14.92,1.36,10.03,237,35,0.00,0.08
2017-12-11,中欣氟材,1002915,13.56,13.56,13.56,13.56,1.23,9.98,201,27,0.00,0.07
2017-12-08,中欣氟材,1002915,12.33,12.33,12.33,12.33,1.12,9.99,105,13,0.00,0.04
2017-12-07,中欣氟材,1002915,11.21,11.21,11.21,11.21,1.02,10.01,24,3,0.00,0.01
2017-12-06,中欣氟材,1002915,10.19,10.19,10.19,10.19,0.93,10.04,67,7,0.00,0.02
2017-12-05,中欣氟材,1002915,7.72,9.26,7.72,9.26,2.83,44.01,157,14,23.95,0.06
2018-03-30,中欣氟材,1002915,35.66,36.90,35.52,36.06,0.39,1.09,"59,090","21,410",3.87,21.10
2018-03-29,中欣氟材,1002915,35.21,36.49,35.00,35.67,0.51,1.45,"57,023","20,379",4.24,20.37
2018-03-28,中欣氟材,1002915,33.45,35.97,33.45,35.16,0.39,1.12,"58,981","20,705",7.25,21.06
2018-03-27,中欣氟材,1002915,34.26,35.60,34.26,34.77,0.75,2.20,"51,231","17,899",3.94,18.30
2018-03-26,中欣氟材,1002915,32.97,34.30,30.50,34.02,0.61,1.83,"44,411","14,613",11.37,15.86
2018-03-23,中欣氟材,1002915,35.09,35.64,33.30,33.41,-3.59,-9.70,"63,010","21,548",6.32,22.50
2018-03-22,中欣氟材,1002915,36.12,37.50,36.10,37.00,0.93,2.58,"62,661","23,080",3.88,22.38
2018-03-21,中欣氟材,1002915,37.55,38.38,35.50,36.07,-1.88,-4.95,"76,379","28,488",7.59,27.28
2018-03-20,中欣氟材,1002915,36.40,38.28,35.61,37.95,0.94,2.54,"83,888","30,886",7.21,29.96
2018-03-19,中欣氟材,1002915,35.00,37.66,34.15,37.01,2.10,6.02,"79,121","28,543",10.05,28.26
2018-03-16,中欣氟材,1002915,34.35,35.80,33.98,34.91,0.50,1.45,"62,011","21,666",5.29,22.15
2018-03-15,中欣氟材,1002915,35.02,35.50,33.62,34.41,-2.94,-7.87,"87,385","29,909",5.03,31.21
2018-03-14,中欣氟材,1002915,36.25,38.65,35.95,37.35,1.31,3.63,"97,809","36,902",7.49,34.93
2018-03-13,中欣氟材,1002915,37.60,38.68,35.66,36.04,-1.86,-4.91,"76,523","28,344",7.97,27.33
2018-03-12,中欣氟材,1002915,37.00,38.88,36.89,37.90,0.84,2.27,"82,384","31,260",5.37,29.42
2018-03-09,中欣氟材,1002915,36.65,38.48,36.51,37.06,-0.47,-1.25,"91,137","34,125",5.25,32.55
2018-03-08,中欣氟材,1002915,35.65,38.20,35.60,37.53,1.55,4.31,"96,094","35,009",7.23,34.32
2018-03-07,中欣氟材,1002915,36.65,36.65,35.41,35.98,-0.67,-1.83,"96,159","34,532",3.38,34.34
2018-03-06,中欣氟材,1002915,33.24,36.65,33.00,36.65,3.33,9.99,"120,656","42,179",10.95,43.09
2018-03-05,中欣氟材,1002915,32.04,33.32,31.03,33.32,1.70,5.38,"69,513","22,647",7.24,24.83
2018-03-02,中欣氟材,1002915,32.30,33.80,31.58,31.62,-1.18,-3.60,"62,183","20,385",6.77,22.21
2018-03-01,中欣氟材,1002915,31.76,33.15,31.46,32.80,0.71,2.21,"59,230","19,297",5.27,21.15
2018-02-28,中欣氟材,1002915,33.00,33.43,31.61,32.09,-2.04,-5.98,"66,889","21,731",5.33,23.89
2018-02-27,中欣氟材,1002915,33.58,34.79,33.58,34.13,-0.09,-0.26,"75,933","25,947",3.54,27.12
2018-02-26,中欣氟材,1002915,33.95,35.58,33.40,34.22,1.33,4.04,"85,156","29,263",6.63,30.41
2018-02-23,中欣氟材,1002915,31.50,33.70,31.30,32.89,0.82,2.56,"82,936","26,962",7.48,29.62
2018-02-22,中欣氟材,1002915,31.78,32.79,31.00,32.07,1.17,3.79,"75,442","24,183",5.79,26.94
2018-02-14,中欣氟材,1002915,31.08,32.38,30.15,30.90,-1.00,-3.13,"85,560","26,746",6.99,30.56
2018-02-13,中欣氟材,1002915,28.90,31.90,28.42,31.90,2.90,10.00,"94,725","29,199",12.00,33.83
2018-02-12,中欣氟材,1002915,28.75,29.98,28.36,29.00,0.83,2.95,"64,203","18,840",5.75,22.93
2018-02-09,中欣氟材,1002915,29.00,29.98,28.17,28.17,-3.13,-10.00,"69,107","19,983",5.78,24.68
2018-02-08,中欣氟材,1002915,31.10,32.22,31.10,31.30,-0.49,-1.54,"63,857","20,190",3.52,22.81
2018-02-07,中欣氟材,1002915,32.88,32.99,29.44,31.79,-0.21,-0.66,"97,893","31,074",11.09,34.96
2018-02-06,中欣氟材,1002915,32.30,33.18,32.00,32.00,-3.56,-10.01,"80,479","26,019",3.32,28.74
2018-02-05,中欣氟材,1002915,36.30,37.80,35.56,35.56,-3.95,-10.00,"66,069","24,029",5.67,23.60
2018-02-02,中欣氟材,1002915,41.00,42.95,39.51,39.51,-4.39,-10.00,"90,506","37,148",7.84,32.32
2018-02-01,中欣氟材,1002915,44.03,45.68,42.36,43.90,-0.80,-1.79,"97,351","43,355",7.43,34.77
2018-01-31,中欣氟材,1002915,45.00,45.86,41.28,44.70,-0.90,-1.97,"99,521","43,472",10.04,35.54
2018-01-30,中欣氟材,1002915,47.10,47.88,44.81,45.60,-1.50,-3.18,"93,965","43,283",6.52,33.56
2018-01-29,中欣氟材,1002915,44.70,47.70,43.90,47.10,2.25,5.02,"118,662","54,513",8.47,42.38
2018-01-26,中欣氟材,1002915,41.12,45.60,41.12,44.85,1.50,3.46,"113,399","49,710",10.33,40.50
2018-01-25,中欣氟材,1002915,45.90,49.99,43.22,43.35,-3.95,-8.35,"160,013","75,450",14.31,57.15
2018-01-24,中欣氟材,1002915,43.70,48.79,43.70,47.30,2.95,6.65,"161,449","75,688",11.48,57.66
2018-01-23,中欣氟材,1002915,38.80,44.35,38.60,44.35,4.03,10.00,"145,794","62,441",14.26,52.07
2018-01-22,中欣氟材,1002915,41.96,44.19,40.32,40.32,-4.48,-10.00,"129,533","54,463",8.64,46.26
2018-01-19,中欣氟材,1002915,41.19,45.38,41.00,44.80,3.50,8.47,"168,491","74,409",10.61,60.18
2018-01-18,中欣氟材,1002915,38.80,43.90,37.97,41.30,0.96,2.38,"172,933","70,477",14.70,61.76
2018-01-17,中欣氟材,1002915,37.08,40.34,36.60,40.34,3.67,10.01,"153,410","60,013",10.20,54.79
2018-01-16,中欣氟材,1002915,36.00,39.04,35.82,36.67,-0.76,-2.03,"114,748","43,073",8.60,40.98
2018-01-15,中欣氟材,1002915,35.16,38.58,34.16,37.43,0.63,1.71,"122,660","44,324",12.01,43.81
2018-01-12,中欣氟材,1002915,39.00,39.60,36.80,36.80,-4.09,-10.00,"130,691","49,504",6.85,46.68
2018-01-11,中欣氟材,1002915,39.50,44.34,39.03,40.89,-0.07,-0.17,"164,748","69,304",12.96,58.84
2018-01-10,中欣氟材,1002915,40.05,41.50,38.91,40.96,-1.71,-4.01,"157,783","63,178",6.07,56.35
2018-01-09,中欣氟材,1002915,40.18,42.67,38.81,42.67,3.88,10.00,"195,840","81,186",9.95,69.94
2018-01-08,中欣氟材,1002915,35.00,38.79,35.00,38.79,3.53,10.01,"150,583","55,809",10.75,53.78
2018-01-05,中欣氟材,1002915,33.05,36.90,33.05,35.26,1.66,4.94,"165,076","58,238",11.46,58.96
2018-01-04,中欣氟材,1002915,33.38,35.00,32.80,33.60,-1.40,-4.00,"124,693","42,207",6.29,44.53
2018-01-03,中欣氟材,1002915,36.65,37.24,34.84,35.00,-3.71,-9.58,"174,449","62,349",6.20,62.30
