日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,利尔化学,1002258,15.90,16.35,15.78,16.20,0.32,2.02,"65,852","10,595",3.59,1.26
2017-12-28,利尔化学,1002258,16.50,16.55,15.77,15.88,-0.67,-4.05,"92,688","14,913",4.71,1.77
2017-12-27,利尔化学,1002258,16.23,16.63,16.12,16.55,0.12,0.73,"59,441","9,760",3.10,1.13
2017-12-26,利尔化学,1002258,16.32,16.77,15.99,16.43,-0.04,-0.24,"66,328","10,826",4.74,1.26
2017-12-25,利尔化学,1002258,16.54,16.68,16.06,16.47,-0.07,-0.42,"63,831","10,430",3.75,1.22
2017-12-22,利尔化学,1002258,16.46,16.99,16.22,16.54,0.08,0.49,"109,927","18,295",4.68,2.10
2017-12-21,利尔化学,1002258,15.79,16.78,15.73,16.46,0.64,4.05,"142,875","23,321",6.64,2.72
2017-12-20,利尔化学,1002258,15.99,16.12,15.69,15.82,-0.33,-2.04,"120,116","19,067",2.66,2.29
2017-12-19,利尔化学,1002258,15.01,16.15,14.81,16.15,1.06,7.02,"156,162","24,484",8.88,2.98
2017-12-18,利尔化学,1002258,14.98,15.55,14.76,15.09,0.18,1.21,"110,872","16,879",5.30,2.11
2017-12-15,利尔化学,1002258,15.16,15.40,14.72,14.91,-0.34,-2.23,"80,217","12,055",4.46,1.53
2017-12-14,利尔化学,1002258,15.33,15.47,15.17,15.25,-0.21,-1.36,"72,489","11,100",1.94,1.38
2017-12-13,利尔化学,1002258,14.70,15.48,14.65,15.46,0.61,4.11,"112,466","17,153",5.59,2.14
2017-12-12,利尔化学,1002258,15.22,15.47,14.81,14.85,-0.36,-2.37,"68,279","10,298",4.34,1.30
2017-12-11,利尔化学,1002258,15.17,15.27,14.90,15.21,0.18,1.20,"80,544","12,176",2.46,1.54
2017-12-08,利尔化学,1002258,14.89,15.27,14.59,15.03,0.08,0.54,"91,710","13,706",4.55,1.75
2017-12-07,利尔化学,1002258,14.85,15.11,14.62,14.95,0.10,0.67,"91,158","13,541",3.30,1.74
2017-12-06,利尔化学,1002258,13.81,14.88,13.80,14.85,0.93,6.68,"124,572","18,183",7.76,2.38
2017-12-05,利尔化学,1002258,14.43,14.57,13.80,13.92,-0.53,-3.67,"65,482","9,338",5.33,1.25
2017-12-04,利尔化学,1002258,14.20,14.65,14.01,14.45,0.22,1.55,"62,665","9,009",4.50,1.20
2017-12-01,利尔化学,1002258,14.01,14.32,13.81,14.23,0.23,1.64,"27,511","3,890",3.64,0.52
2017-11-30,利尔化学,1002258,14.00,14.18,13.87,14.00,-0.14,-0.99,"38,011","5,317",2.19,0.72
2017-11-29,利尔化学,1002258,13.60,14.31,13.60,14.14,0.47,3.44,"79,382","11,094",5.19,1.51
2017-11-28,利尔化学,1002258,13.03,13.75,12.85,13.67,0.64,4.91,"88,027","11,696",6.91,1.68
2017-11-27,利尔化学,1002258,13.84,13.95,13.02,13.03,-0.81,-5.85,"51,512","6,879",6.72,0.98
2017-11-24,利尔化学,1002258,13.75,13.97,13.50,13.84,0.05,0.36,"26,236","3,628",3.41,0.50
2017-11-23,利尔化学,1002258,14.29,14.29,13.75,13.79,-0.51,-3.57,"49,486","6,915",3.78,0.94
2017-11-22,利尔化学,1002258,13.88,14.33,13.78,14.30,0.50,3.62,"66,674","9,409",3.99,1.27
2017-11-21,利尔化学,1002258,13.73,14.17,13.64,13.80,-0.07,-0.50,"63,250","8,794",3.82,1.21
2017-11-20,利尔化学,1002258,13.82,14.07,13.40,13.87,-0.09,-0.64,"57,541","7,859",4.80,1.10
2017-11-17,利尔化学,1002258,14.21,14.37,13.63,13.96,-0.21,-1.48,"67,968","9,559",5.22,1.30
2017-11-16,利尔化学,1002258,14.56,14.67,14.12,14.17,-0.39,-2.68,"50,832","7,279",3.78,0.97
2017-11-15,利尔化学,1002258,14.68,14.98,14.31,14.56,-0.13,-0.89,"57,861","8,438",4.56,1.10
2017-11-14,利尔化学,1002258,14.85,14.88,14.43,14.69,-0.20,-1.34,"68,819","10,048",3.02,1.31
2017-11-13,利尔化学,1002258,15.03,15.05,14.62,14.89,-0.13,-0.87,"106,896","15,837",2.86,2.04
2017-11-10,利尔化学,1002258,14.26,15.20,14.16,15.02,0.82,5.77,"139,228","20,687",7.32,2.66
2017-11-09,利尔化学,1002258,14.50,14.59,14.00,14.20,-0.30,-2.07,"77,198","10,960",4.07,1.47
2017-11-08,利尔化学,1002258,14.65,14.83,14.44,14.50,-0.10,-0.68,"54,902","8,026",2.67,1.05
2017-11-07,利尔化学,1002258,14.28,14.78,14.28,14.60,0.28,1.96,"48,223","7,023",3.49,0.92
2017-11-06,利尔化学,1002258,14.05,14.59,13.88,14.32,0.44,3.17,"72,206","10,306",5.12,1.38
2017-11-03,利尔化学,1002258,14.10,14.30,13.64,13.88,-0.21,-1.49,"87,161","12,175",4.68,1.66
2017-11-02,利尔化学,1002258,14.75,14.81,14.02,14.09,-0.72,-4.86,"90,170","12,987",5.33,1.72
2017-11-01,利尔化学,1002258,14.11,14.99,14.01,14.81,0.69,4.89,"116,179","16,838",6.94,2.22
2017-10-31,利尔化学,1002258,14.34,14.45,14.02,14.12,-0.23,-1.60,"38,062","5,394",3.00,0.73
2017-10-30,利尔化学,1002258,14.19,14.43,13.90,14.35,0.13,0.91,"61,966","8,777",3.73,1.18
2017-10-27,利尔化学,1002258,14.06,14.48,13.98,14.22,0.18,1.28,"105,969","15,200",3.56,2.02
2017-10-26,利尔化学,1002258,13.68,14.42,13.68,14.04,0.37,2.71,"157,925","22,336",5.41,3.01
2017-10-25,利尔化学,1002258,13.69,13.73,13.46,13.67,0.08,0.59,"49,233","6,689",1.99,0.94
2017-10-24,利尔化学,1002258,13.38,13.67,13.36,13.59,0.27,2.03,"91,864","12,469",2.33,1.75
2017-10-23,利尔化学,1002258,12.83,13.33,12.83,13.32,0.42,3.26,"59,757","7,871",3.88,1.14
2017-10-20,利尔化学,1002258,12.73,13.00,12.64,12.90,0.09,0.70,"32,829","4,204",2.81,0.63
2017-10-19,利尔化学,1002258,13.06,13.35,12.73,12.81,-0.23,-1.76,"46,585","6,047",4.75,0.89
2017-10-18,利尔化学,1002258,12.96,13.31,12.96,13.04,0.07,0.54,"45,924","6,038",2.70,0.88
2017-10-17,利尔化学,1002258,13.05,13.27,12.93,12.97,-0.21,-1.59,"49,234","6,441",2.58,0.94
2017-10-16,利尔化学,1002258,13.28,13.35,13.02,13.18,-0.08,-0.60,"56,697","7,448",2.49,1.08
2017-10-13,利尔化学,1002258,12.93,13.40,12.78,13.26,0.47,3.67,"144,957","19,181",4.85,2.76
2017-10-12,利尔化学,1002258,12.65,12.84,12.52,12.79,0.18,1.43,"52,714","6,719",2.54,1.01
2017-10-11,利尔化学,1002258,12.60,12.72,12.55,12.61,-0.06,-0.47,"32,746","4,137",1.34,0.62
2017-10-10,利尔化学,1002258,12.61,12.71,12.55,12.67,0.06,0.48,"30,137","3,812",1.27,0.57
2017-10-09,利尔化学,1002258,12.48,12.69,12.42,12.61,0.25,2.02,"57,540","7,236",2.18,1.10
2017-06-30,利尔化学,1002258,12.51,12.74,12.51,12.64,0.07,0.56,"41,715","5,287",1.83,0.80
2017-06-29,利尔化学,1002258,12.49,12.64,12.44,12.57,0.07,0.56,"31,264","3,921",1.60,0.60
2017-06-28,利尔化学,1002258,12.23,12.57,12.16,12.50,0.20,1.63,"37,020","4,582",3.33,0.71
2017-06-27,利尔化学,1002258,12.40,12.46,12.29,12.30,-0.09,-0.73,"23,166","2,865",1.37,0.44
2017-06-26,利尔化学,1002258,12.31,12.46,12.22,12.39,0.08,0.65,"40,140","4,959",1.95,0.77
2017-06-23,利尔化学,1002258,12.18,12.46,12.05,12.31,0.14,1.15,"33,771","4,134",3.37,0.64
2017-06-22,利尔化学,1002258,12.54,12.60,12.16,12.17,-0.35,-2.80,"28,115","3,486",3.51,0.54
2017-06-21,利尔化学,1002258,12.30,12.66,12.28,12.52,0.14,1.13,"37,388","4,662",3.07,0.71
2017-06-20,利尔化学,1002258,12.35,12.52,12.24,12.38,0.03,0.24,"34,590","4,295",2.27,0.66
2017-06-19,利尔化学,1002258,12.32,12.40,12.14,12.35,0.17,1.40,"23,461","2,878",2.13,0.45
