日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-09-30,华尔泰,1001217,16.57,16.57,16.57,16.57,1.51,10.03,"2,173",360,0.00,0.26
2021-09-29,华尔泰,1001217,12.55,15.06,12.55,15.06,4.60,43.98,"10,133","1,521",24.00,1.22
2021-12-31,华尔泰,1001217,18.79,19.59,18.71,19.31,0.53,2.82,"46,629","8,928",4.69,5.62
2021-12-30,华尔泰,1001217,18.88,18.99,18.71,18.78,-0.10,-0.53,"22,505","4,236",1.48,2.71
2021-12-29,华尔泰,1001217,18.80,19.08,18.63,18.88,0.09,0.48,"30,055","5,682",2.39,3.62
2021-12-28,华尔泰,1001217,18.75,18.82,18.58,18.79,0.12,0.64,"24,497","4,577",1.29,2.95
2021-12-27,华尔泰,1001217,18.49,18.88,18.39,18.67,0.19,1.03,"30,235","5,637",2.65,3.64
2021-12-24,华尔泰,1001217,19.27,19.30,18.48,18.48,-0.79,-4.10,"53,179","10,003",4.26,6.41
2021-12-23,华尔泰,1001217,19.64,19.70,19.26,19.27,-0.43,-2.18,"44,013","8,557",2.23,5.30
2021-12-22,华尔泰,1001217,19.98,20.05,19.64,19.70,-0.13,-0.66,"32,047","6,336",2.07,3.86
2021-12-21,华尔泰,1001217,19.43,19.84,19.37,19.83,0.39,2.01,"36,362","7,124",2.42,4.38
2021-12-20,华尔泰,1001217,19.58,19.90,19.30,19.44,-0.39,-1.97,"48,738","9,504",3.03,5.87
2021-12-17,华尔泰,1001217,20.54,20.72,19.81,19.83,-0.78,-3.78,"88,719","17,842",4.42,10.69
2021-12-16,华尔泰,1001217,20.96,21.12,20.50,20.61,-0.41,-1.95,"65,227","13,498",2.95,7.86
2021-12-15,华尔泰,1001217,20.97,21.25,20.80,21.02,0.13,0.62,"79,057","16,665",2.15,9.53
2021-12-14,华尔泰,1001217,20.48,21.09,20.31,20.89,0.17,0.82,"73,075","15,166",3.76,8.81
2021-12-13,华尔泰,1001217,20.47,21.00,20.02,20.72,0.08,0.39,"76,767","15,735",4.75,9.25
2021-12-10,华尔泰,1001217,20.38,20.86,20.30,20.64,0.13,0.63,"54,785","11,300",2.73,6.60
2021-12-09,华尔泰,1001217,21.01,21.16,20.20,20.51,-0.56,-2.66,"98,460","20,292",4.56,11.87
2021-12-08,华尔泰,1001217,21.08,21.42,20.61,21.07,-0.13,-0.61,"88,786","18,684",3.82,10.70
2021-12-07,华尔泰,1001217,22.88,23.20,20.58,21.20,-1.67,-7.30,"175,926","37,828",11.46,21.20
