日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2022-03-31,华融化学,1301256,13.31,13.55,12.56,12.58,-1.20,-8.71,"375,628","49,232",7.18,33.34
2022-03-30,华融化学,1301256,14.15,14.24,13.50,13.78,-1.17,-7.83,"412,031","57,018",4.95,36.57
2022-03-29,华融化学,1301256,14.00,15.50,13.87,14.95,0.57,3.96,"527,050","78,576",11.34,46.78
2022-03-28,华融化学,1301256,14.50,14.81,13.73,14.38,-0.46,-3.10,"394,632","56,530",7.28,35.02
2022-03-25,华融化学,1301256,14.11,14.95,13.50,14.84,0.28,1.92,"553,433","78,024",9.96,49.12
2022-03-24,华融化学,1301256,15.09,15.55,14.50,14.56,-1.43,-8.94,"583,540","87,362",6.57,51.79
2022-03-23,华融化学,1301256,14.50,17.57,14.11,15.99,1.28,8.70,"753,715","119,320",23.52,66.89
2022-03-22,华融化学,1301256,15.58,17.00,13.59,14.71,6.66,82.73,"782,264","115,040",42.36,69.43
2022-08-16,华融化学,1301256,10.17,10.72,10.09,10.63,0.48,4.73,"162,739","17,032",6.21,14.44
2022-08-15,华融化学,1301256,10.19,10.30,10.04,10.15,-0.10,-0.98,"53,640","5,433",2.54,4.76
2022-08-12,华融化学,1301256,10.22,10.45,10.14,10.25,0.03,0.29,"77,313","7,972",3.03,6.86
2022-08-11,华融化学,1301256,10.24,10.28,10.14,10.22,0.01,0.10,"67,834","6,922",1.37,6.02
2022-08-10,华融化学,1301256,10.03,10.30,10.02,10.21,0.07,0.69,"130,707","13,312",2.76,11.60
2022-08-09,华融化学,1301256,9.49,10.20,9.49,10.14,0.57,5.96,"160,510","16,038",7.42,14.25
2022-08-08,华融化学,1301256,9.40,9.58,9.36,9.57,0.14,1.48,"43,454","4,122",2.33,3.86
2022-08-05,华融化学,1301256,9.45,9.47,9.33,9.43,0.04,0.43,"42,125","3,956",1.49,3.74
2022-08-04,华融化学,1301256,9.43,9.47,9.24,9.39,0.12,1.29,"42,150","3,945",2.48,3.74
2022-08-03,华融化学,1301256,9.20,9.69,9.20,9.27,0.03,0.32,"94,984","8,980",5.30,8.43
2022-08-02,华融化学,1301256,9.92,9.94,9.11,9.24,-0.70,-7.04,"124,797","11,634",8.35,11.08
2022-08-01,华融化学,1301256,9.92,9.99,9.86,9.94,0.02,0.20,"48,798","4,845",1.31,4.33
2022-07-29,华融化学,1301256,9.99,10.05,9.88,9.92,-0.12,-1.20,"64,080","6,389",1.69,5.69
2022-07-28,华融化学,1301256,9.76,10.12,9.70,10.04,0.40,4.15,"123,999","12,324",4.36,11.00
2022-07-27,华融化学,1301256,9.73,9.74,9.61,9.64,-0.10,-1.03,"44,779","4,325",1.33,3.97
2022-07-26,华融化学,1301256,9.61,9.77,9.49,9.74,0.13,1.35,"45,258","4,356",2.91,4.02
2022-07-25,华融化学,1301256,9.77,9.81,9.53,9.61,-0.16,-1.64,"52,439","5,062",2.87,4.65
2022-07-22,华融化学,1301256,9.92,10.00,9.65,9.77,-0.20,-2.01,"78,466","7,697",3.51,6.96
2022-07-21,华融化学,1301256,10.11,10.26,9.95,9.97,-0.06,-0.60,"99,727","10,059",3.09,8.85
2022-07-20,华融化学,1301256,9.95,10.09,9.84,10.03,0.12,1.21,"77,702","7,725",2.52,6.90
2022-07-19,华融化学,1301256,9.89,9.97,9.83,9.91,0.04,0.41,"55,779","5,527",1.42,4.95
2022-07-18,华融化学,1301256,9.72,9.89,9.68,9.87,0.17,1.75,"54,003","5,313",2.16,4.79
2022-07-15,华融化学,1301256,9.78,9.98,9.70,9.70,-0.15,-1.52,"62,387","6,118",2.84,5.54
2022-07-14,华融化学,1301256,9.59,9.94,9.54,9.85,0.25,2.60,"75,505","7,397",4.17,6.70
2022-07-13,华融化学,1301256,9.45,9.72,9.45,9.60,0.12,1.27,"50,315","4,824",2.85,4.47
2022-07-12,华融化学,1301256,9.91,9.94,9.48,9.48,-0.37,-3.76,"83,651","8,068",4.67,7.42
2022-07-11,华融化学,1301256,10.05,10.12,9.82,9.90,-0.21,-2.08,"76,033","7,560",2.97,6.75
2022-07-08,华融化学,1301256,10.07,10.29,10.02,10.11,0.09,0.90,"80,173","8,126",2.69,7.12
2022-07-07,华融化学,1301256,10.15,10.21,10.01,10.02,-0.11,-1.09,"88,034","8,885",1.97,7.81
2022-07-06,华融化学,1301256,10.35,10.47,10.01,10.13,-0.32,-3.06,"108,866","11,118",4.40,9.66
2022-07-05,华融化学,1301256,10.76,11.00,10.30,10.45,-0.24,-2.25,"161,659","17,094",6.55,14.35
2022-07-04,华融化学,1301256,10.56,10.82,10.56,10.69,0.00,0.00,"106,875","11,396",2.43,9.49
2022-07-01,华融化学,1301256,10.80,11.06,10.61,10.69,-0.11,-1.02,"134,189","14,522",4.17,11.91
2022-06-30,华融化学,1301256,10.96,11.23,10.72,10.80,-0.31,-2.79,"193,902","21,208",4.59,17.21
2022-06-29,华融化学,1301256,10.86,11.78,10.72,11.11,-0.07,-0.63,"334,569","37,495",9.48,29.69
2022-06-28,华融化学,1301256,11.16,11.55,10.91,11.18,0.43,4.00,"379,403","42,351",5.95,33.67
2022-06-27,华融化学,1301256,10.21,10.85,10.06,10.75,0.59,5.81,"260,127","27,380",7.78,23.09
2022-06-24,华融化学,1301256,9.92,10.30,9.87,10.16,0.24,2.42,"125,873","12,662",4.33,11.17
2022-06-23,华融化学,1301256,9.85,9.93,9.59,9.92,0.11,1.12,"90,204","8,836",3.47,8.01
2022-06-22,华融化学,1301256,10.08,10.18,9.80,9.81,-0.30,-2.97,"88,531","8,832",3.76,7.86
2022-06-21,华融化学,1301256,10.44,10.48,10.00,10.11,-0.34,-3.25,"129,899","13,232",4.59,11.53
2022-06-20,华融化学,1301256,10.42,10.86,10.39,10.45,-0.08,-0.76,"122,933","12,936",4.46,10.91
2022-06-17,华融化学,1301256,10.30,10.88,10.29,10.53,0.19,1.84,"172,141","18,338",5.71,15.28
2022-06-16,华融化学,1301256,10.54,10.68,10.31,10.34,-0.25,-2.36,"141,302","14,797",3.49,12.54
2022-06-15,华融化学,1301256,11.19,11.44,10.58,10.59,-0.44,-3.99,"229,414","25,145",7.80,20.36
2022-06-14,华融化学,1301256,10.50,11.31,10.16,11.03,0.38,3.57,"255,377","27,652",10.80,22.66
2022-06-13,华融化学,1301256,10.56,10.88,10.43,10.65,0.04,0.38,"142,258","15,190",4.24,12.63
2022-06-10,华融化学,1301256,10.42,10.91,10.36,10.61,-0.08,-0.75,"201,838","21,549",5.15,17.91
2022-06-09,华融化学,1301256,10.27,10.92,10.13,10.69,0.42,4.09,"238,033","25,225",7.69,21.13
2022-06-08,华融化学,1301256,10.56,10.56,9.93,10.27,-0.11,-1.06,"108,834","11,119",6.07,9.66
2022-06-07,华融化学,1301256,10.44,10.67,10.16,10.38,-0.07,-0.67,"103,295","10,749",4.88,9.17
2022-06-06,华融化学,1301256,10.22,10.50,10.11,10.45,0.17,1.65,"90,387","9,397",3.79,8.02
2022-06-02,华融化学,1301256,10.33,10.41,10.07,10.28,0.00,0.00,"85,068","8,711",3.31,7.55
2022-06-01,华融化学,1301256,10.28,10.42,10.09,10.28,0.05,0.49,"84,887","8,703",3.23,7.53
2022-05-31,华融化学,1301256,10.29,10.35,10.15,10.23,-0.10,-0.97,"79,588","8,144",1.94,7.06
2022-05-30,华融化学,1301256,9.99,10.35,9.80,10.33,0.42,4.24,"123,507","12,510",5.55,10.96
2022-05-27,华融化学,1301256,9.51,10.19,9.51,9.91,0.41,4.32,"115,178","11,394",7.16,10.22
2022-05-26,华融化学,1301256,9.59,9.63,9.21,9.50,-0.10,-1.04,"68,514","6,473",4.38,6.08
2022-05-25,华融化学,1301256,9.51,9.65,9.42,9.60,0.06,0.63,"67,131","6,411",2.41,5.96
2022-05-24,华融化学,1301256,10.44,10.46,9.51,9.54,-0.97,-9.23,"142,020","14,148",9.04,12.60
2022-05-23,华融化学,1301256,10.06,10.56,10.06,10.51,0.40,3.96,"135,098","13,988",4.95,11.99
2022-05-20,华融化学,1301256,10.01,10.30,10.01,10.11,0.06,0.60,"84,063","8,510",2.89,7.46
2022-05-19,华融化学,1301256,9.98,10.09,9.90,10.05,-0.20,-1.95,"101,736","10,177",1.85,9.03
2022-05-18,华融化学,1301256,10.10,10.55,10.01,10.25,0.09,0.89,"135,092","13,813",5.32,11.99
2022-05-17,华融化学,1301256,10.16,10.42,10.00,10.16,-0.27,-2.59,"144,109","14,582",4.03,12.79
2022-05-16,华融化学,1301256,10.30,10.92,10.29,10.43,0.36,3.58,"229,642","24,260",6.26,20.38
2022-05-13,华融化学,1301256,9.98,10.48,9.81,10.07,0.10,1.00,"171,372","17,426",6.72,15.21
2022-05-12,华融化学,1301256,9.63,10.24,9.60,9.97,0.16,1.63,"181,022","17,931",6.52,16.07
2022-05-11,华融化学,1301256,9.76,10.27,9.75,9.81,-0.13,-1.31,"179,484","17,997",5.23,15.93
2022-05-10,华融化学,1301256,10.00,10.27,9.71,9.94,0.09,0.91,"186,199","18,500",5.69,16.52
2022-05-09,华融化学,1301256,9.40,9.85,9.31,9.85,0.39,4.12,"107,052","10,324",5.71,9.50
2022-05-06,华融化学,1301256,9.20,9.83,9.20,9.46,-0.06,-0.63,"125,246","11,977",6.62,11.12
2022-05-05,华融化学,1301256,9.30,9.78,9.12,9.52,0.38,4.16,"138,256","13,096",7.22,12.27
2022-04-29,华融化学,1301256,8.85,9.29,8.82,9.14,0.45,5.18,"155,062","14,081",5.41,13.76
