日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,国瓷材料,1300285,19.50,19.89,19.37,19.70,0.23,1.18,"11,728","2,311",2.67,0.23
2017-06-29,国瓷材料,1300285,19.88,19.88,19.20,19.47,-0.17,-0.87,"12,829","2,496",3.46,0.25
2017-06-28,国瓷材料,1300285,19.65,20.10,19.55,19.64,-0.01,-0.05,"15,865","3,142",2.80,0.31
2017-06-27,国瓷材料,1300285,20.18,20.18,19.58,19.65,-0.35,-1.75,"21,069","4,166",3.00,0.41
2017-06-26,国瓷材料,1300285,19.55,20.18,19.40,20.00,0.40,2.04,"22,820","4,548",3.98,0.45
2017-06-23,国瓷材料,1300285,19.70,19.71,19.08,19.60,0.15,0.77,"18,165","3,509",3.24,0.36
2017-06-22,国瓷材料,1300285,19.85,20.44,19.38,19.45,-0.66,-3.28,"42,761","8,502",5.27,0.84
2017-06-21,国瓷材料,1300285,19.03,20.35,19.03,20.11,0.98,5.12,"36,834","7,166",6.90,0.72
2017-06-20,国瓷材料,1300285,19.20,19.30,19.03,19.13,-0.01,-0.05,"10,530","2,016",1.41,0.21
2017-06-19,国瓷材料,1300285,19.16,19.33,18.99,19.14,0.04,0.21,"9,070","1,730",1.78,0.18
2017-06-16,国瓷材料,1300285,19.42,19.42,19.05,19.10,-0.31,-1.60,"8,401","1,612",1.91,0.16
2017-06-15,国瓷材料,1300285,18.95,19.41,18.57,19.41,0.51,2.70,"32,766","6,285",4.44,0.64
2017-06-14,国瓷材料,1300285,18.02,18.97,18.02,18.90,0.81,4.48,"51,217","9,549",5.25,1.00
2017-06-13,国瓷材料,1300285,18.23,18.23,17.68,18.09,0.02,0.11,"34,698","6,240",3.04,0.68
2017-06-12,国瓷材料,1300285,18.01,18.27,17.41,18.07,-0.05,-0.28,"36,573","6,540",4.75,0.72
2017-06-09,国瓷材料,1300285,18.45,18.45,18.01,18.12,-0.31,-1.68,"14,519","2,638",2.39,0.28
2017-06-08,国瓷材料,1300285,18.80,18.86,18.22,18.43,-0.37,-1.97,"24,992","4,626",3.40,0.49
2017-06-07,国瓷材料,1300285,18.66,18.88,18.41,18.80,0.28,1.51,"20,906","3,904",2.54,0.41
2017-06-06,国瓷材料,1300285,18.87,18.87,18.30,18.52,-0.05,-0.27,"4,093",759,3.07,0.08
2017-06-05,国瓷材料,1300285,37.20,38.00,36.71,37.24,0.31,0.84,"9,512","3,559",3.49,0.37
2017-06-02,国瓷材料,1300285,36.10,37.07,35.71,36.93,0.83,2.30,"6,808","2,487",3.77,0.27
2017-06-01,国瓷材料,1300285,36.11,36.78,35.81,36.10,-0.26,-0.72,"9,184","3,316",2.67,0.36
2017-05-31,国瓷材料,1300285,37.44,37.83,36.26,36.36,-0.72,-1.94,"12,267","4,523",4.23,0.48
2017-05-26,国瓷材料,1300285,37.30,37.30,36.86,37.08,-0.07,-0.19,"2,720","1,006",1.18,0.11
2017-05-25,国瓷材料,1300285,37.30,37.40,36.60,37.15,0.05,0.13,"6,376","2,352",2.16,0.25
2017-05-24,国瓷材料,1300285,37.04,37.29,36.68,37.10,-0.02,-0.05,"6,689","2,474",1.64,0.26
2017-05-23,国瓷材料,1300285,37.79,37.90,36.96,37.12,-0.56,-1.49,"5,354","1,999",2.49,0.21
2017-05-22,国瓷材料,1300285,38.12,39.10,37.22,37.68,-0.62,-1.62,"7,047","2,672",4.91,0.28
2017-05-19,国瓷材料,1300285,38.95,39.28,38.30,38.30,-0.65,-1.67,"7,607","2,960",2.52,0.30
2017-05-18,国瓷材料,1300285,38.30,38.98,38.21,38.95,0.45,1.17,"6,020","2,334",2.00,0.24
2017-05-17,国瓷材料,1300285,38.70,38.80,38.50,38.50,-0.20,-0.52,"6,266","2,423",0.78,0.25
2017-05-16,国瓷材料,1300285,37.99,38.78,37.60,38.70,0.71,1.87,"7,520","2,873",3.11,0.30
2017-05-15,国瓷材料,1300285,37.40,38.47,37.40,37.99,0.41,1.09,"7,161","2,718",2.85,0.28
2017-05-12,国瓷材料,1300285,37.50,38.05,37.23,37.58,0.10,0.27,"6,474","2,444",2.19,0.25
2017-05-11,国瓷材料,1300285,37.10,37.80,36.60,37.48,-0.22,-0.58,"10,637","3,955",3.18,0.42
2017-05-10,国瓷材料,1300285,37.94,38.35,37.00,37.70,-0.25,-0.66,"9,885","3,714",3.56,0.39
2017-05-09,国瓷材料,1300285,39.00,39.00,36.67,37.95,-1.12,-2.87,"15,548","5,845",5.96,0.61
2017-05-08,国瓷材料,1300285,38.90,39.32,38.40,39.07,0.59,1.53,"10,915","4,244",2.39,0.43
2017-05-05,国瓷材料,1300285,38.19,38.70,37.93,38.48,0.27,0.71,"8,659","3,314",2.02,0.34
2017-05-04,国瓷材料,1300285,38.30,38.67,37.84,38.21,-0.09,-0.24,"7,077","2,714",2.17,0.28
2017-05-03,国瓷材料,1300285,38.63,39.34,38.18,38.30,-0.18,-0.47,"12,127","4,714",3.01,0.48
2017-05-02,国瓷材料,1300285,38.00,38.90,38.00,38.48,0.18,0.47,"17,172","6,604",2.35,0.67
2017-04-28,国瓷材料,1300285,37.90,38.66,37.76,38.30,0.49,1.30,"12,400","4,732",2.38,0.49
2017-04-27,国瓷材料,1300285,37.61,38.82,37.36,37.81,0.11,0.29,"27,409","10,400",3.87,1.08
2017-04-26,国瓷材料,1300285,37.60,38.30,37.45,37.70,0.10,0.27,"12,323","4,656",2.26,0.48
2017-04-25,国瓷材料,1300285,38.35,38.67,37.31,37.60,-0.59,-1.54,"14,615","5,529",3.56,0.57
2017-04-24,国瓷材料,1300285,39.80,39.96,38.19,38.19,-1.61,-4.05,"16,932","6,594",4.45,0.66
2017-04-21,国瓷材料,1300285,39.86,39.92,39.06,39.80,-0.06,-0.15,"5,335","2,115",2.16,0.21
2017-04-20,国瓷材料,1300285,39.31,40.67,39.16,39.86,0.36,0.91,"8,658","3,455",3.82,0.34
2017-04-19,国瓷材料,1300285,39.40,39.85,38.90,39.50,-0.10,-0.25,"9,759","3,840",2.40,0.38
2017-04-18,国瓷材料,1300285,40.07,40.49,39.60,39.60,-0.47,-1.17,"13,791","5,520",2.22,0.54
2017-04-17,国瓷材料,1300285,40.99,40.99,39.48,40.07,-0.93,-2.27,"17,700","7,095",3.68,0.69
2017-04-14,国瓷材料,1300285,42.07,42.20,40.90,41.00,-1.08,-2.57,"10,739","4,445",3.09,0.42
2017-04-13,国瓷材料,1300285,41.95,42.98,41.63,42.08,0.14,0.33,"15,208","6,438",3.22,0.60
2017-04-12,国瓷材料,1300285,41.83,42.30,41.04,41.94,0.09,0.22,"20,708","8,681",3.01,0.81
2017-04-11,国瓷材料,1300285,40.78,41.85,40.17,41.85,0.87,2.12,"16,316","6,678",4.10,0.64
2017-04-10,国瓷材料,1300285,41.22,41.60,40.45,40.98,-0.24,-0.58,"16,180","6,626",2.79,0.63
2017-04-07,国瓷材料,1300285,40.18,41.22,40.18,41.22,0.66,1.63,"10,700","4,368",2.56,0.42
2017-04-06,国瓷材料,1300285,40.95,40.95,40.16,40.56,-0.05,-0.12,"11,202","4,530",1.95,0.44
2017-04-05,国瓷材料,1300285,40.38,41.10,39.71,40.61,0.58,1.45,"19,712","8,009",3.47,0.77
2017-03-31,国瓷材料,1300285,39.18,40.03,39.18,40.03,0.59,1.50,"14,871","5,877",2.16,0.58
2017-03-30,国瓷材料,1300285,40.00,40.18,38.98,39.44,-0.51,-1.28,"13,456","5,312",3.00,0.53
2017-03-29,国瓷材料,1300285,40.70,40.90,39.95,39.95,-0.75,-1.84,"12,447","5,009",2.33,0.49
2017-03-28,国瓷材料,1300285,40.62,40.90,40.36,40.70,0.09,0.22,"15,753","6,402",1.33,0.62
2017-03-27,国瓷材料,1300285,41.19,41.69,40.61,40.61,-0.56,-1.36,"14,269","5,850",2.62,0.56
2017-03-24,国瓷材料,1300285,41.09,42.09,41.01,41.17,-0.47,-1.13,"22,603","9,365",2.59,0.89
